date,price
2021-02-18,18.05
2021-02-17,18.0
2021-02-16,17.79
2021-02-13,17.32
2021-02-12,17.27
2021-02-11,16.93
2021-02-10,17.36
2021-02-09,17.52
2021-02-08,17.8
2021-02-06,17.2
2021-02-05,17.2
2021-02-04,17.41
2021-02-03,17.24
2021-02-02,16.68
2021-02-01,16.81
2021-01-30,16.94
2021-01-29,16.99
2021-01-28,19.29
2021-01-27,16.5
2021-01-26,15.51
2021-01-25,15.39
2021-01-23,15.78
2021-01-22,15.79
2021-01-21,15.8
2021-01-20,16.04
2021-01-19,16.01
2021-01-16,15.8
2021-01-15,15.75
2021-01-14,16.67
2021-01-13,15.61
2021-01-12,15.35
2021-01-11,14.98
2021-01-09,15.13
2021-01-08,15.14
2021-01-07,15.42
2021-01-06,15.5
2021-01-05,15.44
2021-01-04,15.09
2021-01-01,15.84
2020-12-31,15.79
2020-12-30,16.14
2020-12-29,15.81
2020-12-28,16.13
2020-12-24,15.66
2020-12-23,15.92
2020-12-22,15.45
2020-12-21,16.07
2020-12-19,16.74
2020-12-18,16.69
2020-12-17,16.75
2020-12-16,16.88
2020-12-15,16.9999
2020-12-14,16.8
2020-12-12,17.03
2020-12-11,17.07
2020-12-10,18.36
2020-12-09,17.21
2020-12-08,17.78
2020-12-07,17.37
2020-12-05,16.41
2020-12-04,16.38
2020-12-03,16.26
2020-12-02,15.01
2020-12-01,14.33
2020-11-30,14.23
2020-11-27,14.99
2020-11-26,14.87
2020-11-25,14.96
2020-11-24,14.97
2020-11-23,13.95
2020-11-21,12.6
2020-11-20,12.59
2020-11-19,12.66
2020-11-18,12.8
2020-11-17,12.74
2020-11-16,12.66
2020-11-14,12.37
2020-11-13,12.38
2020-11-12,11.82
2020-11-11,12.06
2020-11-10,12.22
2020-11-09,13.3
2020-11-07,11.46
2020-11-06,11.47
2020-11-05,11.51
2020-11-04,11.08
2020-11-03,11.32
2020-11-02,11.17
2020-10-30,11.25
2020-10-29,10.97
2020-10-28,10.98
2020-10-27,11.15
2020-10-26,11.84
2020-10-23,12.6
2020-10-22,13.13
2020-10-21,12.54
2020-10-20,12.83
2020-10-19,12.68
2020-10-16,12.39
2020-10-15,12.3
2020-10-14,12.42
2020-10-13,12.26
2020-10-12,12.94
2020-10-09,13.26
2020-10-08,13.4
2020-10-07,13.14
2020-10-06,12.44
2020-10-05,13.08
2020-10-02,12.87
2020-10-01,12.49
2020-09-30,12.36
2020-09-29,12.33
2020-09-28,12.84
2020-09-25,12.6
2020-09-24,11.93
2020-09-23,11.97
2020-09-22,12.45
2020-09-21,12.33
2020-09-18,13.21
2020-09-17,13.68
2020-09-16,13.88
2020-09-15,13.21
2020-09-14,13.3
2020-09-11,12.95
2020-09-10,13.11
2020-09-09,13.15
2020-09-08,13.48
2020-09-04,13.62
2020-09-03,13.11
2020-09-02,13.21
2020-09-01,13.13
2020-08-31,13.08
2020-08-28,13.57
2020-08-27,13.42
2020-08-26,12.87
2020-08-25,13.08
2020-08-24,13.71
2020-08-21,12.16
2020-08-20,12.49
2020-08-19,12.71
2020-08-18,12.55
2020-08-17,12.61
2020-08-14,13.3
2020-08-13,13.36
2020-08-12,13.39
2020-08-11,13.9801
2020-08-10,13.9
2020-08-07,13.07
2020-08-06,12.88
2020-08-05,13.3
2020-08-04,11.54
2020-08-03,11.12
2020-07-31,11.12
2020-07-30,11.3
2020-07-29,11.42
2020-07-28,11.73
2020-07-27,11.41
2020-07-24,11.36
2020-07-23,11.96
2020-07-22,11.34
2020-07-21,11.45
2020-07-20,11.55
2020-07-17,11.96
2020-07-16,12.43
2020-07-15,13.0601
2020-07-14,12.58
2020-07-13,11.6199
2020-07-10,11.83
2020-07-09,11.15
2020-07-08,12.06
2020-07-07,12.0
2020-07-06,12.75
2020-07-02,12.66
2020-07-01,12.89
2020-06-30,12.96
2020-06-29,13.47
2020-06-26,12.2
2020-06-25,13.01
2020-06-24,12.89
2020-06-23,13.93
2020-06-22,14.64
2020-06-19,15.78
2020-06-18,16.8
2020-06-17,16.65
2020-06-16,16.65
2020-06-15,17.17
2020-06-12,16.7
2020-06-11,15.1
2020-06-10,16.1
2020-06-09,18.22
2020-06-08,20.29
2020-06-05,19.09
2020-06-04,17.0
2020-06-03,12.04
2020-06-02,11.24
2020-06-01,10.97
2020-05-29,10.75
2020-05-28,10.86
2020-05-27,12.14
2020-05-26,11.17
2020-05-22,9.75
2020-05-21,9.95
2020-05-20,9.84
2020-05-19,9.69
2020-05-18,9.86
2020-05-15,8.94
2020-05-14,9.16
2020-05-13,9.17
2020-05-12,9.56
2020-05-11,9.96
2020-05-08,9.96
2020-05-07,9.62
2020-05-06,9.18
2020-05-05,9.55
2020-05-04,10.06
2020-05-01,10.76
2020-04-30,11.75
2020-04-29,13.25
2020-04-28,11.46
2020-04-27,10.14
2020-04-24,10.32
2020-04-23,10.33
2020-04-22,10.26
2020-04-21,10.85
2020-04-20,11.08
2020-04-17,11.48
2020-04-16,11.83
2020-04-15,11.94
2020-04-14,13.22
2020-04-13,11.8
2020-04-09,13.2
2020-04-08,12.07
2020-04-07,10.5
2020-04-06,9.58
2020-04-03,8.95
2020-04-02,10.35
2020-04-01,11.08
2020-03-31,12.03
2020-03-30,12.48
2020-03-27,13.8
2020-03-26,16.15
2020-03-25,15.95
2020-03-24,14.0
2020-03-23,10.93
2020-03-20,10.46
2020-03-19,10.2
2020-03-18,12.1
2020-03-17,15.02
2020-03-16,16.19
2020-03-13,14.06
2020-03-12,13.005
2020-03-11,16.29
2020-03-10,16.48
2020-03-09,15.2
2020-03-07,15.95
2020-03-06,16.0
2020-03-05,16.21
2020-03-04,18.18
2020-03-03,17.79
2020-03-02,18.9
2020-02-29,19.36
2020-02-28,19.37
2020-02-27,20.6
2020-02-26,22.35
2020-02-25,23.5
2020-02-24,25.53
2020-02-22,27.71
2020-02-21,27.75
2020-02-20,28.44
2020-02-19,28.35
2020-02-18,28.63
2020-02-14,29.22
2020-02-13,30.21
2020-02-12,30.2
2020-02-11,29.85
2020-02-10,28.84
2020-02-08,28.25
2020-02-07,28.42
2020-02-06,28.3
2020-02-05,29.12
2020-02-04,28.38
2020-02-03,27.1
2020-02-01,26.79
2020-01-31,26.76
2020-01-30,27.6
2020-01-29,26.7
2020-01-28,26.55
2020-01-27,26.15
2020-01-25,27.6399
2020-01-24,27.66
2020-01-23,28.89
