date,price
2021-02-18,130.88
2021-02-17,130.79
2021-02-16,132.78
2021-02-13,135.43
2021-02-12,135.36
2021-02-11,134.96
2021-02-10,135.27
2021-02-09,136.03
2021-02-08,136.67
2021-02-06,136.68
2021-02-05,136.35
2021-02-04,137.17
2021-02-03,136.72
2021-02-02,134.9499
2021-02-01,134.31
2021-01-30,131.7799
2021-01-29,131.8
2021-01-28,136.91
2021-01-27,137.3
2021-01-26,144.9
2021-01-25,143.02
2021-01-23,140.36
2021-01-22,140.21
2021-01-21,136.46
2021-01-20,132.55
2021-01-19,128.15
2021-01-16,126.82
2021-01-15,127.06
2021-01-14,129.29
2021-01-13,131.03
2021-01-12,129.0
2021-01-11,129.12
2021-01-09,131.75
2021-01-08,131.9
2021-01-07,131.03
2021-01-06,127.35
2021-01-05,130.75
2021-01-04,129.24
2021-01-01,132.71
2020-12-31,132.68
2020-12-30,133.74
2020-12-29,134.8499
2020-12-28,137.0
2020-12-24,131.99
2020-12-23,130.92
2020-12-22,131.8
2020-12-21,131.12
2020-12-19,127.31
2020-12-18,127.09
2020-12-17,128.45
2020-12-16,127.9
2020-12-15,127.85
2020-12-14,121.85
2020-12-12,122.28
2020-12-11,122.15
2020-12-10,123.19
2020-12-09,121.39
2020-12-08,124.2
2020-12-07,123.6
2020-12-05,122.14
2020-12-04,122.01
2020-12-03,122.87
2020-12-02,123.01
2020-12-01,122.85
2020-11-30,120.55
2020-11-27,116.44
2020-11-26,116.27
2020-11-25,116.28
2020-11-24,115.33
2020-11-23,114.45
2020-11-21,117.11
2020-11-20,117.08
2020-11-19,118.2
2020-11-18,118.0
2020-11-17,119.25
2020-11-16,119.93
2020-11-14,119.25
2020-11-13,119.15
2020-11-12,119.1
2020-11-11,119.61
2020-11-10,115.94
2020-11-09,117.18
2020-11-07,118.52
2020-11-06,118.43
2020-11-05,118.72
2020-11-04,115.5
2020-11-03,110.81
2020-11-02,108.61
2020-10-30,108.51
2020-10-29,110.45
2020-10-28,112.09
2020-10-27,116.12
2020-10-26,114.86
2020-10-23,115.09
2020-10-22,116.1
2020-10-21,116.39
2020-10-20,117.83
2020-10-19,117.09
2020-10-16,118.72
2020-10-15,121.0
2020-10-14,120.81
2020-10-13,121.29
2020-10-12,124.92
2020-10-09,118.0
2020-10-08,115.27
2020-10-07,115.37
2020-10-06,113.2
2020-10-05,115.76
2020-10-02,112.58
2020-10-01,116.8
2020-09-30,116.3
2020-09-29,114.3
2020-09-28,115.5
2020-09-25,112.25
2020-09-24,109.0
2020-09-23,105.6
2020-09-22,110.6
2020-09-21,110.95
2020-09-18,106.93
2020-09-17,110.34
2020-09-16,112.8
2020-09-15,114.77
2020-09-14,115.94
2020-09-11,111.99
2020-09-10,114.1
2020-09-09,118.52
2020-09-08,112.48
2020-09-04,120.0
2020-09-03,117.19
2020-09-02,131.54
2020-09-01,135.0
2020-08-31,129.33
2020-08-28,125.495
2020-08-27,125.225
2020-08-26,126.325
2020-08-25,124.9075
2020-08-24,126.525
2020-08-21,124.7375
2020-08-20,119.1375
2020-08-19,115.615
2020-08-18,115.7125
2020-08-17,114.75
2020-08-14,114.8225
2020-08-13,114.875
2020-08-12,113.1225
2020-08-11,110.035
2020-08-10,112.4775
2020-08-07,111.3725
2020-08-06,114.25
2020-08-05,109.85
2020-08-04,109.6625
2020-08-03,108.9
2020-07-31,106.86
2020-07-30,102.3875
2020-07-29,95.225
2020-07-28,93.6875
2020-07-27,95.245
2020-07-24,92.425
2020-07-23,93.1125
2020-07-22,97.075
