date,price
2021-02-18,106.73
2021-02-17,106.5
2021-02-16,104.55
2021-02-13,104.6
2021-02-12,104.58
2021-02-11,103.55
2021-02-10,103.95
2021-02-09,105.32
2021-02-08,106.55
2021-02-06,108.84
2021-02-05,108.86
2021-02-04,108.25
2021-02-03,107.25
2021-02-02,103.67
2021-02-01,103.0
2021-01-29,102.45
2021-01-28,103.53
2021-01-27,102.5
2021-01-26,108.74
2021-01-25,110.4
2021-01-23,110.75
2021-01-22,111.13
2021-01-21,111.0
2021-01-20,112.89
2021-01-19,112.08
2021-01-15,110.4
2021-01-14,111.63
2021-01-13,112.28
2021-01-12,109.83
2021-01-11,109.25
2021-01-09,107.27
2021-01-08,107.26
2021-01-07,106.7
2021-01-06,105.58
2021-01-05,106.44
2021-01-04,105.41
2021-01-01,107.15
2020-12-31,107.2499
2020-12-30,105.25
2020-12-29,104.7
2020-12-28,103.4999
2020-12-24,103.39
2020-12-23,103.59
2020-12-22,102.8
2020-12-21,103.61
2020-12-19,104.39
2020-12-18,104.45
2020-12-17,104.17
2020-12-16,104.88
2020-12-15,103.25
2020-12-14,104.88
2020-12-12,107.5
2020-12-11,107.1
2020-12-10,107.89
2020-12-09,108.5
2020-12-08,107.34
2020-12-07,105.75
2020-12-05,107.3
2020-12-04,107.3
2020-12-03,104.79
2020-12-02,105.0
2020-12-01,104.0
2020-11-30,104.8
2020-11-27,104.89
2020-11-25,104.3
2020-11-24,103.96
2020-11-23,102.95
2020-11-21,100.77
2020-11-20,100.51
2020-11-19,99.46
2020-11-18,98.8
2020-11-17,99.21
2020-11-16,100.0
2020-11-14,99.19
2020-11-13,98.98
2020-11-12,97.59
2020-11-11,98.0
2020-11-10,98.61
2020-11-09,95.15
2020-11-07,92.82
2020-11-06,92.8
2020-11-05,93.5
2020-11-04,94.5
2020-11-03,88.0
2020-11-02,88.39
2020-10-30,85.11
2020-10-29,80.89
2020-10-28,81.0
2020-10-27,82.6
2020-10-26,84.05
2020-10-23,84.4
2020-10-22,84.5
2020-10-21,83.01
2020-10-20,84.55
2020-10-19,84.58
2020-10-16,86.28
2020-10-15,85.36
2020-10-14,86.07
2020-10-13,88.11
2020-10-12,88.5
2020-10-09,87.82
2020-10-08,87.51
2020-10-07,87.16
2020-10-06,85.93
2020-10-05,87.91
2020-10-02,86.12
2020-10-01,87.4
2020-09-30,87.75
2020-09-29,87.0
2020-09-28,87.93
2020-09-25,86.3
2020-09-24,86.18
2020-09-23,87.16
2020-09-22,88.59
2020-09-21,89.15
2020-09-18,90.01
2020-09-17,89.7
2020-09-16,90.05
2020-09-15,91.18
2020-09-14,90.35
2020-09-11,89.74
2020-09-10,89.7
2020-09-09,91.62
2020-09-08,89.8
2020-09-04,92.6
2020-09-03,91.1
2020-09-02,93.9499
2020-09-01,92.25
2020-08-31,95.7
2020-08-28,94.17
2020-08-27,94.3
2020-08-26,94.05
2020-08-25,94.15
2020-08-24,94.45
2020-08-21,94.82
2020-08-20,95.36
2020-08-19,96.0
2020-08-18,96.2
2020-08-17,96.36
2020-08-14,95.07
2020-08-13,95.1
2020-08-12,95.07
2020-08-11,92.67
2020-08-10,92.66
2020-08-07,92.8
2020-08-06,92.55
2020-08-05,93.74
2020-08-04,94.31
2020-08-03,95.99
2020-07-31,94.92
2020-07-30,97.2
2020-07-29,96.91
2020-07-28,97.07
2020-07-27,97.2
2020-07-24,96.8
2020-07-23,98.01
2020-07-22,97.67
2020-07-21,97.52
2020-07-20,99.75
2020-07-17,101.03
2020-07-16,99.75
2020-07-15,100.47
2020-07-14,99.81
2020-07-13,98.64
2020-07-10,96.87
2020-07-09,97.85
2020-07-08,99.52
2020-07-07,99.5
2020-07-06,99.22
2020-07-02,98.75
2020-07-01,99.4
2020-06-30,98.05
2020-06-29,96.52
2020-06-26,96.02
2020-06-25,97.65
2020-06-24,95.1
2020-06-23,97.3
2020-06-22,97.5
2020-06-19,96.55
2020-06-18,96.39
2020-06-17,95.8999
2020-06-16,96.11
2020-06-15,93.9
2020-06-12,92.46
2020-06-11,93.2
2020-06-10,96.81
2020-06-09,96.18
2020-06-08,94.6
2020-06-05,93.9
2020-06-04,93.1
2020-06-03,90.89
2020-06-02,90.94
2020-06-01,90.7
2020-05-29,92.35
2020-05-28,90.0
2020-05-27,90.06
2020-05-26,91.0
2020-05-22,92.33
2020-05-21,93.0
2020-05-20,91.1
2020-05-19,91.05
2020-05-18,91.51
2020-05-15,90.65
2020-05-14,89.65
2020-05-13,89.1
2020-05-12,90.12
2020-05-11,88.46
2020-05-08,84.44
2020-05-07,84.46
2020-05-06,85.46
2020-05-05,86.0
2020-05-04,81.86
2020-05-01,82.89
2020-04-30,82.61
2020-04-29,83.96
2020-04-28,83.03
2020-04-27,84.59
2020-04-24,83.6
2020-04-23,81.87
2020-04-22,81.3
2020-04-21,80.74
2020-04-20,84.26
2020-04-17,83.27
2020-04-16,83.55
2020-04-15,81.85
2020-04-14,82.18
2020-04-13,80.6
2020-04-09,79.85
2020-04-08,78.55
2020-04-07,75.37
2020-04-06,75.27
2020-04-03,73.04
2020-04-02,74.46
2020-04-01,73.42
2020-03-31,74.44
2020-03-30,75.1501
2020-03-27,72.55
2020-03-26,74.0
2020-03-25,68.5
2020-03-24,67.75
2020-03-23,65.9
2020-03-20,68.0
2020-03-19,69.61
2020-03-18,72.14
2020-03-17,71.95
2020-03-16,76.31
2020-03-13,84.01
2020-03-12,78.4
2020-03-11,84.4
2020-03-10,87.44
2020-03-09,86.94
2020-03-07,88.65
2020-03-06,88.5
2020-03-05,90.8
2020-03-04,91.75
2020-03-03,88.3
2020-03-02,88.9
2020-02-29,86.39
2020-02-28,86.69
2020-02-27,84.9
2020-02-26,88.18
2020-02-25,89.2
2020-02-24,93.14
2020-02-22,94.98
2020-02-21,95.05
2020-02-20,94.2
2020-02-19,94.2
2020-02-18,93.76
2020-02-15,94.1
2020-02-14,94.1
2020-02-13,95.3
2020-02-12,97.71
2020-02-11,96.05
2020-02-10,94.65
2020-02-08,92.53
2020-02-07,92.38
2020-02-06,88.0
2020-02-05,87.1
2020-02-04,84.37
2020-02-03,82.34
2020-02-01,81.48
2020-01-31,81.4
2020-01-30,82.85
2020-01-29,83.18
2020-01-28,83.3
2020-01-27,84.55
2020-01-25,83.5
2020-01-24,83.45
2020-01-23,85.28
2020-01-22,87.1
2020-01-21,87.99
2020-01-18,88.0
2020-01-17,88.0
2020-01-16,89.26
2020-01-15,89.26
2020-01-14,88.11
2020-01-13,89.1
2020-01-11,89.36
2020-01-10,89.35
2020-01-09,90.44
2020-01-08,89.65
2020-01-07,88.42
2020-01-06,89.2
2020-01-04,89.0
2020-01-03,88.5006
2020-01-02,89.45
2020-01-01,88.68
2019-12-31,88.58
2019-12-30,88.34
2019-12-27,89.3
2019-12-26,89.9
2019-12-24,89.85
2019-12-23,90.21
2019-12-20,89.75
2019-12-19,88.77
2019-12-18,89.5
2019-12-17,90.07
2019-12-16,89.43
2019-12-14,87.9
2019-12-13,87.84
2019-12-12,88.79
2019-12-11,86.7
2019-12-10,86.7
2019-12-09,86.54
2019-12-07,86.97
2019-12-06,86.92
2019-12-05,86.7342
2019-12-04,87.22
2019-12-03,85.95
2019-12-02,87.1
2019-11-29,87.7001
2019-11-27,88.59
2019-11-26,87.8
2019-11-25,87.538
2019-11-22,86.1
2019-11-21,86.45
2019-11-20,87.2
2019-11-19,89.0
2019-11-18,88.73
2019-11-16,88.7
2019-11-15,88.43
2019-11-14,87.6
2019-11-13,86.6
2019-11-12,86.52
2019-11-11,85.6
2019-11-09,85.2
2019-11-08,85.04
2019-11-07,82.1
2019-11-06,82.08
2019-11-05,81.85
2019-11-04,83.08
2019-11-01,81.65
2019-10-31,79.45
2019-10-30,79.9
2019-10-29,78.47
2019-10-28,78.42
2019-10-25,76.3
2019-10-24,76.6
2019-10-23,77.75
2019-10-22,77.77
2019-10-21,77.35
2019-10-18,76.64
2019-10-17,75.3
2019-10-16,74.9
2019-10-15,74.56
2019-10-14,74.0
2019-10-11,73.66
2019-10-10,74.65
2019-10-09,72.9
2019-10-08,73.45
2019-10-07,74.4
2019-10-04,74.81
2019-10-03,73.67
2019-10-02,72.07
2019-10-01,73.65
2019-09-30,75.65
2019-09-27,74.91
2019-09-26,73.92
2019-09-25,72.24
2019-09-24,73.1
2019-09-23,73.31
2019-09-20,73.4
2019-09-19,71.69
2019-09-18,71.28
2019-09-17,71.72
2019-09-16,70.88
2019-09-13,70.51
2019-09-12,70.8
2019-09-11,69.65
2019-09-10,68.0999
2019-09-09,66.8
2019-09-06,67.85
2019-09-05,67.03
2019-09-04,66.3599
2019-09-03,65.5
2019-08-30,65.89
2019-08-29,66.01
2019-08-28,65.98
2019-08-27,65.75
2019-08-26,66.72
2019-08-23,65.71
2019-08-22,67.5
2019-08-21,67.89
2019-08-20,67.1
2019-08-19,66.56
2019-08-16,64.5
2019-08-15,63.18
2019-08-14,63.55
2019-08-13,65.16
2019-08-12,64.53
2019-08-09,65.71
2019-08-08,65.35
2019-08-07,64.5
2019-08-06,64.75
2019-08-05,64.61
2019-08-02,65.45
2019-08-01,65.8
2019-07-31,66.74
2019-07-30,66.95
2019-07-29,67.2899
2019-07-26,67.6
2019-07-25,67.25
2019-07-24,67.59
2019-07-23,67.89
2019-07-22,68.0
2019-07-19,68.6
2019-07-18,68.25
2019-07-17,68.25
2019-07-16,69.2
2019-07-15,70.27
2019-07-12,70.12
2019-07-11,71.25
2019-07-10,71.8
2019-07-09,71.27
2019-07-08,71.25
2019-07-05,73.0
2019-07-03,74.8
2019-07-02,74.28
2019-07-01,73.4
2019-06-28,72.84
2019-06-27,70.15
2019-06-26,67.93
2019-06-25,66.1
2019-06-24,78.45
2019-06-21,78.58
2019-06-20,78.5
2019-06-19,77.61
2019-06-18,78.4
2019-06-17,78.65
2019-06-14,78.53
2019-06-13,78.03
2019-06-12,78.69
2019-06-11,78.0109
2019-06-10,76.95
2019-06-07,77.43
2019-06-06,77.0
2019-06-05,76.84
2019-06-04,76.8
2019-06-03,75.7
2019-05-31,76.65
2019-05-30,77.75
2019-05-29,78.22
2019-05-28,78.12
2019-05-24,80.0
2019-05-23,81.21
2019-05-22,81.4
2019-05-21,81.08
2019-05-20,79.9
2019-05-17,79.62
2019-05-16,79.89
2019-05-15,78.62
2019-05-14,78.44
2019-05-13,77.06
2019-05-10,77.5
2019-05-09,77.8
2019-05-08,77.99
