date,price
2021-02-17,127.2
2021-02-16,127.93
2021-02-12,128.5
2021-02-11,126.8
2021-02-10,125.25
2021-02-09,125.15
2021-02-08,124.15
2021-02-05,124.0
2021-02-04,119.82
2021-02-03,119.86
2021-02-02,120.24
2021-02-01,122.65
2021-01-29,123.0
2021-01-28,120.02
2021-01-27,112.53
2021-01-26,115.31
2021-01-25,114.95
2021-01-22,112.85
2021-01-21,113.2
2021-01-20,112.8731
2021-01-19,112.7
2021-01-15,110.58
2021-01-14,110.04
2021-01-13,112.55
2021-01-12,108.87
2021-01-11,111.0
2021-01-09,111.0
2021-01-08,111.8
2021-01-07,111.14
2021-01-06,110.23
2021-01-05,110.46
2021-01-04,109.11
2021-01-01,109.25
2020-12-31,109.25
2020-12-30,108.44
2020-12-29,108.8
2020-12-28,107.79
2020-12-24,108.35
2020-12-23,107.25
2020-12-22,107.88
2020-12-21,108.05
2020-12-19,108.9
2020-12-18,108.9
2020-12-17,108.8
2020-12-16,107.63
2020-12-15,106.16
2020-12-14,106.79
2020-12-12,107.01
2020-12-11,106.82
2020-12-10,106.5
2020-12-09,106.0
2020-12-08,106.7
2020-12-07,106.9
2020-12-05,107.11
2020-12-04,107.8892
2020-12-03,107.65
2020-12-02,108.4899
2020-12-01,108.4792
2020-11-30,108.233528
2020-11-27,107.62
2020-11-25,106.4
2020-11-24,107.79
2020-11-23,109.2809
2020-11-20,110.8
2020-11-19,110.5
2020-11-18,109.77
2020-11-17,113.06
2020-11-16,112.55
2020-11-13,112.8
2020-11-12,111.07
2020-11-11,112.65
2020-11-10,110.8
2020-11-09,109.5
2020-11-06,114.94
2020-11-05,113.65
2020-11-04,111.5
2020-11-03,110.0
2020-11-02,107.4
2020-10-30,105.63
2020-10-29,104.74
2020-10-28,106.83
2020-10-27,108.09
2020-10-26,109.12
2020-10-23,107.85
2020-10-22,109.25
2020-10-21,105.52
2020-10-20,108.4
2020-10-19,108.65
2020-10-16,109.0297
2020-10-15,107.7
2020-10-14,107.85
2020-10-13,108.4
2020-10-12,111.5
2020-10-09,109.65
2020-10-08,108.55
2020-10-07,107.96
2020-10-06,106.16
2020-10-05,108.5
2020-10-02,106.5
2020-10-01,108.63
2020-09-30,108.8
2020-09-29,105.9
2020-09-28,107.3
2020-09-25,102.7
2020-09-24,101.8
2020-09-23,103.02
2020-09-22,104.2501
2020-09-21,105.95
2020-09-18,106.86
2020-09-17,106.55
2020-09-16,106.0
2020-09-15,106.5
2020-09-14,106.1
2020-09-11,104.6
2020-09-10,104.0
2020-09-09,105.5
2020-09-08,102.4
2020-09-04,104.01
2020-09-03,103.3
2020-09-02,109.4
2020-09-01,106.25
2020-08-31,109.4
2020-08-28,110.7
2020-08-27,115.07
2020-08-26,115.43
2020-08-25,102.67
2020-08-24,101.39
2020-08-21,102.6
2020-08-20,101.7
2020-08-19,100.33
2020-08-18,100.81
2020-08-17,100.5
2020-08-14,99.99
2020-08-13,101.0
2020-08-12,100.65
2020-08-11,98.71
2020-08-10,99.8
2020-08-07,101.23
2020-08-06,101.9
2020-08-05,102.21
2020-08-04,100.5
2020-08-03,100.7
2020-07-31,100.6
2020-07-30,102.25
2020-07-29,102.89
2020-07-28,99.85
2020-07-27,99.99
2020-07-24,98.5
2020-07-23,100.8
2020-07-22,100.29
2020-07-21,98.97
2020-07-20,99.43
2020-07-17,99.8
2020-07-16,97.65
2020-07-15,95.22
2020-07-14,95.5
2020-07-13,93.77
2020-07-10,93.03
2020-07-09,93.67
2020-07-08,92.58
2020-07-07,92.46
2020-07-06,92.99
2020-07-02,92.23
2020-07-01,91.5
2020-06-30,91.24
2020-06-29,89.15
2020-06-26,87.78
2020-06-25,89.6
2020-06-24,87.42
2020-06-23,91.0
2020-06-22,90.5
2020-06-19,90.4
2020-06-18,90.0
2020-06-17,90.8
2020-06-16,89.74
2020-06-15,90.0
2020-06-12,88.01
2020-06-11,88.58
2020-06-10,92.0
2020-06-09,90.5
2020-06-08,92.56
2020-06-05,89.45
2020-06-04,88.4
2020-06-03,91.35
2020-06-02,92.5
2020-06-01,93.0
2020-05-29,94.57
2020-05-28,92.1001
2020-05-27,90.5
2020-05-26,89.7
2020-05-22,91.35
2020-05-21,90.5499
2020-05-20,90.0
2020-05-19,88.74
2020-05-18,90.5
2020-05-15,89.35
2020-05-14,88.5
2020-05-13,91.0
2020-05-12,93.0
2020-05-11,96.51
2020-05-08,93.9
2020-05-07,94.02
2020-05-06,91.5
2020-05-05,93.2
2020-05-04,89.7
2020-05-01,89.65
2020-04-30,91.36
2020-04-29,91.8
2020-04-28,91.78
2020-04-27,95.0
2020-04-24,94.0
2020-04-23,94.76
2020-04-22,95.71
2020-04-21,94.45
2020-04-20,98.9
2020-04-17,95.79
2020-04-16,95.9
2020-04-15,92.94
2020-04-14,90.0
2020-04-13,86.5
2020-04-09,86.7
2020-04-08,85.0
2020-04-07,82.11
2020-04-06,82.5
2020-04-03,79.7
2020-04-02,79.59
2020-04-01,76.7001
2020-03-31,79.45
2020-03-30,81.3
2020-03-27,76.21
2020-03-26,77.8
2020-03-25,70.11
2020-03-24,69.93
2020-03-23,64.29
2020-03-20,69.0
2020-03-19,74.49
2020-03-18,81.66
2020-03-17,77.51
2020-03-16,73.67
2020-03-13,81.0
2020-03-12,74.21
2020-03-11,78.08
2020-03-10,79.0
2020-03-09,77.25
2020-03-06,81.74
2020-03-05,80.01
2020-03-04,82.08
2020-03-03,77.96
2020-03-02,80.6
2020-02-29,78.0
2020-02-28,78.0
2020-02-27,79.94
2020-02-26,81.15
2020-02-25,81.27
2020-02-24,84.63
2020-02-21,87.45
2020-02-20,88.46
2020-02-19,89.36
2020-02-18,89.2
2020-02-14,89.66
2020-02-13,88.68
2020-02-12,88.79
2020-02-11,89.17
2020-02-10,88.3
2020-02-08,87.7
2020-02-07,87.9
2020-02-06,89.41
2020-02-05,89.56
2020-02-04,88.23
2020-02-03,87.06
2020-01-31,87.14
2020-01-30,89.16
2020-01-29,89.14
2020-01-28,89.54
2020-01-27,89.59
2020-01-25,90.4
2020-01-24,90.4
2020-01-23,90.73
2020-01-22,91.81
2020-01-21,90.01
2020-01-18,89.01
2020-01-17,89.19
2020-01-16,88.28
2020-01-15,87.38
2020-01-14,85.87
2020-01-13,85.29
2020-01-10,85.36
2020-01-09,86.44
2020-01-08,86.94
2020-01-07,85.5
2020-01-06,86.34
2020-01-03,85.6493
2020-01-02,86.95
2019-12-31,86.82
2019-12-30,86.8
2019-12-27,87.45
2019-12-26,87.28
2019-12-24,87.28
2019-12-23,87.35
2019-12-20,86.66
2019-12-19,87.35
2019-12-18,86.93
2019-12-17,87.06
2019-12-16,86.4
2019-12-14,86.4
2019-12-13,86.4
2019-12-12,85.97
2019-12-11,84.34
2019-12-10,84.56
2019-12-09,83.87
2019-12-06,85.48
2019-12-05,85.24
2019-12-04,85.18
2019-12-03,83.89
2019-12-02,84.51
2019-11-29,85.45
2019-11-27,85.0
2019-11-26,85.55
2019-11-25,84.49
2019-11-22,83.74
2019-11-21,83.68
2019-11-20,83.89
