date,price
2021-02-18,154.0
2021-02-17,154.0
2021-02-16,162.4
2021-02-13,165.9999
2021-02-12,166.0
2021-02-11,160.1
2021-02-10,156.06
2021-02-09,158.69
2021-02-08,163.2
2021-02-06,159.5
2021-02-05,158.0
2021-02-04,156.0
2021-02-03,159.5
2021-02-02,164.1
2021-02-01,166.37
2021-01-29,162.66
2021-01-28,166.0
2021-01-27,168.88
2021-01-26,175.38
2021-01-25,176.92
2021-01-22,173.71
2021-01-21,175.7
2021-01-20,180.2
2021-01-19,185.22
2021-01-15,180.0
2021-01-14,182.37
2021-01-13,179.92
2021-01-12,182.57
2021-01-11,177.86
2021-01-09,184.3
2021-01-08,188.38
2021-01-07,184.01
2021-01-06,178.0
2021-01-05,163.99
2021-01-04,152.63
2020-12-31,147.52
2020-12-30,149.29
2020-12-29,146.22
2020-12-28,150.35
2020-12-24,149.64
2020-12-23,149.91
2020-12-22,146.27
2020-12-21,144.01
2020-12-18,138.5
2020-12-17,137.48
2020-12-16,135.78
2020-12-15,136.78
2020-12-14,134.57
2020-12-11,138.8
2020-12-10,141.43
2020-12-09,142.55
2020-12-08,143.75
2020-12-07,140.0
2020-12-04,139.0
2020-12-03,132.3
2020-12-02,135.25
2020-12-01,135.88
2020-11-30,135.986996
2020-11-27,137.66
2020-11-25,135.0
2020-11-24,137.26
2020-11-23,134.65
2020-11-20,127.89
2020-11-19,125.0
2020-11-18,126.54
2020-11-17,127.95
2020-11-16,128.92
2020-11-13,122.85
2020-11-12,118.64
2020-11-11,118.57
2020-11-10,117.93
2020-11-09,116.73
2020-11-06,112.22
2020-11-05,105.5
2020-11-04,96.75
2020-11-03,96.6
2020-11-02,96.84
2020-10-30,93.21
2020-10-29,93.77
2020-10-28,90.78
2020-10-27,94.98
2020-10-26,94.48
2020-10-23,96.48
2020-10-22,95.0
2020-10-21,96.72
2020-10-20,93.56
2020-10-19,92.5
2020-10-16,92.5
2020-10-15,94.53
2020-10-14,94.59
2020-10-13,95.14
2020-10-12,95.99
2020-10-09,96.02
2020-10-08,97.04
2020-10-07,97.0
2020-10-06,93.74
2020-10-05,95.2
2020-10-02,90.0
2020-10-01,86.73
2020-09-30,89.28
2020-09-29,87.2
2020-09-28,84.8
