date,price
2021-02-17,235.61
2021-02-16,232.84
2021-02-12,237.21
2021-02-11,235.0
2021-02-10,238.75
2021-02-09,236.65
2021-02-08,237.57
2021-02-05,237.117
2021-02-04,237.33
2021-02-03,237.63
2021-02-02,236.5
2021-02-01,240.92
2021-01-29,240.37
2021-01-28,246.64
2021-01-27,250.0
2021-01-26,258.6
2021-01-25,257.1
2021-01-22,252.92
2021-01-21,252.48
2021-01-20,254.0
2021-01-19,248.5
2021-01-15,245.5
2021-01-14,242.14
2021-01-13,237.9838
2021-01-12,236.6255
2021-01-11,238.18
2021-01-08,238.4
2021-01-07,234.02
2021-01-06,232.03
2021-01-05,227.76
2021-01-04,226.66
2020-12-31,229.25
2020-12-30,227.1473
2020-12-29,226.9
2020-12-28,223.0131
2020-12-24,222.93
2020-12-23,222.94
2020-12-22,220.99
2020-12-21,227.0
2020-12-19,228.26
2020-12-18,229.15
2020-12-17,230.39
2020-12-16,230.27
2020-12-15,230.5069
2020-12-14,229.46
2020-12-11,227.4227
2020-12-10,228.1828
2020-12-09,229.5
2020-12-08,228.94
2020-12-07,225.02
2020-12-05,245.2547
2020-12-04,229.1871
2020-12-03,226.91
2020-12-02,226.5373
2020-12-01,225.0
2020-11-30,222.067755
2020-11-27,224.81
2020-11-25,220.39
2020-11-24,220.9
2020-11-23,222.8
2020-11-20,223.0
2020-11-19,223.51
2020-11-18,227.76
2020-11-17,232.96
2020-11-16,236.5
2020-11-13,237.3362
2020-11-12,237.8
2020-11-11,240.69
2020-11-10,241.62
2020-11-09,235.37
2020-11-06,231.67
2020-11-05,230.99
2020-11-04,230.5
2020-11-03,222.5
2020-11-02,220.37
2020-10-30,217.91
2020-10-29,217.0
2020-10-28,217.0
2020-10-27,223.87
2020-10-26,224.98
2020-10-23,227.4
2020-10-22,228.5
2020-10-21,228.01
2020-10-20,231.64
2020-10-19,231.64
2020-10-16,235.0
2020-10-15,235.4
2020-10-14,238.12
2020-10-13,239.01
2020-10-12,239.8
2020-10-09,237.1
2020-10-08,240.99
