date,price
2021-02-18,3315.0
2021-02-17,3308.0
2021-02-16,3263.0
2021-02-13,3271.0
2021-02-12,3278.43
2021-02-11,3260.0
2021-02-10,3277.0
2021-02-09,3299.4
2021-02-08,3318.0
2021-02-06,3350.0
2021-02-05,3348.61
2021-02-04,3325.01
2021-02-03,3318.45
2021-02-02,3394.0
2021-02-01,3361.07
2021-01-30,3202.95
2021-01-29,3205.5
2021-01-28,3236.88
2021-01-27,3212.57
2021-01-26,3368.0
2021-01-25,3291.44
2021-01-23,3293.5
2021-01-22,3291.0
2021-01-21,3300.05
2021-01-20,3265.0
2021-01-19,3137.0
2021-01-16,3099.0
2021-01-15,3098.0
2021-01-14,3136.0
2021-01-13,3164.0
2021-01-12,3136.0
2021-01-11,3119.3999
2021-01-09,3179.9999
2021-01-08,3179.03
2021-01-07,3171.98
2021-01-06,3148.0
2021-01-05,3212.84
2021-01-04,3178.11
2021-01-01,3254.5
2020-12-31,3255.06
2020-12-30,3287.99
2020-12-29,3321.0
2020-12-28,3285.99
2020-12-24,3172.0
2020-12-23,3190.1
2020-12-22,3206.0
2020-12-21,3204.07
2020-12-19,3229.45
2020-12-18,3221.5
2020-12-17,3235.18
2020-12-16,3241.25
2020-12-15,3163.5
2020-12-14,3157.5
2020-12-12,3112.7
2020-12-11,3113.12
2020-12-10,3100.51
2020-12-09,3106.0
2020-12-08,3180.0
2020-12-07,3152.0
2020-12-05,3159.2
2020-12-04,3160.0
2020-12-03,3189.0
2020-12-02,3204.01
2020-12-01,3218.23
2020-11-30,3179.0
2020-11-27,3196.0
2020-11-26,3187.18
2020-11-25,3191.0
2020-11-24,3126.4
2020-11-23,3115.01
2020-11-21,3101.0
2020-11-20,3099.4
2020-11-19,3110.3
2020-11-18,3106.5
2020-11-17,3135.0
2020-11-16,3127.0
2020-11-14,3120.0
2020-11-13,3125.08
2020-11-12,3111.2
2020-11-11,3139.5
2020-11-10,3032.0
2020-11-09,3166.88
2020-11-07,3312.0
2020-11-06,3310.0
2020-11-05,3322.0
2020-11-04,3241.0
2020-11-03,3054.0
2020-11-02,3000.06
2020-10-30,3037.99
2020-10-29,3151.04
2020-10-28,3179.0
2020-10-27,3268.22
2020-10-26,3210.0
2020-10-23,3215.0
2020-10-22,3183.78
2020-10-21,3172.0
2020-10-20,3223.93
2020-10-19,3229.0
2020-10-16,3265.78
2020-10-15,3343.0
2020-10-14,3352.0
2020-10-13,3450.0
2020-10-12,3462.0
2020-10-09,3296.4
2020-10-08,3197.0
2020-10-07,3199.9
2020-10-06,3098.0
2020-10-05,3175.8
2020-10-02,3114.0
2020-10-01,3215.5
2020-09-30,3160.01
2020-09-29,3150.0
2020-09-28,3189.6
2020-09-25,3087.4
2020-09-24,3047.87
2020-09-23,2973.0
2020-09-22,3118.1
2020-09-21,2980.0
2020-09-18,2946.75
2020-09-17,3008.43
2020-09-16,3086.0
2020-09-15,3156.0
2020-09-14,3109.0
2020-09-11,3108.0
2020-09-10,3191.0
2020-09-09,3280.0
2020-09-08,3139.0
2020-09-04,3250.0
2020-09-03,3314.0
2020-09-02,3529.0
2020-09-01,3513.5
2020-08-31,3465.0
2020-08-28,3401.8
2020-08-27,3405.51
2020-08-26,3423.0
2020-08-25,3346.0
2020-08-24,3307.5
2020-08-21,3282.5
2020-08-20,3301.0
2020-08-19,3250.0
2020-08-18,3319.0
2020-08-17,3186.01
2020-08-14,3148.0
2020-08-13,3167.0
2020-08-12,3158.0
2020-08-11,3090.0
2020-08-10,3140.01
2020-08-07,3162.0
2020-08-06,3223.79
2020-08-05,3193.0
2020-08-04,3133.6999
2020-08-03,3110.25
2020-07-31,3158.05
2020-07-30,3204.6
2020-07-29,3046.0
2020-07-28,3007.0
2020-07-27,3058.23
2020-07-24,3002.0
2020-07-23,2990.0
2020-07-22,3083.1
2020-07-21,3139.0
2020-07-20,3208.0
2020-07-17,2963.55
2020-07-16,2966.03
2020-07-15,2998.0
2020-07-14,3087.0
2020-07-13,3119.0
2020-07-10,3204.47
2020-07-09,3193.0
2020-07-08,3096.0
2020-07-07,3012.35
2020-07-06,3073.0
2020-07-02,2885.0
2020-07-01,2881.1
2020-06-30,2755.5
2020-06-29,2693.1
2020-06-26,2690.0
