date,price
2021-02-17,482.48
2021-02-16,488.88
2021-02-12,486.32
2021-02-11,478.98
2021-02-10,469.11
2021-02-09,474.6
2021-02-08,472.61
2021-02-05,466.01
2021-02-04,470.65
2021-02-03,463.24
2021-02-02,476.88
2021-02-01,465.81
2021-01-29,450.0
2021-01-28,449.42
2021-01-27,444.7
2021-01-26,462.88
2021-01-25,464.79
2021-01-22,466.5
2021-01-21,466.82
2021-01-20,461.88
2021-01-19,459.27
2021-01-15,445.0
2021-01-14,452.07
2021-01-13,451.21
2021-01-12,449.39
2021-01-11,445.76
2021-01-08,445.3
2021-01-07,444.28
2021-01-06,427.0
2021-01-05,428.1
2021-01-04,425.3
2020-12-31,437.01
2020-12-30,434.83
2020-12-29,429.04
2020-12-28,431.88
2020-12-24,431.46
2020-12-23,425.46
2020-12-22,433.1
2020-12-21,428.15
2020-12-18,435.4
2020-12-17,426.34
2020-12-16,425.7
2020-12-15,418.98
2020-12-14,412.2
2020-12-11,405.0101
2020-12-10,400.01
2020-12-09,415.75
2020-12-08,423.55
2020-12-07,420.3
2020-12-05,413.69
2020-12-04,413.27
2020-12-03,400.5
2020-12-02,403.73
2020-12-01,405.32
2020-11-30,402.0
2020-11-27,394.95
2020-11-25,390.8691
2020-11-24,393.01
2020-11-23,388.5
2020-11-21,383.83
2020-11-20,384.03
2020-11-19,382.5
2020-11-18,380.0
2020-11-17,379.84
2020-11-16,381.38
2020-11-13,373.4626
2020-11-12,375.6056
2020-11-11,375.94
2020-11-10,363.1769
2020-11-09,376.01
2020-11-06,379.55
2020-11-05,379.9
2020-11-04,366.0
2020-11-03,353.894
2020-11-02,351.75
2020-10-30,350.2
2020-10-29,349.0
2020-10-28,347.95
2020-10-27,358.33
2020-10-26,363.77
2020-10-23,372.73
2020-10-22,373.37
2020-10-21,371.01
2020-10-20,376.99
2020-10-19,377.97
2020-10-16,377.99
2020-10-15,382.9
2020-10-14,377.02
2020-10-13,382.67
2020-10-12,383.1
2020-10-09,377.2
2020-10-08,374.3
2020-10-07,368.5
2020-10-06,363.0
2020-10-05,366.09
2020-10-02,355.8
2020-10-01,367.86
2020-09-30,365.0
2020-09-29,364.26
2020-09-28,368.99
2020-09-25,355.5
2020-09-24,353.65
2020-09-23,350.01
2020-09-22,360.6
2020-09-21,355.6799
2020-09-18,359.5001
2020-09-17,365.92
2020-09-16,367.7
2020-09-15,367.1
2020-09-14,363.1
2020-09-11,359.0
2020-09-10,357.31
2020-09-09,362.5
2020-09-08,348.56
2020-09-04,362.0
2020-09-03,344.15
2020-09-02,378.0
2020-09-01,362.25
2020-08-31,346.66
2020-08-28,345.0
2020-08-27,339.5
2020-08-26,339.7
2020-08-25,336.62
2020-08-24,334.5
2020-08-21,329.42
2020-08-20,329.3
2020-08-19,329.4
2020-08-18,329.6
2020-08-17,330.32
2020-08-14,329.0
2020-08-13,330.0
2020-08-12,332.1
2020-08-11,324.5
2020-08-10,326.87
2020-08-07,325.93
2020-08-06,328.31
