date,price
2021-02-18,34.45
2021-02-17,34.42
2021-02-16,34.37
2021-02-13,33.38
2021-02-12,33.38
2021-02-11,32.83
2021-02-10,32.94
2021-02-09,32.97
2021-02-08,33.08
2021-02-06,32.4
2021-02-05,32.36
2021-02-04,32.5
2021-02-03,31.55
2021-02-02,31.05
2021-02-01,29.98
2021-01-30,29.63
2021-01-29,29.65
2021-01-28,30.27
2021-01-27,29.7
2021-01-26,30.9
2021-01-25,31.13
2021-01-23,31.52
2021-01-22,31.52
2021-01-21,31.8
2021-01-20,32.3
2021-01-19,32.8
2021-01-16,32.85
2021-01-15,32.91
2021-01-14,34.14
2021-01-13,33.54
2021-01-12,33.76
2021-01-11,33.1
2021-01-09,32.53
2021-01-08,32.58
2021-01-07,32.91
2021-01-06,32.28
2021-01-05,30.24
2021-01-04,30.03
2021-01-01,30.33
2020-12-31,30.33
2020-12-30,29.98
2020-12-29,30.02
2020-12-28,30.17
2020-12-24,29.96
2020-12-23,30.17
2020-12-22,29.2
2020-12-21,29.75
2020-12-19,29.93
2020-12-18,29.96
2020-12-17,28.83
2020-12-16,28.73
2020-12-15,28.67
2020-12-14,28.24
2020-12-12,28.55
2020-12-11,28.55
2020-12-10,29.23
2020-12-09,28.84
2020-12-08,28.95
2020-12-07,29.01
2020-12-05,29.3
2020-12-04,29.25
2020-12-03,28.96
2020-12-02,29.05
2020-12-01,28.73
2020-11-30,28.26
2020-11-27,28.98
2020-11-25,29.05
2020-11-24,29.14
2020-11-23,27.61
2020-11-21,26.8
2020-11-20,26.76
2020-11-19,26.69
2020-11-18,27.0
2020-11-17,27.55
2020-11-16,27.56
2020-11-14,27.03
2020-11-13,27.03
2020-11-12,26.59
2020-11-11,27.28
2020-11-10,27.77
2020-11-09,27.62
2020-11-07,24.37
2020-11-06,24.34
2020-11-05,24.5
2020-11-04,23.7
2020-11-03,24.86
2020-11-02,24.13
2020-10-30,23.7
2020-10-29,23.4
2020-10-28,23.52
2020-10-27,23.76
2020-10-26,24.47
2020-10-23,24.92
2020-10-22,24.98
2020-10-21,24.0
2020-10-20,24.19
2020-10-19,23.82
2020-10-16,24.2
2020-10-15,24.21
2020-10-14,23.74
2020-10-13,24.97
2020-10-12,25.83
2020-10-09,25.38
2020-10-08,25.33
2020-10-07,24.92
2020-10-06,24.41
2020-10-05,24.6
2020-10-02,24.18
2020-10-01,24.07
2020-09-30,24.1
2020-09-29,23.85
2020-09-28,24.17
2020-09-25,23.48
2020-09-24,23.46
2020-09-23,23.22
2020-09-22,23.94
2020-09-21,24.51
2020-09-18,25.24
2020-09-17,25.35
2020-09-16,25.61
2020-09-15,25.28
2020-09-14,25.81
2020-09-11,25.52
2020-09-10,25.16
2020-09-09,25.61
2020-09-08,25.36
2020-09-04,26.54
2020-09-03,25.49
2020-09-02,26.06
2020-09-01,25.73
2020-08-31,25.73
2020-08-28,26.28
2020-08-27,26.13
2020-08-26,25.58
2020-08-25,26.0
2020-08-24,25.74
2020-08-21,25.01
2020-08-20,25.11
2020-08-19,25.4
2020-08-18,25.51
2020-08-17,25.87
2020-08-14,26.47
2020-08-13,26.4
2020-08-12,26.72
2020-08-11,27.03
2020-08-10,26.48
2020-08-07,26.09
2020-08-06,25.41
2020-08-05,25.51
2020-08-04,24.99
2020-08-03,24.95
2020-07-31,24.84
2020-07-30,24.91
2020-07-29,25.25
2020-07-28,24.39
2020-07-27,24.19
2020-07-24,24.34
2020-07-23,24.74
2020-07-22,24.27
2020-07-21,24.4
2020-07-20,23.56
2020-07-17,23.25
2020-07-16,23.85
2020-07-15,24.66
2020-07-14,24.41
2020-07-13,24.16
2020-07-10,24.04
2020-07-09,22.83
2020-07-08,23.14
2020-07-07,23.03
2020-07-06,23.68
2020-07-02,23.31
2020-07-01,23.31
2020-06-30,23.7
2020-06-29,23.49
2020-06-26,23.07
2020-06-25,24.18
2020-06-24,23.7
2020-06-23,24.68
2020-06-22,24.74
2020-06-19,24.98
2020-06-18,25.22
2020-06-17,24.8
2020-06-16,25.77
