date,price
2021-02-18,216.0
2021-02-17,215.75
2021-02-16,216.5001
2021-02-13,211.09
2021-02-12,210.9999
2021-02-11,210.68
2021-02-10,211.6
2021-02-09,214.89
2021-02-08,211.81
2021-02-06,207.8
2021-02-05,207.55
2021-02-04,210.66
2021-02-03,207.5
2021-02-02,201.89
2021-02-01,196.7
2021-01-30,194.1
2021-01-29,194.15
2021-01-28,196.25
2021-01-27,192.18
2021-01-26,202.5
2021-01-25,203.4
2021-01-23,206.5
2021-01-22,206.0
2021-01-21,207.14
2021-01-20,212.53
2021-01-19,210.8
2021-01-16,204.31
2021-01-15,204.51
2021-01-14,210.65
2021-01-13,207.55
2021-01-12,208.14
2021-01-11,206.61
2021-01-09,209.56
2021-01-08,209.9
2021-01-07,211.55
2021-01-06,211.39
2021-01-05,211.0
2021-01-04,202.84
2021-01-01,214.02
2020-12-31,213.9
2020-12-30,216.71
2020-12-29,216.1
2020-12-28,216.4
2020-12-24,216.75
2020-12-23,219.87
2020-12-22,218.95
2020-12-21,218.99
2020-12-19,220.67
2020-12-18,219.9
2020-12-17,222.0
2020-12-16,227.24
2020-12-15,229.7
2020-12-14,229.05
2020-12-12,230.11
2020-12-11,230.08
2020-12-10,236.5
2020-12-09,231.8
2020-12-08,237.01
2020-12-07,238.2
2020-12-05,231.95
2020-12-04,232.68
2020-12-03,238.4
2020-12-02,225.65
2020-12-01,213.3
2020-11-30,211.3
2020-11-27,216.5
2020-11-25,217.92
2020-11-24,219.39
2020-11-23,214.22
2020-11-21,199.2
2020-11-20,199.13
2020-11-19,201.85
2020-11-18,201.19
2020-11-17,214.75
2020-11-16,201.9
2020-11-14,187.6
2020-11-13,187.65
2020-11-12,176.74
2020-11-11,181.0
2020-11-10,191.4999
2020-11-09,183.37
2020-11-07,157.75
2020-11-06,157.74
2020-11-05,156.49
2020-11-04,151.7899
2020-11-03,154.7
2020-11-02,149.0
2020-10-30,144.38
2020-10-29,147.15
2020-10-28,149.05
2020-10-27,153.91
2020-10-26,160.1
2020-10-23,167.25
2020-10-22,169.0
2020-10-21,163.61
2020-10-20,167.32
2020-10-19,168.15
2020-10-16,166.72
2020-10-15,164.44
2020-10-14,163.5
2020-10-13,162.39
2020-10-12,167.35
2020-10-09,167.69
2020-10-08,169.0
2020-10-07,164.79
2020-10-06,160.0
2020-10-05,170.94
2020-10-02,166.8
2020-10-01,166.51
2020-09-30,169.1
2020-09-29,164.3
2020-09-28,166.5
2020-09-25,158.1
2020-09-24,147.0
2020-09-23,150.25
2020-09-22,156.26
2020-09-21,156.8
2020-09-18,161.82
2020-09-17,168.1
2020-09-16,167.51
2020-09-15,163.05
2020-09-14,165.32
2020-09-11,160.0
2020-09-10,158.63
2020-09-09,161.48
2020-09-08,159.94
2020-09-04,170.85
2020-09-03,168.08
2020-09-02,174.91
2020-09-01,172.23
2020-08-31,172.11
2020-08-28,175.85
2020-08-27,175.02
2020-08-26,172.15
2020-08-25,174.03
2020-08-24,178.5
2020-08-21,167.79
2020-08-20,169.6
2020-08-19,169.51
2020-08-18,169.95
2020-08-17,172.43
2020-08-14,178.09
2020-08-13,175.2
2020-08-12,175.79
2020-08-11,180.39
2020-08-10,178.4
2020-08-07,170.07
2020-08-06,172.0
2020-08-05,175.6
2020-08-04,164.96
2020-08-03,162.29
2020-07-31,157.95
2020-07-30,163.1
2020-07-29,165.5
2020-07-28,170.7
2020-07-27,170.15
2020-07-24,174.15
2020-07-23,176.55
2020-07-22,179.12
2020-07-21,179.2
2020-07-20,174.85
2020-07-17,176.33
2020-07-16,178.5
2020-07-15,186.28
2020-07-14,182.9
2020-07-13,177.3
2020-07-10,178.35
2020-07-09,173.25
2020-07-08,180.77
2020-07-07,179.34
2020-07-06,187.1
2020-07-02,181.1
2020-07-01,181.45
2020-06-30,180.74
2020-06-29,191.68
2020-06-26,169.51
2020-06-25,174.19
2020-06-24,175.3
2020-06-23,185.51
2020-06-22,187.8
2020-06-19,185.66
2020-06-18,194.95
2020-06-17,189.25
2020-06-16,194.2
2020-06-15,195.3
2020-06-12,189.35
2020-06-11,174.85
2020-06-10,196.2
2020-06-09,215.85
2020-06-08,239.4
2020-06-05,206.8
2020-06-04,184.39
2020-06-03,178.3
2020-06-02,153.98
2020-06-01,149.55
2020-05-29,146.82
2020-05-28,147.2
2020-05-27,156.75
2020-05-26,144.7
2020-05-22,137.26
2020-05-21,140.1
2020-05-20,133.49
2020-05-19,131.3
2020-05-18,136.0
2020-05-15,119.8501
2020-05-14,122.75
2020-05-13,122.9
2020-05-12,124.35
2020-05-11,128.61
2020-05-08,132.9
2020-05-07,129.6
2020-05-06,121.7
2020-05-05,126.6
2020-05-04,131.35
2020-05-01,133.86
2020-04-30,139.8
2020-04-29,140.95
2020-04-28,130.8499
2020-04-27,129.28
2020-04-24,129.08
2020-04-23,136.2
2020-04-22,134.75
2020-04-21,138.0
2020-04-20,143.99
2020-04-17,153.14
2020-04-16,146.0
2020-04-15,142.75
2020-04-14,144.25
2020-04-13,147.99
2020-04-09,155.43
2020-04-08,149.2001
2020-04-07,144.45
2020-04-06,147.91
2020-04-03,122.72
2020-04-02,124.35
2020-04-01,132.82
2020-03-31,146.5
2020-03-30,153.07
2020-03-27,157.5
2020-03-26,185.0
2020-03-25,168.4199
2020-03-24,135.63
2020-03-23,110.7
2020-03-20,94.5
2020-03-19,94.85
2020-03-18,104.45
2020-03-17,112.3
2020-03-16,132.86
2020-03-13,165.01
2020-03-12,150.37
2020-03-11,189.0
2020-03-10,225.31
2020-03-09,233.65
2020-03-07,259.0
