date,price
2021-02-18,202.01
2021-02-17,202.2
2021-02-16,203.3
2021-02-12,197.77
2021-02-11,198.22
2021-02-10,197.1001
2021-02-09,197.28
2021-02-08,197.85
2021-02-05,193.0
2021-02-04,191.8999
2021-02-03,191.67
2021-02-02,192.99
2021-02-01,184.12
2021-01-30,182.11
2021-01-29,182.84
2021-01-28,185.5
2021-01-27,179.15
2021-01-26,186.7
2021-01-25,187.2
2021-01-22,192.29
2021-01-21,192.59
2021-01-20,193.0
2021-01-19,194.06
2021-01-16,194.45
2021-01-15,194.28
2021-01-14,198.0
2021-01-13,196.78
2021-01-12,198.0
2021-01-11,194.43
2021-01-08,194.01
2021-01-07,194.47
2021-01-06,194.77
2021-01-05,182.5
2021-01-04,182.15
2020-12-31,181.8
2020-12-30,180.04
2020-12-29,176.65
2020-12-28,178.37
2020-12-24,179.56
2020-12-23,178.55
2020-12-22,176.63
2020-12-21,179.9
2020-12-19,180.96
2020-12-18,180.95
2020-12-17,179.17
2020-12-16,179.5
2020-12-15,181.8
2020-12-14,178.87
2020-12-11,179.04
2020-12-10,178.85
2020-12-09,180.25
2020-12-08,179.95
2020-12-07,178.78
2020-12-05,182.4
2020-12-04,181.81
2020-12-03,174.63
2020-12-02,173.87
2020-12-01,173.66
2020-11-30,174.0
2020-11-27,175.0
2020-11-25,174.63
2020-11-24,177.09
2020-11-23,175.6
2020-11-20,171.69
2020-11-19,170.63
2020-11-18,172.74
2020-11-17,171.5
2020-11-16,173.02
2020-11-14,171.71
2020-11-13,171.8
2020-11-12,169.13
2020-11-11,169.75
2020-11-10,173.0
2020-11-09,171.44
2020-11-07,161.55
2020-11-06,161.3
2020-11-05,161.5501
2020-11-04,155.5
2020-11-03,169.89
2020-11-02,163.4
2020-10-30,157.31
2020-10-29,153.0
2020-10-28,151.8
2020-10-27,157.6
2020-10-26,162.83
2020-10-23,169.02
2020-10-22,170.0
2020-10-21,166.89
2020-10-20,169.97
2020-10-19,168.85
2020-10-16,168.5001
2020-10-15,165.04
2020-10-14,163.7
2020-10-13,161.65
2020-10-12,163.0
2020-10-09,159.4
2020-10-08,157.5
2020-10-07,154.75
2020-10-06,151.2
2020-10-05,153.88
2020-10-02,149.22
2020-10-01,146.41
2020-09-30,149.5
2020-09-29,148.1
2020-09-28,148.0
2020-09-25,144.17
2020-09-24,145.74
2020-09-23,143.75
2020-09-22,147.15
2020-09-21,145.58
2020-09-18,152.88
2020-09-17,154.01
2020-09-16,151.23
2020-09-15,148.74
2020-09-14,153.57
2020-09-11,153.7
2020-09-10,149.9
2020-09-09,152.88
2020-09-08,148.0
2020-09-04,148.65
2020-09-03,145.25
2020-09-02,149.5
2020-09-01,146.25
2020-08-31,142.5
2020-08-28,144.0
2020-08-27,143.55
2020-08-26,141.98
2020-08-25,141.14
2020-08-24,141.68
2020-08-21,138.43
2020-08-20,137.5
2020-08-19,137.3
2020-08-18,138.65
2020-08-17,138.74
2020-08-14,139.92
2020-08-13,140.98
2020-08-12,142.0
2020-08-11,143.25
2020-08-10,141.6
2020-08-07,134.98
2020-08-06,134.3
2020-08-05,135.0
2020-08-04,131.93
2020-08-03,131.78
2020-07-31,132.6
2020-07-30,137.49
2020-07-29,140.67
2020-07-28,138.6
2020-07-27,140.39
2020-07-24,137.58
2020-07-23,137.2
2020-07-22,137.0
2020-07-21,136.4999
2020-07-20,134.78
2020-07-17,137.0
2020-07-16,138.49
2020-07-15,139.5
2020-07-14,138.2
2020-07-13,131.11
2020-07-10,127.8
2020-07-09,126.28
2020-07-08,128.27
2020-07-07,127.12
2020-07-06,129.4
2020-07-02,127.76
2020-07-01,126.55
2020-06-30,127.06
2020-06-29,125.9
2020-06-26,122.15
2020-06-25,124.99
2020-06-24,122.2
2020-06-23,125.7
2020-06-22,126.7
2020-06-19,126.6
2020-06-18,128.1
2020-06-17,127.5
2020-06-16,131.0
2020-06-15,125.0
2020-06-12,122.85
2020-06-11,123.99
2020-06-10,130.1701
2020-06-09,134.19
2020-06-08,137.12
2020-06-05,135.29
2020-06-04,128.96
2020-06-03,127.3
2020-06-02,123.85
2020-06-01,120.0
2020-05-29,120.34
2020-05-28,121.38
2020-05-27,122.95
2020-05-26,117.89
2020-05-22,112.5
2020-05-21,114.2
2020-05-20,115.53
2020-05-19,112.05
2020-05-18,115.01
2020-05-15,107.51
2020-05-14,106.19
2020-05-13,104.54
2020-05-12,104.03
2020-05-11,108.55
2020-05-08,112.18
2020-05-07,107.96
2020-05-06,107.46
2020-05-05,108.84
2020-05-04,107.69
2020-05-01,111.2
2020-04-30,115.0
2020-04-29,120.12
2020-04-28,115.73
2020-04-27,115.09
2020-04-24,114.0
2020-04-23,112.25
2020-04-22,110.64
2020-04-21,110.4999
2020-04-20,114.97
2020-04-17,116.03
2020-04-16,116.49
2020-04-15,111.08
2020-04-14,116.48
2020-04-13,114.41
2020-04-09,125.86
2020-04-08,127.78
2020-04-07,121.87
2020-04-06,120.0
2020-04-03,114.5
2020-04-02,116.4
2020-04-01,112.0
2020-03-31,115.0
2020-03-30,111.9
2020-03-27,105.17
2020-03-26,110.89
2020-03-25,104.5
2020-03-24,100.0
2020-03-23,91.85
2020-03-20,95.0
2020-03-19,101.01
2020-03-18,103.5
2020-03-17,95.01
2020-03-16,97.0
2020-03-13,97.55
2020-03-12,91.0
2020-03-11,101.02
2020-03-10,104.57
2020-03-09,106.89
2020-03-06,120.06
2020-03-05,122.39
2020-03-04,126.38
2020-03-03,124.0
2020-03-02,127.6
2020-02-29,125.25
2020-02-28,126.0
2020-02-27,121.8
2020-02-26,128.2199
2020-02-25,129.22
2020-02-24,132.57
2020-02-22,137.2699
2020-02-21,137.04
2020-02-20,136.73
2020-02-19,136.86
2020-02-18,136.58
2020-02-15,137.95
2020-02-14,138.1
2020-02-13,139.72
2020-02-12,139.25
2020-02-11,136.19
2020-02-10,134.25
2020-02-08,133.3
2020-02-07,133.35
2020-02-06,137.4
2020-02-05,137.44
2020-02-04,133.53
2020-02-03,129.76
2020-02-01,131.1201
2020-01-31,131.11
2020-01-30,136.5
2020-01-29,135.75
2020-01-28,136.76
2020-01-27,135.88
2020-01-25,140.01
2020-01-24,140.37
2020-01-23,142.75
2020-01-22,142.63
2020-01-21,145.76
2020-01-17,147.7539
2020-01-16,148.0
2020-01-15,145.57
2020-01-14,146.82
2020-01-13,147.0
2020-01-10,145.9
2020-01-09,147.32
2020-01-08,147.68
2020-01-07,144.4
2020-01-06,148.16
2020-01-03,148.44
2020-01-02,150.5
2019-12-31,147.68
2019-12-30,147.52
