date,price
2021-02-17,52.98
2021-02-16,52.65
2021-02-13,53.4
2021-02-12,53.45
2021-02-11,53.47
2021-02-10,52.82
2021-02-09,52.72
2021-02-08,51.86
2021-02-06,51.11
2021-02-05,51.11
2021-02-04,51.4607
2021-02-03,50.47
2021-02-02,50.73
2021-02-01,50.15
2021-01-30,49.6
2021-01-29,49.44
2021-01-28,51.23
2021-01-27,49.5
2021-01-26,49.71
2021-01-25,48.97
2021-01-23,48.86
2021-01-22,48.55
2021-01-21,49.13
2021-01-20,49.18
2021-01-19,48.83
2021-01-15,48.55
2021-01-14,49.63
2021-01-13,50.15
2021-01-12,50.1
2021-01-11,51.51
2021-01-09,51.6
2021-01-08,51.64
2021-01-07,50.67
2021-01-06,50.56
2021-01-05,49.75
2021-01-04,50.36
2020-12-31,52.4
2020-12-30,51.21
2020-12-29,51.56
2020-12-28,51.11
2020-12-24,50.45
2020-12-23,50.035
2020-12-22,50.02
2020-12-21,50.35
2020-12-19,51.2
2020-12-18,51.16
2020-12-17,51.34
2020-12-16,51.3
2020-12-15,51.6
2020-12-14,51.0
2020-12-11,50.85
2020-12-10,50.7
2020-12-09,51.27
2020-12-08,51.3
2020-12-07,51.93
2020-12-04,51.9
2020-12-03,51.61
2020-12-02,51.38
2020-12-01,51.02
2020-11-30,50.7
2020-11-27,51.91
2020-11-26,51.6
2020-11-25,51.9
2020-11-24,52.63
2020-11-23,50.0
2020-11-21,49.17
2020-11-20,49.1
2020-11-19,49.48
2020-11-18,49.14
2020-11-17,49.78
2020-11-16,49.52
2020-11-14,49.0499
2020-11-13,49.05
2020-11-12,48.04
2020-11-11,47.67
2020-11-10,48.0
2020-11-09,47.18
2020-11-06,44.53
2020-11-05,44.74
2020-11-04,43.7
2020-11-03,42.98
2020-11-02,41.43
2020-10-30,42.4
2020-10-29,42.6
2020-10-28,41.8
2020-10-27,43.9
2020-10-26,44.0
2020-10-23,45.06
2020-10-22,45.45
2020-10-21,44.5
2020-10-20,44.25
2020-10-19,44.65
2020-10-16,45.47
2020-10-15,45.112
2020-10-14,45.38
2020-10-13,46.08
2020-10-12,45.96
2020-10-09,45.1599
2020-10-08,45.38
2020-10-07,45.0
