date,price
2021-02-17,191.14
2021-02-16,189.41
2021-02-12,184.38
2021-02-11,182.71
2021-02-10,185.2
2021-02-09,193.09
2021-02-08,191.01
2021-02-05,191.39
2021-02-04,193.53
2021-02-03,191.99
2021-02-02,191.73
2021-02-01,187.44
2021-01-29,180.0208
2021-01-28,182.47
2021-01-27,178.79
2021-01-26,183.75
2021-01-25,184.37
2021-01-22,184.04
2021-01-21,186.2
2021-01-20,189.83
2021-01-19,192.2
2021-01-15,191.82
2021-01-14,194.48
2021-01-13,198.35
2021-01-12,201.38
2021-01-11,198.94
2021-01-08,199.68
2021-01-07,198.81
2021-01-06,193.5
2021-01-05,179.12
2021-01-04,179.3
2020-12-31,182.05
2020-12-30,178.0
2020-12-29,178.86
2020-12-28,180.39
2020-12-24,178.48
2020-12-23,180.34
2020-12-22,181.0
2020-12-21,181.95
2020-12-19,186.77
2020-12-18,185.0
2020-12-17,184.94
2020-12-16,181.9
2020-12-15,181.39
2020-12-14,177.55
2020-12-11,180.27
2020-12-10,182.4
2020-12-09,182.1114
2020-12-08,184.26
2020-12-07,183.18
2020-12-04,184.03
2020-12-03,181.71
2020-12-02,181.88
2020-12-01,179.16
2020-11-30,175.03
2020-11-27,174.77
2020-11-26,174.81
2020-11-25,174.79
2020-11-24,173.18
2020-11-23,168.78
2020-11-20,167.47
2020-11-19,164.81
2020-11-18,165.78
2020-11-17,167.58
2020-11-16,168.77
2020-11-13,165.96
2020-11-12,161.0
2020-11-11,165.81
2020-11-10,168.51
2020-11-09,162.0
2020-11-06,150.59
2020-11-05,150.5
2020-11-04,150.5
2020-11-03,153.48
2020-11-02,152.28
2020-10-30,149.7055
2020-10-29,149.99
2020-10-28,151.0
2020-10-27,158.58
2020-10-26,160.16
2020-10-23,163.86
2020-10-22,163.48
2020-10-21,164.59
2020-10-20,163.12
2020-10-19,163.34
2020-10-16,167.99
2020-10-15,167.09
2020-10-14,166.7
2020-10-13,167.5
2020-10-12,170.0
2020-10-09,169.41
2020-10-08,170.9
2020-10-07,169.5
