date,price
2021-02-17,49.36
2021-02-16,49.09
2021-02-12,47.1501
2021-02-11,46.29
2021-02-10,47.25
2021-02-09,46.92
2021-02-08,46.89
2021-02-05,44.35
2021-02-04,44.03
2021-02-03,43.21
2021-02-02,41.39
2021-02-01,40.7
2021-01-29,40.03
2021-01-28,41.08
2021-01-27,40.44
2021-01-26,41.75
2021-01-25,42.59
2021-01-23,42.87
2021-01-22,42.75
2021-01-21,43.1799
2021-01-20,45.37
2021-01-19,46.02
2021-01-16,45.09
2021-01-15,45.06
2021-01-14,48.18
2021-01-13,47.03
2021-01-12,47.41
2021-01-11,45.76
2021-01-09,44.74
2021-01-08,44.76
2021-01-07,44.7
2021-01-06,43.6
2021-01-05,41.72
2021-01-04,39.57
2021-01-01,39.98
2020-12-31,39.91
2020-12-30,40.01
2020-12-29,39.07
2020-12-28,39.39
2020-12-24,39.49
2020-12-23,40.09
2020-12-22,39.05
2020-12-21,40.24
2020-12-19,41.0
2020-12-18,41.2
2020-12-17,41.9701
2020-12-16,42.31
2020-12-15,42.8
2020-12-14,42.3
2020-12-11,43.43
2020-12-10,44.25
2020-12-09,42.7
2020-12-08,42.68
2020-12-07,42.6
2020-12-05,44.24
2020-12-04,44.02
2020-12-03,41.25
2020-12-02,40.03
2020-12-01,39.0
2020-11-30,39.8
2020-11-27,42.78
2020-11-25,43.63
2020-11-24,44.44
2020-11-23,42.9499
2020-11-21,39.7
2020-11-20,39.52
2020-11-19,39.3
2020-11-18,39.18
2020-11-17,38.6
2020-11-16,38.1
2020-11-14,35.23
2020-11-13,35.3
2020-11-12,34.1
2020-11-11,35.28
2020-11-10,35.7
2020-11-09,33.33
2020-11-06,29.22
2020-11-05,30.1
2020-11-04,30.4
2020-11-03,29.42
2020-11-02,30.35
2020-10-30,28.6
2020-10-29,29.15
2020-10-28,29.49
2020-10-27,30.2
2020-10-26,30.36
2020-10-23,32.5
2020-10-22,31.99
2020-10-21,30.63
2020-10-20,32.48
2020-10-19,32.97
2020-10-16,33.77
2020-10-15,35.7
2020-10-14,34.7
2020-10-13,34.89
2020-10-12,35.55
2020-10-09,35.25
2020-10-08,35.65
2020-10-07,34.33
2020-10-06,33.2999
2020-10-05,34.3
2020-10-02,33.07
2020-10-01,32.4
2020-09-30,32.84
2020-09-29,32.76
2020-09-28,33.81
2020-09-25,33.7
2020-09-24,33.75
2020-09-23,33.0
2020-09-22,34.3
2020-09-21,34.55
2020-09-18,35.87
2020-09-17,35.95
2020-09-16,35.14
2020-09-15,33.83
2020-09-14,33.52
2020-09-11,33.15
2020-09-10,33.0999
2020-09-09,34.46
2020-09-08,34.0
2020-09-04,36.0
2020-09-03,35.82
2020-09-02,36.57
2020-09-01,37.16
2020-08-31,37.89
2020-08-28,38.38
2020-08-27,38.3
2020-08-26,37.62
2020-08-25,38.9
2020-08-24,38.9
2020-08-21,38.3
2020-08-20,38.77
2020-08-19,39.65
2020-08-18,40.33
2020-08-17,40.6
2020-08-14,40.82
2020-08-13,40.63
2020-08-12,41.7
2020-08-11,40.04
2020-08-10,39.55
2020-08-07,38.3
2020-08-06,38.39
2020-08-05,38.15
2020-08-04,37.6401
2020-08-03,36.71
2020-07-31,37.47
2020-07-30,37.85
2020-07-29,40.3
2020-07-28,39.1
2020-07-27,39.8999
2020-07-24,40.28
2020-07-23,40.45
2020-07-22,40.6
2020-07-21,41.69
2020-07-20,39.33
2020-07-17,40.01
2020-07-16,41.58
2020-07-15,41.63
2020-07-14,41.94
2020-07-13,39.66
2020-07-10,39.68
2020-07-09,38.6
2020-07-08,41.25
2020-07-07,40.7999
2020-07-06,41.8
2020-07-02,42.0
2020-07-01,40.85
2020-06-30,41.8
2020-06-29,41.4001
2020-06-26,40.4
2020-06-25,42.05
2020-06-24,41.0
2020-06-23,43.65
2020-06-22,43.62
2020-06-19,43.6
2020-06-18,44.75
2020-06-17,44.0
2020-06-16,44.11
2020-06-15,43.41
2020-06-12,43.42
2020-06-11,42.1
2020-06-10,45.32
2020-06-09,48.44
2020-06-08,50.5
2020-06-05,48.53
2020-06-04,44.5
2020-06-03,45.06
2020-06-02,44.28
2020-06-01,43.21
2020-05-29,42.4
2020-05-28,43.15
2020-05-27,44.8
2020-05-26,43.68
2020-05-22,43.55
2020-05-21,43.73
2020-05-20,44.18
2020-05-19,42.75
2020-05-18,43.61
2020-05-15,41.03
2020-05-14,40.05
2020-05-13,40.34
2020-05-12,41.12
2020-05-11,42.35
2020-05-08,43.18
2020-05-07,42.46
2020-05-06,40.34
2020-05-05,41.48
2020-05-04,40.59
2020-05-01,39.15
2020-04-30,41.3
2020-04-29,43.56
2020-04-28,38.48
2020-04-27,37.15
2020-04-24,36.2
2020-04-23,36.2
2020-04-22,34.96
2020-04-21,33.55
2020-04-20,34.95
2020-04-17,35.0
2020-04-16,32.35
2020-04-15,32.0
2020-04-14,34.2699
2020-04-13,34.65
2020-04-09,35.3
2020-04-08,36.88
2020-04-07,33.1
2020-04-06,33.0
2020-04-03,32.8
2020-04-02,33.87
2020-04-01,30.24
2020-03-31,29.81
2020-03-30,29.42
2020-03-27,29.08
2020-03-26,32.0
2020-03-25,31.05
2020-03-24,30.57
2020-03-23,25.25
2020-03-20,26.85
2020-03-19,25.6
2020-03-18,23.37
2020-03-17,25.99
2020-03-16,27.0
2020-03-13,31.18
2020-03-12,28.2
2020-03-11,32.66
2020-03-10,34.31
2020-03-09,34.8
2020-03-07,45.45
2020-03-06,45.44
2020-03-05,47.7
2020-03-04,49.4
2020-03-03,48.24
2020-03-02,49.23
2020-02-29,48.7001
2020-02-28,48.9
2020-02-27,47.05
2020-02-26,51.17
2020-02-25,54.0
2020-02-24,56.38
2020-02-21,58.2
2020-02-20,58.72
2020-02-19,59.26
2020-02-18,58.3
2020-02-14,58.5001
2020-02-13,58.82
2020-02-12,59.88
2020-02-11,58.71
2020-02-10,57.8
2020-02-07,57.82
2020-02-06,58.59
2020-02-05,58.78
2020-02-04,56.5
2020-02-03,58.81
2020-01-31,59.43
2020-01-30,60.89
2020-01-29,60.49
2020-01-28,61.18
2020-01-27,61.04
2020-01-25,62.63
2020-01-24,62.62
2020-01-23,63.15
2020-01-22,62.9
2020-01-21,63.93
2020-01-17,64.97
2020-01-16,65.07
2020-01-15,64.81
2020-01-14,65.14
2020-01-13,65.13
2020-01-11,65.37
2020-01-10,65.42
2020-01-09,66.0
2020-01-08,64.94
2020-01-07,67.5
