date,price
2021-02-18,46.26
2021-02-17,46.25
2021-02-16,46.46
2021-02-13,47.26
2021-02-12,47.29
2021-02-11,47.53
2021-02-10,46.86
2021-02-09,46.01
2021-02-08,49.0
2021-02-06,49.5
2021-02-05,48.55
2021-02-04,47.39
2021-02-03,45.86
2021-02-02,45.61
2021-02-01,45.58
2021-01-30,44.42
2021-01-29,44.4
2021-01-28,44.9
2021-01-27,46.1
2021-01-26,45.09
2021-01-25,45.04
2021-01-23,44.77
2021-01-22,44.77
2021-01-21,45.23
2021-01-20,45.34
2021-01-19,45.45
2021-01-16,45.12
2021-01-15,45.29
2021-01-14,45.28
2021-01-13,45.53
2021-01-12,45.86
2021-01-11,45.33
2021-01-09,45.2
2021-01-08,45.14
2021-01-07,44.9
2021-01-06,44.4
2021-01-05,43.98
2021-01-04,43.81
2021-01-01,44.76
2020-12-31,44.78
2020-12-30,44.5
2020-12-29,44.54
2020-12-28,44.9
2020-12-24,44.41
2020-12-23,44.39
2020-12-22,44.9
2020-12-21,44.55
2020-12-19,45.45
2020-12-18,45.45
2020-12-17,44.98
2020-12-16,44.9
2020-12-15,44.62
2020-12-14,44.26
2020-12-12,44.29
2020-12-11,44.29
2020-12-10,44.57
2020-12-09,44.5
2020-12-08,44.36
2020-12-07,44.18
2020-12-05,44.2
2020-12-04,44.25
2020-12-03,44.15
2020-12-02,43.89
2020-12-01,43.54
2020-11-30,43.08
2020-11-27,42.75
2020-11-26,42.5
2020-11-25,42.64
2020-11-24,42.8
2020-11-23,41.73
2020-11-21,40.86
2020-11-20,40.88
2020-11-19,40.9
2020-11-18,41.27
2020-11-17,41.82
2020-11-16,42.29
2020-11-14,41.39
2020-11-13,41.38
2020-11-12,41.6
2020-11-11,39.28
2020-11-10,38.75
2020-11-09,38.4
2020-11-07,37.6
2020-11-06,37.59
2020-11-05,37.25
2020-11-04,36.55
2020-11-03,36.81
2020-11-02,36.36
2020-10-30,36.08
2020-10-29,35.57
2020-10-28,35.85
2020-10-27,36.89
2020-10-26,37.61
2020-10-23,38.82
2020-10-22,38.87
2020-10-21,38.95
2020-10-20,39.28
2020-10-19,39.59
2020-10-16,40.1
2020-10-15,40.01
2020-10-14,39.99
2020-10-13,39.87
2020-10-12,40.42
2020-10-09,39.92
2020-10-08,39.94
2020-10-07,39.35
2020-10-06,38.6
2020-10-05,38.4699
2020-10-02,38.09
2020-10-01,38.65
2020-09-30,39.57
2020-09-29,39.2
2020-09-28,39.72
2020-09-25,38.47
2020-09-24,38.06
2020-09-23,38.26
2020-09-22,39.5
2020-09-21,39.62
2020-09-18,39.8
2020-09-17,40.26
2020-09-16,40.42
2020-09-15,40.7
2020-09-14,40.35
2020-09-11,39.9
2020-09-10,39.6
2020-09-09,40.1
2020-09-08,39.95
2020-09-04,40.64
2020-09-03,40.91
2020-09-02,42.5
2020-09-01,42.2
2020-08-31,42.15
2020-08-28,42.18
2020-08-27,42.35
2020-08-26,42.37
2020-08-25,41.96
2020-08-24,42.23
2020-08-21,42.24
2020-08-20,42.35
2020-08-19,41.77
2020-08-18,42.08
2020-08-17,42.1001
2020-08-14,42.45
2020-08-13,42.77
2020-08-12,45.0
2020-08-11,47.4
2020-08-10,47.85
2020-08-07,47.6
2020-08-06,47.75
2020-08-05,47.3
2020-08-04,47.6
2020-08-03,47.13
2020-07-31,47.05
2020-07-30,46.47
2020-07-29,46.68
2020-07-28,46.4
2020-07-27,47.22
2020-07-24,46.15
2020-07-23,47.95
2020-07-22,46.82
2020-07-21,47.4
2020-07-20,46.97
2020-07-17,46.7
2020-07-16,45.91
2020-07-15,46.4
2020-07-14,46.38
2020-07-13,45.98
2020-07-10,46.79
2020-07-09,46.8
2020-07-08,45.92
2020-07-07,45.88
2020-07-06,46.52
2020-07-02,45.66
2020-07-01,46.01
2020-06-30,46.65
2020-06-29,46.4
2020-06-26,46.28
2020-06-25,45.5
2020-06-24,44.64
2020-06-23,45.52
2020-06-22,45.45
2020-06-19,44.99
2020-06-18,45.84
2020-06-17,46.17
2020-06-16,46.73
2020-06-15,45.9
2020-06-12,45.25
2020-06-11,44.2
2020-06-10,47.27
2020-06-09,48.07
2020-06-08,47.85
2020-06-05,47.91
2020-06-04,46.75
2020-06-03,47.1
2020-06-02,46.85
2020-06-01,46.3
2020-05-29,47.64
2020-05-28,45.65
2020-05-27,45.84
2020-05-26,44.99
2020-05-22,44.9
2020-05-21,44.7
2020-05-20,45.5
2020-05-19,44.9
2020-05-18,45.35
2020-05-15,44.18
2020-05-14,43.85
2020-05-13,42.93
2020-05-12,42.6
2020-05-11,44.0
2020-05-08,43.12
2020-05-07,41.66
2020-05-06,41.0
2020-05-05,41.5499
2020-05-04,41.35
2020-05-01,41.04
2020-04-30,42.25
2020-04-29,43.5
2020-04-28,42.9
2020-04-27,43.15
2020-04-24,42.52
2020-04-23,41.5
2020-04-22,41.6
2020-04-21,40.79
2020-04-20,42.67
2020-04-17,42.26
2020-04-16,42.6
2020-04-15,41.3
2020-04-14,42.8
2020-04-13,41.44
2020-04-09,41.49
2020-04-08,42.02
2020-04-07,40.7499
2020-04-06,41.4
2020-04-03,38.9
2020-04-02,39.53
2020-04-01,38.55
2020-03-31,38.75
2020-03-30,40.12
2020-03-27,38.67
2020-03-26,40.64
2020-03-25,37.7
2020-03-24,38.24
2020-03-23,35.5
2020-03-20,35.49
2020-03-19,37.65
2020-03-18,38.2
2020-03-17,34.3
2020-03-16,34.59
2020-03-13,36.88
2020-03-12,32.51
2020-03-11,37.1
2020-03-10,39.4
2020-03-09,38.25
2020-03-07,39.5
2020-03-06,39.55
2020-03-05,39.8
2020-03-04,41.31
2020-03-03,39.8
2020-03-02,41.0
2020-02-29,40.33
2020-02-28,40.33
2020-02-27,39.97
2020-02-26,41.92
2020-02-25,43.2
2020-02-24,44.19
2020-02-22,46.23
2020-02-21,46.33
2020-02-20,46.55
2020-02-19,46.29
2020-02-18,46.65
2020-02-15,46.97
2020-02-14,46.97
2020-02-13,47.28
2020-02-12,47.7
2020-02-11,49.59
2020-02-10,48.95
2020-02-07,48.0
2020-02-06,48.7
2020-02-05,48.5
2020-02-04,47.5
2020-02-03,46.49
2020-02-01,46.0
2020-01-31,46.03
2020-01-30,47.18
2020-01-29,47.0
2020-01-28,47.47
2020-01-27,47.55
2020-01-24,48.84
2020-01-23,49.02
2020-01-22,49.0
2020-01-21,48.75
2020-01-18,48.98
2020-01-17,49.0
2020-01-16,49.15
2020-01-15,48.15
2020-01-14,47.69
2020-01-13,47.96
2020-01-11,47.14
2020-01-10,47.16
2020-01-09,47.32
2020-01-08,47.55
2020-01-07,46.61
2020-01-06,47.72
2020-01-04,47.57
2020-01-03,47.6
2020-01-02,48.45
2020-01-01,48.03
2019-12-31,48.13
2019-12-30,47.585
2019-12-28,47.75
2019-12-27,47.7
2019-12-26,47.85
2019-12-24,47.84
2019-12-23,48.18
2019-12-21,47.45
2019-12-20,47.48
2019-12-19,47.97
2019-12-18,46.7
2019-12-17,46.39
2019-12-16,46.0
2019-12-14,45.34
2019-12-13,45.3
2019-12-12,45.9
2019-12-11,44.45
2019-12-10,44.1
2019-12-09,43.99
2019-12-07,43.84
2019-12-06,43.84
2019-12-05,43.55
2019-12-04,43.87
2019-12-03,44.24
2019-12-02,44.78
2019-11-29,45.31
2019-11-28,45.17
2019-11-27,45.2
2019-11-26,45.29
2019-11-25,45.3
2019-11-23,44.85
2019-11-22,44.86
2019-11-21,44.9
2019-11-20,44.96
2019-11-19,45.31
2019-11-18,45.1
2019-11-16,45.02
2019-11-15,45.01
2019-11-14,44.91
2019-11-13,45.98
2019-11-12,48.4
2019-11-11,48.1
2019-11-09,48.91
2019-11-08,48.93
2019-11-07,48.5899
2019-11-06,48.3
2019-11-05,47.76
2019-11-04,47.52
2019-11-01,47.05
2019-10-31,46.75
2019-10-30,47.42
2019-10-29,47.27
2019-10-28,47.22
2019-10-25,46.93
2019-10-24,46.55
2019-10-23,47.06
2019-10-22,47.24
2019-10-21,47.39
2019-10-18,46.71
2019-10-17,46.95
2019-10-16,46.79
2019-10-15,46.3999
2019-10-14,46.16
2019-10-11,46.6
2019-10-10,46.25
2019-10-09,46.26
2019-10-08,46.33
2019-10-07,47.82
2019-10-04,47.6
2019-10-03,47.0
2019-10-02,46.57
2019-10-01,47.8
2019-09-30,49.55
2019-09-27,48.86
2019-09-26,48.68
2019-09-25,49.6
2019-09-24,49.25
2019-09-23,49.93
2019-09-20,49.58
2019-09-19,49.19
2019-09-18,49.12
2019-09-17,49.48
2019-09-16,49.98
2019-09-13,50.09
2019-09-12,49.93
2019-09-11,50.35
2019-09-10,49.34
2019-09-09,48.7
2019-09-06,48.95
2019-09-05,48.39
2019-09-04,47.25
2019-09-03,46.33
2019-08-30,46.7
2019-08-29,47.18
2019-08-28,46.87
2019-08-27,46.81
2019-08-26,47.1
2019-08-23,46.55
2019-08-22,48.05
2019-08-21,48.95
2019-08-20,47.92
2019-08-19,48.35
2019-08-16,46.98
2019-08-15,46.32
2019-08-14,46.71
2019-08-13,52.99
2019-08-12,51.55
2019-08-09,52.5
2019-08-08,53.0
2019-08-07,52.08
2019-08-06,52.2
2019-08-05,50.1
2019-08-02,53.32
2019-08-01,55.0
2019-07-31,55.17
2019-07-30,56.31
2019-07-29,57.03
2019-07-26,56.36
2019-07-25,56.4
2019-07-24,57.23
2019-07-23,57.84
2019-07-22,57.8
2019-07-19,57.12
2019-07-18,57.47
2019-07-17,57.19
2019-07-16,57.55
2019-07-15,58.05
2019-07-12,57.81
2019-07-11,57.4
2019-07-10,57.13
2019-07-09,56.3
2019-07-08,55.95
2019-07-05,56.5
2019-07-03,56.48
2019-07-02,55.85
2019-07-01,54.85
2019-06-28,54.94
2019-06-27,55.84
2019-06-26,56.69
2019-06-25,56.16
2019-06-24,57.2
2019-06-21,57.05
2019-06-20,57.44
2019-06-19,56.46
2019-06-18,56.1
2019-06-17,55.5
2019-06-14,54.75
2019-06-13,55.76
2019-06-12,55.9
2019-06-11,56.85
2019-06-10,56.47
2019-06-07,55.96
2019-06-06,55.1
2019-06-05,54.7
2019-06-04,53.62
2019-06-03,52.05
2019-05-31,52.01
2019-05-30,52.89
2019-05-29,53.12
2019-05-28,53.9
2019-05-24,54.4299
2019-05-23,54.16
2019-05-22,55.52
2019-05-21,56.52
2019-05-20,56.3
2019-05-17,56.31
2019-05-16,56.3
2019-05-15,53.88
2019-05-14,52.2
2019-05-13,51.06
2019-05-10,53.49
2019-05-09,52.79
2019-05-08,53.5
2019-05-07,53.42
2019-05-06,54.18
2019-05-03,55.0
2019-05-02,54.43
2019-05-01,55.5
2019-04-30,55.95
2019-04-29,56.04
2019-04-26,55.95
2019-04-25,55.7001
2019-04-24,56.52
2019-04-23,56.6
2019-04-22,56.4
2019-04-18,56.33
2019-04-17,56.2
