date,price
2021-02-18,72.37
2021-02-17,72.62
2021-02-16,70.63
2021-02-13,75.7
2021-02-12,75.58
2021-02-11,73.4
2021-02-10,73.68
2021-02-09,73.49
2021-02-08,72.95
2021-02-06,72.25
2021-02-05,72.15
2021-02-04,73.15
2021-02-03,73.49
2021-02-02,72.1
2021-02-01,71.46
2021-01-30,71.6
2021-01-29,71.65
2021-01-28,72.55
2021-01-27,72.15
2021-01-26,74.2
2021-01-25,73.16
2021-01-23,74.12
2021-01-22,74.44
2021-01-21,74.19
2021-01-20,75.3
2021-01-19,75.51
2021-01-16,76.33
2021-01-15,76.26
2021-01-14,75.45
2021-01-13,74.95
2021-01-12,76.25
2021-01-11,76.07
2021-01-09,75.0
2021-01-08,74.98
2021-01-07,73.98
2021-01-06,72.7
2021-01-05,70.51
2021-01-04,70.45
2021-01-01,68.38
2020-12-31,68.35
2020-12-30,67.75
2020-12-29,67.9
2020-12-28,68.09
2020-12-24,67.97
2020-12-23,68.02
2020-12-22,67.22
2020-12-21,68.67
2020-12-19,69.58
2020-12-18,69.4
2020-12-17,69.55
2020-12-16,69.37
2020-12-15,69.93
2020-12-14,69.92
2020-12-12,71.7
2020-12-11,71.7
2020-12-10,72.75
2020-12-09,73.4
2020-12-08,74.0
2020-12-07,73.47
2020-12-05,74.6
2020-12-04,74.21
2020-12-03,72.55
2020-12-02,69.8
2020-12-01,67.65
2020-11-30,67.9
2020-11-27,67.71
2020-11-25,67.77
2020-11-24,68.47
2020-11-23,66.88
2020-11-21,66.39
2020-11-20,66.53
2020-11-19,65.65
2020-11-18,66.35
2020-11-17,67.95
2020-11-16,74.45
2020-11-14,71.15
2020-11-13,71.15
2020-11-12,69.4
2020-11-11,69.9
2020-11-10,70.23
2020-11-09,67.38
2020-11-07,65.0
2020-11-06,65.1
2020-11-05,61.98
2020-11-04,60.55
2020-11-03,59.53
2020-11-02,58.1
2020-10-30,56.1
2020-10-29,55.77
2020-10-28,56.85
2020-10-27,58.12
2020-10-26,59.56
2020-10-23,60.24
2020-10-22,59.5
2020-10-21,59.23
2020-10-20,59.65
2020-10-19,58.95
2020-10-16,59.75
2020-10-15,59.98
2020-10-14,58.45
2020-10-13,59.12
2020-10-12,59.77
2020-10-09,59.65
2020-10-08,60.64
2020-10-07,59.45
2020-10-06,58.22
2020-10-05,58.81
2020-10-02,57.82
2020-10-01,57.83
2020-09-30,58.41
2020-09-29,57.79
2020-09-28,58.24
2020-09-25,57.3
2020-09-24,56.95
2020-09-23,57.35
2020-09-22,58.19
2020-09-21,58.9
2020-09-18,59.69
2020-09-17,58.6
2020-09-16,57.7
2020-09-15,57.05
2020-09-14,57.95
2020-09-11,57.4
2020-09-10,58.15
2020-09-09,59.78
2020-09-08,59.39
2020-09-04,60.35
2020-09-03,60.1
2020-09-02,61.0
2020-09-01,60.3
2020-08-31,62.15
2020-08-28,63.21
2020-08-27,63.4
2020-08-26,62.55
2020-08-25,63.4
2020-08-24,63.87
2020-08-21,63.83
2020-08-20,63.88
2020-08-19,65.25
2020-08-18,65.1
2020-08-17,65.0
2020-08-14,65.5501
2020-08-13,64.7
2020-08-12,64.89
2020-08-11,65.4
2020-08-10,65.65
2020-08-07,64.9
2020-08-06,64.03
2020-08-05,64.4
2020-08-04,65.7
2020-08-03,64.0799
2020-07-31,62.8999
2020-07-30,64.0
2020-07-29,64.0
2020-07-28,63.27
2020-07-27,62.57
2020-07-24,63.06
2020-07-23,64.65
2020-07-22,63.71
