date,price
2021-02-18,96.3
2021-02-17,96.15
2021-02-16,95.25
2021-02-13,92.69
2021-02-12,92.66
2021-02-11,91.65
2021-02-10,92.5
2021-02-09,90.97
2021-02-08,91.5
2021-02-06,89.35
2021-02-05,89.3
2021-02-04,88.88
2021-02-03,89.09
2021-02-02,87.3
2021-02-01,86.46
2021-01-30,85.29
2021-01-29,85.25
2021-01-28,88.8
2021-01-27,88.26
2021-01-26,89.3
2021-01-25,90.9
2021-01-22,91.73
2021-01-21,92.04
2021-01-20,95.38
2021-01-19,94.6
2021-01-16,92.0
2021-01-15,92.09
2021-01-14,95.64
2021-01-13,93.25
2021-01-12,93.34
2021-01-11,91.6
2021-01-09,91.13
2021-01-08,91.08
2021-01-07,90.22
2021-01-06,89.85
2021-01-05,87.25
2021-01-04,84.64
2021-01-01,84.43
2020-12-31,84.38
2020-12-30,85.44
2020-12-29,84.65
2020-12-28,84.92
2020-12-24,85.33
2020-12-23,85.8
2020-12-22,84.34
2020-12-21,86.29
2020-12-19,87.4
2020-12-18,87.35
2020-12-17,88.47
2020-12-16,88.71
2020-12-15,89.4
2020-12-14,89.58
2020-12-12,92.45
2020-12-11,92.2
2020-12-10,93.96
2020-12-09,90.56
2020-12-08,91.75
2020-12-07,90.6
2020-12-05,93.37
2020-12-04,93.04
2020-12-03,89.99
2020-12-02,90.3
2020-12-01,87.35
2020-11-30,87.55
2020-11-27,91.31
2020-11-25,92.27
2020-11-24,95.98
2020-11-23,91.61
2020-11-21,85.75
2020-11-20,85.79
2020-11-19,85.36
2020-11-18,84.28
2020-11-17,87.06
2020-11-16,89.06
2020-11-14,83.05
2020-11-13,83.18
2020-11-12,80.65
2020-11-11,82.48
2020-11-10,83.45
2020-11-09,79.51
2020-11-07,71.29
2020-11-06,71.3
2020-11-05,72.28
2020-11-04,71.58
2020-11-03,72.4
2020-11-02,72.14
2020-10-30,69.62
2020-10-29,68.45
2020-10-28,67.9
2020-10-27,69.12
2020-10-26,70.9
2020-10-23,72.5699
2020-10-22,73.4
2020-10-21,70.75
2020-10-20,71.75
2020-10-19,71.6
2020-10-16,72.91
2020-10-15,73.68
2020-10-14,72.98
2020-10-13,73.59
2020-10-12,74.6
2020-10-09,74.2
2020-10-08,75.7
2020-10-07,74.0
2020-10-06,72.28
2020-10-05,72.69
2020-10-02,71.15
2020-10-01,70.5
2020-09-30,72.19
2020-09-29,72.39
2020-09-28,74.0
2020-09-25,71.8299
2020-09-24,72.3
2020-09-23,71.9
2020-09-22,75.52
2020-09-21,76.28
2020-09-18,78.14
2020-09-17,78.55
2020-09-16,78.95
2020-09-15,76.35
2020-09-14,77.3
2020-09-11,77.65
2020-09-10,78.7
2020-09-09,80.45
2020-09-08,78.5
2020-09-04,81.92
2020-09-03,81.79
2020-09-02,83.31
2020-09-01,83.13
2020-08-31,84.15
2020-08-28,85.5
2020-08-27,85.0
2020-08-26,84.9
2020-08-25,86.3999
2020-08-24,87.27
2020-08-21,85.19
2020-08-20,84.86
2020-08-19,86.2
2020-08-18,87.8
2020-08-17,90.98
2020-08-14,90.45
2020-08-13,90.0
2020-08-12,90.74
2020-08-11,90.09
2020-08-10,89.81
2020-08-07,86.95
2020-08-06,87.38
2020-08-05,87.22
2020-08-04,86.53
2020-08-03,84.81
2020-07-31,83.91
2020-07-30,87.35
2020-07-29,90.0
2020-07-28,89.18
2020-07-27,91.1001
2020-07-24,90.16
2020-07-23,91.25
2020-07-22,90.9
2020-07-21,91.4
2020-07-20,85.48
2020-07-17,87.36
2020-07-16,88.3
2020-07-15,89.2
2020-07-14,88.99
2020-07-13,85.3
2020-07-10,85.36
2020-07-09,83.17
2020-07-08,86.64
2020-07-07,86.93
2020-07-06,88.72
2020-07-02,88.65
2020-07-01,87.7
2020-06-30,89.2
2020-06-29,88.33
2020-06-26,86.41
2020-06-25,89.5
2020-06-24,87.89
2020-06-23,91.44
2020-06-22,91.99
2020-06-19,90.63
2020-06-18,92.0
2020-06-17,91.4
2020-06-16,93.5
2020-06-15,91.8
2020-06-12,92.18
2020-06-11,90.44
2020-06-10,96.0
2020-06-09,101.53
2020-06-08,103.5
2020-06-05,100.6
2020-06-04,96.35
2020-06-03,97.5
2020-06-02,94.9
2020-06-01,92.56
2020-05-29,91.85
2020-05-28,91.3
2020-05-27,93.7
2020-05-26,93.5
2020-05-22,90.38
2020-05-21,92.08
2020-05-20,92.99
2020-05-19,90.3
2020-05-18,92.95
2020-05-15,89.45
2020-05-14,90.49
2020-05-13,88.82
2020-05-12,90.7
2020-05-11,93.89
2020-05-08,95.98
2020-05-07,92.88
2020-05-06,90.1
2020-05-05,93.5
