date,price
2021-02-18,44.49
2021-02-17,44.4
2021-02-16,44.65
2021-02-13,43.45
2021-02-12,43.26
2021-02-11,42.59
2021-02-10,42.65
2021-02-09,42.64
2021-02-08,43.3
2021-02-06,41.2
2021-02-05,41.16
2021-02-04,40.73
2021-02-03,39.54
2021-02-02,38.95
2021-02-01,38.0
2021-01-30,38.14
2021-01-29,38.14
2021-01-28,39.99
2021-01-27,38.45
2021-01-26,39.43
2021-01-25,39.08
2021-01-23,40.04
2021-01-22,40.0
2021-01-21,40.6699
2021-01-20,41.2
2021-01-19,40.4
2021-01-16,40.1
2021-01-15,40.18
2021-01-14,41.81
2021-01-13,40.65
2021-01-12,40.5
2021-01-11,39.49
2021-01-09,40.0
2021-01-08,40.02
2021-01-07,40.23
2021-01-06,40.4
2021-01-05,39.3
2021-01-04,38.65
2021-01-01,40.21
2020-12-31,40.24
2020-12-30,40.56
2020-12-29,40.0
2020-12-28,40.28
2020-12-24,39.72
2020-12-23,40.2
2020-12-22,38.95
2020-12-21,40.02
2020-12-19,41.0
2020-12-18,40.68
2020-12-17,40.99
2020-12-16,41.09
2020-12-15,41.86
2020-12-14,40.75
2020-12-12,41.79
2020-12-11,41.79
2020-12-10,43.15
2020-12-09,42.2
2020-12-08,42.51
2020-12-07,42.38
2020-12-05,42.46
2020-12-04,42.34
2020-12-03,42.97
2020-12-02,41.32
2020-12-01,40.0
2020-11-30,40.4
2020-11-27,41.19
2020-11-25,41.29
2020-11-24,41.82
2020-11-23,39.25
2020-11-21,37.15
2020-11-20,37.13
2020-11-19,37.3401
2020-11-18,38.1
2020-11-17,37.62
2020-11-16,37.74
2020-11-14,36.85
2020-11-13,36.85
2020-11-12,34.25
2020-11-11,35.05
2020-11-10,36.8
2020-11-09,36.95
2020-11-07,31.45
2020-11-06,31.4
2020-11-05,31.8
2020-11-04,30.55
2020-11-03,31.15
2020-11-02,30.3
2020-10-30,30.6
2020-10-29,30.35
2020-10-28,29.76
2020-10-27,30.5
2020-10-26,31.93
2020-10-23,33.94
2020-10-22,33.6
2020-10-21,31.33
2020-10-20,32.02
2020-10-19,31.72
2020-10-16,31.41
2020-10-15,31.44
2020-10-14,31.78
2020-10-13,31.71
2020-10-12,32.66
2020-10-09,32.89
