date,price
2021-02-18,186.65
2021-02-17,186.58
2021-02-16,185.7
2021-02-13,186.9
2021-02-12,187.45
2021-02-11,193.81
2021-02-10,190.7
2021-02-09,189.0
2021-02-08,190.7
2021-02-06,183.55
2021-02-05,183.4
2021-02-04,179.85
2021-02-03,177.2
2021-02-02,178.23
2021-02-01,171.05
2021-01-30,167.75
2021-01-29,168.0
2021-01-28,171.36
2021-01-27,162.13
2021-01-26,169.1
2021-01-25,171.85
2021-01-23,172.53
2021-01-22,172.81
2021-01-21,171.4
2021-01-20,174.5
2021-01-19,175.7
2021-01-16,171.1499
2021-01-15,171.3
2021-01-14,174.73
2021-01-13,176.25
2021-01-12,176.2
2021-01-11,179.2
2021-01-09,178.4
2021-01-08,178.69
2021-01-07,178.64
2021-01-06,179.5
2021-01-05,178.1
2021-01-04,177.11
2021-01-01,181.38
2020-12-31,181.29
2020-12-30,181.1
2020-12-29,177.01
2020-12-28,179.09
2020-12-24,173.79
2020-12-23,173.4
2020-12-22,170.3
2020-12-21,170.8
2020-12-19,173.42
2020-12-18,173.45
2020-12-17,173.86
2020-12-16,173.45
2020-12-15,173.79
2020-12-14,169.56
2020-12-12,174.97
2020-12-11,174.55
2020-12-10,159.5
2020-12-09,155.24
2020-12-08,154.45
2020-12-07,153.64
2020-12-05,153.8301
2020-12-04,154.01
2020-12-03,153.34
2020-12-02,153.5
2020-12-01,149.2
2020-11-30,148.09
2020-11-27,147.01
2020-11-25,149.01
2020-11-24,151.65
2020-11-23,146.95
2020-11-21,141.08
2020-11-20,141.1
2020-11-19,140.3
2020-11-18,143.88
2020-11-17,144.35
2020-11-16,144.3
2020-11-14,138.38
2020-11-13,138.47
2020-11-12,139.85
2020-11-11,137.7
2020-11-10,141.94
2020-11-09,141.2
2020-11-07,127.54
2020-11-06,127.45
2020-11-05,126.27
2020-11-04,125.0
2020-11-03,124.8
2020-11-02,120.46
2020-10-30,121.44
2020-10-29,120.9
2020-10-28,119.1
