date,price
2021-02-18,63.08
2021-02-17,62.85
2021-02-16,62.7
2021-02-13,63.2
2021-02-12,63.16
2021-02-11,62.01
2021-02-10,62.25
2021-02-09,62.3
2021-02-08,63.97
2021-02-06,62.23
2021-02-05,62.16
2021-02-04,61.0301
2021-02-03,63.95
2021-02-02,57.6
2021-02-01,58.55
2021-01-30,56.58
2021-01-29,56.62
2021-01-28,55.57
2021-01-27,58.24
2021-01-26,59.1
2021-01-25,57.34
2021-01-22,56.415
2021-01-21,56.4
2021-01-20,56.17
2021-01-19,56.98
2021-01-16,55.4
2021-01-15,55.15
2021-01-14,55.2
2021-01-13,56.1999
2021-01-12,56.09
2021-01-11,53.98
2021-01-08,54.64
2021-01-07,53.17
2021-01-06,53.25
2021-01-05,52.08
2021-01-04,51.41
2020-12-31,50.2
2020-12-30,50.67
2020-12-29,50.98
2020-12-28,50.24
2020-12-24,50.12
2020-12-23,51.19
2020-12-22,51.62
2020-12-21,51.58
2020-12-19,53.26
2020-12-18,53.06
2020-12-17,52.96
2020-12-16,53.65
2020-12-15,51.9
2020-12-14,49.79
2020-12-11,49.02
2020-12-10,49.38
2020-12-09,49.4
2020-12-08,49.8
2020-12-07,49.98
2020-12-04,50.5
2020-12-03,50.37
2020-12-02,51.4
2020-12-01,50.49
2020-11-30,50.37
2020-11-27,51.35
2020-11-26,50.49
2020-11-25,50.5
2020-11-24,50.55
2020-11-23,50.13
2020-11-20,49.03
2020-11-19,49.69
2020-11-18,48.58
2020-11-17,48.3635
2020-11-16,48.58
2020-11-14,48.64
2020-11-13,48.7
2020-11-12,46.64
2020-11-11,47.9
2020-11-10,46.57
2020-11-09,48.52
2020-11-06,50.76
2020-11-05,49.45
2020-11-04,47.9
2020-11-03,48.9599
2020-11-02,48.12
2020-10-30,47.54
2020-10-29,49.19
2020-10-28,51.04
2020-10-27,53.46
2020-10-26,53.35
2020-10-23,53.79
2020-10-22,52.35
2020-10-21,52.5
2020-10-20,54.2
2020-10-19,54.7999
2020-10-16,55.9
2020-10-15,55.6
2020-10-14,56.6
2020-10-13,57.59
2020-10-12,55.45
2020-10-09,55.45
2020-10-08,52.29
2020-10-07,51.12
2020-10-06,49.55
2020-10-05,51.55
2020-10-02,51.3401
2020-10-01,52.5
2020-09-30,52.4
2020-09-29,52.9
2020-09-28,54.3
2020-09-25,52.48
2020-09-24,52.05
2020-09-23,50.5
2020-09-22,50.9
2020-09-21,50.5
2020-09-18,48.6083
2020-09-17,48.7
2020-09-16,50.75
2020-09-15,51.79
2020-09-14,52.4
2020-09-11,52.72
2020-09-10,52.33
2020-09-09,53.45
2020-09-08,51.4
2020-09-04,52.32
2020-09-03,52.65
2020-09-02,55.1
2020-09-01,53.67
2020-08-31,54.6
2020-08-28,54.37
2020-08-27,55.74
2020-08-26,58.69
2020-08-25,58.05
2020-08-24,58.78
2020-08-21,58.2
2020-08-20,57.51
2020-08-19,57.7099
2020-08-18,57.05
2020-08-17,57.3
2020-08-14,56.21
2020-08-13,56.31
2020-08-12,55.44
2020-08-11,54.4
2020-08-10,54.15
2020-08-07,55.29
2020-08-06,55.2
2020-08-05,56.51
2020-08-04,56.25
2020-08-03,56.64
2020-07-31,55.25
2020-07-30,55.15
2020-07-29,54.56
2020-07-28,54.5
2020-07-27,57.66
2020-07-24,55.12
2020-07-23,55.09
2020-07-22,56.32
2020-07-21,56.78
2020-07-20,58.9
2020-07-17,57.83
2020-07-16,58.4
2020-07-15,58.31
2020-07-14,59.05
2020-07-13,58.7
2020-07-10,59.4
2020-07-09,59.55
2020-07-08,58.57
2020-07-07,57.25
2020-07-06,56.4
2020-07-02,54.62
2020-07-01,53.0
2020-06-30,52.6
2020-06-29,51.35
2020-06-26,50.8
2020-06-25,49.3
2020-06-24,49.0
2020-06-23,49.73
2020-06-22,49.3
2020-06-19,47.9
2020-06-18,48.59
2020-06-17,48.42
2020-06-16,48.0002
2020-06-15,47.9
2020-06-12,47.75
2020-06-11,48.49
2020-06-10,49.0
2020-06-09,49.85
2020-06-08,48.35
2020-06-05,48.82
2020-06-04,49.48
2020-06-03,46.4
2020-06-02,45.62
2020-06-01,45.19
2020-05-29,45.79
2020-05-28,44.23
2020-05-27,44.22
2020-05-26,43.39
2020-05-22,43.5
2020-05-21,42.45
2020-05-20,42.65
2020-05-19,42.63
2020-05-18,42.5
2020-05-15,42.11
2020-05-14,42.12
2020-05-13,41.6
2020-05-12,41.7
2020-05-11,41.93
2020-05-08,42.28
2020-05-07,41.46
2020-05-06,40.8699
2020-05-05,40.32
2020-05-04,39.62
2020-05-01,39.2
2020-04-30,39.16
2020-04-29,37.72
2020-04-28,39.3
2020-04-27,39.99
2020-04-24,39.35
2020-04-23,37.89
2020-04-22,38.1
2020-04-21,37.64
2020-04-20,37.71
2020-04-17,37.55
2020-04-16,37.67
2020-04-15,36.15
2020-04-14,35.78
2020-04-13,34.98
2020-04-09,33.93
2020-04-08,33.04
2020-04-07,31.62
2020-04-06,31.16
2020-04-03,29.5
2020-04-02,29.2
2020-04-01,29.21
2020-03-31,29.71
2020-03-30,31.19
2020-03-27,30.37
2020-03-26,30.1
2020-03-25,28.37
2020-03-24,27.71
2020-03-23,27.46
2020-03-20,27.51
2020-03-19,29.54
2020-03-18,31.3
2020-03-17,32.5
2020-03-16,32.34
2020-03-13,34.0
2020-03-12,32.5
2020-03-11,35.16
2020-03-10,35.2701
2020-03-09,35.99
2020-03-06,36.39
2020-03-05,37.2
