date,price
2021-02-20,261.6
2021-02-19,261.36
2021-02-18,269.03
2021-02-17,273.5
2021-02-16,273.2
2021-02-13,270.3
2021-02-12,270.6
2021-02-11,269.97
2021-02-10,270.23
2021-02-09,270.0
2021-02-08,266.2
2021-02-06,267.3
2021-02-05,267.01
2021-02-04,266.0
2021-02-03,266.81
2021-02-02,267.0
2021-02-01,262.1
2021-01-30,257.52
2021-01-29,257.27
2021-01-28,265.21
2021-01-27,266.0
2021-01-26,285.9
2021-01-25,277.6
2021-01-23,276.0
2021-01-22,275.67
2021-01-21,272.62
2021-01-20,268.0
2021-01-19,263.88
2021-01-16,251.1
2021-01-15,251.35
2021-01-14,246.98
2021-01-13,252.0
2021-01-12,251.38
2021-01-11,257.8
2021-01-09,267.2
2021-01-08,267.48
2021-01-07,268.05
2021-01-06,264.6499
2021-01-05,270.95
2021-01-04,268.87
2021-01-01,272.65
2020-12-31,272.65
2020-12-30,272.14
2020-12-29,276.64
2020-12-28,276.97
2020-12-24,267.01
2020-12-23,268.3
2020-12-22,267.45
2020-12-21,272.18
2020-12-19,276.9
2020-12-18,276.4
2020-12-17,274.34
2020-12-16,275.75
2020-12-15,275.28
2020-12-14,274.17
2020-12-12,272.8
2020-12-11,273.08
2020-12-10,277.25
2020-12-09,277.67
2020-12-08,283.7
2020-12-07,284.95
2020-12-05,279.05
2020-12-04,279.57
2020-12-03,281.85
2020-12-02,286.89
2020-12-01,286.7
2020-11-30,278.23
2020-11-27,277.5
2020-11-26,276.03
2020-11-25,275.85
2020-11-24,277.8
2020-11-23,269.45
2020-11-21,270.04
2020-11-20,269.8
2020-11-19,271.51
2020-11-18,272.4
2020-11-17,275.18
2020-11-16,279.0
2020-11-14,277.1
2020-11-13,277.0
2020-11-12,275.68
2020-11-11,276.49
2020-11-10,272.01
2020-11-09,279.9
2020-11-07,293.5
2020-11-06,293.13
2020-11-05,294.2
2020-11-04,287.61
2020-11-03,266.15
2020-11-02,261.95
2020-10-30,262.0
2020-10-29,273.4
2020-10-28,275.0
2020-10-27,282.49
2020-10-26,277.2
2020-10-23,286.3
2020-10-22,278.51
2020-10-21,277.7
2020-10-20,275.25
2020-10-19,262.8
2020-10-16,265.0
2020-10-15,267.3999
2020-10-14,271.4
2020-10-13,276.94
2020-10-12,276.0
2020-10-09,264.45
2020-10-08,264.41
2020-10-07,258.0
2020-10-06,256.78
2020-10-05,263.4
2020-10-02,260.0
2020-10-01,266.4
2020-09-30,263.0
2020-09-29,262.6
2020-09-28,258.5
2020-09-25,254.57
2020-09-24,251.43
2020-09-23,246.75
2020-09-22,254.0
2020-09-21,251.0
2020-09-18,252.4
2020-09-17,255.82
2020-09-16,264.4
2020-09-15,268.07
2020-09-14,267.34
2020-09-11,266.45
2020-09-10,269.41
2020-09-09,274.75
2020-09-08,269.2601
2020-09-04,281.4
2020-09-03,285.25
2020-09-02,302.85
2020-09-01,296.6999
2020-08-31,292.85
2020-08-28,293.84
2020-08-27,292.25
2020-08-26,303.1
2020-08-25,282.2
2020-08-24,271.7
2020-08-21,266.6
2020-08-20,269.75
2020-08-19,262.13
2020-08-18,262.5
2020-08-17,261.39
2020-08-14,261.0
2020-08-13,262.35
2020-08-12,260.0
2020-08-11,257.5
2020-08-10,262.25
2020-08-07,267.55
2020-08-06,265.2
2020-08-05,249.25
2020-08-04,249.65
2020-08-03,251.4
2020-07-31,252.98
2020-07-30,249.75
2020-07-29,233.75
2020-07-28,231.0
2020-07-27,234.5
2020-07-24,230.0
2020-07-23,233.4
2020-07-22,239.15
2020-07-21,240.85
2020-07-20,245.49
2020-07-17,241.12
2020-07-16,239.89
2020-07-15,239.2
2020-07-14,240.75
2020-07-13,240.8
2020-07-10,244.87
2020-07-09,244.76
2020-07-08,244.41
2020-07-07,239.37
2020-07-06,241.0
2020-07-02,233.9
2020-07-01,237.1
2020-06-30,225.7
2020-06-29,220.7
2020-06-26,212.5
2020-06-25,233.5
2020-06-24,233.5
2020-06-23,241.87
2020-06-22,238.95
2020-06-19,237.0
2020-06-18,236.5
2020-06-17,234.85
2020-06-16,236.19
2020-06-15,234.88
2020-06-12,228.85
2020-06-11,226.75
2020-06-10,235.95
2020-06-09,239.8
2020-06-08,230.8
2020-06-05,230.1
2020-06-04,226.25
2020-06-03,230.16
2020-06-02,232.15
2020-06-01,231.07
2020-05-29,225.41
2020-05-28,226.24
2020-05-27,227.15
2020-05-26,231.62
2020-05-22,234.88
2020-05-21,233.19
2020-05-20,231.8
2020-05-19,218.35
2020-05-18,213.59
2020-05-15,210.2
2020-05-14,207.28
2020-05-13,206.3
2020-05-12,207.81
2020-05-11,213.0
2020-05-08,212.3
2020-05-07,212.18
2020-05-06,208.01
2020-05-05,207.5
2020-05-04,205.2
2020-05-01,202.79
2020-04-30,201.22
2020-04-29,214.57
2020-04-28,189.0
2020-04-27,188.0
2020-04-24,191.8
2020-04-23,182.48
2020-04-22,181.68
2020-04-21,175.15
2020-04-20,178.97
2020-04-17,179.0
2020-04-16,181.0
2020-04-15,175.71
2020-04-14,177.45
2020-04-13,176.5
2020-04-09,175.37
2020-04-08,174.88
2020-04-07,169.75
2020-04-06,165.0
2020-04-03,153.55
2020-04-02,157.8
2020-04-01,160.98
2020-03-31,164.75
2020-03-30,166.29
2020-03-27,156.25
2020-03-26,163.5
2020-03-25,157.16
2020-03-24,157.0
2020-03-23,149.5001
2020-03-20,148.0
2020-03-19,150.9
2020-03-18,151.25
2020-03-17,143.9999
2020-03-16,149.0
2020-03-13,167.3
2020-03-12,151.5
2020-03-11,170.0
2020-03-10,174.72
