date,price
2021-02-17,258.7
2021-02-16,261.86
2021-02-13,263.3
2021-02-12,262.65
2021-02-11,254.0
2021-02-10,257.46
2021-02-09,259.45
2021-02-08,257.5
2021-02-06,255.1
2021-02-05,255.05
2021-02-04,248.27
2021-02-03,241.88
2021-02-02,243.5
2021-02-01,239.75
2021-01-30,235.01
2021-01-29,235.79
2021-01-28,242.77
2021-01-27,242.01
2021-01-26,249.5
2021-01-25,253.04
2021-01-23,254.0
2021-01-22,253.62
2021-01-21,254.1
2021-01-20,251.75
2021-01-19,249.99
2021-01-16,252.39
2021-01-15,252.46
2021-01-14,256.98
2021-01-13,252.24
2021-01-12,249.0
2021-01-11,245.47
2021-01-09,244.5
2021-01-08,244.5
2021-01-07,245.84
2021-01-06,254.5
2021-01-05,253.0
2021-01-04,252.6
2021-01-01,259.0001
2020-12-31,259.0
2020-12-30,260.24
2020-12-29,261.11
2020-12-28,263.0
2020-12-24,268.82
2020-12-23,270.71
2020-12-22,273.27
2020-12-21,271.36
2020-12-19,276.18
2020-12-18,276.2
2020-12-17,282.3
2020-12-16,290.0
2020-12-15,286.19
2020-12-14,286.4
2020-12-12,289.37
2020-12-11,289.4
2020-12-10,293.54
2020-12-09,294.5
2020-12-08,301.83
2020-12-07,296.75
2020-12-05,294.65
2020-12-04,294.98
2020-12-03,292.78
2020-12-02,291.84
2020-12-01,288.48
2020-11-30,286.99
2020-11-27,287.01
2020-11-25,288.3
2020-11-24,292.0
2020-11-23,287.7
2020-11-21,277.52
2020-11-20,276.9
2020-11-19,278.87
2020-11-18,283.0
2020-11-17,285.06
2020-11-16,282.8
2020-11-14,272.01
2020-11-13,272.57
2020-11-12,267.18
2020-11-11,268.44
2020-11-10,267.59
2020-11-09,265.31
2020-11-07,280.4
2020-11-06,279.81
2020-11-05,278.0
2020-11-04,269.45
2020-11-03,276.5
2020-11-02,267.11
2020-10-30,259.1
2020-10-29,265.0
2020-10-28,261.2
2020-10-27,274.12
2020-10-26,277.01
2020-10-23,284.0
2020-10-22,276.16
2020-10-21,281.84
2020-10-20,288.5
2020-10-19,284.8
2020-10-16,283.87
2020-10-15,283.99
2020-10-14,276.7
2020-10-13,273.24
2020-10-12,273.75
2020-10-09,271.95
2020-10-08,272.45
2020-10-07,268.52
2020-10-06,260.1
2020-10-05,259.1
2020-10-02,254.79
2020-10-01,254.2
2020-09-30,252.7
2020-09-29,253.5
2020-09-28,256.75
2020-09-25,249.51
2020-09-24,245.05
2020-09-23,239.5
2020-09-22,243.64
2020-09-21,239.45
2020-09-18,243.35
2020-09-17,245.0
2020-09-16,250.83
2020-09-15,255.89
2020-09-14,237.51
2020-09-11,237.6
2020-09-10,225.75
2020-09-09,228.0
2020-09-08,219.0
2020-09-04,227.52
2020-09-03,215.0
2020-09-02,227.8
2020-09-01,225.55
2020-08-31,219.84
2020-08-28,222.3
2020-08-27,218.5
2020-08-26,216.0
2020-08-25,214.1
2020-08-24,217.02
2020-08-21,210.45
2020-08-20,209.94
2020-08-19,207.87
2020-08-18,206.78
2020-08-17,206.9
2020-08-14,208.98
2020-08-13,204.69
2020-08-12,201.96
2020-08-11,196.55
2020-08-10,199.98
2020-08-07,183.0
2020-08-06,172.24
2020-08-05,171.69
2020-08-04,170.98
2020-08-03,169.22
2020-07-31,168.4
2020-07-30,173.29
2020-07-29,170.2
2020-07-28,167.1
2020-07-27,170.64
2020-07-24,164.96
2020-07-23,166.18
2020-07-22,165.14
2020-07-21,166.0
2020-07-20,164.13
2020-07-17,166.25
2020-07-16,165.9
2020-07-15,161.65
2020-07-14,159.9899
2020-07-13,156.46
2020-07-10,158.98
2020-07-09,156.05
2020-07-08,158.62
2020-07-07,158.54
2020-07-06,156.39
2020-07-02,155.56
2020-07-01,156.35
2020-06-30,152.5
2020-06-29,135.6
2020-06-26,130.07
2020-06-25,136.12
2020-06-24,135.34
2020-06-23,138.99
2020-06-22,137.3901
2020-06-19,136.5
2020-06-18,138.95
2020-06-17,135.2
2020-06-16,136.0
2020-06-15,134.3
2020-06-12,132.3
2020-06-11,131.5
2020-06-10,139.2
2020-06-09,144.9
2020-06-08,149.0
2020-06-05,142.3
2020-06-04,138.93
2020-06-03,138.29
2020-06-02,135.0
2020-06-01,129.5
2020-05-29,130.77
2020-05-28,131.2
2020-05-27,130.45
2020-05-26,125.38
2020-05-22,117.29
2020-05-21,115.99
2020-05-20,117.06
2020-05-19,115.52
2020-05-18,119.99
2020-05-15,107.5
2020-05-14,109.11
2020-05-13,109.88
2020-05-12,112.4
2020-05-11,117.5
2020-05-08,121.0
2020-05-07,117.0
2020-05-06,115.0
2020-05-05,118.06
2020-05-04,115.95
2020-05-01,118.9
2020-04-30,124.99
2020-04-29,130.16
2020-04-28,128.0
2020-04-27,127.79
2020-04-24,122.6701
2020-04-23,120.86
2020-04-22,118.3
2020-04-21,120.99
2020-04-20,122.7501
2020-04-17,124.8299
2020-04-16,123.0
2020-04-15,119.05
2020-04-14,125.25
2020-04-13,124.5
2020-04-09,122.9
2020-04-08,126.1
2020-04-07,119.99
2020-04-06,119.01
2020-04-03,109.25
2020-04-02,116.2
2020-04-01,113.7
2020-03-31,120.25
2020-03-30,124.31
2020-03-27,120.05
2020-03-26,125.5
2020-03-25,118.0
2020-03-24,119.0
2020-03-23,114.0
2020-03-20,110.0
2020-03-19,110.0
2020-03-18,102.0
2020-03-17,93.0
2020-03-16,92.95
2020-03-13,106.0
2020-03-12,95.0
2020-03-11,110.7
2020-03-10,118.0
2020-03-09,117.42
2020-03-07,127.6
2020-03-06,126.9
2020-03-05,130.0
2020-03-04,135.5
2020-03-03,133.0
2020-03-02,139.5
2020-02-29,141.25
2020-02-28,142.0
2020-02-27,137.95
2020-02-26,144.53
2020-02-25,146.0
2020-02-24,154.85
2020-02-21,163.0
2020-02-20,164.69
2020-02-19,161.39
2020-02-18,158.57
2020-02-15,159.9
