date,price
2021-02-18,11.5
2021-02-17,11.48
2021-02-16,11.52
2021-02-13,11.45
2021-02-12,11.4499
2021-02-11,11.43
2021-02-10,11.71
2021-02-09,11.93
2021-02-08,11.51
2021-02-06,11.4601
2021-02-05,11.49
2021-02-04,11.52
2021-02-03,11.37
2021-02-02,10.92
2021-02-01,10.97
2021-01-30,10.5
2021-01-29,10.5
2021-01-28,10.71
2021-01-27,10.62
2021-01-26,11.16
2021-01-25,11.2
2021-01-23,11.57
2021-01-22,11.53
2021-01-21,11.41
2021-01-20,11.11
2021-01-19,10.16
2021-01-16,9.83
2021-01-15,9.83
2021-01-14,10.21
2021-01-13,9.73
2021-01-12,9.87
2021-01-11,9.27
2021-01-09,8.98
2021-01-08,8.99
2021-01-07,9.1
2021-01-06,8.85
2021-01-05,8.66
2021-01-04,8.52
2021-01-01,8.77
2020-12-31,8.78
2020-12-30,8.86
2020-12-29,8.83
2020-12-28,8.89
2020-12-24,8.85
2020-12-23,8.97
2020-12-22,8.79
2020-12-21,8.95
2020-12-19,8.99
2020-12-18,9.0
2020-12-17,9.07
2020-12-16,9.07
2020-12-15,9.13
2020-12-14,8.94
2020-12-12,9.02
2020-12-11,9.03
2020-12-10,9.18
2020-12-09,9.43
2020-12-08,9.26
2020-12-07,9.22
2020-12-05,9.27
2020-12-04,9.29
2020-12-03,9.22
2020-12-02,9.22
2020-12-01,9.23
2020-11-30,9.12
2020-11-27,9.1
2020-11-25,9.11
2020-11-24,9.52
2020-11-23,8.91
2020-11-21,8.76
2020-11-20,8.75
2020-11-19,8.77
2020-11-18,8.91
2020-11-17,8.76
2020-11-16,8.8
2020-11-14,8.52
2020-11-13,8.51
2020-11-12,8.15
2020-11-11,8.35
2020-11-10,8.57
2020-11-09,8.21
2020-11-07,7.81
2020-11-06,7.8
2020-11-05,7.95
2020-11-04,7.65
2020-11-03,7.9
2020-11-02,7.72
2020-10-30,7.72
2020-10-29,7.84
2020-10-28,8.08
2020-10-27,7.88
2020-10-26,8.03
2020-10-23,8.2
2020-10-22,8.28
2020-10-21,7.82
2020-10-20,7.79
2020-10-19,7.61
2020-10-16,7.65
2020-10-15,7.64
2020-10-14,7.6
2020-10-13,7.77
2020-10-12,7.81
2020-10-09,7.25
2020-10-08,7.35
2020-10-07,7.23
2020-10-06,7.01
