date,price
2021-02-18,11.88
2021-02-17,11.86
2021-02-16,11.94
2021-02-13,11.69
2021-02-12,11.7
2021-02-11,11.41
2021-02-10,11.39
2021-02-09,11.54
2021-02-08,11.62
2021-02-06,11.41
2021-02-05,11.4
2021-02-04,11.43
2021-02-03,11.2
2021-02-02,11.28
2021-02-01,10.75
2021-01-30,10.7
2021-01-29,10.72
2021-01-28,11.16
2021-01-27,11.25
2021-01-26,11.32
2021-01-25,11.04
2021-01-23,11.3
2021-01-22,11.28
2021-01-21,11.08
2021-01-20,11.39
2021-01-19,11.45
2021-01-16,11.36
2021-01-15,11.34
2021-01-14,11.67
2021-01-13,11.59
2021-01-12,11.8
2021-01-11,11.54
2021-01-09,11.32
2021-01-08,11.31
2021-01-07,11.28
2021-01-06,11.42
2021-01-05,10.77
2021-01-04,10.44
2021-01-01,10.79
2020-12-31,10.77
2020-12-30,10.71
2020-12-29,10.58
2020-12-28,10.62
2020-12-24,10.65
2020-12-23,10.86
2020-12-22,10.62
2020-12-21,10.75
2020-12-19,10.83
2020-12-18,10.86
2020-12-17,10.88
2020-12-16,10.93
2020-12-15,11.13
2020-12-14,10.85
2020-12-12,11.12
2020-12-11,11.13
2020-12-10,11.37
2020-12-09,11.3
2020-12-08,10.96
2020-12-07,10.84
2020-12-05,10.9
2020-12-04,10.89
2020-12-03,10.6
2020-12-02,10.43
2020-12-01,10.17
2020-11-30,10.23
2020-11-27,10.41
2020-11-25,10.485
2020-11-24,10.5
2020-11-23,10.2
2020-11-21,9.75
2020-11-20,9.72
2020-11-19,9.54
2020-11-18,9.75
2020-11-17,9.76
2020-11-16,9.57
2020-11-14,9.27
2020-11-13,9.26
2020-11-12,8.75
2020-11-11,8.88
2020-11-10,9.05
2020-11-09,8.76
2020-11-07,8.12
2020-11-06,8.11
2020-11-05,7.95
2020-11-04,7.87
2020-11-03,7.86
2020-11-02,7.54
2020-10-30,7.43
2020-10-29,7.33
2020-10-28,7.54
2020-10-27,7.13
2020-10-26,7.36
2020-10-23,7.66
2020-10-22,7.86
2020-10-21,7.31
2020-10-20,7.35
2020-10-19,7.32
2020-10-16,7.3
2020-10-15,6.89
2020-10-14,6.83
2020-10-13,6.7199
2020-10-12,6.86
2020-10-09,6.87
2020-10-08,6.67
2020-10-07,6.28
2020-10-06,6.16
2020-10-05,6.39
2020-10-02,6.35
2020-10-01,6.19
2020-09-30,6.26
2020-09-29,6.12
2020-09-28,6.22
2020-09-25,6.12
2020-09-24,6.11
2020-09-23,6.12
2020-09-22,6.24
2020-09-21,6.35
2020-09-18,6.89
2020-09-17,7.04
2020-09-16,7.06
2020-09-15,6.07
2020-09-14,6.13
2020-09-11,5.96
2020-09-10,6.02
2020-09-09,6.15
2020-09-08,6.16
2020-09-04,6.4099
2020-09-03,6.25
2020-09-02,6.42
2020-09-01,6.21
2020-08-31,6.33
2020-08-28,6.61
2020-08-27,6.47
2020-08-26,6.49
2020-08-25,6.61
2020-08-24,6.63
2020-08-21,6.31
2020-08-20,6.27
2020-08-19,6.39
2020-08-18,6.45
2020-08-17,6.46
2020-08-14,6.65
2020-08-13,6.64
2020-08-12,6.7
2020-08-11,6.76
2020-08-10,6.65
2020-08-07,6.39
2020-08-06,6.34
2020-08-05,6.36
2020-08-04,6.15
2020-08-03,6.1
2020-07-31,6.07
2020-07-30,6.31
2020-07-29,6.6
2020-07-28,6.88
2020-07-27,6.73
2020-07-24,6.87
2020-07-23,7.03
2020-07-22,7.05
2020-07-21,7.05
2020-07-20,6.88
2020-07-17,7.0799
2020-07-16,7.02
2020-07-15,7.13
2020-07-14,6.9799
2020-07-13,6.69
2020-07-10,6.69
2020-07-09,6.61
2020-07-08,6.86
2020-07-07,6.78
2020-07-06,7.0
2020-07-02,6.82
2020-07-01,6.72
2020-06-30,6.88
2020-06-29,6.8
2020-06-26,6.48
2020-06-25,6.69
2020-06-24,6.55
2020-06-23,6.99
2020-06-22,7.05
2020-06-19,7.13
2020-06-18,7.35
2020-06-17,7.17
2020-06-16,7.49
2020-06-15,7.35
2020-06-12,7.22
2020-06-11,7.06
2020-06-10,7.5
2020-06-09,8.03
2020-06-08,8.62
2020-06-05,7.9
2020-06-04,7.81
2020-06-03,7.4
2020-06-02,7.04
2020-06-01,6.68
2020-05-29,6.61
2020-05-28,6.77
2020-05-27,7.33
2020-05-26,6.78
2020-05-22,6.38
2020-05-21,6.54
2020-05-20,6.42
2020-05-19,6.24
2020-05-18,6.26
2020-05-15,5.52
2020-05-14,5.73
2020-05-13,5.8
2020-05-12,5.98
2020-05-11,6.18
2020-05-08,6.28
2020-05-07,6.12
2020-05-06,6.01
2020-05-05,6.21
2020-05-04,6.21
2020-05-01,6.53
2020-04-30,6.67
2020-04-29,6.67
2020-04-28,6.8
2020-04-27,6.44
2020-04-24,6.32
2020-04-23,6.49
2020-04-22,6.42
2020-04-21,6.57
2020-04-20,6.57
2020-04-17,6.81
2020-04-16,6.68
2020-04-15,6.44
2020-04-14,6.94
2020-04-13,7.03
2020-04-09,7.18
2020-04-08,7.35
2020-04-07,7.18
2020-04-06,7.21
2020-04-03,6.72
2020-04-02,7.0199
2020-04-01,7.15
2020-03-31,7.84
2020-03-30,7.89
2020-03-27,7.67
2020-03-26,8.16
2020-03-25,7.63
2020-03-24,7.12
2020-03-23,6.28
2020-03-20,6.49
2020-03-19,6.52
2020-03-18,6.6801
2020-03-17,6.87
2020-03-16,6.88
2020-03-13,7.75
2020-03-12,6.96
2020-03-11,8.23
2020-03-10,8.6401
2020-03-09,8.45
2020-03-07,9.32
2020-03-06,9.35
2020-03-05,10.15
2020-03-04,10.92
2020-03-03,10.83
2020-03-02,11.13
2020-02-29,10.94
2020-02-28,10.95
2020-02-27,10.3501
2020-02-26,10.95
2020-02-25,11.35
2020-02-24,11.8399
2020-02-22,12.25
2020-02-21,12.21
2020-02-20,12.5
2020-02-19,12.62
2020-02-18,12.8
2020-02-15,12.85
2020-02-14,12.84
2020-02-13,12.93
2020-02-12,13.14
2020-02-11,12.87
2020-02-10,12.9
2020-02-08,12.85
2020-02-07,12.83
2020-02-06,12.93
2020-02-05,12.85
2020-02-04,12.59
2020-02-03,12.26
2020-02-01,12.42
2020-01-31,12.4
2020-01-30,12.75
2020-01-29,12.92
2020-01-28,11.87
2020-01-27,11.55
2020-01-25,11.76
2020-01-24,11.74
2020-01-23,11.77
2020-01-22,11.37
2020-01-21,11.68
2020-01-18,11.79
2020-01-17,11.8
2020-01-16,11.84
2020-01-15,11.89
2020-01-14,12.02
2020-01-13,12.12
2020-01-11,11.63
2020-01-10,11.6401
2020-01-09,11.9
2020-01-08,12.01
2020-01-07,11.92
2020-01-06,12.12
2020-01-04,11.95
2020-01-03,11.96
2020-01-02,11.98
2020-01-01,11.13
2019-12-31,11.14
2019-12-30,11.05
