date,price
2021-02-18,65.1
2021-02-17,65.2
2021-02-16,64.64
2021-02-13,66.9
2021-02-12,66.77
2021-02-11,66.75
2021-02-10,67.15
2021-02-09,67.36
2021-02-08,67.8
2021-02-06,68.25
2021-02-05,68.4
2021-02-04,67.51
2021-02-03,64.5
2021-02-02,65.23
2021-02-01,65.2999
2021-01-30,65.16
2021-01-29,65.42
2021-01-28,64.52
2021-01-27,65.46
2021-01-26,66.35
2021-01-25,68.02
2021-01-23,66.8
2021-01-22,66.96
2021-01-21,67.0567
2021-01-20,67.95
2021-01-19,66.9
2021-01-16,63.3
2021-01-15,63.13
2021-01-14,62.49
2021-01-13,61.5
2021-01-12,61.88
2021-01-11,62.81
2021-01-09,63.0
2021-01-08,63.05
2021-01-07,62.3
2021-01-06,61.78
2021-01-05,60.15
2021-01-04,59.8
2021-01-01,58.02
2020-12-31,58.03
2020-12-30,56.6
2020-12-29,56.89
2020-12-28,56.85
2020-12-24,57.0
2020-12-23,57.4
2020-12-22,56.9999
2020-12-21,58.36
2020-12-19,58.95
2020-12-18,58.65
2020-12-17,59.02
2020-12-16,59.06
2020-12-15,59.4201
2020-12-14,59.89
2020-12-12,60.77
2020-12-11,60.8
2020-12-10,60.45
2020-12-09,60.78
2020-12-08,61.1
2020-12-07,60.59
2020-12-05,61.56
2020-12-04,61.5
2020-12-03,60.8
2020-12-02,61.14
2020-12-01,61.0101
2020-11-30,60.66
2020-11-27,59.9
2020-11-26,59.58
2020-11-25,59.61
2020-11-24,60.42
2020-11-23,59.75
2020-11-21,60.06
2020-11-20,60.03
2020-11-19,60.59
2020-11-18,60.6
2020-11-17,60.9
2020-11-16,60.82
2020-11-14,60.5
2020-11-13,60.42
2020-11-12,59.7499
2020-11-11,59.89
2020-11-10,60.62
2020-11-09,59.09
2020-11-07,59.0
2020-11-06,59.02
2020-11-05,59.45
2020-11-04,59.7
2020-11-03,58.98
2020-11-02,58.52
2020-10-30,58.0
2020-10-29,58.06
2020-10-28,57.75
2020-10-27,59.85
2020-10-26,59.85
2020-10-23,60.56
2020-10-22,64.98
2020-10-21,60.02
2020-10-20,60.79
2020-10-19,60.85
2020-10-16,61.87
2020-10-15,62.81
2020-10-14,64.0
2020-10-13,64.5
2020-10-12,64.52
2020-10-09,63.89
2020-10-08,63.67
2020-10-07,62.76
2020-10-06,62.5
2020-10-05,63.79
2020-10-02,62.3
2020-10-01,63.3
2020-09-30,63.5
2020-09-29,62.19
2020-09-28,63.03
2020-09-25,62.24
2020-09-24,62.48
2020-09-23,62.75
2020-09-22,63.45
2020-09-21,64.6
2020-09-18,65.1
2020-09-17,65.15
2020-09-16,65.55
2020-09-15,66.36
2020-09-14,66.6
2020-09-11,65.5
2020-09-10,63.9
2020-09-09,64.46
2020-09-08,64.01
2020-09-04,65.85
2020-09-03,66.4
2020-09-02,66.88
2020-09-01,65.98
2020-08-31,66.58
2020-08-28,65.6
2020-08-27,65.62
2020-08-26,65.7
2020-08-25,66.0
2020-08-24,66.02
2020-08-21,66.31
2020-08-20,66.05
2020-08-19,65.76
2020-08-18,66.69
2020-08-17,69.13
2020-08-14,68.31
2020-08-13,68.23
2020-08-12,68.84
2020-08-11,68.66
2020-08-10,68.55
2020-08-07,69.29
2020-08-06,68.86
2020-08-05,69.19
2020-08-04,70.75
2020-08-03,71.81
2020-07-31,69.5
2020-07-30,69.93
2020-07-29,73.16
2020-07-28,73.82
2020-07-27,74.64
2020-07-24,73.68
2020-07-23,75.75
2020-07-22,76.2
2020-07-21,76.94
2020-07-20,78.02
2020-07-17,77.36
2020-07-16,76.4
2020-07-15,76.75
2020-07-14,76.45
2020-07-13,76.9
2020-07-10,76.54
2020-07-09,74.49
2020-07-08,75.77
2020-07-07,76.63
2020-07-06,76.61
2020-07-02,76.65
2020-07-01,76.0
2020-06-30,76.63
2020-06-29,74.85
2020-06-26,74.3
2020-06-25,75.23
2020-06-24,75.79
2020-06-23,75.07
2020-06-22,75.93
2020-06-19,76.25
2020-06-18,73.96
2020-06-17,73.79
2020-06-16,74.52
2020-06-15,74.11
2020-06-12,73.5
2020-06-11,73.1
2020-06-10,77.01
2020-06-09,77.51
2020-06-08,77.07
2020-06-05,76.9
2020-06-04,77.24
2020-06-03,74.42
2020-06-02,73.27
2020-06-01,74.92
2020-05-29,77.5
2020-05-28,75.32
2020-05-27,74.6
2020-05-26,73.18
2020-05-22,73.82
2020-05-21,73.45
2020-05-20,73.3
2020-05-19,72.5
2020-05-18,74.75
2020-05-15,76.1
2020-05-14,77.4
2020-05-13,77.34
2020-05-12,78.35
2020-05-11,80.14
2020-05-08,77.42
2020-05-07,77.85
2020-05-06,77.31
2020-05-05,78.81
2020-05-04,79.8
2020-05-01,81.75
2020-04-30,81.8
2020-04-29,85.04
2020-04-28,78.5
2020-04-27,79.79
2020-04-24,79.65
2020-04-23,78.3499
2020-04-22,81.45
2020-04-21,78.9
2020-04-20,81.62
2020-04-17,83.85
2020-04-16,89.1
2020-04-15,74.3
2020-04-14,77.5
2020-04-13,75.15
2020-04-09,73.71
2020-04-08,74.7
2020-04-07,74.6
2020-04-06,77.9
2020-04-03,77.99
2020-04-02,76.9001
2020-04-01,72.65
2020-03-31,74.46
2020-03-30,75.75
2020-03-27,73.19
2020-03-26,73.65
2020-03-25,70.67
2020-03-24,73.1
2020-03-23,74.7499
2020-03-20,73.7
2020-03-19,78.41
2020-03-18,80.85
2020-03-17,73.31
2020-03-16,70.0
2020-03-13,70.59
2020-03-12,68.21
2020-03-11,73.22
2020-03-10,73.8
2020-03-09,74.5
2020-03-07,80.18
2020-03-06,80.06
2020-03-05,76.59
2020-03-04,75.65
2020-03-03,73.8
2020-03-02,75.0
2020-02-29,69.6
2020-02-28,69.7
2020-02-27,73.28
2020-02-26,77.6
2020-02-25,70.8
2020-02-24,73.62
2020-02-22,70.3
2020-02-21,70.39
2020-02-20,66.76
2020-02-19,67.32
2020-02-18,67.16
2020-02-15,67.68
2020-02-14,67.63
2020-02-13,66.98
2020-02-12,66.95
2020-02-11,67.7
2020-02-10,69.3
2020-02-08,69.1
2020-02-07,68.92
2020-02-06,69.3
2020-02-05,66.18
2020-02-04,66.4
2020-02-03,66.88
2020-02-01,65.3699
2020-01-31,65.08
2020-01-30,63.74
2020-01-29,64.31
2020-01-28,64.3
2020-01-27,63.85
2020-01-25,63.1
2020-01-24,63.1
2020-01-23,64.0
2020-01-22,63.46
2020-01-21,62.5701
2020-01-18,62.95
2020-01-17,63.0
2020-01-16,63.31
2020-01-15,64.12
2020-01-14,64.2
2020-01-13,64.4
2020-01-10,65.08
2020-01-09,65.83
2020-01-08,65.81
2020-01-07,64.58
2020-01-06,65.65
2020-01-03,65.08
2020-01-02,65.21
2020-01-01,64.98
2019-12-31,64.98
2019-12-30,64.9
2019-12-27,65.95
2019-12-26,66.49
2019-12-24,66.72
2019-12-23,66.62
2019-12-20,66.5
2019-12-19,65.29
2019-12-18,65.68
2019-12-17,66.25
2019-12-16,66.0
2019-12-13,65.77
2019-12-12,67.52
2019-12-11,67.69
2019-12-10,67.08
2019-12-09,66.91
2019-12-07,67.4
2019-12-06,67.08
2019-12-05,65.93
2019-12-04,66.75
2019-12-03,66.07
2019-12-02,66.12
2019-11-29,67.24
2019-11-28,67.12
2019-11-27,67.12
2019-11-26,67.28
2019-11-25,67.16
2019-11-22,65.26
2019-11-21,65.73
2019-11-20,64.83
2019-11-19,65.0
2019-11-18,64.29
2019-11-15,65.07
2019-11-14,63.81
2019-11-13,63.3
2019-11-12,64.32
2019-11-11,64.64
2019-11-08,65.3279
2019-11-07,64.05
2019-11-06,65.48
2019-11-05,65.39
2019-11-04,65.2
2019-11-01,64.66
2019-10-31,63.71
2019-10-30,63.15
2019-10-29,63.5
2019-10-28,63.65
2019-10-25,63.25
2019-10-24,64.88
2019-10-23,66.84
2019-10-22,65.86
2019-10-21,65.29
2019-10-18,64.88
2019-10-17,65.26
2019-10-16,65.35
2019-10-15,65.3
2019-10-14,64.55
2019-10-11,64.01
2019-10-10,63.51
2019-10-09,61.02
2019-10-08,61.49
2019-10-07,62.73
2019-10-04,62.56
2019-10-03,62.42
2019-10-02,61.59
2019-10-01,63.22
2019-09-30,63.5
2019-09-27,63.0
2019-09-26,63.3799
2019-09-25,64.2
2019-09-24,64.57
2019-09-23,65.73
2019-09-20,66.45
2019-09-19,65.95
2019-09-18,65.71
2019-09-17,66.3
2019-09-16,65.88
2019-09-13,66.5
2019-09-12,66.36
2019-09-11,68.16
2019-09-10,67.08
2019-09-09,66.43
2019-09-06,64.8499
2019-09-05,63.93
2019-09-04,63.4
2019-09-03,63.0
2019-08-30,63.54
2019-08-29,63.75
2019-08-28,63.64
2019-08-27,63.31
2019-08-26,63.08
2019-08-23,62.68
2019-08-22,64.19
2019-08-21,64.0
2019-08-20,63.49
2019-08-19,64.2299
2019-08-16,63.14
2019-08-15,62.87
2019-08-14,63.12
2019-08-13,64.3
2019-08-12,64.1
2019-08-09,65.24
2019-08-08,64.4
2019-08-07,64.18
2019-08-06,63.0
2019-08-05,62.6
2019-08-02,64.95
2019-08-01,65.43
2019-07-31,65.5
2019-07-30,67.07
2019-07-29,68.19
2019-07-26,66.92
2019-07-25,66.28
2019-07-24,66.45
2019-07-23,66.4
2019-07-22,64.92
2019-07-19,65.1
2019-07-18,67.35
2019-07-17,66.92
2019-07-16,67.09
2019-07-15,68.15
2019-07-12,66.15
2019-07-11,66.01
2019-07-10,67.46
2019-07-09,67.75
2019-07-08,67.63
2019-07-05,68.53
2019-07-03,69.0
2019-07-02,68.84
2019-07-01,67.81
2019-06-28,67.8
2019-06-27,67.3
2019-06-26,66.7
2019-06-25,68.48
2019-06-24,68.75
2019-06-21,69.38
2019-06-20,68.57
2019-06-19,68.26
2019-06-18,68.2
2019-06-17,67.1
2019-06-14,66.36
2019-06-13,67.1
2019-06-12,66.99
2019-06-11,66.1
2019-06-10,66.12
2019-06-07,65.0701
2019-06-06,63.7
2019-06-05,64.44
2019-06-04,64.5
2019-06-03,63.63
2019-05-31,62.0
2019-05-30,63.34
2019-05-29,63.37
2019-05-28,63.97
2019-05-24,67.02
2019-05-23,67.35
2019-05-22,67.15
2019-05-21,66.57
2019-05-20,65.86
2019-05-17,66.5
2019-05-16,65.5901
2019-05-15,65.17
2019-05-14,65.15
2019-05-13,64.0
2019-05-10,65.7
2019-05-09,66.4
2019-05-08,66.07
2019-05-07,66.6
2019-05-06,67.35
2019-05-03,67.1
2019-05-02,65.84
2019-05-01,64.79
2019-04-30,64.88
2019-04-29,65.35
2019-04-26,65.25
2019-04-25,63.98
2019-04-24,62.7
2019-04-23,63.15
2019-04-22,61.9
2019-04-18,62.85
2019-04-17,63.4
2019-04-16,64.51
2019-04-15,65.37
2019-04-12,65.28
2019-04-11,66.35
2019-04-10,67.4
2019-04-09,66.09
2019-04-08,67.39
2019-04-05,67.53
2019-04-04,66.84
2019-04-03,66.75
2019-04-02,66.44
2019-04-01,66.0
2019-03-29,65.18
2019-03-28,64.2
2019-03-27,63.82
2019-03-26,64.17
2019-03-25,63.99
2019-03-22,63.82
2019-03-21,64.99
2019-03-20,64.75
2019-03-19,65.25
2019-03-18,64.9
2019-03-15,65.5
2019-03-14,64.9
2019-03-13,65.92
2019-03-12,64.73
2019-03-11,64.34
2019-03-08,63.23
2019-03-07,62.75
2019-03-06,62.89
2019-03-05,64.3
2019-03-04,65.29
2019-03-02,66.0
2019-03-01,66.0
2019-02-28,65.05
2019-02-27,65.3
2019-02-26,65.19
2019-02-25,65.37
2019-02-22,65.58
2019-02-21,65.3501
2019-02-20,66.98
2019-02-19,66.9
2019-02-16,67.6
2019-02-15,67.42
2019-02-14,66.31
2019-02-13,65.94
2019-02-12,65.2
2019-02-11,65.6
2019-02-09,67.45
2019-02-08,67.55
2019-02-07,67.15
2019-02-06,68.75
