date,price
2021-02-18,52.85
2021-02-17,52.88
2021-02-16,53.3
2021-02-13,53.69
2021-02-12,53.68
2021-02-11,53.32
2021-02-10,54.4
2021-02-09,56.45
2021-02-08,57.14
2021-02-06,55.05
2021-02-05,55.04
2021-02-04,54.17
2021-02-03,54.1301
2021-02-02,52.93
2021-02-01,51.61
2021-01-30,50.66
2021-01-29,50.63
2021-01-28,51.4
2021-01-27,49.03
2021-01-26,52.04
2021-01-25,53.3
2021-01-23,55.3
2021-01-22,55.36
2021-01-21,55.05
2021-01-20,56.07
2021-01-19,55.45
2021-01-16,49.8
2021-01-15,50.1
2021-01-14,52.59
2021-01-13,48.79
2021-01-12,49.44
2021-01-11,45.09
2021-01-09,43.19
2021-01-08,43.14
2021-01-07,43.33
2021-01-06,43.36
2021-01-05,41.84
2021-01-04,40.54
2021-01-01,41.66
2020-12-31,41.65
2020-12-30,41.8
2020-12-29,41.51
2020-12-28,41.71
2020-12-24,41.58
2020-12-23,42.68
2020-12-22,41.05
2020-12-21,41.37
2020-12-19,41.09
2020-12-18,41.06
2020-12-17,41.98
2020-12-16,41.43
2020-12-15,41.7
2020-12-14,41.69
2020-12-12,41.85
2020-12-11,41.92
2020-12-10,42.95
2020-12-09,44.38
2020-12-08,43.88
2020-12-07,44.15
2020-12-05,44.42
2020-12-04,44.37
2020-12-03,44.21
2020-12-02,44.54
2020-12-01,44.62
2020-11-30,43.92
2020-11-27,44.85
2020-11-25,45.57
2020-11-24,46.79
2020-11-23,45.56
2020-11-21,43.05
2020-11-20,43.13
2020-11-19,42.37
2020-11-18,43.1
2020-11-17,42.34
2020-11-16,42.32
2020-11-14,41.24
2020-11-13,41.15
2020-11-12,39.25
2020-11-11,40.56
2020-11-10,42.14
2020-11-09,39.08
2020-11-07,37.5999
2020-11-06,37.58
2020-11-05,37.54
2020-11-04,35.47
2020-11-03,35.69
2020-11-02,34.86
2020-10-30,34.51
2020-10-29,34.7
2020-10-28,34.75
2020-10-27,34.67
2020-10-26,35.82
2020-10-23,36.94
2020-10-22,37.68
2020-10-21,35.77
2020-10-20,36.58
2020-10-19,33.75
2020-10-16,33.5
2020-10-15,32.76
2020-10-14,31.71
2020-10-13,31.9
2020-10-12,32.23
2020-10-09,32.17
2020-10-08,32.5099
2020-10-07,31.63
2020-10-06,30.39
2020-10-05,30.85
2020-10-02,30.15
2020-10-01,30.37
2020-09-30,29.75
2020-09-29,29.18
2020-09-28,29.5
2020-09-25,29.0
2020-09-24,29.2
2020-09-23,29.12
2020-09-22,29.44
2020-09-21,30.16
2020-09-18,31.5
2020-09-17,31.9001
2020-09-16,31.82
2020-09-15,31.6
2020-09-14,30.93
2020-09-11,30.27
2020-09-10,30.2
2020-09-09,32.1
2020-09-08,32.2
2020-09-04,30.2
2020-09-03,29.21
2020-09-02,31.0
2020-09-01,29.88
2020-08-31,29.65
2020-08-28,30.05
2020-08-27,29.71
2020-08-26,29.46
2020-08-25,29.72
2020-08-24,30.33
2020-08-21,28.55
2020-08-20,28.9
2020-08-19,28.99
2020-08-18,29.89
2020-08-17,30.17
2020-08-14,27.86
2020-08-13,27.85
2020-08-12,28.0199
2020-08-11,28.7
2020-08-10,27.98
2020-08-07,26.67
2020-08-06,26.64
2020-08-05,26.26
2020-08-04,25.76
2020-08-03,25.67
2020-07-31,24.89
2020-07-30,25.36
2020-07-29,25.89
2020-07-28,26.48
2020-07-27,25.75
2020-07-24,26.25
2020-07-23,26.71
2020-07-22,26.3
2020-07-21,26.25
2020-07-20,26.06
2020-07-17,26.45
2020-07-16,26.75
2020-07-15,26.79
2020-07-14,26.28
2020-07-13,24.88
2020-07-10,24.35
2020-07-09,23.5
2020-07-08,25.0
2020-07-07,25.24
2020-07-06,25.79
2020-07-02,25.3
2020-07-01,24.9
2020-06-30,25.32
2020-06-29,25.36
2020-06-26,24.39
2020-06-25,25.2
2020-06-24,25.15
2020-06-23,26.21
2020-06-22,26.44
2020-06-19,26.33
2020-06-18,27.2
2020-06-17,27.0
2020-06-16,27.79
2020-06-15,28.05
2020-06-12,28.16
2020-06-11,27.1
2020-06-10,28.35
2020-06-09,29.86
2020-06-08,30.7
2020-06-05,30.61
2020-06-04,29.25
2020-06-03,29.36
2020-06-02,27.58
2020-06-01,26.88
2020-05-29,26.02
2020-05-28,26.55
2020-05-27,28.0
2020-05-26,27.45
2020-05-22,25.98
2020-05-21,25.9
2020-05-20,25.4
2020-05-19,24.73
2020-05-18,25.05
2020-05-15,22.52
2020-05-14,22.37
2020-05-13,21.65
2020-05-12,22.22
2020-05-11,22.8
2020-05-08,24.05
2020-05-07,22.55
2020-05-06,21.75
2020-05-05,21.18
2020-05-04,20.8
2020-05-01,20.95
2020-04-30,22.15
2020-04-29,24.25
2020-04-28,22.15
2020-04-27,22.59
2020-04-24,22.0
2020-04-23,21.49
2020-04-22,21.15
2020-04-21,21.34
2020-04-20,22.4
2020-04-17,22.46
2020-04-16,22.0
2020-04-15,21.5
2020-04-14,22.91
2020-04-13,23.32
2020-04-09,24.14
2020-04-08,23.37
2020-04-07,21.4
2020-04-06,19.72
2020-04-03,18.04
2020-04-02,18.5
2020-04-01,19.35
2020-03-31,20.5
2020-03-30,21.33
2020-03-27,22.35
2020-03-26,22.7
2020-03-25,21.65
2020-03-24,21.4
2020-03-23,17.95
2020-03-20,17.91
2020-03-19,17.57
2020-03-18,17.2
2020-03-17,19.71
2020-03-16,21.5
2020-03-13,24.51
2020-03-12,22.77
2020-03-11,26.1
2020-03-10,26.3
2020-03-09,25.29
2020-03-07,28.67
2020-03-06,28.65
2020-03-05,30.3
2020-03-04,31.45
2020-03-03,30.35
2020-03-02,31.33
2020-02-29,30.62
2020-02-28,30.62
2020-02-27,30.65
2020-02-26,32.0
2020-02-25,31.84
2020-02-24,33.07
2020-02-22,34.55
2020-02-21,34.6
2020-02-20,35.17
2020-02-19,35.0
2020-02-18,34.49
2020-02-15,34.9
2020-02-14,34.85
2020-02-13,35.49
2020-02-12,35.55
2020-02-11,35.01
2020-02-10,34.2
2020-02-08,33.62
2020-02-07,33.56
2020-02-06,34.32
2020-02-05,35.05
2020-02-04,34.05
2020-02-03,33.7
2020-02-01,33.31
2020-01-31,33.38
2020-01-30,33.36
2020-01-29,33.7
2020-01-28,33.7
2020-01-27,33.47
2020-01-25,34.25
2020-01-24,34.3099
2020-01-23,34.8598
2020-01-22,34.89
2020-01-21,34.99
2020-01-18,35.6
2020-01-17,35.57
2020-01-16,35.5
2020-01-15,35.15
2020-01-14,35.15
2020-01-13,35.0
2020-01-11,34.69
2020-01-10,34.65
2020-01-09,35.05
2020-01-08,34.67
2020-01-07,34.8
2020-01-06,35.8399
2020-01-04,36.33
2020-01-03,36.37
2020-01-02,37.36
2019-12-31,36.61
2019-12-30,36.3001
2019-12-27,36.55
2019-12-26,36.48
2019-12-24,36.58
2019-12-23,36.78
2019-12-20,37.35
2019-12-19,37.26
2019-12-18,37.31
2019-12-17,36.18
2019-12-16,36.11
2019-12-13,35.6
2019-12-12,36.28
2019-12-11,35.22
2019-12-10,35.11
2019-12-09,35.3
2019-12-07,35.5
2019-12-06,35.55
2019-12-05,35.31
2019-12-04,35.79
2019-12-03,35.51
2019-12-02,35.7501
2019-11-29,36.1
2019-11-28,36.05
2019-11-27,36.0
2019-11-26,35.91
2019-11-25,35.9
2019-11-23,35.3201
2019-11-22,35.38
2019-11-21,34.78
2019-11-20,35.25
