date,price
2021-02-17,2120.28
2021-02-16,2110.7
2021-02-12,2094.0
2021-02-11,2085.84
2021-02-10,2086.48
2021-02-09,2075.39
2021-02-08,2080.55
2021-02-05,2094.25
2021-02-04,2054.23
2021-02-03,2061.74
2021-02-02,2053.0
2021-02-01,1900.0
2021-01-30,1823.21
2021-01-29,1823.0
2021-01-28,1848.0
2021-01-27,1803.31
2021-01-26,1922.6
2021-01-25,1885.0
2021-01-23,1893.21
2021-01-22,1894.55
2021-01-21,1889.99
2021-01-20,1884.21
2021-01-19,1800.0
2021-01-16,1720.01
2021-01-15,1720.0
2021-01-14,1732.01
2021-01-13,1738.9012
2021-01-12,1736.0101
2021-01-11,1757.69
2021-01-09,1798.61
2021-01-08,1801.0
2021-01-07,1774.34
2021-01-06,1731.0
2021-01-05,1739.57
2021-01-04,1720.71
2021-01-01,1754.5
2020-12-31,1752.6
2020-12-30,1736.3
2020-12-29,1759.0
2020-12-28,1774.01
2020-12-24,1734.16
2020-12-23,1729.49
2020-12-22,1720.22
2020-12-21,1734.0
2020-12-19,1726.0
2020-12-18,1723.83
2020-12-17,1740.51
2020-12-16,1755.1
2020-12-15,1760.9039
2020-12-14,1752.4352
2020-12-11,1773.31
2020-12-10,1769.0
2020-12-09,1778.0
2020-12-08,1811.33
2020-12-07,1817.03
2020-12-05,1820.01
2020-12-04,1821.87
2020-12-03,1821.84
2020-12-02,1826.5
2020-12-01,1796.48
2020-11-30,1763.79
2020-11-27,1787.02
2020-11-25,1766.05
2020-11-24,1763.9
2020-11-23,1734.0
2020-11-20,1736.38
2020-11-19,1745.21
2020-11-18,1740.87
2020-11-17,1761.99
2020-11-16,1776.0
2020-11-14,1772.0
2020-11-13,1775.5
2020-11-12,1744.0
2020-11-11,1748.0
2020-11-10,1739.0
2020-11-09,1765.0
2020-11-06,1759.43
2020-11-05,1762.5
2020-11-04,1750.08
2020-11-03,1649.18
2020-11-02,1633.0
2020-10-30,1618.5
2020-10-29,1658.0
2020-10-28,1522.0
2020-10-27,1592.03
2020-10-26,1584.18
2020-10-23,1636.5
2020-10-22,1606.66
2020-10-21,1590.94
2020-10-20,1570.79
2020-10-19,1536.5
2020-10-16,1567.7
2020-10-15,1556.8
2020-10-14,1562.5001
2020-10-13,1570.0
2020-10-12,1567.99
2020-10-09,1512.89
2020-10-08,1486.0
2020-10-07,1463.99
2020-10-06,1442.0
2020-10-05,1477.0
2020-10-02,1451.49
2020-10-01,1490.0
2020-09-30,1466.09
2020-09-29,1466.27
2020-09-28,1465.0
2020-09-25,1440.05
2020-09-24,1420.0
2020-09-23,1403.0
2020-09-22,1456.0
2020-09-21,1437.98
2020-09-18,1447.7
2020-09-17,1490.25
2020-09-16,1514.67
2020-09-15,1532.0
2020-09-14,1512.38
2020-09-11,1512.01
2020-09-10,1527.86
2020-09-09,1553.0
2020-09-08,1516.79
2020-09-04,1574.0
2020-09-03,1620.0
2020-09-02,1719.0
2020-09-01,1660.0
2020-08-31,1629.0
2020-08-28,1638.82
2020-08-27,1628.52
2020-08-26,1645.99
2020-08-25,1605.85
2020-08-24,1585.7
