date,price
2021-02-18,2129.75
2021-02-17,2129.75
2021-02-16,2121.89
2021-02-12,2104.99
2021-02-11,2092.0
2021-02-10,2100.0
2021-02-09,2084.11
2021-02-08,2092.02
2021-02-05,2102.17
2021-02-04,2061.5
2021-02-03,2072.0
2021-02-02,2059.0
2021-02-01,1908.0
2021-01-29,1835.73
2021-01-28,1865.0
2021-01-27,1824.79
2021-01-26,1928.14
2021-01-25,1899.4
2021-01-22,1901.24
2021-01-21,1886.0
2021-01-20,1887.47
2021-01-19,1798.33
2021-01-16,1734.0
2021-01-15,1734.01
2021-01-14,1741.21
2021-01-13,1745.1606
2021-01-12,1746.812
2021-01-11,1767.89
2021-01-08,1807.22
2021-01-07,1781.02
2021-01-06,1737.45
2021-01-05,1733.95
2021-01-04,1728.5856
2020-12-31,1752.0
2020-12-30,1739.37
2020-12-29,1758.72
2020-12-28,1776.09
2020-12-24,1738.85
2020-12-23,1732.0
2020-12-22,1727.1
2020-12-21,1739.1
2020-12-18,1730.79
2020-12-17,1747.9
2020-12-16,1756.515
2020-12-15,1767.5932
2020-12-14,1761.0
2020-12-11,1780.04
2020-12-10,1775.0
2020-12-09,1781.62
2020-12-08,1817.0
2020-12-07,1813.05
2020-12-04,1824.1
2020-12-03,1829.0
2020-12-02,1830.0
2020-12-01,1800.0
2020-11-30,1760.5199079999998
2020-11-27,1793.19
2020-11-25,1773.88
2020-11-24,1769.98
2020-11-23,1734.86
2020-11-20,1744.0
2020-11-19,1751.95
2020-11-18,1742.9799
2020-11-17,1770.15
2020-11-16,1783.45
2020-11-14,1777.24
2020-11-13,1777.24
2020-11-12,1755.0
2020-11-11,1750.0
2020-11-10,1741.18
2020-11-09,1765.16
2020-11-06,1761.64
2020-11-05,1760.0
2020-11-04,1760.5
2020-11-03,1651.88
2020-11-02,1634.0
2020-10-30,1621.0
2020-10-29,1664.3
2020-10-28,1532.0
2020-10-27,1600.0
2020-10-26,1592.54
2020-10-23,1640.31
2020-10-22,1616.75
2020-10-21,1594.0
2020-10-20,1575.0
2020-10-19,1539.05
2020-10-16,1572.0
2020-10-15,1563.75
2020-10-14,1560.13
2020-10-13,1579.45
2020-10-12,1574.99
2020-10-09,1515.37
2020-10-08,1488.0
2020-10-07,1461.52
2020-10-06,1445.65
2020-10-05,1481.0
2020-10-02,1453.99
2020-10-01,1490.09
2020-09-30,1474.5
2020-09-29,1468.94
2020-09-28,1470.0
2020-09-25,1447.5
2020-09-24,1429.0
2020-09-23,1416.0
2020-09-22,1460.99
2020-09-21,1441.0
2020-09-18,1452.0
2020-09-17,1498.72
2020-09-16,1521.0
2020-09-15,1537.23
2020-09-14,1521.85
2020-09-11,1515.0
2020-09-10,1532.02
2020-09-09,1555.0
2020-09-08,1522.31
2020-09-04,1580.35
2020-09-03,1627.47
2020-09-02,1728.28
2020-09-01,1667.17
2020-08-31,1634.17
2020-08-28,1642.9
2020-08-27,1638.77
2020-08-26,1657.5
2020-08-25,1610.97
2020-08-24,1588.98
2020-08-21,1581.89
2020-08-20,1582.4
2020-08-19,1547.53
2020-08-18,1559.83
2020-08-17,1520.0
2020-08-14,1507.5
2020-08-13,1519.45
2020-08-12,1506.62
2020-08-11,1483.22
2020-08-10,1496.1
2020-08-07,1494.0
2020-08-06,1500.0
2020-08-05,1472.0
2020-08-04,1464.4
2020-08-03,1473.01
2020-07-31,1482.01
2020-07-30,1541.0
2020-07-29,1526.86
2020-07-28,1503.64
2020-07-27,1536.0
2020-07-24,1511.87
2020-07-23,1520.36
2020-07-22,1568.49
2020-07-21,1558.42
2020-07-20,1568.84
2020-07-17,1513.35
2020-07-16,1510.0
2020-07-15,1514.33
2020-07-14,1525.24
2020-07-13,1510.0
2020-07-10,1542.13
2020-07-09,1510.45
2020-07-08,1501.0
2020-07-07,1492.25
2020-07-06,1498.0
2020-07-02,1466.95
2020-07-01,1436.87
2020-06-30,1413.61
2020-06-29,1399.06
2020-06-26,1362.0
2020-06-25,1440.0
2020-06-24,1430.1
2020-06-23,1458.87
2020-06-22,1454.5
2020-06-19,1424.71
2020-06-18,1434.0
2020-06-17,1443.95
2020-06-16,1448.51
2020-06-15,1437.79
2020-06-12,1415.0
2020-06-11,1415.0
2020-06-10,1460.0
2020-06-09,1456.16
2020-06-08,1448.97
2020-06-05,1435.12
2020-06-04,1410.01
2020-06-03,1434.0
2020-06-02,1436.0
2020-06-01,1431.82
2020-05-29,1428.92
2020-05-28,1417.0
2020-05-27,1416.0
2020-05-26,1418.5
2020-05-22,1413.0
2020-05-21,1402.8
2020-05-20,1406.82
2020-05-19,1379.5
2020-05-18,1382.31
2020-05-15,1352.8
2020-05-14,1354.0
2020-05-13,1353.0
2020-05-12,1369.0
2020-05-11,1404.83
2020-05-08,1389.0
2020-05-07,1377.8
2020-05-06,1346.95
2020-05-05,1354.1
2020-05-04,1326.8
2020-05-01,1320.3
2020-04-30,1331.25
2020-04-29,1349.79
2020-04-28,1328.0
2020-04-27,1273.0
2020-04-24,1278.5
2020-04-23,1245.03
2020-04-22,1263.21
2020-04-21,1237.0
2020-04-20,1269.5
2020-04-17,1280.0
2020-04-16,1290.0
2020-04-15,1252.7
2020-04-14,1269.0
2020-04-13,1221.95
2020-04-09,1211.45
2020-04-08,1214.34
2020-04-07,1190.0
2020-04-06,1182.0001
2020-04-03,1099.79
2020-04-02,1116.1
2020-04-01,1108.0
2020-03-31,1150.0
2020-03-30,1140.31
2020-03-27,1109.5
2020-03-26,1159.55
2020-03-25,1105.2
2020-03-24,1125.0
2020-03-23,1073.0
2020-03-20,1071.0
2020-03-19,1105.1
2020-03-18,1126.4
2020-03-17,1098.0
2020-03-16,1102.5
2020-03-13,1213.94
2020-03-12,1101.02
2020-03-11,1215.0
2020-03-10,1255.0
2020-03-09,1214.94
2020-03-06,1295.8
2020-03-05,1318.61
2020-03-04,1386.52
2020-03-03,1335.4
2020-03-02,1384.72
2020-02-29,1352.79
2020-02-28,1350.0
2020-02-27,1314.99
2020-02-26,1393.18
2020-02-25,1395.0
2020-02-24,1428.0
2020-02-21,1485.72
2020-02-20,1515.48
2020-02-19,1526.69
2020-02-18,1519.67
2020-02-14,1520.84
2020-02-13,1514.66
2020-02-12,1518.27
2020-02-11,1509.1
2020-02-10,1510.0
2020-02-08,1479.22
2020-02-07,1476.08
2020-02-06,1476.23
2020-02-05,1448.0
2020-02-04,1446.06
2020-02-03,1417.9
2020-02-01,1438.71
2020-01-31,1435.1
2020-01-30,1469.0
2020-01-29,1446.24
2020-01-28,1450.21
2020-01-27,1434.05
2020-01-25,1463.25
2020-01-24,1463.51
2020-01-23,1486.65
2020-01-22,1484.0
2020-01-21,1483.95
2020-01-18,1481.51
2020-01-17,1479.02
2020-01-16,1454.14
2020-01-15,1440.5
2020-01-14,1430.0
2020-01-13,1440.0
2020-01-11,1430.0
2020-01-10,1429.8
2020-01-09,1419.85
2020-01-08,1405.49
2020-01-07,1375.21
2020-01-06,1393.4
2020-01-03,1360.01
2020-01-02,1367.0
2019-12-31,1338.84
2019-12-30,1336.0
2019-12-28,1351.8899
2019-12-27,1350.9
2019-12-26,1360.95
2019-12-24,1343.56
2019-12-23,1348.84
2019-12-21,1349.38
2019-12-20,1350.7
2019-12-19,1356.04
2019-12-18,1352.62
2019-12-17,1354.11
2019-12-16,1358.95
