date,price
2021-02-18,312.99
2021-02-17,312.79
2021-02-16,311.38
2021-02-13,306.94
2021-02-12,306.77
2021-02-11,301.78
2021-02-10,303.33
2021-02-09,300.88
2021-02-08,299.64
2021-02-06,293.52
2021-02-05,293.63
2021-02-04,293.85
2021-02-03,289.7
2021-02-02,287.7
2021-02-01,275.73
2021-01-30,271.07
2021-01-29,271.1
2021-01-28,274.0
2021-01-27,271.7
2021-01-26,281.0
2021-01-25,282.6
2021-01-22,289.06
2021-01-21,289.3399
2021-01-20,290.47
2021-01-19,295.05
2021-01-16,300.39
2021-01-15,300.0
2021-01-14,308.51
2021-01-13,303.71
2021-01-12,302.24
2021-01-11,294.89
2021-01-09,290.16
2021-01-08,290.62
2021-01-07,291.65
2021-01-06,286.05
2021-01-05,270.98
2021-01-04,265.5
2021-01-01,263.99
2020-12-31,263.7
2020-12-30,259.45
2020-12-29,258.06
2020-12-28,259.95
2020-12-24,256.16
2020-12-23,257.3
2020-12-22,250.2
2020-12-21,258.41
2020-12-19,254.5
2020-12-18,254.88
2020-12-17,244.21
2020-12-16,243.9
2020-12-15,242.55
2020-12-14,238.35
2020-12-11,239.52
2020-12-10,244.3
2020-12-09,242.42
2020-12-08,239.5
2020-12-07,237.74
2020-12-05,239.58
2020-12-04,239.58
2020-12-03,236.75
2020-12-02,237.2
2020-12-01,232.21
2020-11-30,231.25
2020-11-27,235.4
2020-11-25,237.01
2020-11-24,238.0
2020-11-23,230.32
2020-11-21,223.5
2020-11-20,223.5
2020-11-19,221.84
2020-11-18,224.26
2020-11-17,224.0
2020-11-16,222.38
2020-11-13,219.08
2020-11-12,214.0
2020-11-11,218.05
2020-11-10,218.0
2020-11-09,214.21
2020-11-07,201.75
2020-11-06,201.6
2020-11-05,202.0
2020-11-04,198.34
2020-11-03,199.16
2020-11-02,190.5
2020-10-30,189.0
2020-10-29,189.37
2020-10-28,191.0
2020-10-27,194.75
2020-10-26,201.1
2020-10-23,204.99
2020-10-22,205.9999
2020-10-21,202.1
2020-10-20,208.85
2020-10-19,206.92
2020-10-16,206.2
2020-10-15,209.2
2020-10-14,211.2301
2020-10-13,211.59
2020-10-12,215.0
2020-10-09,207.99
2020-10-08,208.51
2020-10-07,203.5
2020-10-06,200.12
2020-10-05,201.99
2020-10-02,199.39
2020-10-01,199.15
2020-09-30,201.97
2020-09-29,197.2
2020-09-28,199.6
2020-09-25,194.05
2020-09-24,195.6
2020-09-23,187.2
2020-09-22,191.7
2020-09-21,194.0
2020-09-18,195.0
2020-09-17,195.15
2020-09-16,201.0
2020-09-15,198.48
2020-09-14,201.75
2020-09-11,200.55
2020-09-10,200.61
2020-09-09,203.5
2020-09-08,201.9
2020-09-04,211.0
2020-09-03,206.56
2020-09-02,210.75
2020-09-01,205.92
2020-08-31,204.87
2020-08-28,207.76
2020-08-27,210.31
2020-08-26,206.8
2020-08-25,206.19
2020-08-24,207.65
2020-08-21,202.5
2020-08-20,201.78
2020-08-19,202.55
2020-08-18,202.04
2020-08-17,203.45
2020-08-14,207.15
2020-08-13,208.55
2020-08-12,212.11
2020-08-11,211.99
2020-08-10,208.8
2020-08-07,207.75
2020-08-06,204.25
2020-08-05,204.55
2020-08-04,201.5
2020-08-03,199.2
2020-07-31,198.0
