date,price
2021-02-18,26.5
2021-02-17,26.48
2021-02-16,27.16
2021-02-12,27.49
2021-02-11,27.39
2021-02-10,27.22
2021-02-09,27.05
2021-02-08,27.49
2021-02-06,26.46
2021-02-05,26.25
2021-02-04,25.95
2021-02-03,25.33
2021-02-02,24.89
2021-02-01,24.73
2021-01-30,24.22
2021-01-29,24.15
2021-01-28,24.88
2021-01-27,24.53
2021-01-26,24.81
2021-01-25,25.02
2021-01-23,25.25
2021-01-22,25.35
2021-01-21,25.37
2021-01-20,25.64
2021-01-19,25.14
2021-01-15,25.0
2021-01-14,25.61
2021-01-13,25.867
2021-01-12,26.0
2021-01-11,25.72
2021-01-08,25.61
2021-01-07,25.88
2021-01-06,24.96
2021-01-05,24.46
2021-01-04,24.11
2021-01-01,24.54
2020-12-31,24.59
2020-12-30,24.32
2020-12-29,24.02
2020-12-28,24.1101
2020-12-24,24.26
2020-12-23,24.21
2020-12-22,24.45
2020-12-21,23.91
2020-12-19,24.45
2020-12-18,24.46
2020-12-17,24.22
2020-12-16,24.15
2020-12-15,23.71
2020-12-14,23.43
2020-12-12,23.0
2020-12-11,23.0
2020-12-10,23.1
2020-12-09,23.2
2020-12-08,23.51
2020-12-07,23.67
2020-12-04,23.78
2020-12-03,23.24
2020-12-02,22.8
2020-12-01,22.25
2020-11-30,22.0
2020-11-27,22.27
2020-11-25,22.23
2020-11-24,23.0
2020-11-23,21.31
2020-11-20,20.45
2020-11-19,20.44
2020-11-18,20.45
2020-11-17,20.44
2020-11-16,20.29
2020-11-14,19.65
2020-11-13,19.63
2020-11-12,18.97
2020-11-11,19.4
2020-11-10,19.75
2020-11-09,19.7
2020-11-06,19.33
2020-11-05,19.1
2020-11-04,18.28
2020-11-03,18.7
2020-11-02,18.43
2020-10-30,17.9
2020-10-29,17.6
2020-10-28,17.35
2020-10-27,17.91
2020-10-26,18.25
2020-10-23,19.04
2020-10-22,19.24
2020-10-21,19.38
2020-10-20,19.37
2020-10-19,19.4
2020-10-16,19.57
2020-10-15,19.56
2020-10-14,19.37
2020-10-13,19.8
2020-10-12,19.97
2020-10-09,19.5
2020-10-08,19.4
2020-10-07,19.23
2020-10-06,18.95
2020-10-05,19.29
2020-10-02,19.09
2020-10-01,19.0
2020-09-30,19.01
2020-09-29,18.92
2020-09-28,18.86
2020-09-25,18.25
2020-09-24,18.21
2020-09-23,18.2
2020-09-22,18.58
2020-09-21,18.34
2020-09-18,18.86
2020-09-17,19.33
2020-09-16,19.43
2020-09-15,19.3
2020-09-14,19.33
2020-09-11,19.43
2020-09-10,19.05
2020-09-09,19.7
2020-09-08,19.45
2020-09-04,19.2686
2020-09-03,19.1
2020-09-02,19.8
2020-09-01,19.26
2020-08-31,19.5
2020-08-28,19.81
2020-08-27,19.25
2020-08-26,18.5
2020-08-25,18.68
2020-08-24,18.78
2020-08-21,18.13
2020-08-20,18.2799
2020-08-19,18.14
2020-08-18,18.24
2020-08-17,18.0
2020-08-14,18.18
2020-08-13,18.38
2020-08-12,18.55
2020-08-11,18.58
2020-08-10,18.9
2020-08-07,18.35
2020-08-06,18.19
2020-08-05,17.9
2020-08-04,17.88
2020-08-03,17.83
2020-07-31,17.41
2020-07-30,17.35
2020-07-29,17.0
2020-07-28,16.82
2020-07-27,17.82
2020-07-24,17.387999999999998
2020-07-23,17.82
2020-07-22,17.73
2020-07-21,17.55
2020-07-20,17.68
2020-07-17,17.55
2020-07-16,17.74
2020-07-15,17.7
2020-07-14,17.89
2020-07-13,17.08
2020-07-10,17.0
2020-07-09,16.54
2020-07-08,16.79
2020-07-07,16.8
2020-07-06,17.35
2020-07-02,17.07
2020-07-01,16.96
2020-06-30,17.4
2020-06-29,17.19
2020-06-26,16.53
2020-06-25,16.37
2020-06-24,16.26
2020-06-23,17.01
2020-06-22,16.98
2020-06-19,16.71
2020-06-18,16.93
2020-06-17,16.6
2020-06-16,17.06
2020-06-15,17.0
2020-06-12,16.25
2020-06-11,15.97
2020-06-10,16.7
2020-06-09,17.49
2020-06-08,18.31
2020-06-05,17.5
2020-06-04,16.62
2020-06-03,16.82
2020-06-02,15.77
2020-06-01,15.06
2020-05-29,15.21
2020-05-28,15.1101
2020-05-27,16.25
2020-05-26,17.49
2020-05-22,17.05
2020-05-21,17.3
2020-05-20,17.35
2020-05-19,16.92
2020-05-18,16.15
2020-05-15,14.84
2020-05-14,14.58
2020-05-13,14.2
2020-05-12,14.85
2020-05-11,15.3
2020-05-08,15.73
2020-05-07,15.05
2020-05-06,14.65
2020-05-05,14.85
2020-05-04,14.9
2020-05-01,14.7
2020-04-30,15.64
2020-04-29,16.6
2020-04-28,15.5
2020-04-27,15.12
2020-04-24,15.2
2020-04-23,14.62
2020-04-22,14.76
2020-04-21,14.55
2020-04-20,15.32
2020-04-17,15.55
2020-04-16,15.51
2020-04-15,14.9
2020-04-14,15.69
2020-04-13,15.57
2020-04-09,15.97
2020-04-08,15.93
2020-04-07,15.01
2020-04-06,15.11
2020-04-03,14.5
2020-04-02,15.55
2020-04-01,15.0
2020-03-31,17.03
2020-03-30,17.96
2020-03-27,16.7
2020-03-26,18.0
2020-03-25,15.12
2020-03-24,15.47
2020-03-23,13.8
2020-03-20,13.7
2020-03-19,14.14
2020-03-18,13.3
2020-03-17,14.1
2020-03-16,15.0
2020-03-13,17.21
2020-03-12,17.1
2020-03-11,19.36
2020-03-10,19.5
2020-03-09,19.11
2020-03-06,21.45
2020-03-05,21.6
2020-03-04,21.6
2020-03-03,20.75
2020-03-02,22.0
2020-02-29,21.29
2020-02-28,21.39
2020-02-27,21.72
2020-02-26,22.53
2020-02-25,23.4
2020-02-24,23.1
2020-02-22,22.97
2020-02-21,22.97
2020-02-20,22.41
2020-02-19,22.43
2020-02-18,22.3
2020-02-14,22.38
2020-02-13,22.31
2020-02-12,22.48
2020-02-11,22.3
2020-02-10,22.21
2020-02-07,21.77
2020-02-06,21.84
2020-02-05,21.88
2020-02-04,21.55
2020-02-03,21.3
2020-02-01,21.06
2020-01-31,21.12
2020-01-30,21.58
2020-01-29,21.43
2020-01-28,21.6
2020-01-27,21.64
2020-01-24,21.95
2020-01-23,22.2
2020-01-22,21.93
2020-01-21,21.9101
2020-01-17,22.01
2020-01-16,21.71
2020-01-15,21.42
2020-01-14,21.4
2020-01-13,21.46
2020-01-11,21.41
2020-01-10,21.45
2020-01-09,21.2
2020-01-08,20.85
2020-01-07,20.66
2020-01-06,20.61
2020-01-04,20.55
2020-01-03,20.49
2020-01-02,20.79
2019-12-31,20.55
2019-12-30,20.49
2019-12-27,20.53
2019-12-26,20.69
2019-12-24,20.59
2019-12-23,20.57
2019-12-20,20.56
2019-12-19,20.3
2019-12-18,20.33
2019-12-17,20.37
2019-12-16,20.52
2019-12-13,20.3
2019-12-12,20.4
2019-12-11,20.07
2019-12-10,20.2
2019-12-09,20.5
2019-12-06,20.66
2019-12-05,20.32
2019-12-04,20.15
2019-12-03,19.65
2019-12-02,19.58
2019-11-29,20.08
2019-11-28,19.79
2019-11-27,19.8
2019-11-26,20.37
2019-11-25,20.2
2019-11-23,20.3
2019-11-22,20.0
2019-11-21,19.72
2019-11-20,19.71
2019-11-19,20.11
2019-11-18,20.01
2019-11-15,20.2288
2019-11-14,20.14
2019-11-13,19.53
2019-11-12,19.51
2019-11-11,19.68
2019-11-09,19.55
2019-11-08,19.4
2019-11-07,19.5
2019-11-06,19.55
2019-11-05,18.4
2019-11-04,18.1
2019-11-01,17.78
2019-10-31,17.37
2019-10-30,17.35
2019-10-29,17.6
2019-10-28,17.63
2019-10-25,17.33
2019-10-24,17.1192
2019-10-23,17.2
2019-10-22,17.12
2019-10-21,17.0
2019-10-18,16.85
2019-10-17,16.96
2019-10-16,17.04
2019-10-15,16.7
2019-10-14,16.59
2019-10-11,16.25
2019-10-10,16.1
2019-10-09,16.29
2019-10-08,16.3
2019-10-07,16.8
2019-10-04,16.65
2019-10-03,17.31
2019-10-02,18.58
2019-10-01,18.59
2019-09-30,19.0
2019-09-27,18.53
2019-09-26,18.37
2019-09-25,18.41
2019-09-24,18.15
2019-09-23,18.52
2019-09-20,18.47
2019-09-19,18.75
2019-09-18,18.66
2019-09-17,18.87
2019-09-16,18.87
2019-09-13,19.08
2019-09-12,18.75
2019-09-11,19.1
2019-09-10,19.0
2019-09-09,19.08
2019-09-06,19.1
2019-09-05,18.9
2019-09-04,18.36
2019-09-03,18.15
2019-08-30,18.29
2019-08-29,18.09
2019-08-28,17.79
2019-08-27,17.83
2019-08-26,17.84
2019-08-23,17.75
2019-08-22,17.73
2019-08-21,19.1299
2019-08-20,18.91
2019-08-19,19.21
2019-08-16,19.0799
2019-08-15,18.77
2019-08-14,19.28
2019-08-13,19.42
2019-08-12,18.945
2019-08-09,19.28
2019-08-08,19.53
2019-08-07,19.1
2019-08-06,19.27
2019-08-05,19.14
2019-08-02,20.14
2019-08-01,20.83
2019-07-31,20.9999
2019-07-30,21.54
2019-07-29,21.5
2019-07-26,21.3
2019-07-25,21.33
2019-07-24,21.57
2019-07-23,21.63
2019-07-22,21.44
2019-07-19,21.39
2019-07-18,21.38
2019-07-17,21.18
2019-07-16,21.25
2019-07-15,21.35
2019-07-12,21.15
2019-07-11,20.84
2019-07-10,20.59
2019-07-09,20.51
2019-07-08,20.74
2019-07-05,21.16
2019-07-03,21.16
2019-07-02,21.06
2019-07-01,20.75
2019-06-28,20.79
2019-06-27,20.74
2019-06-26,20.79
2019-06-25,20.6
2019-06-24,20.66
2019-06-21,20.7
2019-06-20,20.9
2019-06-19,20.63
2019-06-18,20.52
2019-06-17,19.9
2019-06-14,19.9
2019-06-13,19.99
2019-06-12,19.92
2019-06-11,19.85
2019-06-10,19.81
2019-06-07,19.77
2019-06-06,19.56
2019-06-05,19.58
2019-06-04,19.39
2019-06-03,18.66
2019-05-31,18.5201
2019-05-30,19.11
2019-05-29,19.0
2019-05-28,19.66
2019-05-24,19.98
2019-05-23,19.83
2019-05-22,19.15
2019-05-21,19.45
2019-05-20,18.96
2019-05-17,19.02
2019-05-16,18.94
2019-05-15,18.88
2019-05-14,18.3
2019-05-13,18.27
2019-05-10,19.2699
2019-05-09,19.2913
2019-05-08,19.5
2019-05-07,19.5
2019-05-06,20.03
2019-05-03,20.34
2019-05-02,20.04
2019-05-01,19.8
2019-04-30,19.95
2019-04-29,19.66
2019-04-26,19.41
2019-04-25,19.52
2019-04-24,19.87
2019-04-23,20.0
2019-04-22,19.92
2019-04-18,20.52
2019-04-17,20.51
2019-04-16,20.5
2019-04-15,20.11
2019-04-12,20.21
2019-04-11,19.94
2019-04-10,20.0
2019-04-09,19.59
2019-04-08,19.89
2019-04-05,19.8
2019-04-04,19.77
2019-04-03,19.75
2019-04-02,19.6101
2019-04-01,20.05
2019-03-29,19.4
2019-03-28,19.01
2019-03-27,18.93
2019-03-26,19.12
2019-03-25,18.97
2019-03-22,19.37
2019-03-21,20.22
2019-03-20,19.99
2019-03-19,19.94
2019-03-18,19.95
2019-03-15,19.88
2019-03-14,19.6
2019-03-13,19.63
2019-03-12,19.03
2019-03-11,19.11
2019-03-08,18.74
2019-03-07,18.8
2019-03-06,19.07
2019-03-05,19.37
2019-03-04,19.5
2019-03-02,19.6401
2019-03-01,19.7
2019-02-28,19.85
2019-02-27,21.15
2019-02-26,23.94
2019-02-25,23.8801
2019-02-22,23.74
2019-02-21,23.33
2019-02-20,23.45
2019-02-19,23.3
2019-02-15,23.22
2019-02-14,23.23
2019-02-13,23.32
2019-02-12,23.35
2019-02-11,22.86
2019-02-08,22.92
2019-02-07,22.86
2019-02-06,23.07
2019-02-05,22.8
2019-02-04,22.58
2019-02-01,22.16
2019-01-31,22.0
2019-01-30,22.18
2019-01-29,21.88
2019-01-28,21.98
2019-01-25,22.11
2019-01-24,21.77
2019-01-23,21.44
2019-01-22,21.65
2019-01-19,21.78
2019-01-18,21.84
2019-01-17,21.23
2019-01-16,21.0
2019-01-15,21.0
2019-01-14,20.79
2019-01-11,21.17
2019-01-10,21.47
2019-01-09,21.21
2019-01-08,21.21
2019-01-07,20.95
2019-01-05,20.72
2019-01-04,20.86
2019-01-03,19.93
2019-01-02,19.7
2018-12-31,20.15
2018-12-28,20.34
2018-12-27,20.38
2018-12-26,20.33
2018-12-24,19.38
2018-12-22,19.9899
2018-12-21,19.65
2018-12-20,19.78
2018-12-19,20.55
2018-12-18,21.41
2018-12-17,21.4101
2018-12-14,21.93
2018-12-13,22.29
2018-12-12,22.53
2018-12-11,22.4
2018-12-10,22.83
2018-12-07,22.93
2018-12-06,23.72
2018-12-04,23.01
2018-12-03,23.95
2018-12-01,23.0
2018-11-30,23.0
2018-11-29,23.0
2018-11-28,23.36
2018-11-27,22.73
2018-11-26,22.81
2018-11-23,22.51
2018-11-21,22.66
2018-11-20,22.61
2018-11-19,23.55
2018-11-16,24.16
2018-11-15,24.17
2018-11-14,23.73
2018-11-13,23.95
2018-11-12,23.9814
2018-11-09,24.9943
2018-11-08,25.5
2018-11-07,25.2
2018-11-06,24.99
2018-11-05,24.6
2018-11-02,24.63
2018-11-01,24.49
2018-10-31,24.14
2018-10-30,23.9399
2018-10-29,23.02
2018-10-26,23.29
2018-10-25,23.85
2018-10-24,23.1
2018-10-23,23.94
2018-10-22,24.12
2018-10-19,23.85
2018-10-18,23.75
2018-10-17,23.88
2018-10-16,23.95
2018-10-15,23.56
2018-10-12,23.7
2018-10-11,24.27
2018-10-10,24.26
2018-10-09,25.09
2018-10-08,24.99
2018-10-05,25.3699
2018-10-04,26.4
2018-10-03,26.65
2018-10-02,25.57
2018-10-01,25.6
2018-09-28,25.56
2018-09-27,25.75
2018-09-26,25.95
2018-09-25,25.66
2018-09-24,25.7501
2018-09-21,25.83
2018-09-20,25.7653
2018-09-19,25.35
2018-09-18,25.16
2018-09-17,25.01
2018-09-14,25.04
2018-09-13,25.01
2018-09-12,24.6
2018-09-11,24.55
2018-09-10,24.63
2018-09-07,24.71
2018-09-06,24.765
2018-09-05,24.51
2018-09-04,24.81
2018-08-31,24.65
2018-08-30,24.68
2018-08-29,25.2399
2018-08-28,24.4601
2018-08-27,24.3101
2018-08-24,24.15
2018-08-23,23.8
2018-08-22,24.6
2018-08-21,24.3
2018-08-20,24.6
2018-08-17,24.54
2018-08-16,24.0
2018-08-15,24.0
2018-08-14,24.25
2018-08-13,23.99
2018-08-10,24.0
2018-08-09,24.01
2018-08-08,24.1001
2018-08-07,24.05
2018-08-06,23.8
2018-08-03,23.4
2018-08-02,23.17
2018-08-01,22.92
2018-07-31,23.1
2018-07-30,23.1
2018-07-27,23.23
2018-07-26,23.45
2018-07-25,23.0
2018-07-24,22.99
2018-07-23,23.04
2018-07-20,22.94
2018-07-19,23.19
2018-07-18,23.32
2018-07-17,23.59
2018-07-16,23.57
2018-07-13,23.71
2018-07-12,23.52
2018-07-11,23.23
2018-07-10,23.87
2018-07-09,23.37
2018-07-06,23.01
2018-07-05,22.75
2018-07-03,22.59
2018-07-02,22.6451
2018-06-29,22.69
2018-06-28,22.67
2018-06-27,22.81
2018-06-26,23.05
2018-06-25,23.3
2018-06-22,23.9
2018-06-21,23.24
2018-06-20,23.78
2018-06-19,23.52
2018-06-18,23.65
2018-06-15,23.59
2018-06-14,23.8001
2018-06-13,23.54
2018-06-12,23.62
2018-06-11,24.1
2018-06-08,23.53
2018-06-07,23.51
2018-06-06,23.33
2018-06-05,23.52
2018-06-04,22.74
2018-06-01,22.68
2018-05-31,22.0
2018-05-30,22.1
2018-05-29,21.35
2018-05-25,22.0
2018-05-24,21.92
2018-05-23,21.85
2018-05-22,22.06
2018-05-21,22.0
2018-05-18,22.14
2018-05-17,22.38
2018-05-16,22.2
2018-05-15,22.04
2018-05-14,22.57
2018-05-11,22.71
2018-05-10,22.75
2018-05-09,22.54
2018-05-08,21.81
2018-05-07,21.84
2018-05-04,21.67
2018-05-03,21.35
2018-05-02,21.55
2018-05-01,21.82
2018-04-30,21.49
2018-04-27,21.61
2018-04-26,21.35
2018-04-25,21.31
2018-04-24,21.05
2018-04-23,21.38
2018-04-20,21.53
2018-04-19,21.66
2018-04-18,22.12
2018-04-17,22.1
2018-04-16,21.9
2018-04-13,21.66
2018-04-12,21.94
2018-04-11,21.23
2018-04-10,21.77
2018-04-09,21.03
2018-04-06,20.8
2018-04-05,21.25
2018-04-04,21.54
2018-04-03,21.32
2018-04-02,21.14
2018-03-29,22.0
2018-03-28,21.69
2018-03-27,21.77
2018-03-26,22.02
2018-03-23,21.85
2018-03-22,22.45
2018-03-21,23.28
2018-03-20,23.3
2018-03-19,23.2
2018-03-16,23.55
2018-03-15,23.64
2018-03-14,23.6
2018-03-13,23.62
2018-03-12,23.88
2018-03-09,24.65
2018-03-08,23.95
2018-03-07,24.04
2018-03-06,23.26
2018-03-05,23.77
2018-03-03,23.65
2018-03-02,23.65
2018-03-01,23.35
2018-02-28,23.35
2018-02-27,23.75
2018-02-26,23.48
2018-02-24,22.05
2018-02-23,22.05
2018-02-22,22.8
2018-02-21,21.11
2018-02-20,21.39
2018-02-16,21.43
2018-02-15,21.5
2018-02-14,21.29
2018-02-13,20.6
2018-02-12,20.33
2018-02-10,20.15
2018-02-09,20.11
2018-02-08,19.92
2018-02-07,21.2
2018-02-06,21.45
2018-02-05,20.88
2018-02-02,22.35
2018-02-01,23.3
2018-01-31,23.14
2018-01-30,23.6
2018-01-29,23.81
2018-01-26,23.6657
2018-01-25,23.3
2018-01-24,23.62
2018-01-23,23.78
2018-01-22,23.85
2018-01-19,23.7
2018-01-18,23.29
2018-01-17,22.88
2018-01-16,22.9
2018-01-12,22.91
2018-01-11,22.48
2018-01-10,22.05
2018-01-09,21.75
2018-01-08,21.65
2018-01-05,21.78
2018-01-04,21.5494
2018-01-03,21.3979
2018-01-02,21.34
2017-12-30,20.99
2017-12-29,21.01
2017-12-28,21.1
2017-12-27,21.27
2017-12-26,21.23
2017-12-22,21.26
2017-12-21,21.25
2017-12-20,21.46
2017-12-19,21.41
2017-12-18,21.29
2017-12-15,20.92
2017-12-14,20.73
2017-12-13,20.85
2017-12-12,20.98
2017-12-11,21.2
2017-12-09,21.08
2017-12-08,21.08
2017-12-07,20.96
2017-12-06,20.98
2017-12-05,21.07
2017-12-04,21.05
2017-12-01,21.41
2017-11-30,21.45
2017-11-29,21.43
2017-11-28,21.66
2017-11-27,21.25
2017-11-24,21.2
2017-11-23,21.4
2017-11-22,21.35
2017-11-21,21.25
2017-11-20,22.24
2017-11-18,21.83
2017-11-17,21.85
2017-11-16,21.6
2017-11-15,21.36
2017-11-14,21.36
2017-11-13,21.15
2017-11-10,21.23
2017-11-09,21.34
2017-11-08,21.4016
2017-11-07,21.38
2017-11-06,21.42
2017-11-03,21.38
2017-11-02,21.44
2017-11-01,21.555
2017-10-31,21.57
2017-10-30,21.39
2017-10-27,21.48
2017-10-26,21.52
2017-10-25,21.95
2017-10-24,21.95
2017-10-23,22.15
2017-10-20,22.02
2017-10-19,22.05
2017-10-18,21.72
2017-10-17,21.55
2017-10-16,21.83
2017-10-13,21.84
2017-10-12,20.9
2017-10-11,20.32
2017-10-10,20.57
2017-10-09,20.73
2017-10-06,20.61
2017-10-05,20.35
2017-10-04,20.35
2017-10-03,20.09
2017-10-02,20.12
2017-09-29,19.96
2017-09-28,19.99
2017-09-27,19.87
2017-09-26,19.8
2017-09-25,19.85
2017-09-22,19.94
2017-09-21,19.75
2017-09-20,19.6
2017-09-19,19.49
2017-09-18,19.57
2017-09-15,19.44
2017-09-14,19.46
2017-09-13,19.28
2017-09-12,19.48
2017-09-11,19.32
2017-09-08,19.12
2017-09-07,19.28
2017-09-06,19.4266
2017-09-05,19.2
2017-09-01,19.33
2017-08-31,19.06
2017-08-30,19.21
2017-08-29,19.28
2017-08-28,19.0
2017-08-25,19.3
2017-08-24,19.52
2017-08-23,18.6
2017-08-22,19.04
2017-08-21,18.57
2017-08-18,18.5
2017-08-17,18.67
2017-08-16,18.9958
2017-08-15,19.0476
2017-08-14,19.03
2017-08-11,18.9
2017-08-10,18.9
2017-08-09,19.41
2017-08-08,19.34
2017-08-07,19.32
2017-08-04,19.39
2017-08-03,19.36
2017-08-02,19.3
2017-08-01,19.14
2017-07-31,19.1
2017-07-28,19.17
2017-07-27,19.25
2017-07-26,19.26
2017-07-25,19.24
2017-07-24,19.24
2017-07-21,19.15
2017-07-20,18.94
2017-07-19,18.75
2017-07-18,18.36
2017-07-17,18.47
2017-07-14,18.4
2017-07-13,18.08
2017-07-12,17.9
2017-07-11,17.94
2017-07-10,17.86
2017-07-07,17.35
2017-07-06,17.18
2017-07-05,17.59
2017-07-03,17.56
2017-06-30,17.48
2017-06-29,17.52
2017-06-28,18.02
2017-06-27,17.77
2017-06-26,18.21
2017-06-23,17.8
2017-06-22,17.71
2017-06-21,17.7
2017-06-20,17.83
2017-06-19,17.71
2017-06-16,17.35
2017-06-15,17.27
2017-06-14,17.41
2017-06-13,17.76
2017-06-12,17.75
2017-06-09,17.85
2017-06-08,18.25
2017-06-07,18.24
2017-06-06,18.26
2017-06-05,18.89
2017-06-02,18.94
2017-06-01,18.95
2017-05-31,18.8
2017-05-30,18.96
2017-05-26,18.55
2017-05-25,18.4
2017-05-24,19.58
2017-05-23,19.05
2017-05-22,19.11
2017-05-19,18.95
2017-05-18,18.8
2017-05-17,18.97
2017-05-16,19.47
2017-05-15,19.36
2017-05-12,19.3
2017-05-11,19.49
2017-05-10,19.32
2017-05-09,19.24
2017-05-08,19.31
2017-05-05,18.91
2017-05-04,18.79
2017-05-03,18.81
2017-05-02,18.9
2017-05-01,18.93
2017-04-28,18.8
2017-04-27,18.77
2017-04-26,18.65
2017-04-25,18.56
2017-04-24,18.5
2017-04-21,18.34
2017-04-20,18.52
2017-04-19,18.3
2017-04-18,18.145
2017-04-17,18.2
2017-04-13,18.15
2017-04-12,18.02
2017-04-11,17.56
2017-04-10,17.36
2017-04-07,17.4
2017-04-06,17.59
2017-04-05,17.69
2017-04-04,17.7
2017-04-03,17.5756
2017-03-31,17.88
2017-03-30,17.28
2017-03-29,17.26
2017-03-28,17.2
2017-03-27,17.2
2017-03-24,17.23
2017-03-23,17.21
2017-03-22,17.23
2017-03-21,17.15
2017-03-20,17.56
2017-03-17,17.66
2017-03-16,17.65
2017-03-15,17.51
2017-03-14,17.47
2017-03-13,17.49
2017-03-10,17.39
2017-03-09,17.35
2017-03-08,17.32
2017-03-07,17.29
2017-03-06,17.3
2017-03-03,17.35
2017-03-02,17.32
2017-03-01,17.62
2017-02-28,17.37
2017-02-27,17.62
2017-02-25,17.65
2017-02-24,17.65
2017-02-23,17.54
2017-02-22,16.5
2017-02-21,16.13
2017-02-17,15.95
2017-02-16,15.9
2017-02-15,15.98
2017-02-14,16.04
2017-02-13,16.03
2017-02-10,15.72
2017-02-09,15.64
2017-02-08,15.55
2017-02-07,15.44
2017-02-06,15.26
2017-02-04,15.29
2017-02-03,15.27
2017-02-02,15.21
2017-02-01,14.99
2017-01-31,15.04
2017-01-30,14.85
2017-01-27,14.83
2017-01-26,14.88
2017-01-25,15.22
2017-01-24,15.16
2017-01-23,14.67
2017-01-20,14.73
2017-01-19,14.86
2017-01-18,14.55
2017-01-17,14.6
2017-01-13,14.77
2017-01-12,14.79
2017-01-11,14.94
2017-01-10,14.65
2017-01-09,14.64
2017-01-06,15.0
2017-01-05,15.07
2017-01-04,15.08
2017-01-03,14.8
2016-12-30,14.84
2016-12-29,14.94
2016-12-28,14.92
2016-12-27,15.15
2016-12-23,15.1
2016-12-22,15.14
2016-12-21,15.14
2016-12-20,15.08
2016-12-19,15.12
2016-12-16,15.06
2016-12-15,15.48
2016-12-14,15.61
2016-12-13,15.82
