date,price
2021-02-18,120.07
2021-02-17,120.0
2021-02-16,120.0
2021-02-13,120.9
2021-02-12,120.91
2021-02-11,120.8699
2021-02-10,122.14
2021-02-09,122.36
2021-02-08,123.6
2021-02-05,121.79
2021-02-04,121.0
2021-02-03,119.17
2021-02-02,119.58
2021-02-01,120.71
2021-01-30,119.02
2021-01-29,119.15
2021-01-28,120.0999
2021-01-27,122.0
2021-01-26,121.85
2021-01-25,118.36
2021-01-23,118.8
2021-01-22,118.91
2021-01-21,122.33
2021-01-20,130.2
2021-01-19,129.25
2021-01-16,128.3
2021-01-15,128.39
2021-01-14,129.0
2021-01-13,127.05
2021-01-12,129.48
2021-01-11,128.58
2021-01-08,129.0
2021-01-07,129.01
2021-01-06,129.57
2021-01-05,125.9
2021-01-04,123.75
2020-12-31,125.88
2020-12-30,124.34
2020-12-29,123.8
2020-12-28,124.88
2020-12-24,124.66
2020-12-23,124.0
2020-12-22,123.75
2020-12-21,123.12
2020-12-19,125.92
2020-12-18,126.0
2020-12-17,125.55
2020-12-16,125.73
2020-12-15,125.99
2020-12-14,123.6
2020-12-12,124.15
2020-12-11,124.16
2020-12-10,125.0
2020-12-09,126.86
2020-12-08,125.9
2020-12-07,125.0
2020-12-05,127.1
2020-12-04,127.05
2020-12-03,123.71
2020-12-02,124.55
2020-12-01,123.0
2020-11-30,123.6
2020-11-27,124.35
2020-11-25,124.2
2020-11-24,124.54
2020-11-23,120.4
2020-11-20,116.8
2020-11-19,116.45
2020-11-18,116.7
2020-11-17,118.04
2020-11-16,118.31
2020-11-14,116.66
2020-11-13,117.0
2020-11-12,114.54
2020-11-11,117.15
2020-11-10,117.9
2020-11-09,115.88
2020-11-07,114.44
2020-11-06,114.47
2020-11-05,114.9
2020-11-04,112.0
2020-11-03,114.85
2020-11-02,113.13
2020-10-30,111.76
2020-10-29,108.3
2020-10-28,107.19
2020-10-27,110.1
2020-10-26,112.27
2020-10-23,116.0
2020-10-22,115.97
2020-10-21,114.88
2020-10-20,117.51
2020-10-19,121.89
2020-10-16,125.9
2020-10-15,125.15
2020-10-14,125.94
2020-10-13,125.48
2020-10-12,127.27
2020-10-09,127.7
2020-10-08,131.4
2020-10-07,124.0
2020-10-06,121.85
2020-10-05,121.9
2020-10-02,120.3
2020-10-01,121.1
2020-09-30,121.6
2020-09-29,120.94
2020-09-28,121.7178
2020-09-25,118.65
2020-09-24,118.76
2020-09-23,118.51
2020-09-22,120.3
2020-09-21,120.58
2020-09-18,122.9
2020-09-17,124.95
2020-09-16,124.3
2020-09-15,122.4
2020-09-14,121.71
2020-09-11,121.3
2020-09-10,120.75
2020-09-09,122.7
2020-09-08,120.58
2020-09-04,122.32
2020-09-03,123.25
2020-09-02,128.3
2020-09-01,123.69
2020-08-31,123.3
2020-08-28,125.3
2020-08-27,124.76
2020-08-26,124.2499
2020-08-25,124.66
2020-08-24,125.69
2020-08-21,123.17
2020-08-20,123.2
2020-08-19,123.7
2020-08-18,124.94
2020-08-17,124.61
2020-08-14,125.04
2020-08-13,125.19
2020-08-12,126.26
2020-08-11,126.86
2020-08-10,127.0
2020-08-07,124.77
2020-08-06,126.13
2020-08-05,125.43
2020-08-04,125.8
2020-08-03,124.49
2020-07-31,122.63
2020-07-30,123.87
2020-07-29,125.33
2020-07-28,124.72
2020-07-27,126.5
2020-07-24,125.45
2020-07-23,127.36
2020-07-22,128.35
2020-07-21,125.81
2020-07-20,132.2499
2020-07-17,125.48
2020-07-16,123.74
2020-07-15,123.0
2020-07-14,121.48
2020-07-13,119.45
2020-07-10,118.4
2020-07-09,115.99
2020-07-08,118.0
2020-07-07,117.82
2020-07-06,120.34
2020-07-02,119.9
2020-07-01,118.45
2020-06-30,120.32
2020-06-29,120.1
2020-06-26,117.19
2020-06-25,119.38
2020-06-24,116.34
2020-06-23,119.3
2020-06-22,121.5
2020-06-19,122.09
2020-06-18,124.84
2020-06-17,124.0
2020-06-16,125.85
2020-06-15,122.0701
2020-06-12,121.8
2020-06-11,119.8
2020-06-10,129.87
2020-06-09,131.87
2020-06-08,135.28
2020-06-05,131.8
2020-06-04,128.89
2020-06-03,129.05
2020-06-02,126.4
2020-06-01,124.43
2020-05-29,125.15
2020-05-28,124.54
2020-05-27,125.68
2020-05-26,121.76
2020-05-22,118.4
2020-05-21,119.36
2020-05-20,121.45
2020-05-19,120.8
2020-05-18,121.6
2020-05-15,116.96
2020-05-14,117.2
2020-05-13,116.0
2020-05-12,118.88
2020-05-11,122.25
2020-05-08,123.06
2020-05-07,121.93
2020-05-06,123.1
2020-05-05,122.99
2020-05-04,121.41
2020-05-01,121.96
2020-04-30,124.58
2020-04-29,128.82
2020-04-28,126.5
2020-04-27,125.65
2020-04-24,124.57
2020-04-23,120.8
2020-04-22,118.99
2020-04-21,117.15
2020-04-20,116.7
2020-04-17,120.03
2020-04-16,118.5
2020-04-15,118.0
2020-04-14,123.8
2020-04-13,121.97
2020-04-09,121.61
2020-04-08,119.31
2020-04-07,115.5
2020-04-06,114.82
2020-04-03,106.21
2020-04-02,109.45
2020-04-01,105.5
2020-03-31,109.13
2020-03-30,112.75
2020-03-27,107.5
2020-03-26,112.55
2020-03-25,106.5
2020-03-24,105.48
2020-03-23,95.76
2020-03-20,94.82
2020-03-19,99.05
2020-03-18,105.0
2020-03-17,103.0
2020-03-16,100.9
2020-03-13,106.0
2020-03-12,102.0
2020-03-11,118.2
2020-03-10,123.5
2020-03-09,120.6
2020-03-07,127.0
2020-03-06,127.0
2020-03-05,129.58
2020-03-04,133.4
2020-03-03,128.83
2020-03-02,133.75
2020-02-29,131.51
2020-02-28,131.35
2020-02-27,132.1
2020-02-26,139.67
2020-02-25,142.14
2020-02-24,146.95
2020-02-21,150.09
2020-02-20,150.82
2020-02-19,150.8
2020-02-18,151.15
2020-02-15,150.56
2020-02-14,150.56
2020-02-13,154.33
2020-02-12,155.31
2020-02-11,153.5
2020-02-10,154.45
2020-02-08,152.9
2020-02-07,152.89
2020-02-06,157.14
2020-02-05,155.91
2020-02-04,149.44
2020-02-03,146.1
2020-02-01,143.67
2020-01-31,143.5
2020-01-30,143.41
2020-01-29,137.74
2020-01-28,139.7
2020-01-27,138.86
2020-01-25,140.51
2020-01-24,140.56
2020-01-23,142.99
2020-01-22,143.95
2020-01-21,144.2
2020-01-18,138.12
2020-01-17,138.12
2020-01-16,137.97
2020-01-15,136.47
2020-01-14,135.78
2020-01-13,136.6
2020-01-11,136.69
2020-01-10,136.69
2020-01-09,136.75
2020-01-08,135.22
2020-01-07,133.12
2020-01-06,134.1
2020-01-03,134.4
2020-01-02,135.4
2020-01-01,134.09
2019-12-31,134.09
2019-12-30,132.85
2019-12-28,135.03
2019-12-27,135.05
2019-12-26,134.94
2019-12-24,134.98
2019-12-23,135.5
2019-12-20,135.59
2019-12-19,134.55
2019-12-18,134.89
2019-12-17,134.19
2019-12-16,134.13
2019-12-13,134.2
2019-12-12,135.66
2019-12-11,133.8
2019-12-10,133.96
2019-12-09,133.91
2019-12-07,133.2
2019-12-06,133.22
2019-12-05,131.99
2019-12-04,132.15
2019-12-03,131.95
2019-12-02,132.75
2019-11-29,134.5
2019-11-28,133.51
2019-11-27,133.64
2019-11-26,135.09
2019-11-25,135.96
2019-11-22,134.13
2019-11-21,133.82
2019-11-20,133.18
2019-11-19,134.27
2019-11-18,134.21
2019-11-16,134.4
2019-11-15,134.3
2019-11-14,134.2
2019-11-13,134.48
