date,price
2021-02-18,62.0
2021-02-17,62.07
2021-02-16,62.35
2021-02-13,62.0
2021-02-12,61.84
2021-02-11,60.9
2021-02-10,58.86
2021-02-09,58.85
2021-02-08,59.28
2021-02-06,58.2
2021-02-05,58.25
2021-02-04,58.78
2021-02-03,57.68
2021-02-02,57.85
2021-02-01,56.68
2021-01-30,55.35
2021-01-29,55.37
2021-01-28,55.57
2021-01-27,53.35
2021-01-26,54.9
2021-01-25,55.23
2021-01-23,56.12
2021-01-22,56.33
2021-01-21,59.72
2021-01-20,58.8
2021-01-19,58.12
2021-01-16,57.4401
2021-01-15,57.43
2021-01-14,59.25
2021-01-13,56.85
2021-01-12,53.17
2021-01-11,52.11
2021-01-09,51.53
2021-01-08,51.68
2021-01-07,52.19
2021-01-06,51.3
2021-01-05,50.57
2021-01-04,49.58
2021-01-01,49.85
2020-12-31,49.86
2020-12-30,48.72
2020-12-29,49.46
2020-12-28,46.98
2020-12-24,46.97
2020-12-23,46.62
2020-12-22,46.17
2020-12-21,46.15
2020-12-19,47.33
2020-12-18,47.41
2020-12-17,50.62
2020-12-16,51.25
2020-12-15,50.66
2020-12-14,50.69
2020-12-12,49.59
2020-12-11,49.7
2020-12-10,50.2101
2020-12-09,50.0
2020-12-08,50.64
2020-12-07,50.09
2020-12-05,52.02
2020-12-04,52.11
2020-12-03,51.03
2020-12-02,49.99
2020-12-01,49.52
2020-11-30,48.41
2020-11-27,47.62
2020-11-26,47.07
2020-11-25,47.09
2020-11-24,47.13
2020-11-23,46.13
2020-11-21,45.46
2020-11-20,45.44
2020-11-19,45.38
2020-11-18,45.08
2020-11-17,45.65
2020-11-16,46.05
2020-11-14,45.45
2020-11-13,45.46
2020-11-12,44.96
2020-11-11,46.28
2020-11-10,45.5
2020-11-09,45.65
2020-11-07,45.38
2020-11-06,45.38
2020-11-05,45.66
2020-11-04,45.78
2020-11-03,44.96
2020-11-02,44.55
2020-10-30,44.28
2020-10-29,43.94
2020-10-28,44.38
2020-10-27,45.5
2020-10-26,46.6
2020-10-23,48.14
2020-10-22,48.85
2020-10-21,53.52
2020-10-20,53.57
2020-10-19,55.12
2020-10-16,54.14
2020-10-15,54.05
2020-10-14,53.51
2020-10-13,54.1
2020-10-12,54.04
2020-10-09,52.89
2020-10-08,53.67
2020-10-07,52.75
2020-10-06,51.35
2020-10-05,51.64
2020-10-02,50.84
2020-10-01,52.25
2020-09-30,52.07
2020-09-29,51.31
2020-09-28,51.7
2020-09-25,49.87
2020-09-24,49.35
2020-09-23,48.77
2020-09-22,50.0
2020-09-21,49.97
2020-09-18,50.01
2020-09-17,50.36
2020-09-16,50.42
2020-09-15,50.2
2020-09-14,49.38
2020-09-11,49.27
2020-09-10,49.09
2020-09-09,49.83
2020-09-08,48.85
2020-09-04,49.98
2020-09-03,50.06
2020-09-02,52.43
2020-09-01,51.13
2020-08-31,50.94
2020-08-28,50.48
2020-08-27,49.48
2020-08-26,49.54
2020-08-25,49.28
2020-08-24,49.13
2020-08-21,49.09
2020-08-20,49.15
2020-08-19,50.06
2020-08-18,48.76
2020-08-17,48.96
2020-08-14,48.89
2020-08-13,48.69
2020-08-12,49.14
2020-08-11,48.25
2020-08-10,49.11
2020-08-07,48.04
2020-08-06,48.51
2020-08-05,48.89
2020-08-04,49.08
2020-08-03,48.35
2020-07-31,47.67
2020-07-30,48.18
2020-07-29,48.0
2020-07-28,48.97
2020-07-27,49.46
2020-07-24,50.85
2020-07-23,54.0
2020-07-22,61.08
2020-07-21,61.3
2020-07-20,61.28
2020-07-17,60.03
2020-07-16,58.9
2020-07-15,58.98
2020-07-14,59.05
2020-07-13,58.83
2020-07-10,59.68
2020-07-09,58.54
2020-07-08,58.65
2020-07-07,58.56
2020-07-06,59.4
2020-07-02,59.22
2020-07-01,58.6101
2020-06-30,59.6
2020-06-29,58.75
2020-06-26,57.27
2020-06-25,58.74
