date,price
2021-02-18,165.88
2021-02-17,165.72
2021-02-16,165.05
2021-02-13,166.48
2021-02-12,166.75
2021-02-11,166.1
2021-02-10,166.62
2021-02-09,166.26
2021-02-08,165.0
2021-02-06,164.7
2021-02-05,164.45
2021-02-04,165.45
2021-02-03,160.55
2021-02-02,161.33
2021-02-01,162.95
2021-01-30,165.0
2021-01-29,164.4
2021-01-28,168.45
2021-01-27,167.54
2021-01-26,170.2
2021-01-25,165.88
2021-01-23,164.3
2021-01-22,164.23
2021-01-21,162.33
2021-01-20,162.59
2021-01-19,163.25
2021-01-16,160.75
2021-01-15,160.8999
2021-01-14,160.77
2021-01-13,159.83
2021-01-12,158.45
2021-01-11,159.49
2021-01-09,160.83
2021-01-08,160.5
2021-01-07,160.54
2021-01-06,160.3
2021-01-05,158.32
2021-01-04,156.5
2021-01-01,157.11
2020-12-31,157.5
2020-12-30,156.1001
2020-12-29,153.91
2020-12-28,153.33
2020-12-24,152.47
2020-12-23,152.15
2020-12-22,153.0
2020-12-21,153.05
2020-12-19,155.0
2020-12-18,155.0
2020-12-17,153.75
2020-12-16,149.75
2020-12-15,150.6
2020-12-14,149.37
2020-12-12,153.0
2020-12-11,153.14
2020-12-10,152.25
2020-12-09,153.34
2020-12-08,151.8
2020-12-07,148.97
2020-12-05,150.0
2020-12-04,150.2
2020-12-03,148.99
2020-12-02,148.3
2020-12-01,147.52
2020-11-30,144.95
2020-11-27,144.53
2020-11-25,143.68
2020-11-24,144.01
2020-11-23,144.15
2020-11-21,146.61
2020-11-20,146.64
2020-11-19,146.99
2020-11-18,147.77
2020-11-17,149.39
2020-11-16,150.95
2020-11-14,150.1
2020-11-13,150.0
2020-11-12,148.3
2020-11-11,147.85
2020-11-10,148.76
2020-11-09,146.8
2020-11-07,142.4
2020-11-06,142.7
2020-11-05,139.51
2020-11-04,138.99
2020-11-03,138.85
2020-11-02,138.75
2020-10-30,137.11
2020-10-29,137.25
2020-10-28,138.51
2020-10-27,142.84
2020-10-26,144.0
2020-10-23,145.5
2020-10-22,145.1
2020-10-21,143.6
2020-10-20,144.57
2020-10-19,144.77
2020-10-16,148.08
2020-10-15,147.49
2020-10-14,148.1
2020-10-13,148.65
2020-10-12,152.24
2020-10-09,151.0
2020-10-08,149.3
2020-10-07,148.5
2020-10-06,146.26
2020-10-05,148.2
2020-10-02,146.15
2020-10-01,147.31
2020-09-30,149.0
2020-09-29,147.39
2020-09-28,147.11
2020-09-25,145.85
2020-09-24,145.46
2020-09-23,144.99
2020-09-22,144.36
2020-09-21,145.39
2020-09-18,149.47
2020-09-17,147.07
2020-09-16,148.59
2020-09-15,149.02
2020-09-14,148.9
2020-09-11,147.6
2020-09-10,147.16
2020-09-09,150.45
2020-09-08,147.05
2020-09-04,148.75
2020-09-03,148.41
2020-09-02,153.5
2020-09-01,151.41
2020-08-31,153.25
2020-08-28,153.75
2020-08-27,152.99
2020-08-26,152.2
2020-08-25,152.18
2020-08-24,151.9
2020-08-21,153.45
2020-08-20,151.75
2020-08-19,150.39
2020-08-18,150.05
2020-08-17,149.01
2020-08-14,148.15
2020-08-13,148.18
2020-08-12,149.99
2020-08-11,147.16
2020-08-10,147.8
2020-08-07,148.3
2020-08-06,147.7
2020-08-05,149.19
2020-08-04,147.07
2020-08-03,147.29
2020-07-31,145.76
2020-07-30,147.2
2020-07-29,146.68
2020-07-28,146.85
2020-07-27,147.45
2020-07-24,148.0
2020-07-23,149.7
2020-07-22,150.0
2020-07-21,149.75
2020-07-20,149.75
2020-07-17,149.3
2020-07-16,150.18
2020-07-15,147.93
2020-07-14,148.43
2020-07-13,145.23
2020-07-10,142.99
2020-07-09,143.0
2020-07-08,143.27
2020-07-07,143.0
2020-07-06,143.25
2020-07-02,141.04
2020-07-01,140.4
2020-06-30,140.6
2020-06-29,139.49
2020-06-26,137.6
2020-06-25,140.01
2020-06-24,140.0
2020-06-23,142.86
2020-06-22,143.5
2020-06-19,143.76
2020-06-18,143.4
2020-06-17,143.0
2020-06-16,145.19
2020-06-15,141.7
2020-06-12,142.13
2020-06-11,142.4899
2020-06-10,147.8
2020-06-09,146.49
2020-06-08,146.38
2020-06-05,147.3
2020-06-04,146.44
2020-06-03,148.9
2020-06-02,148.28
2020-06-01,147.07
2020-05-29,148.75
2020-05-28,146.01
2020-05-27,145.68
2020-05-26,144.97
2020-05-22,144.55
2020-05-21,147.0
2020-05-20,147.92
2020-05-19,148.51
2020-05-18,150.8
2020-05-15,150.01
2020-05-14,147.13
2020-05-13,147.25
2020-05-12,146.0
2020-05-11,148.88
2020-05-08,148.7
2020-05-07,148.1
2020-05-06,147.99
2020-05-05,149.8
2020-05-04,148.3
2020-05-01,147.81
2020-04-30,149.48
2020-04-29,150.75
2020-04-28,151.8
2020-04-27,154.03
2020-04-24,154.66
