date,price
2021-02-18,145.32
2021-02-17,145.22
2021-02-16,144.6
2021-02-13,141.55
2021-02-12,141.26
2021-02-11,139.09
2021-02-10,139.32
2021-02-09,139.55
2021-02-08,139.77
2021-02-06,137.99
2021-02-05,137.98
2021-02-04,138.2
2021-02-03,135.3
2021-02-02,133.99
2021-02-01,129.67
2021-01-30,128.8
2021-01-29,128.8
2021-01-28,129.95
2021-01-27,127.36
2021-01-26,131.13
2021-01-25,132.17
2021-01-23,133.92
2021-01-22,134.29
2021-01-21,134.75
2021-01-20,135.9
2021-01-19,138.05
2021-01-16,137.98
2021-01-15,138.2
2021-01-14,141.36
2021-01-13,140.42
2021-01-12,140.29
2021-01-11,138.19
2021-01-09,136.25
2021-01-08,136.26
2021-01-07,135.85
2021-01-06,131.97
2021-01-05,125.45
2021-01-04,125.79
2021-01-01,127.15
2020-12-31,127.12
2020-12-30,125.36
2020-12-29,125.0
2020-12-28,125.38
2020-12-24,124.52
2020-12-23,125.4499
2020-12-22,121.83
2020-12-21,123.56
2020-12-19,126.0
2020-12-18,125.3999
2020-12-17,119.72
2020-12-16,120.79
2020-12-15,120.4
2020-12-14,118.36
2020-12-11,119.32
2020-12-10,120.79
2020-12-09,121.05
2020-12-08,122.25
2020-12-07,121.67
2020-12-04,122.2
2020-12-03,121.6
2020-12-02,121.89
2020-12-01,119.6
2020-11-30,118.32
2020-11-27,121.12
2020-11-25,122.16
2020-11-24,123.75
2020-11-23,118.89
2020-11-21,114.25
2020-11-20,114.29
2020-11-19,114.2
2020-11-18,114.99
2020-11-17,116.16
2020-11-16,117.0
2020-11-14,114.02
2020-11-13,114.09
2020-11-12,113.15
2020-11-11,114.81
2020-11-10,116.95
2020-11-09,117.47
2020-11-07,103.09
2020-11-06,103.0
2020-11-05,103.85
2020-11-04,100.28
2020-11-03,104.3
2020-11-02,100.75
2020-10-30,98.09
2020-10-29,96.8
2020-10-28,96.97
2020-10-27,99.0
2020-10-26,101.3
2020-10-23,103.9
2020-10-22,103.2
2020-10-21,99.18
2020-10-20,100.45
2020-10-19,100.21
2020-10-16,101.4
2020-10-15,101.85
2020-10-14,100.35
2020-10-13,100.95
2020-10-12,103.0
2020-10-09,101.51
2020-10-08,102.47
2020-10-07,99.98
2020-10-06,97.98
2020-10-05,99.0
2020-10-02,97.7
2020-10-01,96.9
2020-09-30,96.26
2020-09-29,95.56
2020-09-28,96.6
2020-09-25,93.29
2020-09-24,93.3
2020-09-23,92.5
2020-09-22,94.15
2020-09-21,95.44
2020-09-18,98.3499
2020-09-17,98.63
2020-09-16,99.81
2020-09-15,99.56
2020-09-14,102.8
2020-09-11,101.0
2020-09-10,100.0
2020-09-09,101.03
2020-09-08,99.8
2020-09-04,103.6
2020-09-03,100.5901
2020-09-02,101.95
2020-09-01,100.23
2020-08-31,100.2
2020-08-28,102.8
2020-08-27,102.69
2020-08-26,99.26
2020-08-25,100.5
2020-08-24,100.25
2020-08-21,97.31
2020-08-20,97.56
2020-08-19,98.34
2020-08-18,98.45
2020-08-17,99.75
2020-08-14,102.0
2020-08-13,102.55
2020-08-12,102.99
2020-08-11,103.99
2020-08-10,100.64
2020-08-07,99.35
2020-08-06,97.24
2020-08-05,97.3
2020-08-04,95.4
2020-08-03,96.14
2020-07-31,96.6
2020-07-30,97.45
2020-07-29,99.55
2020-07-28,97.5
2020-07-27,97.01
2020-07-24,98.17
2020-07-23,99.0
2020-07-22,98.51
2020-07-21,99.66
2020-07-20,97.3999
2020-07-17,98.25
2020-07-16,99.89
2020-07-15,99.2
2020-07-14,99.18
2020-07-13,97.91
2020-07-10,96.6
2020-07-09,91.72
2020-07-08,93.31
2020-07-07,92.48
2020-07-06,95.05
2020-07-02,93.0
2020-07-01,93.44
2020-06-30,93.92
2020-06-29,93.96
2020-06-26,92.4
2020-06-25,96.15
2020-06-24,94.8
2020-06-23,97.8
2020-06-22,97.25
2020-06-19,97.41
2020-06-18,99.98
2020-06-17,98.68
2020-06-16,102.0
2020-06-15,102.0101
2020-06-12,99.6
2020-06-11,98.5
2020-06-10,103.9
2020-06-09,110.7
2020-06-08,113.75
2020-06-05,111.21
2020-06-04,106.47
2020-06-03,105.1
2020-06-02,99.29
2020-06-01,97.79
2020-05-29,98.05
2020-05-28,99.69
2020-05-27,102.05
2020-05-26,96.04
2020-05-22,89.55
2020-05-21,90.4
2020-05-20,91.2
2020-05-19,88.92
2020-05-18,91.02
2020-05-15,85.67
2020-05-14,88.32
2020-05-13,84.3
2020-05-12,86.35
2020-05-11,90.01
2020-05-08,92.88
2020-05-07,91.78
2020-05-06,90.04
2020-05-05,92.1
2020-05-04,92.5
2020-05-01,93.35
2020-04-30,94.3
2020-04-29,99.0
2020-04-28,95.75
2020-04-27,94.5
2020-04-24,90.73
2020-04-23,88.99
2020-04-22,88.95
2020-04-21,89.48
2020-04-20,92.07
2020-04-17,95.3
2020-04-16,92.64
2020-04-15,90.3
2020-04-14,95.64
2020-04-13,99.1
2020-04-09,103.84
2020-04-08,94.8
2020-04-07,90.9
2020-04-06,89.5
2020-04-03,83.99
2020-04-02,87.38
2020-04-01,85.0
2020-03-31,88.7
2020-03-30,93.33
2020-03-27,90.75
2020-03-26,98.0
2020-03-25,92.0
2020-03-24,87.61
2020-03-23,81.07
2020-03-20,83.0
2020-03-19,83.3
2020-03-18,85.32
2020-03-17,90.01
2020-03-16,90.75
2020-03-13,100.75
2020-03-12,87.0
2020-03-11,95.89
2020-03-10,98.525
2020-03-09,96.3
2020-03-07,107.33
2020-03-06,107.5
2020-03-05,112.2
2020-03-04,119.17
2020-03-03,115.93
2020-03-02,121.16
2020-02-29,117.77
2020-02-28,117.6
2020-02-27,121.52
2020-02-26,126.64
2020-02-25,126.66
2020-02-24,132.45
2020-02-22,135.63
2020-02-21,135.72
2020-02-20,137.3601
2020-02-19,137.33
2020-02-18,135.95
2020-02-14,137.6998
2020-02-13,137.88
2020-02-12,137.72
2020-02-11,138.03
2020-02-10,137.65
2020-02-07,136.93
2020-02-06,137.75
2020-02-05,137.7
2020-02-04,135.29
2020-02-03,133.15
2020-02-01,132.36
2020-01-31,132.37
2020-01-30,136.17
2020-01-29,134.0
2020-01-28,134.37
2020-01-27,132.2
2020-01-25,132.9
2020-01-24,132.9
2020-01-23,136.72
2020-01-22,136.58
2020-01-21,136.99
2020-01-18,138.01
2020-01-17,138.19
2020-01-16,137.3
2020-01-15,136.88
2020-01-14,138.8
2020-01-13,137.2
2020-01-11,136.19
2020-01-10,136.15
2020-01-09,137.44
2020-01-08,137.15
2020-01-07,134.3
2020-01-06,137.65
2020-01-04,138.34
2020-01-03,138.39
2020-01-02,141.28
2019-12-31,139.42
2019-12-30,138.64
2019-12-27,138.92
2019-12-26,139.07
2019-12-24,137.58
2019-12-23,137.2
2019-12-21,137.24
2019-12-20,137.24
2019-12-19,137.41
2019-12-18,138.1
2019-12-17,138.13
2019-12-16,137.45
2019-12-14,136.91
2019-12-13,136.81
2019-12-12,138.65
2019-12-11,134.2
2019-12-10,134.5
2019-12-09,134.1
2019-12-07,135.12
2019-12-06,135.04
2019-12-05,133.0
2019-12-04,132.36
2019-12-03,129.76
2019-12-02,131.15
2019-11-29,131.7
2019-11-28,131.71
2019-11-27,131.88
2019-11-26,131.68
2019-11-25,131.38
2019-11-23,130.79
2019-11-22,130.77
2019-11-21,129.93
2019-11-20,129.56
2019-11-19,130.32
2019-11-18,130.58
2019-11-15,129.4501
2019-11-14,128.62
2019-11-13,128.43
2019-11-12,129.15
2019-11-11,129.85
2019-11-09,130.26
2019-11-08,130.38
2019-11-07,130.1
2019-11-06,129.16
2019-11-05,129.1
2019-11-04,128.82
2019-11-01,127.98
2019-10-31,125.0
2019-10-30,125.76
2019-10-29,126.43
2019-10-28,126.6
2019-10-25,126.2
2019-10-24,124.86
2019-10-23,125.19
2019-10-22,124.56
2019-10-21,123.63
2019-10-18,120.75
2019-10-17,120.25
2019-10-16,119.73
2019-10-15,120.05
2019-10-14,116.55
2019-10-11,116.23
2019-10-10,114.55
2019-10-09,111.89
2019-10-08,111.76
2019-10-07,114.35
2019-10-04,114.6
2019-10-03,112.25
2019-10-02,113.27
2019-10-01,115.94
2019-09-30,117.95
2019-09-27,117.74
2019-09-26,117.07
2019-09-25,117.98
2019-09-24,117.45
2019-09-23,119.5
2019-09-20,118.78
2019-09-19,119.69
2019-09-18,119.76
2019-09-17,118.6499
2019-09-16,119.2
2019-09-13,120.07
2019-09-12,117.9
2019-09-11,117.6
2019-09-10,116.78
2019-09-09,115.6
2019-09-06,112.61
2019-09-05,112.33
2019-09-04,109.65
2019-09-03,108.52
2019-08-30,109.71
2019-08-29,109.22
2019-08-28,106.81
2019-08-27,105.76
2019-08-26,106.86
2019-08-23,105.95
2019-08-22,108.64
2019-08-21,108.03
2019-08-20,107.26
2019-08-19,108.55
2019-08-16,107.8
2019-08-15,105.4
2019-08-14,104.91
2019-08-13,109.39
2019-08-12,107.48
2019-08-09,109.62
2019-08-08,109.31
2019-08-07,108.04
2019-08-06,109.97
2019-08-05,107.5
2019-08-02,112.96
2019-08-01,112.94
2019-07-31,115.53
2019-07-30,115.7
2019-07-29,115.9
2019-07-26,116.11
2019-07-25,115.6
2019-07-24,116.83
2019-07-23,116.5
2019-07-22,114.27
2019-07-19,113.35
2019-07-18,114.85
2019-07-17,113.78
2019-07-16,115.01
2019-07-15,114.0
2019-07-12,115.3
2019-07-11,114.3
2019-07-10,112.98
2019-07-09,113.37
2019-07-08,112.75
2019-07-05,113.38
2019-07-03,112.71
2019-07-02,113.81
2019-07-01,113.6
2019-06-28,111.95
2019-06-27,110.8
2019-06-26,108.55
2019-06-25,107.8
2019-06-24,108.71
2019-06-21,109.42
2019-06-20,110.25
2019-06-19,110.13
2019-06-18,110.89
2019-06-17,109.2
2019-06-14,109.77
2019-06-13,109.5
2019-06-12,109.49
2019-06-11,110.62
2019-06-10,110.4
2019-06-07,109.14
2019-06-06,110.3
2019-06-05,109.45
2019-06-04,110.0
2019-06-03,106.65
2019-05-31,106.0699
2019-05-30,106.1
2019-05-29,108.35
2019-05-28,108.4
2019-05-24,109.8
2019-05-23,108.75
2019-05-22,110.8
2019-05-21,111.72
2019-05-20,111.59
2019-05-17,110.75
2019-05-16,111.33
2019-05-15,109.94
2019-05-14,110.26
2019-05-13,109.14
2019-05-10,112.61
2019-05-09,112.49
2019-05-08,112.69
2019-05-07,113.08
2019-05-06,114.94
2019-05-03,116.13
2019-05-02,115.41
2019-05-01,115.0
2019-04-30,116.18
2019-04-29,116.1
2019-04-26,114.5
2019-04-25,113.41
2019-04-24,113.5
2019-04-23,113.9
2019-04-22,113.46
