date,price
2021-02-18,37.21
2021-02-17,37.07
2021-02-16,35.3499
2021-02-13,35.64
2021-02-12,35.5
2021-02-11,35.35
2021-02-10,34.22
2021-02-09,33.74
2021-02-08,33.95
2021-02-06,33.8001
2021-02-05,33.72
2021-02-04,32.95
2021-02-03,33.42
2021-02-02,33.27
2021-02-01,33.26
2021-01-29,33.5
2021-01-28,33.65
2021-01-27,34.26
2021-01-26,34.22
2021-01-25,33.79
2021-01-23,33.0
2021-01-22,32.9
2021-01-21,32.88
2021-01-20,32.85
2021-01-19,32.35
2021-01-15,32.0
2021-01-14,32.1
2021-01-13,32.14
2021-01-12,32.18
2021-01-11,32.91
2021-01-09,33.65
2021-01-08,33.3901
2021-01-07,33.68
2021-01-06,34.0
2021-01-05,33.552
2021-01-04,34.25
2020-12-31,34.57
2020-12-30,34.72
2020-12-29,34.89
2020-12-28,35.25
2020-12-24,34.98
2020-12-23,34.8
2020-12-22,34.47
2020-12-21,34.57
2020-12-19,34.75
2020-12-18,34.7501
2020-12-17,34.62
2020-12-16,34.5
2020-12-15,34.25
2020-12-14,34.4714
2020-12-12,34.07
2020-12-11,34.07
2020-12-10,34.1
2020-12-09,34.23
2020-12-08,34.33
2020-12-07,33.61
2020-12-05,34.12
2020-12-04,34.12
2020-12-03,33.45
2020-12-02,32.9
2020-12-01,33.06
2020-11-30,33.02
2020-11-27,32.83
2020-11-25,32.55
2020-11-24,33.95
2020-11-23,32.88
2020-11-20,32.18
2020-11-19,31.59
2020-11-18,31.69
2020-11-17,31.65
2020-11-16,32.16
2020-11-13,31.75
2020-11-12,31.1
2020-11-11,31.35
2020-11-10,30.43
2020-11-09,30.43
2020-11-06,31.65
2020-11-05,31.75
2020-11-04,31.75
2020-11-03,31.78
2020-11-02,31.8
2020-10-30,30.65
2020-10-29,29.75
2020-10-28,29.33
2020-10-27,30.72
2020-10-26,30.58
2020-10-23,31.11
2020-10-22,31.45
2020-10-21,31.2
2020-10-20,31.97
2020-10-19,31.81
2020-10-16,32.07
2020-10-15,32.28
2020-10-14,32.15
2020-10-13,32.23
2020-10-12,31.6
2020-10-09,31.12
2020-10-08,31.2
2020-10-07,30.9
2020-10-06,30.76
2020-10-05,30.9
2020-10-02,30.32
2020-10-01,30.4
2020-09-30,29.93
2020-09-29,29.68
2020-09-28,30.0899
2020-09-25,29.1
2020-09-24,28.94
2020-09-23,28.75
2020-09-22,29.23
2020-09-21,29.7
2020-09-18,29.83
2020-09-17,30.64
2020-09-16,31.56
2020-09-15,32.0
2020-09-14,31.87
2020-09-11,31.75
2020-09-10,31.62
2020-09-09,31.75
2020-09-08,31.7
2020-09-04,33.3
2020-09-03,33.5501
2020-09-02,34.5
2020-09-01,34.5
2020-08-31,34.98
2020-08-28,34.97
2020-08-27,34.76
2020-08-26,35.38
2020-08-25,35.33
2020-08-24,35.23
2020-08-21,34.56
2020-08-20,34.9
2020-08-19,35.54
2020-08-18,35.66
2020-08-17,36.19
2020-08-14,35.59
2020-08-13,35.6
2020-08-12,35.35
2020-08-11,34.63
2020-08-10,34.72
2020-08-07,35.41
2020-08-06,35.15
2020-08-05,34.78
2020-08-04,35.099000000000004
2020-08-03,34.79
2020-07-31,34.23
2020-07-30,34.39
2020-07-29,35.84
2020-07-28,35.37
2020-07-27,35.0
2020-07-24,34.68
2020-07-23,35.06
2020-07-22,34.9
2020-07-21,34.72
2020-07-20,34.05
2020-07-17,35.0
2020-07-16,34.4
2020-07-15,33.1
2020-07-14,33.52
2020-07-13,32.61
2020-07-10,32.44
2020-07-09,31.43
2020-07-08,32.0
2020-07-07,32.22
2020-07-06,32.0
2020-07-02,31.81
2020-07-01,31.68
2020-06-30,31.8827
2020-06-29,31.71
2020-06-26,30.92
2020-06-25,31.88
2020-06-24,32.06
2020-06-23,32.3001
2020-06-22,33.17
2020-06-19,34.02
2020-06-18,33.2
2020-06-17,32.79
2020-06-16,32.7
2020-06-15,32.09
2020-06-12,31.75
2020-06-11,31.2
2020-06-10,32.3
2020-06-09,33.1399
2020-06-08,33.65
2020-06-05,32.65
2020-06-04,31.6
2020-06-03,31.32
2020-06-02,31.5
2020-06-01,30.33
2020-05-29,30.51
2020-05-28,30.5
2020-05-27,31.13
2020-05-26,30.4
2020-05-22,29.96
2020-05-21,29.67
2020-05-20,30.32
2020-05-19,29.95
2020-05-18,30.87
2020-05-15,29.2
2020-05-14,28.81
2020-05-13,29.22
2020-05-12,29.32
2020-05-11,29.33
2020-05-08,29.56
2020-05-07,28.92
2020-05-06,29.27
2020-05-05,29.0
2020-05-04,28.8
2020-05-01,29.38
2020-04-30,29.93
2020-04-29,31.06
2020-04-28,30.59
2020-04-27,30.19
2020-04-24,29.27
2020-04-23,28.59
2020-04-22,28.65
2020-04-21,28.56
2020-04-20,29.25
2020-04-17,29.15
2020-04-16,29.0
2020-04-15,28.05
2020-04-14,28.45
2020-04-13,27.93
2020-04-09,28.0
2020-04-08,27.29
2020-04-07,26.72
2020-04-06,26.48
2020-04-03,25.25
2020-04-02,24.43
2020-04-01,23.85
2020-03-31,24.3601
2020-03-30,25.19
2020-03-27,24.15
2020-03-26,24.77
2020-03-25,23.08
2020-03-24,23.0
2020-03-23,21.35
2020-03-20,22.3
2020-03-19,22.25
2020-03-18,23.92
2020-03-17,23.1
2020-03-16,22.28
2020-03-13,23.4
2020-03-12,19.81
2020-03-11,23.66
2020-03-10,24.02
2020-03-09,24.36
2020-03-06,26.05
2020-03-05,26.65
2020-03-04,26.36
2020-03-03,25.5
2020-03-02,26.17
2020-02-29,24.93
2020-02-28,24.95
2020-02-27,24.8
2020-02-26,25.56
2020-02-25,26.1
2020-02-24,26.82
2020-02-22,27.22
2020-02-21,27.3
2020-02-20,27.33
2020-02-19,27.3599
2020-02-18,27.33
2020-02-15,26.84
2020-02-14,26.84
2020-02-13,27.85
2020-02-12,30.2001
2020-02-11,30.14
2020-02-10,29.71
2020-02-08,29.57
2020-02-07,29.6
2020-02-06,29.11
2020-02-05,29.38
2020-02-04,29.24
2020-02-03,29.16
2020-01-31,29.33
2020-01-30,29.91
2020-01-29,29.56
2020-01-28,30.13
2020-01-27,30.3501
2020-01-25,30.41
2020-01-24,30.3
2020-01-23,30.6
2020-01-22,30.7
2020-01-21,31.01
2020-01-18,31.08
2020-01-17,31.05
2020-01-16,31.73
2020-01-15,31.6
2020-01-14,31.73
2020-01-13,31.25
2020-01-10,30.6
2020-01-09,30.54
2020-01-08,30.72
2020-01-07,30.5
2020-01-06,31.3
2020-01-03,31.28
2020-01-02,31.62
2020-01-01,32.13
2019-12-31,32.13
2019-12-30,31.62
2019-12-27,31.52
2019-12-26,31.63
2019-12-24,31.98
2019-12-23,32.01
2019-12-21,32.15
2019-12-20,32.22
2019-12-19,31.9099
2019-12-18,31.87
2019-12-17,31.57
2019-12-16,31.8
2019-12-13,31.6
2019-12-12,31.89
2019-12-11,31.6
2019-12-10,31.88
2019-12-09,31.85
2019-12-07,31.1
2019-12-06,31.14
2019-12-05,31.23
2019-12-04,30.97
2019-12-03,30.75
2019-12-02,30.93
2019-11-29,30.54
2019-11-28,30.34
2019-11-27,30.37
2019-11-26,30.49
2019-11-25,31.3
2019-11-23,30.35
2019-11-22,30.54
2019-11-21,30.3
2019-11-20,31.1
2019-11-19,31.15
2019-11-18,31.01
2019-11-16,31.18
2019-11-15,31.18
2019-11-14,30.87
2019-11-13,33.35
2019-11-12,32.8
2019-11-11,32.74
2019-11-09,32.8
2019-11-08,32.75
2019-11-07,32.85
2019-11-06,33.13
2019-11-05,32.98
2019-11-04,33.4
2019-11-01,32.62
2019-10-31,32.12
2019-10-30,28.51
2019-10-29,28.16
2019-10-28,28.43
2019-10-25,28.36
2019-10-24,28.45
2019-10-23,28.5
2019-10-22,28.51
2019-10-21,27.97
2019-10-18,27.61
2019-10-17,27.8
2019-10-16,27.31
2019-10-15,27.4
2019-10-14,27.3
2019-10-11,27.2
2019-10-10,26.97
2019-10-09,26.4
2019-10-08,26.71
2019-10-07,26.89
2019-10-04,26.9
2019-10-03,26.59
2019-10-02,26.5
2019-10-01,27.35
2019-09-30,27.95
2019-09-27,27.81
2019-09-26,28.01
2019-09-25,28.14
2019-09-24,27.93
2019-09-23,28.26
2019-09-20,28.14
2019-09-19,28.18
2019-09-18,28.41
2019-09-17,28.47
2019-09-16,28.9
2019-09-13,29.21
2019-09-12,29.11
2019-09-11,29.45
2019-09-10,28.81
2019-09-09,28.15
2019-09-06,27.25
2019-09-05,26.6
2019-09-04,26.26
2019-09-03,26.1
2019-08-30,25.65
2019-08-29,25.41
2019-08-28,25.25
2019-08-27,25.02
2019-08-26,25.5
2019-08-23,25.42
2019-08-22,25.55
2019-08-21,25.25
2019-08-20,25.13
2019-08-19,25.7
2019-08-16,25.45
2019-08-15,25.1
2019-08-14,25.5
2019-08-13,26.05
2019-08-12,26.33
2019-08-09,26.56
2019-08-08,28.06
2019-08-07,30.9
