date,price
2021-02-18,50.15
2021-02-17,50.11
2021-02-16,50.21
2021-02-13,50.63
2021-02-12,50.65
2021-02-11,50.28
2021-02-10,49.53
2021-02-09,49.9
2021-02-08,49.89
2021-02-06,49.75
2021-02-05,49.75
2021-02-04,49.06
2021-02-03,48.87
2021-02-02,49.1
2021-02-01,48.56
2021-01-30,48.16
2021-01-29,48.19
2021-01-28,49.23
2021-01-27,48.38
2021-01-26,49.28
2021-01-25,48.8
2021-01-23,48.52
2021-01-22,48.53
2021-01-21,49.0
2021-01-20,48.79
2021-01-19,48.59
2021-01-16,48.67
2021-01-15,48.69
2021-01-14,49.23
2021-01-13,50.28
2021-01-12,50.1
2021-01-11,50.26
2021-01-09,51.08
2021-01-08,51.02
2021-01-07,50.09
2021-01-06,50.6
2021-01-05,51.83
2021-01-04,52.77
2021-01-01,54.8
2020-12-31,54.95
2020-12-30,54.69
2020-12-29,54.18
2020-12-28,54.28
2020-12-24,53.44
2020-12-23,53.09
2020-12-22,52.75
2020-12-21,52.66
2020-12-19,53.7
2020-12-18,53.78
2020-12-17,53.3
2020-12-16,53.11
2020-12-15,53.84
2020-12-14,53.34
2020-12-12,53.45
2020-12-11,53.48
2020-12-10,53.11
2020-12-09,53.43
2020-12-08,53.4
2020-12-07,52.97
2020-12-05,53.79
2020-12-04,53.78
2020-12-03,52.8
2020-12-02,52.18
2020-12-01,51.87
2020-11-30,51.7
2020-11-27,52.76
2020-11-25,53.05
2020-11-24,53.3
2020-11-23,52.7
2020-11-21,52.67
2020-11-20,52.67
2020-11-19,52.6
2020-11-18,52.84
2020-11-17,53.77
2020-11-16,53.88
2020-11-14,53.47
2020-11-13,53.53
2020-11-12,53.04
2020-11-11,53.58
2020-11-10,54.0
2020-11-09,52.59
2020-11-07,49.6
2020-11-06,49.55
2020-11-05,49.4
2020-11-04,49.11
2020-11-03,49.75
2020-11-02,48.77
2020-10-30,48.15
2020-10-29,47.95
2020-10-28,48.12
2020-10-27,49.63
2020-10-26,49.82
2020-10-23,50.6
2020-10-22,50.68
2020-10-21,49.99
2020-10-20,50.35
2020-10-19,49.72
2020-10-16,50.0
2020-10-15,50.1
2020-10-14,50.01
2020-10-13,50.22
2020-10-12,51.15
2020-10-09,50.83
2020-10-08,50.54
2020-10-07,49.56
2020-10-06,48.93
2020-10-05,49.27
2020-10-02,49.14
2020-10-01,49.18
2020-09-30,49.37
2020-09-29,49.09
2020-09-28,49.35
2020-09-25,48.72
2020-09-24,49.18
2020-09-23,48.3
2020-09-22,49.69
2020-09-21,49.22
2020-09-18,50.46
2020-09-17,50.6
2020-09-16,50.96
2020-09-15,51.0
2020-09-14,50.71
2020-09-11,51.06
2020-09-10,50.25
2020-09-09,50.3
2020-09-08,49.81
2020-09-04,51.35
2020-09-03,50.03
2020-09-02,51.4
2020-09-01,49.2
2020-08-31,49.63
2020-08-28,49.83
2020-08-27,48.25
2020-08-26,48.15
2020-08-25,47.94
2020-08-24,48.0
2020-08-21,47.35
2020-08-20,47.43
2020-08-19,47.3
2020-08-18,48.5
2020-08-17,48.27
2020-08-14,48.46
2020-08-13,48.39
2020-08-12,48.4
2020-08-11,47.95
2020-08-10,47.72
2020-08-07,47.74
2020-08-06,47.44
2020-08-05,47.2
2020-08-04,46.6
2020-08-03,46.36
2020-07-31,47.2
2020-07-30,47.69
2020-07-29,48.01
2020-07-28,48.2799
2020-07-27,48.48
2020-07-24,48.4
2020-07-23,48.59
2020-07-22,48.49
2020-07-21,47.2
2020-07-20,46.25
2020-07-17,46.89
2020-07-16,46.15
2020-07-15,46.52
2020-07-14,46.15
2020-07-13,45.26
2020-07-10,45.1
2020-07-09,44.01
2020-07-08,45.12
2020-07-07,45.2
2020-07-06,45.36
2020-07-02,45.0
2020-07-01,44.81
2020-06-30,44.5
2020-06-29,44.48
2020-06-26,43.58
2020-06-25,45.02
2020-06-24,44.66
2020-06-23,45.6
2020-06-22,46.0
2020-06-19,46.2
2020-06-18,47.15
2020-06-17,46.4
2020-06-16,46.77
2020-06-15,46.6
2020-06-12,45.64
2020-06-11,46.23
2020-06-10,48.45
2020-06-09,49.25
2020-06-08,49.94
2020-06-05,49.01
2020-06-04,47.95
2020-06-03,48.0
2020-06-02,47.1
2020-06-01,46.83
2020-05-29,46.99
2020-05-28,47.1
2020-05-27,46.79
2020-05-26,46.1
2020-05-22,45.11
2020-05-21,45.25
2020-05-20,45.9
2020-05-19,44.8
2020-05-18,45.08
2020-05-15,43.4
2020-05-14,43.85
2020-05-13,44.0
2020-05-12,44.55
2020-05-11,45.56
2020-05-08,46.24
2020-05-07,44.79
2020-05-06,44.75
2020-05-05,45.5
2020-05-04,45.15
2020-05-01,45.61
2020-04-30,45.82
2020-04-29,47.37
2020-04-28,46.8999
2020-04-27,46.82
2020-04-24,45.5
2020-04-23,44.99
2020-04-22,45.6
2020-04-21,45.69
2020-04-20,46.7
2020-04-17,48.0
2020-04-16,48.5
2020-04-15,47.3
2020-04-14,48.99
2020-04-13,47.25
2020-04-09,49.25
2020-04-08,48.0
2020-04-07,46.85
2020-04-06,46.45
2020-04-03,43.65
2020-04-02,43.9
2020-04-01,42.27
2020-03-31,43.42
2020-03-30,45.13
2020-03-27,42.8
2020-03-26,44.5
2020-03-25,41.79
2020-03-24,39.4
2020-03-23,38.7
2020-03-20,38.4
2020-03-19,41.8
2020-03-18,45.2
2020-03-17,46.0
2020-03-16,46.0
2020-03-13,47.8
2020-03-12,46.98
2020-03-11,52.2
2020-03-10,53.0
2020-03-09,52.95
2020-03-06,55.02
2020-03-05,56.77
2020-03-04,58.4
2020-03-03,55.9
2020-03-02,55.75
2020-02-29,53.93
2020-02-28,53.96
2020-02-27,54.35
2020-02-26,58.09
2020-02-25,57.84
2020-02-24,58.7
2020-02-21,60.13
2020-02-20,59.73
2020-02-19,59.69
2020-02-18,59.54
2020-02-15,59.95
2020-02-14,59.9
2020-02-13,59.6
2020-02-12,59.49
2020-02-11,59.6
2020-02-10,59.75
2020-02-07,59.1002
2020-02-06,58.99
2020-02-05,58.85
2020-02-04,58.84
2020-02-03,58.58
2020-02-01,58.4
2020-01-31,58.54
2020-01-30,58.79
2020-01-29,57.01
2020-01-28,57.2
2020-01-27,57.4
2020-01-25,57.65
2020-01-24,57.65
2020-01-23,57.83
2020-01-22,57.61
2020-01-21,57.05
2020-01-18,56.98
2020-01-17,56.88
2020-01-16,56.72
2020-01-15,56.79
2020-01-14,56.0
2020-01-13,56.12
2020-01-11,55.47
2020-01-10,55.5
2020-01-09,55.34
2020-01-08,54.35
2020-01-07,54.0
2020-01-06,54.55
2020-01-03,54.6
2020-01-02,55.0001
2020-01-01,55.35
2019-12-31,55.35
2019-12-30,55.25
2019-12-27,55.25
2019-12-26,55.02
2019-12-24,54.71
2019-12-23,54.85
2019-12-21,54.9
2019-12-20,54.97
2019-12-19,54.32
2019-12-18,53.95
2019-12-17,54.42
2019-12-16,54.4
2019-12-13,54.5
2019-12-12,54.25
2019-12-11,54.02
2019-12-10,53.76
2019-12-09,53.98
2019-12-06,54.32
2019-12-05,54.19
2019-12-04,54.25
2019-12-03,53.8
2019-12-02,53.41
2019-11-29,53.4
2019-11-28,53.94
2019-11-27,53.89
2019-11-26,53.9
2019-11-25,53.22
2019-11-22,53.03
2019-11-21,52.96
2019-11-20,53.2
2019-11-19,52.96
2019-11-18,53.0
2019-11-15,52.6
2019-11-14,52.69
2019-11-13,52.41
2019-11-12,51.7
2019-11-11,51.84
2019-11-08,52.21
2019-11-07,52.38
2019-11-06,52.8
2019-11-05,52.42
2019-11-04,53.0
2019-11-01,53.89
2019-10-31,54.45
2019-10-30,53.94
2019-10-29,53.41
2019-10-28,53.5
2019-10-25,53.7
2019-10-24,54.52
2019-10-23,54.7
2019-10-22,53.8
2019-10-21,54.17
2019-10-18,54.71
2019-10-17,54.4
2019-10-16,53.54
2019-10-15,53.51
2019-10-14,53.3
2019-10-11,53.45
2019-10-10,53.66
2019-10-09,53.5
2019-10-08,53.67
2019-10-07,53.9
2019-10-04,54.54
2019-10-03,53.84
2019-10-02,53.1
2019-10-01,54.57
2019-09-30,54.45
2019-09-27,54.37
2019-09-26,54.39
2019-09-25,54.06
2019-09-24,54.3
2019-09-23,54.14
2019-09-20,53.91
2019-09-19,54.57
2019-09-18,54.2401
2019-09-17,54.24
2019-09-16,53.97
2019-09-13,54.3
2019-09-12,55.09
2019-09-11,54.89
2019-09-10,54.4
2019-09-09,54.52
2019-09-06,55.23
2019-09-05,55.12
2019-09-04,55.88
2019-09-03,55.3
2019-08-30,55.04
2019-08-29,55.03
2019-08-28,55.1
2019-08-27,54.75
2019-08-26,54.61
2019-08-23,53.71
2019-08-22,54.49
2019-08-21,54.15
2019-08-20,53.8
2019-08-19,54.56
2019-08-16,54.34
2019-08-15,53.87
2019-08-14,53.12
2019-08-13,53.5
2019-08-12,53.18
2019-08-09,53.38
2019-08-08,53.65
2019-08-07,53.18
