date,price
2021-02-18,34.39
2021-02-17,34.37
2021-02-16,33.7
2021-02-13,34.0
2021-02-12,33.99
2021-02-11,33.47
2021-02-10,33.61
2021-02-09,33.7
2021-02-08,33.34
2021-02-06,33.23
2021-02-05,33.22
2021-02-04,33.55
2021-02-03,33.1
2021-02-02,33.18
2021-02-01,33.75
2021-01-30,34.55
2021-01-29,34.56
2021-01-28,35.35
2021-01-27,38.39
2021-01-26,36.44
2021-01-25,34.5
2021-01-22,33.74
2021-01-21,33.21
2021-01-20,33.05
2021-01-19,33.61
2021-01-15,33.7
2021-01-14,33.15
2021-01-13,32.0
2021-01-12,31.51
2021-01-11,31.85
2021-01-09,31.66
2021-01-08,31.56
2021-01-07,31.8
2021-01-06,32.21
2021-01-05,31.9
2021-01-04,32.12
2021-01-01,31.73
2020-12-31,31.7
2020-12-30,31.62
2020-12-29,31.45
2020-12-28,31.39
2020-12-24,31.53
2020-12-23,31.43
2020-12-22,30.88
2020-12-21,30.59
2020-12-18,30.89
2020-12-17,30.98
2020-12-16,30.98
2020-12-15,31.2
2020-12-14,31.33
2020-12-12,31.31
2020-12-11,31.28
2020-12-10,31.12
2020-12-09,31.2
2020-12-08,31.28
2020-12-07,30.9399
2020-12-05,30.55
2020-12-04,30.55
2020-12-03,30.91
2020-12-02,32.3
2020-12-01,33.1
2020-11-30,33.17
2020-11-27,32.43
2020-11-25,32.32
2020-11-24,32.7
2020-11-23,33.05
2020-11-21,32.44
2020-11-20,32.44
2020-11-19,32.72
2020-11-18,32.1
2020-11-17,31.95
2020-11-16,32.49
2020-11-14,32.11
2020-11-13,32.12
2020-11-12,31.94
2020-11-11,32.14
2020-11-10,31.92
2020-11-09,31.14
2020-11-07,33.16
2020-11-06,33.15
2020-11-05,32.79
2020-11-04,32.19
2020-11-03,32.74
2020-11-02,32.06
2020-10-30,32.2
2020-10-29,32.21
2020-10-28,32.23
2020-10-27,32.3
2020-10-26,33.15
2020-10-23,32.75
2020-10-22,32.7
2020-10-21,33.33
2020-10-20,33.5
2020-10-19,33.9
2020-10-16,34.01
2020-10-15,34.0
2020-10-14,33.84
2020-10-13,34.75
2020-10-12,34.74
2020-10-09,34.52
2020-10-08,34.39
2020-10-07,34.04
2020-10-06,33.9
2020-10-05,34.5499
2020-10-02,34.08
2020-10-01,34.03
2020-09-30,33.91
2020-09-29,33.77
2020-09-28,33.7
2020-09-25,33.49
2020-09-24,33.43
2020-09-23,33.29
2020-09-22,33.75
2020-09-21,33.46
2020-09-18,33.0
2020-09-17,32.46
2020-09-16,32.02
2020-09-15,32.73
2020-09-14,32.85
2020-09-11,34.3
2020-09-10,35.11
2020-09-09,35.45
2020-09-08,34.67
2020-09-04,35.4
2020-09-03,35.8101
2020-09-02,36.61
2020-09-01,35.57
2020-08-31,35.64
2020-08-28,35.29
2020-08-27,36.2
2020-08-26,36.4
2020-08-25,36.0
2020-08-24,36.0
2020-08-21,35.91
2020-08-20,35.95
2020-08-19,36.21
2020-08-18,36.52
2020-08-17,36.05
2020-08-14,35.8
2020-08-13,34.59
2020-08-12,34.5
2020-08-11,34.45
2020-08-10,35.01
2020-08-07,35.44
2020-08-06,35.11
2020-08-05,35.0501
2020-08-04,35.28
2020-08-03,34.91
2020-07-31,34.83
2020-07-30,34.43
2020-07-29,35.18
2020-07-28,35.2
2020-07-27,34.76
2020-07-24,34.85
2020-07-23,35.2499
2020-07-22,35.16
2020-07-21,34.95
2020-07-20,34.01
2020-07-17,33.85
2020-07-16,33.63
2020-07-15,33.77
2020-07-14,33.92
2020-07-13,33.27
2020-07-10,33.44
2020-07-09,32.74
2020-07-08,32.54
2020-07-07,33.7
2020-07-06,33.73
2020-07-02,33.51
2020-07-01,33.6499
2020-06-30,33.86
2020-06-29,34.08
2020-06-26,32.66
2020-06-25,32.75
2020-06-24,32.75
2020-06-23,31.91
2020-06-22,32.11
2020-06-19,31.71
2020-06-18,31.97
2020-06-17,33.2
2020-06-16,33.23
2020-06-15,32.35
2020-06-12,32.5
2020-06-11,33.18
2020-06-10,32.49
2020-06-09,32.93
2020-06-08,32.8
2020-06-05,32.52
2020-06-04,33.11
2020-06-03,32.65
2020-06-02,33.04
2020-06-01,32.49
2020-05-29,32.56
2020-05-28,32.12
2020-05-27,33.0
2020-05-26,31.53
2020-05-22,32.25
2020-05-21,32.15
2020-05-20,32.22
2020-05-19,31.75
2020-05-18,32.25
2020-05-15,32.58
2020-05-14,32.83
2020-05-13,34.38
2020-05-12,33.45
2020-05-11,33.7
2020-05-08,33.34
2020-05-07,32.79
2020-05-06,32.78
2020-05-05,32.87
2020-05-04,32.5
2020-05-01,32.23
2020-04-30,31.54
2020-04-29,31.6
2020-04-28,32.44
2020-04-27,33.35
2020-04-24,32.91
2020-04-23,32.75
2020-04-22,32.16
2020-04-21,32.4399
2020-04-20,32.39
2020-04-17,31.93
2020-04-16,32.09
2020-04-15,31.95
2020-04-14,32.09
2020-04-13,31.48
2020-04-09,31.06
2020-04-08,31.02
2020-04-07,31.86
2020-04-06,32.36
2020-04-03,32.28
2020-04-02,31.75
2020-04-01,30.7
2020-03-31,29.25
2020-03-30,29.65
2020-03-27,29.13
2020-03-26,29.01
2020-03-25,28.24
2020-03-24,30.1
2020-03-23,31.4
2020-03-20,31.8
2020-03-19,34.4
2020-03-18,35.04
2020-03-17,32.65
2020-03-16,31.4
2020-03-13,30.37
2020-03-12,28.56
2020-03-11,30.52
2020-03-10,32.16
2020-03-09,31.25
2020-03-07,32.0
2020-03-06,31.66
2020-03-05,33.2
2020-03-04,30.9
2020-03-03,29.45
2020-03-02,29.4
2020-02-29,28.4
2020-02-28,28.4
2020-02-27,28.2
2020-02-26,28.63
2020-02-25,29.67
2020-02-24,30.3
2020-02-22,30.12
2020-02-21,30.45
2020-02-20,29.78
2020-02-19,29.54
2020-02-18,29.91
2020-02-15,29.88
2020-02-14,29.99
2020-02-13,28.6
2020-02-12,28.69
2020-02-11,28.48
2020-02-10,28.14
2020-02-07,27.96
2020-02-06,28.05
2020-02-05,28.15
2020-02-04,27.39
2020-02-03,26.98
2020-02-01,26.9
2020-01-31,26.86
2020-01-30,27.75
2020-01-29,27.45
2020-01-28,28.33
2020-01-27,28.26
2020-01-24,28.26
2020-01-23,28.44
2020-01-22,28.37
2020-01-21,28.3
2020-01-17,28.22
2020-01-16,28.03
2020-01-15,28.29
2020-01-14,28.84
2020-01-13,28.44
2020-01-10,28.25
2020-01-09,28.44
2020-01-08,28.44
2020-01-07,28.475
2020-01-06,28.8
2020-01-03,28.7
2020-01-02,28.66
2019-12-31,28.98
2019-12-30,29.0
2019-12-27,28.77
2019-12-26,28.89
2019-12-24,29.1
2019-12-23,29.08
2019-12-20,28.995
2019-12-19,28.76
2019-12-18,28.33
2019-12-17,28.7
2019-12-16,28.25
2019-12-14,28.05
2019-12-13,27.75
2019-12-12,28.46
2019-12-11,28.02
2019-12-10,27.73
2019-12-09,27.9
2019-12-06,27.55
2019-12-05,26.72
2019-12-04,27.7
2019-12-03,27.32
2019-12-02,27.74
2019-11-29,27.34
2019-11-27,27.23
2019-11-26,27.0
2019-11-25,27.0
2019-11-22,27.05
2019-11-21,26.7
2019-11-20,26.76
2019-11-19,26.8
2019-11-18,27.02
2019-11-15,26.75
2019-11-14,26.91
2019-11-13,27.06
2019-11-12,27.0
2019-11-11,26.72
2019-11-09,27.0
2019-11-08,26.98
2019-11-07,26.93
2019-11-06,27.09
2019-11-05,27.9
2019-11-04,24.99
2019-11-01,24.95
2019-10-31,24.64
2019-10-30,24.75
2019-10-29,24.53
2019-10-28,25.3
2019-10-25,24.95
2019-10-24,24.93
2019-10-23,24.96
2019-10-22,24.85
2019-10-21,24.11
2019-10-18,23.9
2019-10-17,24.43
2019-10-16,24.68
2019-10-15,24.31
2019-10-14,24.1
2019-10-11,24.01
2019-10-10,24.0
2019-10-09,24.53
2019-10-08,24.68
2019-10-07,24.79
2019-10-04,24.7
2019-10-03,24.54
2019-10-02,25.0
2019-10-01,25.5
2019-09-30,25.78
2019-09-27,25.79
2019-09-26,25.79
2019-09-25,26.1
2019-09-24,25.81
2019-09-23,25.72
2019-09-20,25.55
2019-09-19,25.81
2019-09-18,25.5
2019-09-17,25.75
2019-09-16,26.0
2019-09-13,26.2
2019-09-12,25.45
2019-09-11,25.57
2019-09-10,25.81
2019-09-09,25.18
2019-09-06,24.83
2019-09-05,24.89
2019-09-04,24.6
2019-09-03,24.1
2019-08-30,23.61
2019-08-29,23.5
2019-08-28,23.4
2019-08-27,23.12
2019-08-26,23.77
2019-08-23,23.31
2019-08-22,23.51
2019-08-21,23.4
2019-08-20,22.8501
2019-08-19,22.9899
2019-08-16,22.66
2019-08-15,22.2
2019-08-14,22.1
2019-08-13,23.05
2019-08-12,23.07
2019-08-09,23.32
2019-08-08,23.3
2019-08-07,23.87
2019-08-06,22.24
2019-08-05,21.79
2019-08-02,22.3
2019-08-01,21.47
2019-07-31,21.05
2019-07-30,21.31
2019-07-29,21.35
2019-07-26,21.6
2019-07-25,21.25
2019-07-24,21.25
2019-07-23,20.92
2019-07-22,20.84
2019-07-19,21.62
2019-07-18,21.66
2019-07-17,21.63
2019-07-16,21.96
2019-07-15,21.99
2019-07-12,21.89
2019-07-11,21.76
2019-07-10,21.58
2019-07-09,21.71
2019-07-08,21.71
2019-07-05,21.79
2019-07-03,21.55
2019-07-02,21.42
2019-07-01,21.5
2019-06-28,21.7
2019-06-27,21.41
2019-06-26,21.4
2019-06-25,21.9
2019-06-24,22.1
2019-06-21,22.3
2019-06-20,23.24
2019-06-19,23.74
2019-06-18,24.05
2019-06-17,24.41
2019-06-14,24.4599
2019-06-13,24.65
2019-06-12,24.63
2019-06-11,24.75
2019-06-10,24.3899
2019-06-07,23.86
2019-06-06,23.7
2019-06-05,23.55
2019-06-04,23.64
2019-06-03,23.03
2019-05-31,22.85
2019-05-30,22.75
2019-05-29,22.96
2019-05-28,23.57
2019-05-24,23.8
2019-05-23,23.68
2019-05-22,24.0
2019-05-21,24.39
2019-05-20,24.4001
2019-05-17,24.2
2019-05-16,24.97
2019-05-15,25.21
2019-05-14,25.26
2019-05-13,25.39
2019-05-10,25.83
2019-05-09,25.3
2019-05-08,25.29
2019-05-07,25.77
2019-05-06,25.7
2019-05-03,25.74
2019-05-02,25.72
2019-05-01,25.52
2019-04-30,25.72
2019-04-29,25.48
2019-04-26,25.0
2019-04-25,25.7
2019-04-24,25.57
2019-04-23,25.28
2019-04-22,25.42
2019-04-18,25.7
2019-04-17,25.55
2019-04-16,25.5
2019-04-15,25.5
2019-04-12,25.67
2019-04-11,25.67
2019-04-10,25.0
2019-04-09,23.94
2019-04-08,23.86
2019-04-05,23.9001
2019-04-04,23.77
2019-04-03,23.81
2019-04-02,23.76
2019-04-01,24.48
2019-03-29,24.6
2019-03-28,24.45
2019-03-27,24.25
2019-03-26,24.45
2019-03-25,24.25
2019-03-22,24.37
2019-03-21,24.32
2019-03-20,23.96
2019-03-19,24.37
