date,price
2021-02-17,206.5
2021-02-16,205.2
2021-02-12,207.39
2021-02-11,202.57
2021-02-10,204.48
2021-02-09,201.71
2021-02-08,202.0
2021-02-05,201.4
2021-02-04,201.62
2021-02-03,197.15
2021-02-02,198.0
2021-02-01,203.9
2021-01-30,208.05
2021-01-29,207.97
2021-01-28,210.12
2021-01-27,206.5
2021-01-26,212.5
2021-01-25,212.1
2021-01-22,206.45
2021-01-21,202.75
2021-01-20,201.5
2021-01-19,199.69
2021-01-15,190.5
2021-01-14,187.1799
2021-01-13,186.25
2021-01-12,179.5
2021-01-11,184.4
2021-01-08,166.385
2021-01-07,165.83
2021-01-06,164.35
2021-01-05,165.0
2021-01-04,165.55
2020-12-31,168.8231
2020-12-30,167.0
2020-12-29,167.54
2020-12-28,166.5
2020-12-24,167.5
2020-12-23,165.48
2020-12-22,165.0
2020-12-21,168.5
2020-12-18,171.21
2020-12-17,172.61
2020-12-16,172.0
2020-12-15,166.75
2020-12-14,158.9
2020-12-11,159.6
2020-12-10,161.0
2020-12-09,158.0
2020-12-08,149.6
2020-12-07,147.5
2020-12-04,148.35
2020-12-03,144.12
2020-12-02,144.71
2020-12-01,145.56
2020-11-30,145.7
2020-11-27,147.44
2020-11-25,144.01
2020-11-24,144.7
2020-11-23,143.38
2020-11-20,145.78
2020-11-19,143.98
2020-11-18,140.4
2020-11-17,141.49
2020-11-16,140.59
2020-11-14,142.37
2020-11-13,142.16
2020-11-12,141.25
2020-11-11,144.5
2020-11-10,146.93
2020-11-09,147.5
2020-11-06,141.83
2020-11-05,145.6
2020-11-04,148.8
2020-11-03,131.1
2020-11-02,131.63
2020-10-30,130.65
2020-10-29,132.01
2020-10-28,133.49
2020-10-27,131.99
2020-10-26,140.3
2020-10-23,142.02
2020-10-22,142.48
2020-10-21,141.31
2020-10-20,143.53
2020-10-19,143.5
2020-10-16,146.0
2020-10-15,146.7947
2020-10-14,148.2
2020-10-13,150.0
2020-10-12,155.0
2020-10-09,158.1499
2020-10-08,153.95
2020-10-07,151.75
2020-10-06,143.38
2020-10-05,146.63
2020-10-02,146.85
2020-10-01,144.98
2020-09-30,148.1
2020-09-29,146.56
2020-09-28,148.35
2020-09-25,150.245
2020-09-24,149.0
2020-09-23,149.02
2020-09-22,150.98
2020-09-21,151.6
2020-09-18,154.2
2020-09-17,151.72
2020-09-16,151.5
2020-09-15,150.08
2020-09-14,148.5
2020-09-11,148.09
2020-09-10,146.98
2020-09-09,152.0
2020-09-08,149.31
2020-09-04,152.0
2020-09-03,147.67
2020-09-02,149.6
2020-09-01,147.01
2020-08-31,147.95
2020-08-28,147.34
2020-08-27,148.97
2020-08-26,149.26
2020-08-25,149.9
2020-08-24,149.37
2020-08-21,149.59
2020-08-20,151.34
2020-08-19,152.25
2020-08-18,153.11
2020-08-17,151.53
2020-08-14,150.06
2020-08-13,151.0
2020-08-12,152.65
2020-08-11,151.0
2020-08-10,153.0
2020-08-07,152.88
2020-08-06,152.65
2020-08-05,155.0
2020-08-04,155.73
2020-08-03,153.3899
2020-07-31,150.22
2020-07-30,153.5
2020-07-29,162.42
2020-07-28,162.98
2020-07-27,160.5208
2020-07-24,161.55
2020-07-23,161.52
2020-07-22,164.84
2020-07-21,165.3
2020-07-20,165.0
2020-07-17,166.0
2020-07-16,165.0
2020-07-15,165.45
2020-07-14,163.88
2020-07-13,162.09
2020-07-10,163.36
2020-07-09,166.45
2020-07-08,169.13
2020-07-07,166.75
2020-07-06,168.1
2020-07-02,163.87
2020-07-01,163.48
2020-06-30,164.1002
2020-06-29,162.72
2020-06-26,162.95
2020-06-25,162.75
2020-06-24,157.5
2020-06-23,159.34
2020-06-22,160.45
2020-06-19,159.9
2020-06-18,162.0
2020-06-17,160.0
2020-06-16,163.75
2020-06-15,141.85
2020-06-12,144.09
2020-06-11,145.1
2020-06-10,150.1
2020-06-09,149.0
2020-06-08,149.58
2020-06-05,149.27
2020-06-04,150.71
2020-06-03,152.5
2020-06-02,153.75
2020-06-01,152.5
2020-05-29,153.37
2020-05-28,151.5
2020-05-27,147.0
2020-05-26,148.5
2020-05-22,151.16
2020-05-21,152.09
2020-05-20,153.42
2020-05-19,156.31
2020-05-18,157.8
2020-05-15,159.2964
2020-05-14,158.38
2020-05-13,157.8
2020-05-12,157.18
2020-05-11,159.0
2020-05-08,154.3
2020-05-07,152.97
2020-05-06,156.68
2020-05-05,157.6442
2020-05-04,153.1
2020-05-01,153.65
2020-04-30,155.5
2020-04-29,156.0
2020-04-28,157.45
2020-04-27,161.5
2020-04-24,162.8
2020-04-23,160.03
2020-04-22,156.7
2020-04-21,152.67
2020-04-20,155.42
