date,price
2021-02-18,337.76
2021-02-17,337.03
2021-02-16,335.0
2021-02-13,338.02
2021-02-12,337.7
2021-02-11,339.0
2021-02-10,342.23
2021-02-09,343.0
2021-02-08,338.0
2021-02-05,337.04
2021-02-04,337.99
2021-02-03,332.56
2021-02-02,334.87
2021-02-01,326.9
2021-01-30,321.5
2021-01-29,322.0
2021-01-28,328.0
2021-01-27,332.38
2021-01-26,331.45
2021-01-25,344.38
2021-01-23,340.45
2021-01-22,340.5
2021-01-21,339.75
2021-01-20,342.3
2021-01-19,342.2
2021-01-16,346.86
2021-01-15,346.99
2021-01-14,348.5
2021-01-13,346.5
2021-01-12,341.85
2021-01-11,339.5
2021-01-09,336.61
2021-01-08,336.0
2021-01-07,342.65
2021-01-06,349.0
2021-01-05,348.0
2021-01-04,344.64
2020-12-31,354.5
2020-12-30,354.1
2020-12-29,354.99
2020-12-28,354.5
2020-12-24,351.65
2020-12-23,351.6
2020-12-22,347.92
2020-12-21,349.5
2020-12-18,356.03
2020-12-17,353.09
2020-12-16,353.81
2020-12-15,356.76
2020-12-14,358.0
2020-12-11,361.75
2020-12-10,356.3
2020-12-09,361.35
2020-12-08,359.0
2020-12-07,361.9
2020-12-05,367.72
2020-12-04,366.61
2020-12-03,362.03
2020-12-02,361.5
2020-12-01,365.0
2020-11-30,366.01
2020-11-27,374.98
2020-11-25,378.34
2020-11-24,377.0
2020-11-23,372.0
2020-11-20,368.19
2020-11-19,376.46
2020-11-18,377.56
2020-11-17,375.9
2020-11-16,377.13
2020-11-14,375.14
2020-11-13,375.14
2020-11-12,366.9791
2020-11-11,369.75
2020-11-10,370.208
2020-11-09,364.62
2020-11-06,361.3
2020-11-05,364.3
2020-11-04,372.16
2020-11-03,363.44
2020-11-02,353.0599
2020-10-30,351.41
2020-10-29,349.5
2020-10-28,350.0
2020-10-27,362.34
2020-10-26,368.55
2020-10-23,374.33
2020-10-22,369.25
2020-10-21,367.16
2020-10-20,373.78
2020-10-19,385.0
2020-10-16,386.5
2020-10-15,386.12
2020-10-14,390.72
2020-10-13,388.95
2020-10-12,389.9
2020-10-09,386.8
2020-10-08,388.0
2020-10-07,383.0
2020-10-06,376.35
2020-10-05,383.55
2020-10-02,379.0
2020-10-01,381.0
2020-09-30,384.76
2020-09-29,388.74
2020-09-28,391.0
2020-09-25,386.69
2020-09-24,379.75
2020-09-23,383.25
2020-09-22,388.42
2020-09-21,380.0
2020-09-18,395.3
2020-09-17,395.58
2020-09-16,395.0
2020-09-15,392.5
2020-09-14,393.8
2020-09-11,389.44
2020-09-10,379.11
2020-09-09,385.24
2020-09-08,378.21
2020-09-04,385.02
2020-09-03,384.05
2020-09-02,398.0
2020-09-01,386.75
2020-08-31,388.8
2020-08-28,395.11
2020-08-27,395.05
2020-08-26,395.44
2020-08-25,395.99
2020-08-24,395.0
2020-08-21,389.0
2020-08-20,388.49
2020-08-19,389.76
2020-08-18,390.99
2020-08-17,388.42
2020-08-14,394.0
2020-08-13,388.51
2020-08-12,392.44
2020-08-11,393.0
2020-08-10,388.01
2020-08-07,385.26
2020-08-06,379.74
2020-08-05,384.89
2020-08-04,378.98
2020-08-03,378.0
2020-07-31,378.88
2020-07-30,383.14
2020-07-29,387.5
2020-07-28,386.66
2020-07-27,382.09
2020-07-24,386.21
2020-07-23,387.4
2020-07-22,393.0
2020-07-21,375.25
2020-07-20,371.5
2020-07-17,369.0
2020-07-16,365.0
2020-07-15,364.56
2020-07-14,356.7
2020-07-13,353.06
2020-07-10,351.0
2020-07-09,341.02
2020-07-08,351.88
2020-07-07,355.8
2020-07-06,363.25
2020-07-02,362.99
2020-07-01,361.0
2020-06-30,366.99
2020-06-29,367.5
2020-06-26,356.55
2020-06-25,359.3764
2020-06-24,360.0
2020-06-23,371.48
2020-06-22,376.5
2020-06-19,371.75
2020-06-18,379.5
2020-06-17,383.0
2020-06-16,383.0
2020-06-15,376.0
2020-06-12,382.49
2020-06-11,387.5
2020-06-10,401.5
2020-06-09,407.7
2020-06-08,415.0
2020-06-05,410.75
2020-06-04,403.67
2020-06-03,402.63
2020-06-02,389.12
2020-06-01,388.95
2020-05-29,389.35
2020-05-28,399.0
2020-05-27,397.0
2020-05-26,373.6
2020-05-22,369.25
2020-05-21,368.82
2020-05-20,363.5
2020-05-19,373.57
2020-05-18,380.0
2020-05-15,360.39
2020-05-14,356.76
2020-05-13,364.18
2020-05-12,368.0
2020-05-11,376.45
2020-05-08,378.53
2020-05-07,377.5
2020-05-06,378.48
2020-05-05,391.0
2020-05-04,380.16
2020-05-01,383.47
2020-04-30,387.0
2020-04-29,387.91
2020-04-28,384.73
2020-04-27,379.0
2020-04-24,381.96
2020-04-23,375.25
2020-04-22,380.4
2020-04-21,375.0
2020-04-20,388.0
2020-04-17,402.0
2020-04-16,384.11
2020-04-15,374.0
2020-04-14,381.2
2020-04-13,373.48
2020-04-09,371.0
2020-04-08,369.99
2020-04-07,355.28
2020-04-06,368.75
2020-04-03,351.23
2020-04-02,353.96
2020-04-01,338.52
2020-03-31,337.15
2020-03-30,345.51
2020-03-27,347.64
2020-03-26,350.0
2020-03-25,319.67
2020-03-24,290.0
2020-03-23,276.8
2020-03-20,290.99
2020-03-19,311.27
2020-03-18,339.0
2020-03-17,310.0
2020-03-16,295.51
2020-03-13,330.0
2020-03-12,304.0
2020-03-11,358.0
2020-03-10,360.5
2020-03-09,350.5
2020-03-06,383.0
2020-03-05,385.0
2020-03-04,402.05
2020-03-03,375.55
2020-03-02,382.87
2020-02-28,376.0
2020-02-27,382.0
2020-02-26,400.9
2020-02-25,400.36
2020-02-24,419.37
2020-02-22,427.8
2020-02-21,427.65
2020-02-20,425.97
2020-02-19,434.55
2020-02-18,436.0
2020-02-14,437.85
2020-02-13,435.0
2020-02-12,436.6001
2020-02-11,439.85
2020-02-10,439.76
2020-02-07,439.17
2020-02-06,438.97
2020-02-05,435.19
2020-02-04,431.99
2020-02-03,424.8
2020-01-31,428.12
2020-01-30,435.9
2020-01-29,433.7916
2020-01-28,437.17
2020-01-27,433.3
2020-01-25,432.1
2020-01-24,432.5
2020-01-23,428.78
2020-01-22,424.0
2020-01-21,426.15
2020-01-17,425.7722
2020-01-16,425.6
2020-01-15,420.95
2020-01-14,416.0
2020-01-13,418.93
2020-01-10,413.83
2020-01-09,415.1
2020-01-08,412.3
2020-01-07,421.0
2020-01-06,413.0
2020-01-03,414.0
2020-01-02,399.2
2019-12-31,389.38
2019-12-30,391.7
2019-12-27,393.2
2019-12-26,392.0
2019-12-24,390.17
2019-12-23,392.4
2019-12-21,386.5
2019-12-20,386.47
2019-12-19,383.15
2019-12-18,380.57
2019-12-17,386.89
2019-12-16,384.75
2019-12-13,384.895
2019-12-12,384.25
2019-12-11,387.03
2019-12-10,384.44
2019-12-09,382.5
2019-12-06,386.86
2019-12-05,385.94
2019-12-04,381.62
2019-12-03,381.62
2019-12-02,383.62
2019-11-29,391.03
2019-11-27,394.24
2019-11-26,393.12
2019-11-25,391.0
2019-11-22,390.74
2019-11-21,389.75
2019-11-20,392.7
2019-11-19,390.82
2019-11-18,392.76
2019-11-15,393.55
2019-11-14,390.16
2019-11-13,387.84
2019-11-12,386.3
2019-11-11,381.38
2019-11-08,381.86
2019-11-07,378.75
2019-11-06,379.628
2019-11-05,373.63
2019-11-04,372.4
2019-11-01,379.17
2019-10-31,376.68
2019-10-30,378.77
2019-10-29,371.95
2019-10-28,372.65
2019-10-25,370.05
2019-10-24,373.5
2019-10-23,373.09
2019-10-22,373.0
2019-10-21,374.0
2019-10-18,372.48
2019-10-17,377.25
2019-10-16,383.5
2019-10-15,382.11
2019-10-14,382.61
2019-10-11,381.75
2019-10-10,386.88
2019-10-09,383.5
2019-10-08,382.12
2019-10-07,383.78
2019-10-04,384.95
2019-10-03,380.98
2019-10-02,377.25
2019-10-01,384.2
2019-09-30,391.1
2019-09-27,388.01
2019-09-26,393.51
2019-09-25,390.1
2019-09-24,388.02
2019-09-23,388.9
2019-09-20,388.2
2019-09-19,393.6
2019-09-18,397.12
2019-09-17,393.5
2019-09-16,393.8
2019-09-13,384.5
2019-09-12,386.63
2019-09-11,381.55
2019-09-10,380.3
2019-09-09,380.1
2019-09-06,386.56
2019-09-05,384.84
2019-09-04,389.08
2019-09-03,384.69
2019-08-30,383.51
2019-08-29,384.43
2019-08-28,380.97
2019-08-27,379.99
2019-08-26,380.33
2019-08-23,376.5
2019-08-22,385.88
2019-08-21,383.0001
2019-08-20,381.75
2019-08-19,380.47
2019-08-16,376.9
2019-08-15,373.46
2019-08-14,368.94
2019-08-13,377.22
2019-08-12,377.0
2019-08-09,377.01
2019-08-08,375.8
2019-08-07,369.3
2019-08-06,366.78
2019-08-05,351.0
2019-08-02,361.91
2019-08-01,361.5
2019-07-31,362.15
2019-07-30,365.99
2019-07-29,369.6
2019-07-26,368.6
2019-07-25,370.0
2019-07-24,368.9
2019-07-23,357.3
2019-07-22,360.0
2019-07-19,356.8
2019-07-18,358.4325
2019-07-17,358.46
2019-07-16,366.0
2019-07-15,368.0
2019-07-12,369.45
2019-07-11,368.99
2019-07-10,368.16
2019-07-09,369.73
2019-07-08,369.18
2019-07-05,369.92
2019-07-03,370.38
2019-07-02,367.57
2019-07-01,361.47
2019-06-28,363.58
2019-06-27,359.0
2019-06-26,359.5
2019-06-25,359.37
2019-06-24,359.98
2019-06-21,359.36
2019-06-20,362.8
2019-06-19,355.73
2019-06-18,353.49
2019-06-17,348.9
2019-06-14,350.14
2019-06-13,349.0
2019-06-12,346.5
2019-06-11,344.04
2019-06-10,351.62
2019-06-07,355.0
2019-06-06,352.7
2019-06-05,349.7201
2019-06-04,349.5
2019-06-03,345.2
2019-05-31,338.54
2019-05-30,341.25
2019-05-29,339.48
2019-05-28,338.89
2019-05-24,338.78
2019-05-23,340.9
2019-05-22,341.2
2019-05-21,343.95
2019-05-20,342.9
2019-05-17,337.99
2019-05-16,340.39
2019-05-15,334.15
2019-05-14,336.17
2019-05-13,335.29
2019-05-10,341.35
2019-05-09,339.36
2019-05-08,334.18
2019-05-07,330.9
2019-05-06,335.72
2019-05-03,334.3
2019-05-02,332.6
2019-05-01,331.85
2019-04-30,333.33
2019-04-29,328.0
2019-04-26,328.45
2019-04-25,329.98
2019-04-24,330.12
2019-04-23,333.7
2019-04-22,317.0
2019-04-18,314.26
2019-04-17,311.28
2019-04-16,310.69
2019-04-15,308.71
2019-04-12,309.7
2019-04-11,305.69
2019-04-10,299.12
2019-04-09,302.68
2019-04-08,304.7
2019-04-05,302.52
2019-04-04,299.99
2019-04-03,297.99
2019-04-02,303.1
2019-04-01,304.3
2019-03-29,300.16
2019-03-28,297.0
2019-03-27,293.95
2019-03-26,294.9
2019-03-25,294.12
2019-03-22,294.06
2019-03-21,299.01
2019-03-20,295.5
2019-03-19,296.6
2019-03-18,297.64
2019-03-15,296.15
2019-03-14,298.55
2019-03-13,303.45
2019-03-12,302.75
2019-03-11,305.99
2019-03-09,300.99
2019-03-08,300.95
2019-03-07,303.01
2019-03-06,303.49
2019-03-05,306.0
2019-03-04,304.69
2019-03-02,309.91
2019-03-01,309.47
2019-02-28,309.41
2019-02-27,307.4
2019-02-26,305.86
2019-02-25,305.97
2019-02-22,306.6
2019-02-21,304.51
2019-02-20,307.2
2019-02-19,305.18
2019-02-16,307.23
2019-02-15,307.23
2019-02-14,301.0
2019-02-13,304.42
2019-02-12,304.1
2019-02-11,300.04
2019-02-08,301.2
2019-02-07,300.12
2019-02-06,299.83
2019-02-05,299.46
2019-02-04,298.77
2019-02-01,291.0
2019-01-31,289.69
2019-01-30,292.0
2019-01-29,292.3
2019-01-28,287.86
2019-01-25,287.39
2019-01-24,285.25
2019-01-23,284.0
2019-01-22,279.61
2019-01-18,282.9
2019-01-17,279.0
2019-01-16,272.39
2019-01-15,276.0
2019-01-14,277.51
2019-01-11,277.73
2019-01-10,277.5
2019-01-09,268.85
2019-01-08,269.87
2019-01-07,268.985
2019-01-04,265.04
2019-01-03,258.08
2019-01-02,261.8119
2018-12-31,261.5
2018-12-28,261.3
2018-12-27,259.79
2018-12-26,252.0
2018-12-24,245.19
2018-12-21,256.68
2018-12-20,266.5
2018-12-19,272.11
2018-12-18,279.47
2018-12-17,279.24
2018-12-14,287.7
2018-12-13,292.01
2018-12-12,292.5
2018-12-11,291.11
2018-12-10,297.0
2018-12-08,285.06
2018-12-07,285.4
2018-12-06,286.35
2018-12-04,287.0
2018-12-03,296.79
2018-11-30,300.43
2018-11-29,302.6
2018-11-28,303.06
2018-11-27,295.0
2018-11-26,295.15
2018-11-23,295.38
2018-11-21,294.36
2018-11-20,292.48
2018-11-19,294.59
2018-11-16,301.24
2018-11-15,305.48
2018-11-14,303.55
2018-11-13,305.74
2018-11-12,305.0
2018-11-09,310.59
2018-11-08,308.56
2018-11-07,310.0
2018-11-06,307.0
2018-11-05,303.21
2018-11-02,299.28
2018-11-01,299.42
2018-10-31,293.85
2018-10-30,291.0
2018-10-29,285.0
2018-10-26,305.05
2018-10-25,306.38
2018-10-24,310.04
2018-10-23,321.72
2018-10-22,328.49
2018-10-19,327.99
2018-10-18,328.0
2018-10-17,333.75
2018-10-16,337.13
2018-10-15,331.24
2018-10-12,327.36
2018-10-11,326.37
2018-10-10,336.05
2018-10-09,347.31
2018-10-08,350.49
2018-10-05,347.21
2018-10-04,348.0
2018-10-03,347.05
2018-10-02,349.5
2018-10-01,347.93
2018-09-28,345.96
2018-09-27,346.05
2018-09-26,342.88
2018-09-25,343.51
2018-09-24,337.58
2018-09-21,337.5
2018-09-20,334.0
2018-09-19,338.9
2018-09-18,343.22
2018-09-17,339.33
2018-09-14,335.97
2018-09-13,331.3
2018-09-12,326.0
2018-09-11,322.23
2018-09-10,322.95
2018-09-07,328.26
2018-09-06,328.91
2018-09-05,321.31
2018-09-04,321.91
2018-08-31,320.41
2018-08-30,321.32
2018-08-29,324.28
2018-08-28,323.485
2018-08-27,325.0
2018-08-24,321.25
2018-08-23,320.19
2018-08-22,322.0
2018-08-21,323.0
2018-08-20,324.5
2018-08-17,324.62
2018-08-16,325.86
2018-08-15,318.3
2018-08-14,318.9899
2018-08-13,314.5899
2018-08-10,313.25
2018-08-09,314.01
2018-08-08,314.5
2018-08-07,317.43
2018-08-06,316.92
2018-08-03,320.55
2018-08-02,322.02
2018-08-01,324.93
2018-07-31,326.5
2018-07-30,321.0
2018-07-27,324.09
2018-07-26,322.94
2018-07-25,323.2
