date,price
2021-02-18,52.49
2021-02-17,52.44
2021-02-16,51.81
2021-02-13,51.39
2021-02-12,51.25
2021-02-11,51.35
2021-02-10,51.16
2021-02-09,51.26
2021-02-08,52.15
2021-02-06,50.19
2021-02-05,50.16
2021-02-04,48.9
2021-02-03,46.41
2021-02-02,45.67
2021-02-01,44.91
2021-01-30,44.19
2021-01-29,44.0
2021-01-28,44.72
2021-01-27,44.09
2021-01-26,45.7001
2021-01-25,45.76
2021-01-23,47.39
2021-01-22,47.49
2021-01-21,47.78
2021-01-20,48.1
2021-01-19,46.91
2021-01-16,46.96
2021-01-15,46.9
2021-01-14,49.2
2021-01-13,47.95
2021-01-12,48.31
2021-01-11,47.3
2021-01-09,47.35
2021-01-08,47.2
2021-01-07,47.33
2021-01-06,46.51
2021-01-05,45.5
2021-01-04,44.95
2021-01-01,46.7
2020-12-31,46.7
2020-12-30,46.43
2020-12-29,46.1
2020-12-28,46.35
2020-12-24,46.28
2020-12-23,46.88
2020-12-22,45.48
2020-12-21,45.5
2020-12-19,46.3
2020-12-18,46.25
2020-12-17,46.33
2020-12-16,45.75
2020-12-15,46.48
2020-12-14,45.43
2020-12-12,45.9
2020-12-11,45.94
2020-12-10,47.42
2020-12-09,45.65
2020-12-08,47.34
2020-12-07,47.88
2020-12-05,47.6
2020-12-04,47.5499
2020-12-03,47.82
2020-12-02,47.69
2020-12-01,47.08
2020-11-30,46.58
2020-11-27,47.74
2020-11-25,48.5
2020-11-24,48.55
2020-11-23,47.31
2020-11-21,45.66
2020-11-20,45.64
2020-11-19,45.55
2020-11-18,46.0499
2020-11-17,45.77
2020-11-16,45.52
2020-11-14,44.09
2020-11-13,44.04
2020-11-12,42.0
2020-11-11,43.08
2020-11-10,44.48
2020-11-09,44.67
2020-11-07,40.04
2020-11-06,40.15
2020-11-05,40.86
2020-11-04,39.07
2020-11-03,38.9
2020-11-02,38.45
2020-10-30,39.45
2020-10-29,38.98
2020-10-28,38.39
2020-10-27,39.75
2020-10-26,41.17
2020-10-23,42.75
2020-10-22,41.88
2020-10-21,39.54
2020-10-20,40.3
2020-10-19,40.2999
2020-10-16,39.65
2020-10-15,38.9
2020-10-14,39.2
2020-10-13,38.93
2020-10-12,39.27
2020-10-09,39.65
2020-10-08,39.16
2020-10-07,38.7
2020-10-06,37.34
2020-10-05,38.37
2020-10-02,38.41
2020-10-01,37.61
2020-09-30,37.7
2020-09-29,37.83
2020-09-28,38.48
2020-09-25,37.41
2020-09-24,37.2
2020-09-23,37.59
2020-09-22,38.01
2020-09-21,37.61
2020-09-18,39.8
2020-09-17,40.59
2020-09-16,42.45
2020-09-15,40.8
2020-09-14,40.05
2020-09-11,38.99
2020-09-10,39.2
2020-09-09,39.3
2020-09-08,39.72
2020-09-04,39.38
2020-09-03,38.15
2020-09-02,39.2
2020-09-01,38.1
2020-08-31,37.7
2020-08-28,38.84
2020-08-27,38.28
2020-08-26,36.83
2020-08-25,36.83
2020-08-24,37.01
2020-08-21,34.81
2020-08-20,34.34
2020-08-19,34.01
2020-08-18,34.05
2020-08-17,33.6
2020-08-14,34.94
2020-08-13,34.89
2020-08-12,35.25
2020-08-11,35.57
2020-08-10,34.76
2020-08-07,33.25
2020-08-06,32.99
2020-08-05,33.62
2020-08-04,31.49
2020-08-03,31.53
2020-07-31,30.89
2020-07-30,31.25
2020-07-29,31.82
2020-07-28,32.37
2020-07-27,31.63
2020-07-24,31.7
2020-07-23,32.81
2020-07-22,33.35
2020-07-21,33.62
2020-07-20,32.98
2020-07-17,34.32
2020-07-16,34.06
2020-07-15,35.15
2020-07-14,34.78
2020-07-13,32.24
2020-07-10,33.1
2020-07-09,31.3399
2020-07-08,32.9
2020-07-07,33.08
2020-07-06,34.14
2020-07-02,34.19
2020-07-01,34.04
2020-06-30,33.93
2020-06-29,35.5
2020-06-26,31.57
2020-06-25,33.0
2020-06-24,31.56
2020-06-23,34.55
2020-06-22,34.64
2020-06-19,34.11
2020-06-18,36.21
2020-06-17,35.9
2020-06-16,36.1499
2020-06-15,37.3
2020-06-12,36.17
2020-06-11,34.32
2020-06-10,35.62
2020-06-09,37.48
2020-06-08,40.68
2020-06-05,38.55
2020-06-04,38.4
2020-06-03,37.12
2020-06-02,34.63
2020-06-01,33.5
2020-05-29,32.7
2020-05-28,32.33
2020-05-27,34.0
2020-05-26,32.59
2020-05-22,28.88
2020-05-21,29.8401
2020-05-20,29.22
2020-05-19,27.84
2020-05-18,27.25
2020-05-15,23.95
2020-05-14,24.78
2020-05-13,24.23
2020-05-12,25.01
2020-05-11,26.15
2020-05-08,27.0
2020-05-07,25.75
2020-05-06,24.81
2020-05-05,26.58
2020-05-04,27.95
2020-05-01,29.3
2020-04-30,30.66
2020-04-29,31.72
2020-04-28,30.01
2020-04-27,29.65
2020-04-24,29.47
2020-04-23,30.05
2020-04-22,29.89
2020-04-21,30.25
2020-04-20,31.36
2020-04-17,31.4
2020-04-16,32.7
2020-04-15,32.49
2020-04-14,37.36
2020-04-13,34.7
2020-04-09,37.74
2020-04-08,35.6
2020-04-07,33.21
2020-04-06,31.12
2020-04-03,29.0
2020-04-02,32.0
2020-04-01,32.4
2020-03-31,35.17
2020-03-30,35.1
2020-03-27,36.16
2020-03-26,41.68
2020-03-25,40.0001
2020-03-24,37.5
2020-03-23,35.6
2020-03-20,31.89
2020-03-19,31.16
2020-03-18,35.8001
2020-03-17,37.0
2020-03-16,38.65
2020-03-13,40.2501
2020-03-12,35.0801
2020-03-11,42.75
2020-03-10,44.19
2020-03-09,44.25
2020-03-07,45.97
2020-03-06,45.71
2020-03-05,45.59
2020-03-04,46.5
2020-03-03,45.45
2020-03-02,46.95
2020-02-29,46.96
2020-02-28,46.96
2020-02-27,46.54
2020-02-26,48.6
2020-02-25,50.03
2020-02-24,54.12
2020-02-21,56.53
2020-02-20,56.94
2020-02-19,57.11
2020-02-18,57.6
2020-02-14,57.97
2020-02-13,58.54
2020-02-12,58.48
2020-02-11,57.22
2020-02-10,57.42
2020-02-07,57.26
2020-02-06,58.0
2020-02-05,56.95
2020-02-04,55.68
2020-02-03,55.22
2020-01-31,54.62
2020-01-30,55.47
2020-01-29,56.99
2020-01-28,57.6
2020-01-27,56.26
2020-01-24,56.55
2020-01-23,55.4
2020-01-22,53.4
2020-01-21,53.8
2020-01-17,54.75
2020-01-16,55.3
2020-01-15,55.03
2020-01-14,54.49
2020-01-13,54.16
2020-01-10,53.94
2020-01-09,54.3
2020-01-08,54.37
2020-01-07,53.5001
2020-01-06,54.13
2020-01-03,54.04
2020-01-02,54.84
2019-12-31,53.98
2019-12-30,54.08
2019-12-27,54.32
2019-12-26,54.9
2019-12-24,54.94
2019-12-23,55.25
2019-12-21,54.65
2019-12-20,54.65
2019-12-19,54.0
2019-12-18,53.62
2019-12-17,54.19
2019-12-16,54.2
2019-12-13,54.15
2019-12-12,54.51
2019-12-11,53.98
2019-12-10,54.91
2019-12-09,55.47
2019-12-06,55.94
2019-12-05,55.53
2019-12-04,55.78
2019-12-03,55.93
2019-12-02,56.75
2019-11-29,57.64
2019-11-27,57.55
2019-11-26,57.59
2019-11-25,57.56
2019-11-23,56.95
2019-11-22,57.01
2019-11-21,56.59
2019-11-20,56.83
2019-11-19,57.55
2019-11-18,57.78
2019-11-15,57.79
2019-11-14,57.63
2019-11-13,57.59
2019-11-12,57.85
2019-11-11,58.26
2019-11-08,58.18
2019-11-07,58.36
2019-11-06,57.85
2019-11-05,57.88
2019-11-04,57.01
2019-11-01,56.26
2019-10-31,56.13
2019-10-30,57.04
2019-10-29,57.21
2019-10-28,57.4
2019-10-25,56.75
2019-10-24,56.1
2019-10-23,54.1
2019-10-22,52.92
2019-10-21,53.37
2019-10-18,53.48
2019-10-17,53.86
2019-10-16,53.7
2019-10-15,54.16
2019-10-14,54.02
2019-10-11,54.2
2019-10-10,53.69
2019-10-09,53.2
2019-10-08,53.1
2019-10-07,53.04
2019-10-04,52.79
2019-10-03,52.26
2019-10-02,52.04
2019-10-01,53.37
2019-09-30,54.01
2019-09-27,54.49
2019-09-26,54.9
2019-09-25,54.82
2019-09-24,54.75
2019-09-23,54.48
2019-09-20,54.25
2019-09-19,55.08
2019-09-18,56.12
2019-09-17,55.73
2019-09-16,55.81
2019-09-13,55.74
2019-09-12,54.98
2019-09-11,54.79
2019-09-10,53.38
2019-09-09,53.0
2019-09-06,52.14
2019-09-05,52.83
2019-09-04,52.1
2019-09-03,51.38
2019-08-30,52.32
2019-08-29,52.3
2019-08-28,51.16
2019-08-27,50.49
2019-08-26,50.69
2019-08-23,50.45
2019-08-22,51.19
2019-08-21,50.75
2019-08-20,50.0
2019-08-19,50.64
2019-08-16,49.85
2019-08-15,48.21
2019-08-14,48.6
2019-08-13,49.92
2019-08-12,50.05
2019-08-09,50.5
2019-08-08,50.74
2019-08-07,49.76
2019-08-06,49.9831
2019-08-05,48.5
2019-08-02,50.52
2019-08-01,50.99
2019-07-31,51.53
2019-07-30,52.55
2019-07-29,52.88
2019-07-26,53.3
2019-07-25,54.62
2019-07-24,54.9
2019-07-23,54.13
2019-07-22,52.68
2019-07-19,52.05
2019-07-18,52.85
2019-07-17,52.3
2019-07-16,53.28
2019-07-15,52.26
2019-07-12,52.51
2019-07-11,51.84
2019-07-10,51.86
2019-07-09,51.69
2019-07-08,52.08
2019-07-05,52.3
2019-07-03,51.85
2019-07-02,51.49
2019-07-01,51.54
2019-06-28,50.78
2019-06-27,50.81
2019-06-26,50.7
2019-06-25,51.02
2019-06-24,51.22
2019-06-21,51.25
2019-06-20,51.46
2019-06-19,51.62
2019-06-18,51.7
2019-06-17,51.2
2019-06-14,51.82
2019-06-13,52.41
2019-06-12,51.0
2019-06-11,50.58
2019-06-10,50.3
2019-06-07,50.37
2019-06-06,49.99
2019-06-05,50.2
2019-06-04,49.05
2019-06-03,47.75
2019-05-31,47.7
2019-05-30,49.0
2019-05-29,49.6
2019-05-28,50.11
2019-05-24,51.15
2019-05-23,50.97
2019-05-22,52.57
2019-05-21,53.37
2019-05-20,52.01
2019-05-17,52.24
2019-05-16,52.59
2019-05-15,51.85
2019-05-14,51.65
2019-05-13,50.89
2019-05-10,52.74
2019-05-09,52.46
2019-05-08,52.41
2019-05-07,52.21
2019-05-06,53.27
2019-05-03,53.93
2019-05-02,53.35
2019-05-01,53.8
2019-04-30,54.53
2019-04-29,53.7
2019-04-26,52.87
2019-04-25,53.4
2019-04-24,53.25
2019-04-23,52.79
2019-04-22,51.71
2019-04-18,51.9053
2019-04-17,52.5
2019-04-16,53.4
2019-04-15,52.23
2019-04-12,52.9
2019-04-11,53.0
2019-04-10,52.62
2019-04-09,52.0
2019-04-08,52.02
2019-04-05,53.24
2019-04-04,53.29
2019-04-03,53.55
2019-04-02,52.71
2019-04-01,52.48
2019-03-29,51.75
2019-03-28,50.48
2019-03-27,49.87
2019-03-26,48.69
2019-03-25,48.7
2019-03-22,49.4
2019-03-21,50.74
2019-03-20,49.77
2019-03-19,50.2
2019-03-18,51.15
2019-03-15,51.37
2019-03-14,51.25
2019-03-13,50.97
2019-03-12,50.4
2019-03-11,51.75
2019-03-08,51.92
2019-03-07,52.44
2019-03-06,53.19
2019-03-05,53.5
2019-03-04,53.79
2019-03-02,54.49
2019-03-01,54.5
2019-02-28,56.55
2019-02-27,53.95
2019-02-26,53.68
2019-02-25,53.47
2019-02-23,53.75
2019-02-22,53.62
2019-02-21,54.06
2019-02-20,54.4
2019-02-19,57.67
2019-02-16,57.93
2019-02-15,57.23
2019-02-14,58.0
2019-02-13,58.0
2019-02-12,57.99
2019-02-11,58.49
2019-02-08,57.75
