date,price
2021-02-18,131.33
2021-02-17,131.33
2021-02-16,130.14
2021-02-12,129.1
2021-02-11,126.4
2021-02-10,126.85
2021-02-09,127.05
2021-02-08,128.5
2021-02-06,129.28
2021-02-05,129.46
2021-02-04,125.0
2021-02-03,123.75
2021-02-02,121.86
2021-02-01,117.51
2021-01-30,116.3
2021-01-29,116.54
2021-01-28,120.26
2021-01-27,116.5
2021-01-26,120.38
2021-01-25,119.45
2021-01-23,123.0
2021-01-22,123.0
2021-01-21,126.62
2021-01-20,126.54
2021-01-19,126.86
2021-01-16,126.3
2021-01-15,127.05
2021-01-14,129.3
2021-01-13,126.7799
2021-01-12,127.27
2021-01-11,128.7499
2021-01-08,130.15
2021-01-07,130.35
2021-01-06,129.13
2021-01-05,125.9
2021-01-04,124.77
2020-12-31,131.92
2020-12-30,130.41
2020-12-29,129.0
2020-12-28,128.32
2020-12-24,128.75
2020-12-23,128.01
2020-12-22,126.26
2020-12-21,127.48
2020-12-19,129.9999
2020-12-18,129.8
2020-12-17,130.48
2020-12-16,130.08
2020-12-15,130.36
2020-12-14,126.62
2020-12-11,129.45
2020-12-10,133.61
2020-12-09,130.21
2020-12-08,132.62
2020-12-07,132.75
2020-12-04,135.5
2020-12-03,132.98
2020-12-02,129.0
2020-12-01,128.0
2020-11-30,127.15
2020-11-27,128.35
2020-11-26,129.7
2020-11-25,129.02
2020-11-24,131.3
2020-11-23,123.09
2020-11-20,119.6
2020-11-19,119.1
2020-11-18,120.34
2020-11-17,124.39
2020-11-16,124.0
2020-11-14,120.04
2020-11-13,120.04
2020-11-12,115.6
2020-11-11,116.0
2020-11-10,118.5
2020-11-09,119.1
2020-11-07,104.08
2020-11-06,103.95
2020-11-05,101.16
2020-11-04,98.01
2020-11-03,97.06
2020-11-02,93.0
2020-10-30,92.89
2020-10-29,92.2
2020-10-28,90.4
2020-10-27,93.0
2020-10-26,96.55
2020-10-23,101.6
2020-10-22,101.36
2020-10-21,95.0
2020-10-20,95.68
2020-10-19,94.5
2020-10-16,97.54
2020-10-15,98.08
2020-10-14,97.07
2020-10-13,98.3
2020-10-12,100.71
2020-10-09,99.54
2020-10-08,100.98
2020-10-07,99.21
2020-10-06,96.6
2020-10-05,96.28
2020-10-02,94.07
2020-10-01,94.35
2020-09-30,93.0
2020-09-29,93.8
2020-09-28,96.5
2020-09-25,92.9
2020-09-24,91.75
2020-09-23,93.11
2020-09-22,95.23
2020-09-21,93.2
2020-09-18,99.9
2020-09-17,104.42
2020-09-16,107.89
2020-09-15,105.58
2020-09-14,104.75
2020-09-11,99.11
2020-09-10,100.9
2020-09-09,102.33
2020-09-08,103.2
2020-09-04,104.18
2020-09-03,103.04
2020-09-02,104.96
2020-09-01,103.25
2020-08-31,103.0
2020-08-28,106.3
2020-08-27,102.66
2020-08-26,97.6
2020-08-25,98.11
2020-08-24,97.93
2020-08-21,95.5
2020-08-20,94.98
2020-08-19,94.49
2020-08-18,94.71
2020-08-17,95.96
2020-08-14,95.7001
2020-08-13,96.5
2020-08-12,96.1
2020-08-11,97.8
2020-08-10,97.03
2020-08-07,93.1
2020-08-06,90.39
2020-08-05,87.27
2020-08-04,86.1
2020-08-03,83.0
2020-07-31,83.62
2020-07-30,86.0
2020-07-29,87.1
2020-07-28,87.0
2020-07-27,86.5
2020-07-24,87.3001
2020-07-23,89.01
2020-07-22,90.81
2020-07-21,91.0
2020-07-20,88.87
2020-07-17,91.75
2020-07-16,92.4
2020-07-15,93.89
2020-07-14,90.75
2020-07-13,87.8
2020-07-10,88.55
2020-07-09,86.0
2020-07-08,90.28
2020-07-07,87.42
2020-07-06,89.9
2020-07-02,87.91
2020-07-01,86.0
2020-06-30,85.25
2020-06-29,86.9
2020-06-26,80.51
2020-06-25,83.98
2020-06-24,84.5
2020-06-23,90.25
2020-06-22,90.6
2020-06-19,89.45
2020-06-18,93.73
2020-06-17,90.6
2020-06-16,93.2
2020-06-15,92.5599
2020-06-12,92.5
2020-06-11,93.85
2020-06-10,100.27
2020-06-09,106.97
2020-06-08,113.99
2020-06-05,108.5
2020-06-04,105.4
2020-06-03,100.85
2020-06-02,96.0
2020-06-01,94.45
2020-05-29,89.35
2020-05-28,92.5
2020-05-27,98.2
2020-05-26,95.0
2020-05-22,90.8
2020-05-21,91.88
2020-05-20,92.85
2020-05-19,91.01
2020-05-18,93.7
2020-05-15,79.35
2020-05-14,79.9
2020-05-13,75.9
2020-05-12,78.6
2020-05-11,82.5
2020-05-08,86.85
2020-05-07,86.15
2020-05-06,80.54
2020-05-05,83.55
2020-05-04,82.66
2020-05-01,85.0
2020-04-30,88.5
2020-04-29,97.8
2020-04-28,87.96
2020-04-27,85.35
2020-04-24,80.9
2020-04-23,80.15
2020-04-22,79.9
2020-04-21,80.5
2020-04-20,79.8
2020-04-17,84.0
2020-04-16,88.55
2020-04-15,79.51
2020-04-14,83.0
2020-04-13,78.9
2020-04-09,82.9
2020-04-08,82.53
2020-04-07,74.4
2020-04-06,71.0
2020-04-03,58.55
2020-04-02,62.99
2020-04-01,69.5
2020-03-31,73.8
2020-03-30,76.5
2020-03-27,78.12
2020-03-26,83.15
2020-03-25,86.75
2020-03-24,79.0
2020-03-23,72.5
2020-03-20,75.1
2020-03-19,65.2
2020-03-18,63.0
2020-03-17,72.0
2020-03-16,88.0
2020-03-13,96.99
2020-03-12,92.23
2020-03-11,100.14
2020-03-10,107.45
2020-03-09,107.4
2020-03-06,110.19
2020-03-05,110.0
2020-03-04,117.03
2020-03-03,114.28
2020-03-02,122.7
2020-02-29,125.15
2020-02-28,125.11
2020-02-27,119.0
2020-02-26,120.42
2020-02-25,125.01
2020-02-24,134.71
2020-02-21,143.24
2020-02-20,146.84
2020-02-19,147.63
2020-02-18,144.86
2020-02-15,145.0
2020-02-14,144.9
2020-02-13,147.31
2020-02-12,150.78
2020-02-11,147.0
2020-02-10,144.97
2020-02-07,144.07
2020-02-06,146.25
2020-02-05,147.74
2020-02-04,147.4
2020-02-03,141.5
2020-01-31,140.06
2020-01-30,143.31
2020-01-29,142.61
2020-01-28,141.25
2020-01-27,138.0
2020-01-24,140.95
2020-01-23,144.96
2020-01-22,144.04
2020-01-21,144.5
2020-01-17,150.26
2020-01-16,149.02
2020-01-15,147.4
2020-01-14,147.15
2020-01-13,146.8
2020-01-10,145.39
2020-01-09,146.45
2020-01-08,146.73
2020-01-07,144.94
