date,price
2021-02-17,337.33
2021-02-16,341.0
2021-02-12,341.0
2021-02-11,342.0
2021-02-10,337.0
2021-02-09,333.44
2021-02-08,337.03
2021-02-06,339.09
2021-02-05,338.76
2021-02-04,340.5
2021-02-03,333.01
2021-02-02,334.5
2021-02-01,321.53
2021-01-30,316.27
2021-01-29,315.51
2021-01-28,325.0
2021-01-27,313.96
2021-01-26,327.7
2021-01-25,328.75
2021-01-23,329.45
2021-01-22,328.99
2021-01-21,334.44
2021-01-20,334.5
2021-01-19,326.01
2021-01-16,323.2
2021-01-15,323.2
2021-01-14,329.51
2021-01-13,346.5
2021-01-12,343.25
2021-01-11,348.2
2021-01-09,353.76
2021-01-08,354.93
2021-01-07,350.49
2021-01-06,347.45
2021-01-05,347.42
2021-01-04,351.6
2020-12-31,356.93
2020-12-30,355.99
2020-12-29,345.13
2020-12-28,344.47
2020-12-24,336.0
2020-12-23,329.9899
2020-12-22,332.59
2020-12-21,334.2
2020-12-19,341.49
2020-12-18,340.5
2020-12-17,336.2001
2020-12-16,331.6536
2020-12-15,333.55
2020-12-14,331.99
2020-12-12,327.5
2020-12-11,327.42
2020-12-10,332.69
2020-12-09,336.02
2020-12-08,341.65
2020-12-07,340.22
2020-12-05,344.29
2020-12-04,344.35
2020-12-03,336.01
2020-12-02,338.87
2020-12-01,338.49
2020-11-30,336.51
2020-11-27,339.07
2020-11-25,341.32
2020-11-24,344.0
2020-11-23,334.02
2020-11-21,323.0
2020-11-20,324.0
2020-11-19,332.8
2020-11-18,335.13
2020-11-17,336.49
2020-11-16,335.45
2020-11-13,335.4
2020-11-12,330.0
2020-11-11,333.0
2020-11-10,335.0
2020-11-09,343.95
2020-11-06,313.35
2020-11-05,316.1
2020-11-04,308.35
2020-11-03,297.5
2020-11-02,290.5
2020-10-30,289.75
2020-10-29,291.97
2020-10-28,292.5
2020-10-27,317.0
2020-10-26,319.01
2020-10-23,329.59
2020-10-22,333.6
2020-10-21,333.91
2020-10-20,331.6
2020-10-19,333.51
2020-10-16,339.0
2020-10-15,339.95
2020-10-14,342.5
2020-10-13,346.01
2020-10-12,352.0
2020-10-09,353.31
2020-10-08,346.2
2020-10-07,343.9
2020-10-06,338.0
2020-10-05,343.01
2020-10-02,338.8
2020-10-01,343.37
2020-09-30,338.17
2020-09-29,336.67
2020-09-28,339.0
2020-09-25,331.71
2020-09-24,330.0
2020-09-23,323.5
2020-09-22,335.3
2020-09-21,328.0
2020-09-18,335.75
2020-09-17,339.5
2020-09-16,341.85
2020-09-15,340.02
2020-09-14,339.8
2020-09-11,330.9998
2020-09-10,335.0
2020-09-09,342.99
2020-09-08,327.98
2020-09-04,335.0
2020-09-03,337.5
2020-09-02,360.01
2020-09-01,357.5
2020-08-31,358.87
2020-08-28,366.0
2020-08-27,356.5
2020-08-26,351.02
2020-08-25,348.49
2020-08-24,343.8
2020-08-21,337.11
2020-08-20,337.32
2020-08-19,332.02
2020-08-18,330.85
2020-08-17,330.04
2020-08-14,326.5
2020-08-13,326.75
2020-08-12,327.62
2020-08-11,328.94
2020-08-10,322.7
2020-08-07,328.4999
2020-08-06,330.18
2020-08-05,329.0
2020-08-04,314.39
2020-08-03,312.5
2020-07-31,308.89
2020-07-30,310.5
2020-07-29,312.3
2020-07-28,303.2
2020-07-27,309.4
2020-07-24,306.42
2020-07-23,309.95
2020-07-22,313.0
2020-07-21,308.75
2020-07-20,311.61
2020-07-17,304.06
2020-07-16,300.33
2020-07-15,305.06
2020-07-14,301.0
2020-07-13,291.0
2020-07-10,296.45
2020-07-09,294.04
2020-07-08,300.3
2020-07-07,300.2
2020-07-06,305.64
2020-07-02,302.76
2020-07-01,301.04
2020-06-30,295.7
2020-06-29,293.8
2020-06-26,289.34
2020-06-25,298.01
2020-06-24,294.11
2020-06-23,306.0
2020-06-22,306.0
2020-06-19,297.85
2020-06-18,305.95
2020-06-17,302.2
2020-06-16,305.5
2020-06-15,300.0
2020-06-12,297.01
2020-06-11,293.9
2020-06-10,311.0
2020-06-09,311.5
2020-06-08,310.8
2020-06-05,311.86
2020-06-04,301.8
2020-06-03,307.5
2020-06-02,303.95
2020-06-01,299.5
2020-05-29,301.95
2020-05-28,302.0
2020-05-27,300.06
2020-05-26,303.27
2020-05-22,295.1
2020-05-21,295.25
2020-05-20,300.0
2020-05-19,290.16
2020-05-18,290.95
2020-05-15,278.77
2020-05-14,277.65
2020-05-13,274.0
2020-05-12,269.85
2020-05-11,281.2
2020-05-08,282.99
2020-05-07,279.78
2020-05-06,272.43
2020-05-05,273.7
2020-05-04,268.9
2020-05-01,268.75
2020-04-30,271.45
2020-04-29,285.1
2020-04-28,266.8
2020-04-27,264.99
2020-04-24,258.8
2020-04-23,254.5
2020-04-22,255.5
2020-04-21,247.65
2020-04-20,252.25
2020-04-17,259.0
2020-04-16,258.0
2020-04-15,256.0
2020-04-14,270.0
2020-04-13,265.97
2020-04-09,270.39
2020-04-08,271.5
2020-04-07,259.25
2020-04-06,266.52
2020-04-03,236.15
2020-04-02,237.88
2020-04-01,228.7
2020-03-31,239.0
2020-03-30,252.0001
2020-03-27,246.26
2020-03-26,263.0
2020-03-25,259.06
2020-03-24,236.0
2020-03-23,209.45
2020-03-20,208.25
2020-03-19,224.99
2020-03-18,233.9
2020-03-17,231.31
2020-03-16,244.0
2020-03-13,268.51
2020-03-12,237.0
2020-03-11,270.01
2020-03-10,273.0
2020-03-09,272.0
2020-03-07,284.5
2020-03-06,285.01
2020-03-05,290.73
2020-03-04,300.99
2020-03-03,290.5
2020-03-02,304.0
2020-02-29,293.0
2020-02-28,293.19
2020-02-27,285.0
2020-02-26,296.11
2020-02-25,304.7
2020-02-24,319.39
2020-02-21,339.1301
2020-02-20,343.5
2020-02-19,344.58
2020-02-18,341.5
2020-02-15,342.55
2020-02-14,341.55
2020-02-13,335.84
2020-02-12,332.25
2020-02-11,330.96
2020-02-10,330.42
2020-02-07,326.24
2020-02-06,328.74
2020-02-05,328.5
2020-02-04,329.35
2020-02-03,324.1
2020-02-01,316.0
2020-01-31,316.05
2020-01-30,323.2
2020-01-29,320.25
2020-01-28,322.5
2020-01-27,316.6
2020-01-24,322.99
2020-01-23,324.98
2020-01-22,323.75
2020-01-21,322.47
2020-01-17,323.89
2020-01-16,320.4
2020-01-15,315.0
2020-01-14,311.2
2020-01-13,315.5
2020-01-11,310.81
2020-01-10,311.17
2020-01-09,309.2
2020-01-08,305.4
2020-01-07,296.72
2020-01-06,301.1799
2020-01-03,300.79
2020-01-02,303.39
2019-12-31,298.59
2019-12-30,297.88
2019-12-27,300.74
2019-12-26,299.48
2019-12-24,297.48
2019-12-23,297.86
2019-12-21,298.65
2019-12-20,298.5
2019-12-19,297.53
2019-12-18,295.0
2019-12-17,295.75
2019-12-16,296.96
2019-12-13,296.0
2019-12-12,292.99
2019-12-11,290.05
2019-12-10,288.61
2019-12-09,288.8
2019-12-07,290.4
2019-12-06,290.2
2019-12-05,289.52
2019-12-04,287.09
2019-12-03,290.1
2019-12-02,285.5
2019-11-29,292.79
2019-11-27,291.67
2019-11-26,289.3714
2019-11-25,287.61
2019-11-22,282.89
2019-11-21,284.45
2019-11-20,284.0
2019-11-19,284.6
2019-11-18,280.7
2019-11-16,280.53
2019-11-15,280.5301
2019-11-14,279.37
2019-11-13,278.15
2019-11-12,276.5
2019-11-11,277.0
2019-11-08,274.55
2019-11-07,273.0
2019-11-06,269.86
2019-11-05,269.0
2019-11-04,276.6
2019-11-01,278.4
2019-10-31,276.53
2019-10-30,277.25
2019-10-29,274.25
2019-10-28,277.19
2019-10-25,270.98
2019-10-24,267.6
2019-10-23,263.0
2019-10-22,260.8
2019-10-21,274.3
2019-10-18,271.17
2019-10-17,276.66
2019-10-16,278.55
2019-10-15,278.27
2019-10-14,277.27
2019-10-11,276.35
2019-10-10,275.0
2019-10-09,269.35
2019-10-08,267.16
2019-10-07,272.0
2019-10-04,274.25
2019-10-03,268.0401
2019-10-02,264.75
2019-10-01,271.0
2019-09-30,271.09
2019-09-27,269.2
2019-09-26,273.89
2019-09-25,272.54
2019-09-24,271.1
2019-09-23,274.5
2019-09-20,270.5
2019-09-19,275.91
2019-09-18,275.09
2019-09-17,276.0
2019-09-16,274.4
2019-09-13,276.49
2019-09-12,276.46
2019-09-11,272.8
2019-09-10,272.5
2019-09-09,283.01
2019-09-06,291.4
2019-09-05,291.13
2019-09-04,285.9
2019-09-03,280.2
2019-08-30,280.72
2019-08-29,281.37
2019-08-28,277.81
2019-08-27,277.0
2019-08-26,276.5
2019-08-23,272.37
2019-08-22,280.25
2019-08-21,283.0
2019-08-20,277.04
2019-08-19,278.07
2019-08-16,274.7
2019-08-15,271.5
2019-08-14,267.15
2019-08-13,274.9
2019-08-12,270.2
2019-08-09,275.24
2019-08-08,276.5
2019-08-07,269.3
2019-08-06,264.64
2019-08-05,251.1
2019-08-02,269.48
2019-08-01,273.01
2019-07-31,271.95
2019-07-30,278.38
2019-07-29,281.73
2019-07-26,281.97
