date,price
2021-02-17,213.68
2021-02-16,215.03
2021-02-12,213.89
2021-02-11,213.78
2021-02-10,214.25
2021-02-09,215.98
2021-02-08,211.57
2021-02-06,212.59
2021-02-05,212.27
2021-02-04,211.45
2021-02-03,208.75
2021-02-02,210.0
2021-02-01,207.65
2021-01-29,207.01
2021-01-28,206.83
2021-01-27,208.5
2021-01-26,215.32
2021-01-25,213.34
2021-01-22,213.35
2021-01-21,213.53
2021-01-20,213.95
2021-01-19,209.38
2021-01-16,209.11
2021-01-15,209.52
2021-01-14,208.5
2021-01-13,212.36
2021-01-12,211.4
2021-01-11,214.0
2021-01-09,216.4199
2021-01-08,216.28
2021-01-07,211.98
2021-01-06,211.9
2021-01-05,211.48
2021-01-04,210.85
2020-12-31,214.51
2020-12-30,211.78
2020-12-29,212.65
2020-12-28,214.02
2020-12-24,211.39
2020-12-23,212.1
2020-12-22,211.65
2020-12-21,211.2
2020-12-19,214.25
2020-12-18,214.25
2020-12-17,214.3999
2020-12-16,213.9
2020-12-15,214.86
2020-12-14,212.4499
2020-12-11,207.77
2020-12-10,208.04
2020-12-09,208.69
2020-12-08,208.45
2020-12-07,208.41
2020-12-05,210.65
2020-12-04,211.0
2020-12-03,211.49
2020-12-02,211.25
2020-12-01,216.2
2020-11-30,217.5
2020-11-27,218.33
2020-11-25,219.78
2020-11-24,219.74
2020-11-23,217.69
2020-11-20,214.0
2020-11-19,213.9
2020-11-18,215.6
2020-11-17,216.44
2020-11-16,216.73
2020-11-14,213.28
2020-11-13,213.25
2020-11-12,213.0
2020-11-11,218.02
2020-11-10,213.35
2020-11-09,214.21
2020-11-07,218.8
2020-11-06,217.8
2020-11-05,215.34
2020-11-04,214.35
2020-11-03,218.86
2020-11-02,212.31
2020-10-30,213.05
2020-10-29,213.97
2020-10-28,215.0
2020-10-27,222.25
2020-10-26,224.27
2020-10-23,228.7
2020-10-22,229.15
2020-10-21,226.7901
2020-10-20,227.45
2020-10-19,226.0
2020-10-16,228.65
2020-10-15,230.46
2020-10-14,227.62
2020-10-13,227.15
2020-10-12,226.14
2020-10-09,224.86
2020-10-08,227.5
2020-10-07,226.99
2020-10-06,224.0
2020-10-05,226.07
2020-10-02,222.0
2020-10-01,219.51
2020-09-30,219.68
2020-09-29,220.0
2020-09-28,220.72
2020-09-25,218.0
2020-09-24,216.5
2020-09-23,214.51
2020-09-22,215.91
2020-09-21,216.5
2020-09-18,220.88
2020-09-17,222.5
2020-09-16,225.4
2020-09-15,222.77
2020-09-14,220.87
2020-09-11,217.995
2020-09-10,218.0
2020-09-09,216.5
2020-09-08,213.58
2020-09-04,212.15
2020-09-03,213.63
2020-09-02,216.23
2020-09-01,212.93
2020-08-31,213.76
2020-08-28,215.15
2020-08-27,212.55
2020-08-26,214.08
2020-08-25,212.75
2020-08-24,212.62
2020-08-21,211.2
2020-08-20,209.88
2020-08-19,209.0
2020-08-18,210.03
2020-08-17,208.7
2020-08-14,206.62
2020-08-13,206.49
2020-08-12,206.0
2020-08-11,205.0
2020-08-10,203.82
2020-08-07,204.42
2020-08-06,203.0
2020-08-05,199.15
2020-08-04,199.36
2020-08-03,194.1202
2020-07-31,194.2
2020-07-30,195.7
2020-07-29,196.24
2020-07-28,196.48
2020-07-27,200.1
2020-07-24,197.5
2020-07-23,198.0
2020-07-22,198.62
2020-07-21,193.2
2020-07-20,191.61
2020-07-17,191.48
2020-07-16,190.85
2020-07-15,192.25
2020-07-14,192.4
2020-07-13,185.23
2020-07-10,185.0
2020-07-09,184.51
2020-07-08,186.35
2020-07-07,186.1
2020-07-06,188.87
2020-07-02,183.98
2020-07-01,183.3
2020-06-30,184.45
2020-06-29,183.25
2020-06-26,179.62
2020-06-25,183.8
2020-06-24,184.38
2020-06-23,186.31
2020-06-22,188.5
2020-06-19,186.25
2020-06-18,190.0
2020-06-17,190.0
2020-06-16,191.4
2020-06-15,190.0
2020-06-12,189.01
2020-06-11,188.5
2020-06-10,194.5
2020-06-09,199.61
2020-06-08,202.0
2020-06-05,197.15
2020-06-04,193.72
2020-06-03,193.29
2020-06-02,188.0
2020-06-01,186.0
2020-05-29,187.0
2020-05-28,188.8
2020-05-27,188.26
2020-05-26,185.39
2020-05-22,184.65
2020-05-21,184.82
2020-05-20,184.2
2020-05-19,179.56
2020-05-18,179.57
2020-05-15,173.79
2020-05-14,175.65
2020-05-13,172.85
2020-05-12,175.0
2020-05-11,180.87
2020-05-08,181.49
2020-05-07,181.4
2020-05-06,177.0
2020-05-05,180.05
2020-05-04,182.49
2020-05-01,182.68
2020-04-30,185.0
2020-04-29,189.6
2020-04-28,186.03
2020-04-27,185.89
2020-04-24,183.53
2020-04-23,181.0
2020-04-22,185.82
2020-04-21,178.2
2020-04-20,182.0
2020-04-17,186.09
2020-04-16,185.87
2020-04-15,177.47
2020-04-14,184.25
2020-04-13,180.7
2020-04-09,184.5
2020-04-08,177.49
2020-04-07,175.5
2020-04-06,176.29
2020-04-03,159.01
2020-04-02,161.15
2020-04-01,159.0
2020-03-31,163.1
2020-03-30,167.2
2020-03-27,163.0
2020-03-26,167.35
2020-03-25,163.0
2020-03-24,161.0
2020-03-23,139.3
2020-03-20,147.99
2020-03-19,147.5
2020-03-18,139.25
2020-03-17,141.01
2020-03-16,152.0
2020-03-13,177.01
2020-03-12,165.13
2020-03-11,189.0
2020-03-10,195.87
2020-03-09,187.01
2020-03-06,198.0
2020-03-05,198.34
2020-03-04,206.1
2020-03-03,199.51
2020-03-02,202.55
2020-02-29,195.0
2020-02-28,196.98
2020-02-27,200.0
2020-02-26,209.1
2020-02-25,212.3
2020-02-24,213.52
2020-02-21,215.8
2020-02-20,215.08
2020-02-19,215.63
2020-02-18,215.91
2020-02-15,217.0
2020-02-14,217.09
2020-02-13,217.42
2020-02-12,217.46
2020-02-11,215.72
2020-02-10,213.21
2020-02-07,211.37
2020-02-06,212.87
2020-02-05,214.51
2020-02-04,214.7
2020-02-03,215.0841
2020-01-31,213.7
2020-01-30,216.6
2020-01-29,214.32
2020-01-28,210.4
2020-01-27,209.34
2020-01-25,210.98
2020-01-24,211.2499
2020-01-23,213.43
2020-01-22,211.44
2020-01-21,211.0
2020-01-17,211.98
2020-01-16,210.85
2020-01-15,210.0
2020-01-14,207.78
2020-01-13,206.6
2020-01-11,207.14
2020-01-10,207.25
2020-01-09,208.48
2020-01-08,205.8
2020-01-07,200.0
2020-01-06,202.33
2020-01-03,200.23
2020-01-02,200.71
2019-12-31,197.96
2019-12-30,196.91
2019-12-28,197.93
2019-12-27,198.16
2019-12-26,197.1
2019-12-24,196.67
2019-12-23,196.2
2019-12-20,197.14
2019-12-19,197.03
2019-12-18,195.65
2019-12-17,196.55
2019-12-16,198.03
2019-12-14,197.05
2019-12-13,197.1
2019-12-12,196.4
2019-12-11,194.72
2019-12-10,194.95
2019-12-09,194.81
2019-12-06,195.28
2019-12-05,194.21
2019-12-04,194.2
2019-12-03,193.15
2019-12-02,194.95
2019-11-29,194.48
2019-11-28,196.2
2019-11-27,196.11
2019-11-26,194.01
2019-11-25,191.9
2019-11-22,193.02
2019-11-21,192.35
2019-11-20,194.12
2019-11-19,193.25
2019-11-18,194.3
2019-11-16,193.86
2019-11-15,193.81
2019-11-14,194.24
2019-11-13,195.05
2019-11-12,193.28
2019-11-11,192.68
2019-11-09,193.6
2019-11-08,193.85
2019-11-07,193.37
2019-11-06,194.4
2019-11-05,192.11
2019-11-04,188.91
2019-11-01,194.1
2019-10-31,196.7
2019-10-30,196.9
2019-10-29,192.8
2019-10-28,191.74
2019-10-25,194.65
2019-10-24,196.0
2019-10-23,199.12
2019-10-22,199.88
2019-10-21,210.2
2019-10-18,208.6
2019-10-17,206.85
2019-10-16,208.58
2019-10-15,207.22
2019-10-14,208.24
2019-10-11,209.29
2019-10-10,212.36
2019-10-09,211.5
2019-10-08,210.83
2019-10-07,211.5
2019-10-04,211.5
2019-10-03,209.71
2019-10-02,206.08
2019-10-01,209.19
2019-09-30,215.15
2019-09-27,213.5
2019-09-26,212.6794
2019-09-25,212.63
2019-09-24,211.67
2019-09-23,212.4
2019-09-20,209.39
2019-09-19,210.81
2019-09-18,210.5
2019-09-17,209.52
2019-09-16,207.74
2019-09-13,210.18
2019-09-12,212.31
2019-09-11,211.0
2019-09-10,209.9
2019-09-09,217.2
2019-09-06,220.25
2019-09-05,219.05
2019-09-04,218.94
2019-09-03,217.13
2019-08-30,217.61
2019-08-29,220.54
2019-08-28,218.05
2019-08-27,216.5828
2019-08-26,216.92
2019-08-23,214.66
2019-08-22,219.5
2019-08-21,221.0
2019-08-20,218.4
2019-08-19,218.96
2019-08-16,218.157
2019-08-15,218.5
2019-08-14,216.01
2019-08-13,219.75
2019-08-12,217.51
2019-08-09,221.15
2019-08-08,217.0
2019-08-07,216.83
2019-08-06,214.05
2019-08-05,208.0
2019-08-02,214.5
2019-08-01,210.83
2019-07-31,210.22
2019-07-30,212.58
2019-07-29,215.0
2019-07-26,215.95
2019-07-25,216.25
2019-07-24,212.97
2019-07-23,214.15
2019-07-22,215.0
2019-07-19,213.87
2019-07-18,216.0
2019-07-17,213.7
2019-07-16,213.78
2019-07-15,214.25
2019-07-12,213.1
2019-07-11,212.5201
2019-07-10,213.0
2019-07-09,212.0
2019-07-08,212.0
2019-07-05,211.28
2019-07-03,212.81
2019-07-02,209.45
2019-07-01,205.55
2019-06-28,207.67
2019-06-27,206.33
2019-06-26,204.35
2019-06-25,205.93
2019-06-24,203.8
2019-06-21,204.1
2019-06-20,205.25
2019-06-19,204.55
2019-06-18,204.92
2019-06-17,203.9
2019-06-14,205.04
2019-06-13,204.6
2019-06-12,205.01
2019-06-11,203.4
2019-06-10,201.55
2019-06-07,205.75
2019-06-06,203.05
2019-06-05,200.0
2019-06-04,199.33
2019-06-03,199.75
2019-05-31,198.25
2019-05-30,198.38
2019-05-29,195.7
2019-05-28,197.3
2019-05-24,197.79
2019-05-23,198.97
2019-05-22,199.96
2019-05-21,199.84
2019-05-20,199.06
2019-05-17,199.4
2019-05-16,199.91
2019-05-15,199.07
2019-05-14,198.01
2019-05-13,198.02
2019-05-10,199.99
2019-05-09,197.706
2019-05-08,198.37
2019-05-07,198.78
2019-05-06,198.1
2019-05-03,197.8
2019-05-02,194.61
2019-05-01,193.61
2019-04-30,197.6
2019-04-29,197.0
2019-04-26,197.1
2019-04-25,198.08
2019-04-24,197.63
2019-04-23,195.25
2019-04-22,194.0
2019-04-18,194.71
2019-04-17,191.61
2019-04-16,191.71
2019-04-15,191.85
2019-04-12,191.44
2019-04-11,188.7
2019-04-10,189.35
2019-04-09,190.22
2019-04-08,189.8
2019-04-05,190.6
2019-04-04,189.87
2019-04-03,188.35
2019-04-02,188.3
2019-04-01,188.49
2019-03-29,189.87
2019-03-28,189.2
2019-03-27,187.5
2019-03-26,187.74
2019-03-25,185.75
2019-03-22,186.63
2019-03-21,186.3
2019-03-20,184.82
2019-03-19,183.09
2019-03-18,183.97
2019-03-15,185.5
2019-03-14,182.71
2019-03-13,182.49
2019-03-12,181.89
2019-03-11,181.2
2019-03-08,179.56
2019-03-07,180.52
2019-03-06,182.08
2019-03-05,181.3
2019-03-04,180.65
2019-03-01,185.07
2019-02-28,183.43
2019-02-27,183.45
2019-02-26,182.75
2019-02-25,182.61
2019-02-22,183.48
2019-02-21,182.8
2019-02-20,180.49
2019-02-19,179.25
2019-02-15,179.9001
2019-02-14,175.88
2019-02-13,174.15
2019-02-12,174.24900000000005
2019-02-11,174.57
2019-02-08,174.68
2019-02-07,175.3
2019-02-06,175.9
2019-02-05,177.7
2019-02-04,177.55
2019-02-02,176.94
2019-02-01,176.76
2019-01-31,179.1501
2019-01-30,181.77
2019-01-29,183.88
2019-01-28,183.63
2019-01-26,184.5
2019-01-25,184.29
2019-01-24,187.35
2019-01-23,186.05
2019-01-22,184.1
2019-01-18,182.2101
2019-01-17,180.83
2019-01-16,179.204
2019-01-15,181.34
2019-01-14,181.22
2019-01-11,182.65
2019-01-10,181.55
2019-01-09,179.51
2019-01-08,180.6
2019-01-07,180.6
2019-01-05,178.4
2019-01-04,178.48
2019-01-03,174.52
2019-01-02,174.25
2018-12-31,177.67
2018-12-28,175.84
2018-12-27,175.71
2018-12-26,174.33
2018-12-24,170.28
2018-12-22,174.35
2018-12-21,174.36
2018-12-20,173.82
2018-12-19,179.25
2018-12-18,179.4
2018-12-17,180.82
2018-12-15,182.97
2018-12-14,183.59
2018-12-13,186.3
2018-12-12,183.11
2018-12-11,183.59
2018-12-10,184.66
2018-12-08,183.0
2018-12-07,183.0
2018-12-06,185.6
2018-12-05,186.0
2018-12-04,185.3
2018-12-03,185.01
2018-12-01,188.96
2018-11-30,189.0
2018-11-29,189.56
2018-11-28,187.99
2018-11-27,184.1697
2018-11-26,183.89
2018-11-23,181.93
2018-11-22,182.9
2018-11-21,182.95
2018-11-20,183.4212
2018-11-19,186.72
2018-11-16,187.8
2018-11-15,183.01
2018-11-14,183.4
2018-11-13,184.01
2018-11-12,184.37
2018-11-10,185.89
2018-11-09,185.94
2018-11-08,185.2
2018-11-07,184.25
2018-11-06,182.5
2018-11-05,180.25
2018-11-02,176.93
2018-11-01,174.75
2018-10-31,176.9
2018-10-30,178.49
2018-10-29,172.98
2018-10-26,173.95
2018-10-25,174.62
2018-10-24,177.3
2018-10-23,177.0
2018-10-22,167.02
2018-10-19,168.02
2018-10-18,167.37
2018-10-17,166.8
2018-10-16,164.05
2018-10-15,163.65
2018-10-12,163.82
2018-10-11,164.11
2018-10-10,167.94
2018-10-09,169.6
2018-10-08,167.77
2018-10-05,166.57
2018-10-04,166.1
2018-10-03,164.8
2018-10-02,165.18
2018-10-01,166.94
2018-09-28,167.29
2018-09-27,166.53
2018-09-26,165.71
2018-09-25,166.48
2018-09-24,163.57
2018-09-21,164.4
2018-09-20,161.49
2018-09-19,159.22
2018-09-18,157.77
2018-09-17,157.8
2018-09-14,160.84
2018-09-13,162.33
2018-09-12,164.74
2018-09-11,164.62
2018-09-10,165.3095
2018-09-07,163.8
2018-09-06,163.45
2018-09-05,162.9601
