date,price
2021-02-17,55.41
2021-02-16,56.01
2021-02-12,55.55
2021-02-11,55.0
2021-02-10,54.75
2021-02-09,54.42
2021-02-08,54.18
2021-02-05,52.58
2021-02-04,52.0
2021-02-03,51.0
2021-02-02,49.0
2021-02-01,48.44
2021-01-30,48.0
2021-01-29,48.59
2021-01-28,49.58
2021-01-27,48.3
2021-01-26,50.11
2021-01-25,50.6
2021-01-22,50.86
2021-01-21,51.07
2021-01-20,51.65
2021-01-19,51.96
2021-01-15,51.14
2021-01-14,51.57
2021-01-13,50.5296
2021-01-12,49.81
2021-01-11,49.4
2021-01-08,49.41
2021-01-07,49.58
2021-01-06,49.35
2021-01-05,46.65
2021-01-04,45.76
2020-12-31,46.6
2020-12-30,46.4
2020-12-29,45.82
2020-12-28,46.45
2020-12-24,46.31
2020-12-23,46.3588
2020-12-22,45.21
2020-12-21,45.46
2020-12-18,45.65
2020-12-17,46.48
2020-12-16,46.32
2020-12-15,46.24
2020-12-14,46.22
2020-12-12,47.36
2020-12-11,47.19
2020-12-10,47.54
2020-12-09,47.64
2020-12-08,47.6
2020-12-07,47.3
2020-12-04,48.5
2020-12-03,47.71
2020-12-02,47.71
2020-12-01,46.91
2020-11-30,46.17577100000001
2020-11-27,47.57
2020-11-25,47.76
2020-11-24,48.6
2020-11-23,47.44
2020-11-21,46.0
2020-11-20,45.87
2020-11-19,45.51
2020-11-18,45.71
2020-11-17,46.01
2020-11-16,46.03
2020-11-13,44.7
2020-11-12,44.0
2020-11-11,45.51
2020-11-10,46.1
2020-11-09,44.93
2020-11-06,40.48
2020-11-05,41.82
2020-11-04,39.3
2020-11-03,40.17
2020-11-02,38.62
2020-10-30,38.0
2020-10-29,37.31
2020-10-28,36.9
2020-10-27,37.69
2020-10-26,39.46
2020-10-23,40.94
2020-10-22,40.61
2020-10-21,39.21
2020-10-20,39.58
2020-10-19,39.07
2020-10-16,39.28
2020-10-15,39.2
2020-10-14,39.0
2020-10-13,39.22
2020-10-12,40.0301
2020-10-09,39.46
2020-10-08,40.0
2020-10-07,39.3392
2020-10-06,38.6899
2020-10-05,38.55
2020-10-02,37.63
2020-10-01,37.24
2020-09-30,37.1
2020-09-29,36.77
2020-09-28,37.25
2020-09-25,36.26
2020-09-24,35.76
2020-09-23,36.28
2020-09-22,36.95
2020-09-21,37.45
2020-09-18,39.67
2020-09-17,39.3
2020-09-16,37.75
2020-09-15,37.55
2020-09-14,39.0
2020-09-11,38.5
2020-09-10,37.69
2020-09-09,38.28
2020-09-08,37.6
2020-09-04,39.1
2020-09-03,38.1
2020-09-02,38.8
2020-09-01,38.89
2020-08-31,38.46
2020-08-28,39.42
2020-08-27,39.39
2020-08-26,38.26
2020-08-25,38.66
2020-08-24,38.6
2020-08-21,37.48
2020-08-20,37.7
2020-08-19,38.12
2020-08-18,38.34
2020-08-17,39.25
2020-08-14,39.65
2020-08-13,39.65
2020-08-12,40.04
2020-08-11,40.57
2020-08-10,39.78
2020-08-07,38.98
2020-08-06,36.95
2020-08-05,36.5
2020-08-04,37.0
2020-08-03,37.26
2020-07-31,37.9
2020-07-30,37.66
2020-07-29,38.84
2020-07-28,37.59
2020-07-27,37.8
2020-07-24,38.1
2020-07-23,38.56
2020-07-22,38.42
2020-07-21,38.32
2020-07-20,37.99
2020-07-17,38.47
2020-07-16,38.73
2020-07-15,38.64
2020-07-14,38.25
2020-07-13,37.21
2020-07-10,37.03
2020-07-09,35.63
2020-07-08,37.0
2020-07-07,35.91
2020-07-06,37.28
2020-07-02,35.65
2020-07-01,35.6
2020-06-30,36.58
2020-06-29,35.57
2020-06-26,35.1
2020-06-25,36.51
2020-06-24,35.51
2020-06-23,36.9
2020-06-22,37.1
2020-06-19,37.2
2020-06-18,38.11
2020-06-17,37.8
