date,price
2021-02-17,51.89
2021-02-16,51.56
2021-02-13,50.64
2021-02-12,50.64
2021-02-11,49.56
2021-02-10,49.81
2021-02-09,48.87
2021-02-08,49.85
2021-02-05,47.65
2021-02-04,47.42
2021-02-03,47.48
2021-02-02,45.49
2021-02-01,43.45
2021-01-29,43.16
2021-01-28,44.41
2021-01-27,43.62
2021-01-26,44.98
2021-01-25,46.24
2021-01-23,45.6
2021-01-22,45.56
2021-01-21,45.39
2021-01-20,46.34
2021-01-19,46.2
2021-01-16,43.9599
2021-01-15,43.79
2021-01-14,45.99
2021-01-13,44.32
2021-01-12,45.5799
2021-01-11,43.59
2021-01-08,43.09
2021-01-07,44.17
2021-01-06,43.1
2021-01-05,42.11
2021-01-04,40.5
2021-01-01,41.36
2020-12-31,41.4
2020-12-30,41.57
2020-12-29,40.7
2020-12-28,40.78
2020-12-24,41.21
2020-12-23,41.31
2020-12-22,39.99
2020-12-21,39.5
2020-12-19,40.35
2020-12-18,40.35
2020-12-17,40.65
2020-12-16,41.65
2020-12-15,42.25
2020-12-14,41.0
2020-12-12,42.9
2020-12-11,42.9099
2020-12-10,44.0
2020-12-09,42.64
2020-12-08,42.45
2020-12-07,42.21
2020-12-05,42.73
2020-12-04,42.8299
2020-12-03,40.93
2020-12-02,40.78
2020-12-01,39.45
2020-11-30,38.88
2020-11-27,41.42
2020-11-25,41.48
2020-11-24,42.6
2020-11-23,41.22
2020-11-21,38.15
2020-11-20,38.28
2020-11-19,38.7
2020-11-18,38.38
2020-11-17,40.6
2020-11-16,40.65
2020-11-14,37.56
2020-11-13,37.52
2020-11-12,34.69
2020-11-11,37.19
2020-11-10,37.69
2020-11-09,36.16
2020-11-07,31.59
2020-11-06,31.55
2020-11-05,31.75
2020-11-04,31.6
2020-11-03,32.26
2020-11-02,31.38
2020-10-30,29.5001
2020-10-29,28.46
2020-10-28,27.6
2020-10-27,28.15
2020-10-26,28.6
2020-10-23,30.0
2020-10-22,29.5101
2020-10-21,28.79
2020-10-20,29.24
2020-10-19,28.45
2020-10-16,29.78
2020-10-15,30.54
2020-10-14,29.9101
2020-10-13,29.7
2020-10-12,30.3
2020-10-09,30.2
2020-10-08,31.45
2020-10-07,29.2101
2020-10-06,28.8299
2020-10-05,29.22
2020-10-02,28.07
2020-10-01,27.75
2020-09-30,29.16
2020-09-29,29.84
2020-09-28,30.02
2020-09-25,28.6299
2020-09-24,29.0
