date,price
2021-02-18,75.66
2021-02-17,75.6599
2021-02-16,74.46
2021-02-13,74.99
2021-02-12,74.9
2021-02-11,74.7399
2021-02-10,74.96
2021-02-09,75.07
2021-02-08,75.03
2021-02-06,75.82
2021-02-05,75.95
2021-02-04,76.21
2021-02-03,77.67
2021-02-02,77.99
2021-02-01,77.47
2021-01-30,77.25
2021-01-29,77.4
2021-01-28,77.8
2021-01-27,76.83
2021-01-26,80.1
2021-01-25,80.96
2021-01-23,81.05
2021-01-22,80.91
2021-01-21,81.18
2021-01-20,82.4
2021-01-19,83.2
2021-01-16,83.02
2021-01-15,83.03
2021-01-14,82.41
2021-01-13,82.37
2021-01-12,83.06
2021-01-11,85.0
2021-01-09,82.8
2021-01-08,83.1
2021-01-07,83.98
2021-01-06,82.4
2021-01-05,80.75
2021-01-04,80.85
2021-01-01,81.92
2020-12-31,81.81
2020-12-30,80.6
2020-12-29,82.0
2020-12-28,80.5
2020-12-24,80.14
2020-12-23,79.85
2020-12-22,79.47
2020-12-21,79.31
2020-12-19,79.6
2020-12-18,79.5843
2020-12-17,79.9
2020-12-16,79.83
2020-12-15,80.75
2020-12-14,80.6
2020-12-12,83.08
2020-12-11,82.91
2020-12-10,83.19
2020-12-09,83.3
2020-12-08,83.54
2020-12-07,82.52
2020-12-05,81.98
2020-12-04,81.95
2020-12-03,81.58
2020-12-02,81.9
2020-12-01,81.55
2020-11-30,80.34
2020-11-27,79.97
2020-11-25,80.04
2020-11-24,80.25
2020-11-23,80.56
2020-11-21,80.4
2020-11-20,80.4
2020-11-19,80.06
2020-11-18,80.6
2020-11-17,81.6
2020-11-16,81.4
2020-11-14,81.5
2020-11-13,81.88
2020-11-12,79.65
2020-11-11,81.0
2020-11-10,81.25
2020-11-09,80.5
2020-11-06,80.5
2020-11-05,80.01
2020-11-04,80.88
2020-11-03,77.56
2020-11-02,76.71
2020-10-30,75.44
2020-10-29,75.9
2020-10-28,76.25
2020-10-27,77.7001
2020-10-26,78.58
2020-10-23,80.0
2020-10-22,79.18
2020-10-21,78.0
2020-10-20,78.5
2020-10-19,78.9
2020-10-16,79.83
2020-10-15,79.25
2020-10-14,80.6
2020-10-13,80.7101
2020-10-12,80.35
2020-10-09,80.29
2020-10-08,80.56
2020-10-07,80.07
2020-10-06,79.75
2020-10-05,81.15
2020-10-02,80.51
2020-10-01,81.75
2020-09-30,82.85
2020-09-29,81.84
2020-09-28,82.5
2020-09-25,82.44
2020-09-24,83.15
2020-09-23,82.5
2020-09-22,82.85
2020-09-21,83.4
2020-09-18,85.8
2020-09-17,85.74
2020-09-16,86.45
2020-09-15,84.25
2020-09-14,84.0
2020-09-11,85.59
2020-09-10,83.57
2020-09-09,84.8
2020-09-08,83.0
2020-09-04,85.0
2020-09-03,85.49
2020-09-02,87.06
2020-09-01,84.39
2020-08-31,85.4
2020-08-28,85.6
2020-08-27,85.82
2020-08-26,85.3
2020-08-25,85.96
2020-08-24,85.42
2020-08-21,84.98
2020-08-20,84.95
2020-08-19,84.8
2020-08-18,84.7
2020-08-17,84.64
2020-08-14,83.66
2020-08-13,83.65
2020-08-12,82.7
2020-08-11,80.91
2020-08-10,80.5
2020-08-07,80.9
2020-08-06,81.1
2020-08-05,81.52
2020-08-04,81.56
2020-08-03,82.75
2020-07-31,80.25
2020-07-30,79.3
2020-07-29,79.35
2020-07-28,79.85
2020-07-27,78.9
2020-07-24,77.1
2020-07-23,78.1
2020-07-22,79.07
2020-07-21,78.96
2020-07-20,79.58
2020-07-17,80.03
2020-07-16,79.4
2020-07-15,79.82
2020-07-14,78.9
2020-07-13,77.26
2020-07-10,76.84
2020-07-09,77.0
2020-07-08,77.93
2020-07-07,78.88
2020-07-06,79.52
2020-07-02,78.5
2020-07-01,78.4
2020-06-30,77.2
2020-06-29,76.67
2020-06-26,75.4
2020-06-25,76.9
2020-06-24,75.5
2020-06-23,77.0
2020-06-22,77.0
2020-06-19,77.1
2020-06-18,76.22
2020-06-17,76.4
2020-06-16,77.09
2020-06-15,74.5
2020-06-12,76.43
2020-06-11,78.0
2020-06-10,81.5
2020-06-09,82.5
2020-06-08,82.7
2020-06-05,82.1001
2020-06-04,81.71
2020-06-03,82.1
2020-06-02,80.83
2020-06-01,79.75
2020-05-29,80.7
2020-05-28,79.5
2020-05-27,77.64
2020-05-26,77.4
2020-05-22,76.4
2020-05-21,76.5
2020-05-20,76.93
2020-05-19,77.68
2020-05-18,79.5
2020-05-15,79.36
2020-05-14,80.12
2020-05-13,78.8
2020-05-12,76.01
2020-05-11,77.9999
2020-05-08,76.4
2020-05-07,75.9
2020-05-06,76.9
2020-05-05,78.0
2020-05-04,76.86
2020-05-01,77.67
2020-04-30,79.4
2020-04-29,80.36
2020-04-28,81.3
2020-04-27,84.0
2020-04-24,81.5
2020-04-23,80.5
2020-04-22,79.6
2020-04-21,79.3
2020-04-20,83.02
2020-04-17,83.0
2020-04-16,83.94
2020-04-15,81.53
2020-04-14,83.1
2020-04-13,80.54
2020-04-09,82.99
2020-04-08,81.62
2020-04-07,78.3
2020-04-06,79.51
2020-04-03,76.3
2020-04-02,76.04
2020-04-01,74.48
2020-03-31,75.77
2020-03-30,77.3
2020-03-27,71.22
2020-03-26,73.58
2020-03-25,68.27
2020-03-24,69.0
2020-03-23,67.4
2020-03-20,70.7
2020-03-19,69.6
2020-03-18,73.55
2020-03-17,72.03
2020-03-16,70.31
2020-03-13,76.7199
2020-03-12,73.51
2020-03-11,79.0
2020-03-10,80.85
2020-03-09,79.68
2020-03-06,81.91
2020-03-05,81.6
2020-03-04,82.97
2020-03-03,79.64
2020-03-02,81.19
2020-02-29,77.7
2020-02-28,77.6199
2020-02-27,77.95
2020-02-26,80.0
2020-02-25,80.35
2020-02-24,80.7301
2020-02-21,82.1
2020-02-20,82.75
2020-02-19,82.0
2020-02-18,82.46
2020-02-15,82.88
2020-02-14,82.6
2020-02-13,82.05
2020-02-12,83.35
2020-02-11,85.15
2020-02-10,85.6
2020-02-08,85.3
2020-02-07,84.9101
2020-02-06,86.05
2020-02-05,85.7
2020-02-04,88.5
2020-02-03,87.5
2020-02-01,85.18
2020-01-31,85.7
2020-01-30,86.5
2020-01-29,87.0
2020-01-28,86.29
2020-01-27,86.1
2020-01-24,85.99
2020-01-23,88.62
2020-01-22,89.65
2020-01-21,90.08
2020-01-18,91.08
2020-01-17,90.9
2020-01-16,91.28
2020-01-15,91.54
2020-01-14,89.94
2020-01-13,89.45
2020-01-10,89.45
2020-01-09,89.3582
2020-01-08,88.7773
2020-01-07,88.14
2020-01-06,90.63
2020-01-04,91.6
2020-01-03,91.43
2020-01-02,92.0401
2019-12-31,91.08
2019-12-30,91.03
2019-12-27,91.6
2019-12-26,91.28
2019-12-24,91.44
2019-12-23,91.74
2019-12-21,91.59
2019-12-20,91.57
2019-12-19,89.99
2019-12-18,89.5
2019-12-17,89.45
2019-12-16,89.36
2019-12-13,89.22
2019-12-12,89.94
2019-12-11,89.12
2019-12-10,89.74
2019-12-09,88.83
2019-12-07,88.91
2019-12-06,88.96
2019-12-05,88.8199
2019-12-04,88.67
2019-12-03,87.38
2019-12-02,87.47
2019-11-29,87.4
2019-11-28,87.3
2019-11-27,87.97
2019-11-26,87.34
2019-11-25,85.62
2019-11-23,85.6
2019-11-22,85.28
2019-11-21,85.35
2019-11-20,85.1
2019-11-19,84.68
2019-11-18,84.14
2019-11-15,84.95
2019-11-14,84.65
2019-11-13,84.76
2019-11-12,84.2
2019-11-11,83.28
2019-11-08,83.45
2019-11-07,82.92
2019-11-06,83.0
2019-11-05,82.9
2019-11-04,83.92
2019-11-01,84.8
2019-10-31,86.66
2019-10-30,86.45
2019-10-29,85.1
2019-10-28,82.75
2019-10-25,82.28
2019-10-24,82.58
2019-10-23,82.62
2019-10-22,81.41
2019-10-21,84.52
2019-10-18,84.28
2019-10-17,83.8
2019-10-16,84.48
2019-10-15,85.08
2019-10-14,84.76
2019-10-11,84.34
2019-10-10,84.0
2019-10-09,83.24
2019-10-08,83.35
2019-10-07,84.22
2019-10-04,85.09
2019-10-03,82.55
2019-10-02,81.62
2019-10-01,83.7
2019-09-30,84.18
2019-09-27,82.93
2019-09-26,83.88
2019-09-25,83.1
2019-09-24,83.61
2019-09-23,84.36
2019-09-20,85.16
2019-09-19,83.95
2019-09-18,83.01
2019-09-17,82.74
2019-09-16,82.0
2019-09-13,82.61
2019-09-12,83.31
2019-09-11,83.14
2019-09-10,81.75
2019-09-09,83.55
2019-09-06,86.68
2019-09-05,86.08
2019-09-04,86.08
2019-09-03,86.72
2019-08-30,86.47
2019-08-29,86.9
2019-08-28,86.57
2019-08-27,86.03
2019-08-26,85.88
2019-08-23,84.94
2019-08-22,86.36
2019-08-21,86.91
2019-08-20,85.6405
2019-08-19,86.0
2019-08-16,85.0899
2019-08-15,83.46
2019-08-14,83.4
2019-08-13,86.08
2019-08-12,85.85
2019-08-09,85.52
2019-08-08,84.73
2019-08-07,84.18
2019-08-06,83.56
2019-08-05,82.0
2019-08-02,84.47
2019-08-01,83.69
2019-07-31,82.99
2019-07-30,83.38
2019-07-29,82.8
2019-07-26,81.35
2019-07-25,81.75
2019-07-24,82.15
2019-07-23,82.35
2019-07-22,81.21
2019-07-19,81.38
2019-07-18,83.03
2019-07-17,81.9
2019-07-16,81.6
2019-07-15,80.97
2019-07-12,79.89
2019-07-11,81.0
2019-07-10,84.84
2019-07-09,84.86
2019-07-08,84.04
2019-07-05,85.67
2019-07-03,86.9
2019-07-02,85.51
2019-07-01,84.75
2019-06-28,84.04
2019-06-27,83.83
2019-06-26,83.54
2019-06-25,85.24
2019-06-24,85.51
2019-06-21,84.55
2019-06-20,84.41
2019-06-19,85.36
2019-06-18,84.49
2019-06-17,83.3
2019-06-14,82.87
2019-06-13,82.93
2019-06-12,83.71
2019-06-11,82.95
2019-06-10,82.4
2019-06-07,82.39
2019-06-06,81.4
2019-06-05,82.23
2019-06-04,81.08
2019-06-03,79.95
2019-05-31,79.2
2019-05-30,79.68
2019-05-29,79.36
2019-05-28,80.25
2019-05-24,81.18
2019-05-23,81.18
2019-05-22,81.0
2019-05-21,79.39
2019-05-20,78.35
2019-05-17,78.56
2019-05-16,79.16
2019-05-15,77.55
2019-05-14,77.6
2019-05-13,77.55
2019-05-10,78.08
2019-05-09,78.33
2019-05-08,78.3
2019-05-07,77.9201
2019-05-06,79.21
2019-05-03,79.95
2019-05-02,79.4999
2019-05-01,78.46
2019-04-30,78.51
2019-04-29,76.5101
2019-04-26,76.6
2019-04-25,75.73
2019-04-24,74.71
2019-04-23,74.73
2019-04-22,73.46
2019-04-18,73.4
2019-04-17,73.75
2019-04-16,77.4301
2019-04-15,78.94
2019-04-12,79.41
2019-04-11,80.2
2019-04-10,81.0
2019-04-09,80.8
2019-04-08,80.95
2019-04-05,81.14
2019-04-04,81.92
2019-04-03,83.0348
2019-04-02,83.15
2019-04-01,83.75
2019-03-29,83.16
2019-03-28,82.61
2019-03-27,82.2
2019-03-26,82.92
2019-03-25,82.35
2019-03-22,82.2
2019-03-21,82.95
2019-03-20,82.41
2019-03-19,81.91
2019-03-18,81.35
2019-03-15,81.5725
2019-03-14,81.49
2019-03-13,81.81
2019-03-12,81.28
2019-03-11,81.05
2019-03-08,79.96
2019-03-07,80.45
2019-03-06,80.78
2019-03-05,81.6
2019-03-04,81.37
2019-03-01,81.83
2019-02-28,81.29
2019-02-27,81.03
2019-02-26,80.94
2019-02-25,80.02
2019-02-22,80.7
2019-02-21,80.03
2019-02-20,79.05
2019-02-19,78.35
2019-02-16,79.84
2019-02-15,79.77
2019-02-14,78.74
2019-02-13,78.86
2019-02-12,78.3
2019-02-11,76.71
2019-02-08,77.52
2019-02-07,76.4
2019-02-06,77.39
2019-02-05,77.3
2019-02-04,76.56
2019-02-02,75.8
2019-02-01,75.59
2019-01-31,74.95
2019-01-30,73.37
2019-01-29,73.23
2019-01-28,72.92
2019-01-25,73.09
2019-01-24,73.53
2019-01-23,75.44
2019-01-22,75.83
2019-01-18,75.66
2019-01-17,75.6
2019-01-16,74.54
2019-01-15,73.84
2019-01-14,73.19
2019-01-11,74.8
2019-01-10,74.48
2019-01-09,75.41
2019-01-08,75.99
2019-01-07,75.29
2019-01-04,76.5
2019-01-03,74.07
2019-01-02,74.8
2018-12-31,76.3
2018-12-28,75.37
2018-12-27,75.25
2018-12-26,73.97
2018-12-24,70.61
2018-12-21,72.5
2018-12-20,74.68
2018-12-19,73.9
2018-12-18,74.32
2018-12-17,75.3
2018-12-14,76.58
2018-12-13,78.66
2018-12-12,78.13
2018-12-11,77.11
2018-12-10,77.42
2018-12-07,76.8
2018-12-06,78.11
2018-12-04,78.28
2018-12-03,78.59
2018-11-30,79.34
2018-11-29,77.92
2018-11-28,77.22
2018-11-27,76.34
2018-11-26,75.55
2018-11-23,74.67
2018-11-21,74.79
2018-11-20,74.5
2018-11-19,76.35
2018-11-16,76.25
2018-11-15,74.06
2018-11-14,73.87
2018-11-13,74.61
2018-11-12,74.69
2018-11-09,74.61
2018-11-08,75.48
2018-11-07,75.28
2018-11-06,73.2
2018-11-05,73.0
2018-11-02,72.27
2018-11-01,73.25
2018-10-31,73.61
2018-10-30,72.36
2018-10-29,71.01
2018-10-26,70.02
2018-10-25,69.96
2018-10-24,71.6
2018-10-23,72.1
2018-10-22,73.35
2018-10-19,72.49
2018-10-18,72.43
2018-10-17,71.85
2018-10-16,71.6
2018-10-15,70.01
2018-10-12,69.43
2018-10-11,69.0
2018-10-10,69.9501
2018-10-09,72.34
2018-10-08,71.6
2018-10-05,71.03
2018-10-04,71.4
2018-10-03,71.23
2018-10-02,71.75
2018-10-01,71.71
2018-09-28,70.94
2018-09-27,70.7
2018-09-26,70.19
2018-09-25,70.99
2018-09-24,70.78
2018-09-21,71.15
2018-09-20,70.98
2018-09-19,69.98
2018-09-18,70.0
2018-09-17,70.42
2018-09-14,69.25
2018-09-13,70.99
2018-09-12,69.92
2018-09-11,68.98
2018-09-10,69.56
2018-09-07,69.3024
2018-09-06,69.38
2018-09-05,68.62
