date,price
2021-02-18,244.16
2021-02-17,244.2
2021-02-16,243.04
2021-02-13,245.3
2021-02-12,245.19
2021-02-11,244.5
2021-02-10,242.53
2021-02-09,244.06
2021-02-08,242.2499
2021-02-06,242.3
2021-02-05,242.02
2021-02-04,241.65
2021-02-03,243.16
2021-02-02,239.3
2021-02-01,240.44
2021-01-30,231.8
2021-01-29,231.76
2021-01-28,236.5
2021-01-27,231.8
2021-01-26,241.91
2021-01-25,229.75
2021-01-23,226.7
2021-01-22,226.55
2021-01-21,225.4799
2021-01-20,224.6
2021-01-19,217.03
2021-01-16,212.45
2021-01-15,212.36
2021-01-14,213.68
2021-01-13,216.56
2021-01-12,215.04
2021-01-11,217.7
2021-01-09,219.63
2021-01-08,219.8
2021-01-07,218.1
2021-01-06,213.3
2021-01-05,217.7
2021-01-04,217.42
2021-01-01,222.5
2020-12-31,222.5
2020-12-30,221.75
2020-12-29,224.29
2020-12-28,225.0
2020-12-24,222.51
2020-12-23,221.3
2020-12-22,223.64
2020-12-21,222.9
2020-12-19,218.75
2020-12-18,218.59
2020-12-17,218.4
2020-12-16,219.38
2020-12-15,214.09
2020-12-14,214.01
2020-12-12,213.0
2020-12-11,213.01
2020-12-10,210.7
2020-12-09,211.97
2020-12-08,215.96
2020-12-07,213.7
2020-12-05,214.0299
2020-12-04,214.1
2020-12-03,214.41
2020-12-02,215.26
2020-12-01,215.71
2020-11-30,214.57
2020-11-27,215.24
2020-11-26,213.9
2020-11-25,214.42
2020-11-24,214.35
2020-11-23,210.85
2020-11-21,210.49
2020-11-20,210.71
2020-11-19,211.81
2020-11-18,211.25
2020-11-17,214.57
2020-11-16,216.96
2020-11-14,216.5
2020-11-13,216.6
2020-11-12,215.68
2020-11-11,216.7
2020-11-10,210.8
2020-11-09,219.5
2020-11-07,223.4
2020-11-06,223.37
2020-11-05,222.7
2020-11-04,217.84
2020-11-03,207.16
2020-11-02,202.75
2020-10-30,202.3
2020-10-29,203.3
2020-10-28,203.32
2020-10-27,209.7
2020-10-26,210.7
2020-10-23,216.86
2020-10-22,215.2
2020-10-21,213.99
2020-10-20,215.25
2020-10-19,216.15
2020-10-16,219.16
2020-10-15,220.15
2020-10-14,220.3
2020-10-13,224.0
2020-10-12,221.56
2020-10-09,215.71
2020-10-08,211.29
2020-10-07,209.8
2020-10-06,206.1
2020-10-05,208.95
2020-10-02,205.8
2020-10-01,212.28
2020-09-30,210.7
2020-09-29,207.63
2020-09-28,210.95
2020-09-25,207.1
2020-09-24,204.75
2020-09-23,199.95
2020-09-22,207.38
2020-09-21,204.2
2020-09-18,200.04
2020-09-17,202.6
2020-09-16,205.51
2020-09-15,209.75
2020-09-14,205.7
2020-09-11,203.5
2020-09-10,206.7
2020-09-09,212.65
2020-09-08,203.0
2020-09-04,213.6
2020-09-03,213.98
2020-09-02,231.62
2020-09-01,228.0
2020-08-31,225.62
2020-08-28,228.5
2020-08-27,228.35
2020-08-26,220.9
2020-08-25,217.59
2020-08-24,213.72
2020-08-21,214.6
2020-08-20,214.58
2020-08-19,209.33
2020-08-18,211.9
2020-08-17,210.4
2020-08-14,208.75
2020-08-13,209.0501
2020-08-12,208.9
2020-08-11,204.45
2020-08-10,208.35
2020-08-07,212.21
2020-08-06,216.15
2020-08-05,212.52
2020-08-04,213.0
2020-08-03,216.2
2020-07-31,205.5
2020-07-30,205.2
2020-07-29,204.04
2020-07-28,202.5
2020-07-27,204.3
2020-07-24,200.8
2020-07-23,203.6
2020-07-22,207.01
2020-07-21,210.68
2020-07-20,212.92
2020-07-17,203.18
2020-07-16,203.6
2020-07-15,207.0
2020-07-14,209.0
2020-07-13,208.73
2020-07-10,214.24
2020-07-09,214.46
2020-07-08,213.56
2020-07-07,209.1
2020-07-06,211.88
2020-07-02,206.7
2020-07-01,204.5
2020-06-30,203.1501
2020-06-29,199.0
2020-06-26,196.2
2020-06-25,201.32
2020-06-24,197.65
2020-06-23,201.6
2020-06-22,201.97
2020-06-19,194.71
2020-06-18,197.17
2020-06-17,193.75
2020-06-16,194.58
2020-06-15,191.39
2020-06-12,188.3299
2020-06-11,188.43
2020-06-10,195.26
2020-06-09,190.3
2020-06-08,188.3
2020-06-05,187.2
2020-06-04,182.75
2020-06-03,184.9
2020-06-02,185.2
2020-06-01,182.11
2020-05-29,183.7
2020-05-28,181.2
2020-05-27,181.95
2020-05-26,181.8
2020-05-22,183.65
2020-05-21,183.9
2020-05-20,185.44
2020-05-19,184.0
2020-05-18,185.2
2020-05-15,182.6
2020-05-14,181.0
2020-05-13,180.55
2020-05-12,180.6
2020-05-11,186.5
2020-05-08,184.6
2020-05-07,184.4
2020-05-06,182.01
2020-05-05,181.43
2020-05-04,179.0
2020-05-01,174.6
2020-04-30,176.29
2020-04-29,181.2501
2020-04-28,172.39
2020-04-27,174.5
2020-04-24,174.5
2020-04-23,170.55
2020-04-22,172.86
2020-04-21,169.34
2020-04-20,175.55
2020-04-17,177.71
2020-04-16,181.0
2020-04-15,170.88
2020-04-14,173.25
2020-04-13,166.19
2020-04-09,165.47
2020-04-08,165.73
2020-04-07,163.96
2020-04-06,165.3
2020-04-03,153.62
2020-04-02,154.25
2020-04-01,153.58
2020-03-31,155.25
2020-03-30,162.6
2020-03-27,148.8
2020-03-26,155.69
2020-03-25,147.93
2020-03-24,147.25
2020-03-23,138.01
2020-03-20,136.5
2020-03-19,141.8
2020-03-18,145.0
2020-03-17,142.0
2020-03-16,139.5
2020-03-13,153.0
2020-03-12,135.4
2020-03-11,153.5
2020-03-10,158.3
2020-03-09,155.4
2020-03-07,160.2
2020-03-06,160.75
2020-03-05,166.7
2020-03-04,169.45
2020-03-03,163.5
2020-03-02,172.68
2020-02-29,163.85
2020-02-28,163.33
2020-02-27,157.76
2020-02-26,167.2
2020-02-25,169.7
2020-02-24,172.45
2020-02-22,178.2
2020-02-21,178.55
2020-02-20,183.5
2020-02-19,187.48
2020-02-18,187.55
2020-02-15,185.3
2020-02-14,185.33
2020-02-13,183.62
2020-02-12,183.21
2020-02-11,184.99
2020-02-10,189.12
2020-02-08,183.63
2020-02-07,183.7
2020-02-06,183.96
2020-02-05,180.2
2020-02-04,180.39
2020-02-03,174.35
2020-02-01,169.9
2020-01-31,170.04
2020-01-30,172.8
2020-01-29,175.22
2020-01-28,166.1
2020-01-27,162.36
2020-01-25,164.83
2020-01-24,164.9
2020-01-23,167.2
2020-01-22,165.58
2020-01-21,166.66
2020-01-18,166.87
2020-01-17,166.87
2020-01-16,166.65
2020-01-15,163.64
2020-01-14,161.91
2020-01-13,163.34
2020-01-11,161.3
2020-01-10,161.28
2020-01-09,162.24
2020-01-08,160.5
2020-01-07,155.6
2020-01-06,158.67
2020-01-04,158.64
2020-01-03,158.7
2020-01-02,160.7
2020-01-01,157.85
2019-12-31,157.88
2019-12-30,157.69
2019-12-28,158.78
2019-12-27,158.81
2019-12-26,158.86
2019-12-24,157.35
2019-12-23,157.53
2019-12-21,157.58
2019-12-20,157.54
2019-12-19,155.77
2019-12-18,154.5
2019-12-17,154.45
2019-12-16,155.53
2019-12-14,154.5
2019-12-13,154.5
2019-12-12,153.58
2019-12-11,151.76
2019-12-10,151.23
2019-12-09,151.2
2019-12-07,151.7999
2019-12-06,151.75
2019-12-05,149.95
2019-12-04,149.87
2019-12-03,149.39
2019-12-02,149.3
2019-11-29,151.67
2019-11-28,151.71
2019-11-27,151.93
2019-11-26,152.13
2019-11-25,151.29
2019-11-23,149.55
2019-11-22,149.5
2019-11-21,149.52
2019-11-20,149.25
2019-11-19,150.05
2019-11-18,150.32
2019-11-16,149.93
2019-11-15,149.95
2019-11-14,148.06
2019-11-13,147.41
2019-11-12,146.96
2019-11-11,146.3
2019-11-09,146.11
2019-11-08,146.06
2019-11-07,144.3301
2019-11-06,144.03
2019-11-05,144.33
2019-11-04,144.86
2019-11-01,143.74
2019-10-31,143.4
2019-10-30,144.62
2019-10-29,142.82
2019-10-28,144.09
2019-10-25,144.95
2019-10-24,139.68
2019-10-23,137.9
2019-10-22,136.0
2019-10-21,138.66
2019-10-18,137.7
2019-10-17,139.68
2019-10-16,140.35
2019-10-15,141.54
2019-10-14,139.82
2019-10-11,139.99
2019-10-10,139.55
2019-10-09,136.72
2019-10-08,135.56
2019-10-07,137.97
2019-10-04,138.25
2019-10-03,135.95
2019-10-02,134.65
2019-10-01,137.25
2019-09-30,139.23
2019-09-27,137.75
2019-09-26,139.41
2019-09-25,139.09
2019-09-24,137.75
2019-09-23,139.9
2019-09-20,139.02
2019-09-19,141.07
2019-09-18,140.17
2019-09-17,137.5
2019-09-16,136.31
2019-09-13,137.15
2019-09-12,137.6
2019-09-11,137.4
2019-09-10,135.95
2019-09-09,137.59
2019-09-06,139.17
2019-09-05,140.26
2019-09-04,137.42
2019-09-03,136.0
2019-08-30,137.72
2019-08-29,137.95
2019-08-28,135.26
2019-08-27,136.04
2019-08-26,135.35
2019-08-23,133.41
2019-08-22,138.1
2019-08-21,139.11
2019-08-20,137.3
2019-08-19,138.09
2019-08-16,136.1
2019-08-15,134.25
2019-08-14,134.09
2019-08-13,138.89
2019-08-12,135.94
2019-08-09,137.73
2019-08-08,138.77
2019-08-07,135.0
2019-08-06,134.39
2019-08-05,128.56
2019-08-02,136.95
2019-08-01,137.65
2019-07-31,136.09
2019-07-30,140.34
2019-07-29,141.06
2019-07-26,141.14
2019-07-25,140.18
2019-07-24,140.62
2019-07-23,139.17
2019-07-22,138.57
2019-07-19,136.49
2019-07-18,140.05
2019-07-17,135.85
2019-07-16,137.0299
2019-07-15,138.96
2019-07-12,138.9
2019-07-11,138.45
2019-07-10,137.85
2019-07-09,136.24
2019-07-08,136.45
2019-07-05,137.1
2019-07-03,137.48
2019-07-02,136.75
2019-07-01,135.35
2019-06-28,134.2
2019-06-27,134.47
2019-06-26,133.95
2019-06-25,133.45
2019-06-24,137.88
2019-06-21,136.71
2019-06-20,136.8
2019-06-19,136.3
2019-06-18,135.5
2019-06-17,133.1
2019-06-14,132.38
2019-06-13,132.35
2019-06-12,131.74
2019-06-11,132.1
2019-06-10,132.6
2019-06-07,131.45
2019-06-06,127.7
2019-06-05,125.03
2019-06-04,123.8501
2019-06-03,120.15
2019-05-31,123.65
2019-05-30,124.55
2019-05-29,124.96
2019-05-28,126.38
2019-05-24,126.24
2019-05-23,126.41
2019-05-22,127.5
2019-05-21,126.96
2019-05-20,126.55
2019-05-17,128.07
2019-05-16,129.01
2019-05-15,125.93
2019-05-14,124.9999
2019-05-13,122.94
2019-05-10,127.23
2019-05-09,125.54
2019-05-08,125.5
2019-05-07,125.52
2019-05-06,127.45
2019-05-03,129.1
2019-05-02,126.3
2019-05-01,127.97
2019-04-30,130.99
2019-04-29,129.75
2019-04-26,129.75
2019-04-25,129.06
2019-04-24,129.35
2019-04-23,125.59
2019-04-22,123.79
2019-04-18,123.45
2019-04-17,121.25
2019-04-16,120.41
2019-04-15,121.05
2019-04-12,120.94
2019-04-11,120.29
2019-04-10,120.51
2019-04-09,119.09
2019-04-08,119.92
2019-04-05,120.0
2019-04-04,119.31
2019-04-03,120.1
2019-04-02,119.08
2019-04-01,119.14
2019-03-29,118.02
2019-03-28,117.24
2019-03-27,116.4
2019-03-26,117.7
2019-03-25,118.04
2019-03-22,117.14
2019-03-21,120.16
2019-03-20,117.57
2019-03-19,117.29
2019-03-18,117.76
2019-03-15,116.05
2019-03-14,114.65
