date,price
2021-02-18,552.0
2021-02-17,551.0
2021-02-16,556.23
2021-02-13,556.72
2021-02-12,556.4899
2021-02-11,556.16
2021-02-10,563.0
2021-02-09,559.96
2021-02-08,547.9
2021-02-06,551.0
2021-02-05,549.3
2021-02-04,552.88
2021-02-03,539.01
2021-02-02,547.31
2021-02-01,538.0
2021-01-30,530.03
2021-01-29,530.73
2021-01-28,536.0
2021-01-27,522.52
2021-01-26,560.54
2021-01-25,555.6
2021-01-23,564.0
2021-01-22,565.09
2021-01-21,577.77
2021-01-20,586.03
2021-01-19,564.6
2021-01-16,497.0
2021-01-15,497.25
2021-01-14,501.3
2021-01-13,508.0
2021-01-12,494.8099
2021-01-11,499.6
2021-01-09,509.9
2021-01-08,509.61
2021-01-07,508.89
2021-01-06,502.52
2021-01-05,522.0
2021-01-04,529.0
2021-01-01,539.5
2020-12-31,539.04
2020-12-30,525.93
2020-12-29,531.2
2020-12-28,519.13
2020-12-24,514.49
2020-12-23,515.6
2020-12-22,527.33
2020-12-21,528.0
2020-12-19,533.95
2020-12-18,533.78
2020-12-17,532.2
2020-12-16,525.88
2020-12-15,519.85
2020-12-14,522.5
2020-12-11,502.67
2020-12-10,499.0
2020-12-09,492.45
2020-12-08,512.25
2020-12-07,515.97
2020-12-05,497.57
2020-12-04,498.0
2020-12-03,497.8
2020-12-02,502.56
2020-12-01,503.18
2020-11-30,491.88
2020-11-27,490.5
2020-11-26,484.0
2020-11-25,484.94
2020-11-24,482.9
2020-11-23,479.75
2020-11-21,488.65
2020-11-20,488.5
2020-11-19,484.13
2020-11-18,481.11
2020-11-17,480.85
2020-11-16,478.0
2020-11-14,482.25
2020-11-13,482.52
2020-11-12,484.82
2020-11-11,489.0
2020-11-10,479.0
2020-11-09,476.0
2020-11-07,514.32
2020-11-06,514.1
2020-11-05,513.99
2020-11-04,497.8
2020-11-03,488.5
2020-11-02,484.4
2020-10-30,475.6
2020-10-29,501.0
2020-10-28,487.5
2020-10-27,486.6
2020-10-26,488.0
2020-10-23,488.2799
2020-10-22,484.43
2020-10-21,488.0
2020-10-20,495.4
2020-10-19,535.05
2020-10-16,533.38
2020-10-15,541.0
2020-10-14,539.0
2020-10-13,554.0
2020-10-12,540.03
2020-10-09,536.5
2020-10-08,532.75
2020-10-07,535.67
2020-10-06,504.37
2020-10-05,516.1
2020-10-02,501.84
2020-10-01,526.71
2020-09-30,500.79
2020-09-29,494.68
2020-09-28,492.0
2020-09-25,481.36
2020-09-24,477.02
2020-09-23,468.8
2020-09-22,490.0
2020-09-21,488.25
2020-09-18,470.25
2020-09-17,471.0
2020-09-16,485.3
2020-09-15,497.75
2020-09-14,482.0
2020-09-11,480.8499
2020-09-10,482.1
2020-09-09,503.9
2020-09-08,508.5
2020-09-04,513.35
2020-09-03,515.15
2020-09-02,550.5
