date,price
2021-02-18,144.01
2021-02-17,143.05
2021-02-16,141.71
2021-02-13,142.12
2021-02-12,142.1
2021-02-11,143.1501
2021-02-10,141.0
2021-02-09,141.9
2021-02-08,143.5
2021-02-06,145.11
2021-02-05,145.11
2021-02-04,140.9
2021-02-03,139.0
2021-02-02,139.59
2021-02-01,136.3
2021-01-29,133.39
2021-01-28,134.5
2021-01-27,130.0
2021-01-26,134.8
2021-01-25,137.39
2021-01-23,139.6
2021-01-22,139.54
2021-01-21,141.65
2021-01-20,142.7
2021-01-19,140.0
2021-01-16,140.72
2021-01-15,140.53
2021-01-14,141.8
2021-01-13,143.26
2021-01-12,144.82
2021-01-11,147.0
2021-01-08,146.6
2021-01-07,145.2
2021-01-06,142.42
2021-01-05,140.96
2021-01-04,140.0
2021-01-01,141.26
2020-12-31,141.49
2020-12-30,141.58
2020-12-29,141.66
2020-12-28,142.5
2020-12-24,141.5
2020-12-23,141.75
2020-12-22,142.5
2020-12-21,143.99
2020-12-19,144.95
2020-12-18,144.5
2020-12-17,141.19
2020-12-16,138.51
2020-12-15,139.39
2020-12-14,136.67
2020-12-12,138.25
2020-12-11,138.25
2020-12-10,137.59
2020-12-09,138.89
2020-12-08,139.85
2020-12-07,138.7
2020-12-05,137.01
2020-12-04,137.0
2020-12-03,137.09
2020-12-02,135.5
2020-12-01,135.25
2020-11-30,135.15
2020-11-27,134.47
2020-11-25,135.54
2020-11-24,135.2
2020-11-23,134.69
2020-11-21,132.98
2020-11-20,133.0
2020-11-19,130.01
2020-11-18,131.66
2020-11-17,132.25
2020-11-16,130.11
2020-11-13,128.48
2020-11-12,127.49
2020-11-11,128.1
2020-11-10,127.7228
2020-11-09,129.53
2020-11-06,128.9
2020-11-05,128.75
2020-11-04,126.97
2020-11-03,126.0
2020-11-02,122.48
2020-10-30,120.1
2020-10-29,122.34
2020-10-28,122.93
2020-10-27,127.36
2020-10-26,128.22
2020-10-23,129.71
2020-10-22,130.25
