date,price
2021-02-18,598.0
2021-02-17,596.5
2021-02-16,612.9999
2021-02-13,598.2
2021-02-12,598.0
2021-02-11,611.0
2021-02-10,591.12
2021-02-09,573.21
2021-02-08,577.55
2021-02-06,544.2
2021-02-05,543.67
2021-02-04,546.5
2021-02-03,541.7
2021-02-02,541.5
2021-02-01,531.0
2021-01-30,517.75
2021-01-29,518.4
2021-01-28,521.0
2021-01-27,514.0
2021-01-26,537.44
2021-01-25,544.14
2021-01-23,548.87
2021-01-22,548.49
2021-01-21,550.5
2021-01-20,535.3
2021-01-19,523.0
2021-01-16,514.5
2021-01-15,514.3
2021-01-14,529.66
2021-01-13,541.66
2021-01-12,539.09
2021-01-11,545.86
2021-01-09,531.18
2021-01-08,531.24
2021-01-07,532.91
2021-01-06,509.9
2021-01-05,536.16
2021-01-04,524.6999
2021-01-01,522.0
2020-12-31,522.09
2020-12-30,526.2
2020-12-29,517.22
2020-12-28,515.8
2020-12-24,519.4
2020-12-23,520.58
2020-12-22,530.0
2020-12-21,532.17
2020-12-19,530.7501
2020-12-18,530.26
2020-12-17,533.25
2020-12-16,531.18
2020-12-15,533.95
2020-12-14,533.0
2020-12-12,520.2
2020-12-11,520.3
2020-12-10,519.11
2020-12-09,518.72
2020-12-08,534.88
2020-12-07,543.49
2020-12-05,540.8
2020-12-04,540.95
2020-12-03,536.51
2020-12-02,542.1
2020-12-01,535.75
2020-11-30,537.5
2020-11-27,530.19
2020-11-26,529.2
2020-11-25,529.5
2020-11-24,519.36
2020-11-23,527.19
2020-11-21,523.85
2020-11-20,524.0
2020-11-19,533.81
2020-11-18,526.9
2020-11-17,538.4
2020-11-16,541.35
2020-11-14,532.0
2020-11-13,531.6
2020-11-12,539.2
2020-11-11,538.01
2020-11-10,510.7
2020-11-09,552.0
2020-11-07,581.99
2020-11-06,582.45
2020-11-05,565.0
2020-11-04,551.95
2020-11-03,523.23
2020-11-02,504.5
2020-10-30,500.8
2020-10-29,514.95
2020-10-28,508.6
2020-10-27,534.56
2020-10-26,525.03
2020-10-23,543.99
2020-10-22,536.0
2020-10-21,539.7
2020-10-20,546.82
2020-10-19,544.5
2020-10-16,551.5
2020-10-15,559.85
2020-10-14,562.0
2020-10-13,571.4
2020-10-12,570.0
2020-10-09,550.28
2020-10-08,552.4
2020-10-07,560.79
2020-10-06,551.9999
2020-10-05,543.8
2020-10-02,520.84
2020-10-01,543.76
2020-09-30,543.68
2020-09-29,530.29
2020-09-28,522.8
2020-09-25,513.05
2020-09-24,499.0
2020-09-23,480.5
2020-09-22,501.0
2020-09-21,502.9
2020-09-18,487.3
2020-09-17,499.02
2020-09-16,503.82
2020-09-15,519.25
2020-09-14,518.3
2020-09-11,485.14
2020-09-10,496.0
2020-09-09,514.2
2020-09-08,476.25
2020-09-04,499.55
2020-09-03,494.0
2020-09-02,572.24
2020-09-01,554.8
2020-08-31,535.25
2020-08-28,525.75
2020-08-27,504.14
2020-08-26,509.55
2020-08-25,510.0
2020-08-24,509.25
2020-08-21,507.35
2020-08-20,487.0
2020-08-19,475.01
2020-08-18,490.6
2020-08-17,496.75
2020-08-14,463.95
2020-08-13,459.2
2020-08-12,456.82
2020-08-11,436.55
2020-08-10,445.75
2020-08-07,448.5
2020-08-06,453.0
2020-08-05,451.85
2020-08-04,449.0
2020-08-03,440.41
2020-07-31,424.2
2020-07-30,429.41
2020-07-29,418.6201
2020-07-28,413.75
2020-07-27,417.75
2020-07-24,406.03
2020-07-23,404.2
2020-07-22,417.0
2020-07-21,414.75
2020-07-20,420.66
2020-07-17,408.1
2020-07-16,403.85
2020-07-15,406.3
2020-07-14,417.95
2020-07-13,407.2
2020-07-10,419.61
2020-07-09,421.7
2020-07-08,411.2
2020-07-07,396.63
2020-07-06,394.0
2020-07-02,385.0
2020-07-01,381.4
2020-06-30,378.43
2020-06-29,372.0
2020-06-26,365.5
2020-06-25,381.12
2020-06-24,368.4
2020-06-23,377.0
2020-06-22,382.24
2020-06-19,368.55
2020-06-18,370.5
2020-06-17,368.3
2020-06-16,363.38
2020-06-15,369.75
2020-06-12,358.2
2020-06-11,357.4
2020-06-10,372.98
2020-06-09,363.74
2020-06-08,351.1
2020-06-05,356.0
2020-06-04,350.24
2020-06-03,350.0
2020-06-02,354.0
2020-06-01,350.0
2020-05-29,354.12
