date,price
2021-02-18,26.94
2021-02-17,26.8
2021-02-16,26.52
2021-02-13,25.52
2021-02-12,25.5
2021-02-11,24.9
2021-02-10,25.43
2021-02-09,24.71
2021-02-08,25.5
2021-02-06,22.69
2021-02-05,22.53
2021-02-04,22.31
2021-02-03,22.0
2021-02-02,20.89
2021-02-01,20.39
2021-01-30,19.97
2021-01-29,20.06
2021-01-28,20.7
2021-01-27,20.47
2021-01-26,20.43
2021-01-25,21.45
2021-01-23,21.52
2021-01-22,21.49
2021-01-21,21.59
2021-01-20,22.99
2021-01-19,23.16
2021-01-16,22.33
2021-01-15,22.31
2021-01-14,24.4
2021-01-13,22.4
2021-01-12,22.62
2021-01-11,20.1901
2021-01-09,20.14
2021-01-08,20.09
2021-01-07,20.52
2021-01-06,19.99
2021-01-05,19.26
2021-01-04,17.49
2021-01-01,17.4
2020-12-31,17.32
2020-12-30,17.9
2020-12-29,17.2
2020-12-28,17.4
2020-12-24,17.68
2020-12-23,17.98
2020-12-22,16.96
2020-12-21,17.51
2020-12-19,18.68
2020-12-18,18.78
2020-12-17,19.18
2020-12-16,19.48
2020-12-15,19.86
2020-12-14,19.25
2020-12-12,20.47
2020-12-11,20.62
2020-12-10,21.61
2020-12-09,19.32
2020-12-08,19.18
2020-12-07,18.18
2020-12-05,18.52
2020-12-04,18.53
2020-12-03,16.4
2020-12-02,16.03
2020-12-01,14.97
2020-11-30,15.78
2020-11-27,16.5
2020-11-25,16.7
2020-11-24,16.95
2020-11-23,16.01
2020-11-21,13.53
2020-11-20,13.55
2020-11-19,13.2
2020-11-18,12.67
2020-11-17,12.98
2020-11-16,12.71
2020-11-14,11.77
2020-11-13,11.76
2020-11-12,11.2
2020-11-11,11.87
2020-11-10,12.44
2020-11-09,11.89
2020-11-07,10.02
2020-11-06,10.04
2020-11-05,10.43
2020-11-04,9.73
2020-11-03,9.7701
2020-11-02,9.66
2020-10-30,9.1
2020-10-29,8.93
2020-10-28,9.06
2020-10-27,9.23
2020-10-26,9.46
2020-10-23,10.07
2020-10-22,10.14
2020-10-21,9.74
2020-10-20,10.07
2020-10-19,9.9
2020-10-16,10.14
2020-10-15,10.59
2020-10-14,10.55
2020-10-13,10.55
2020-10-12,10.78
2020-10-09,10.89
2020-10-08,11.25
2020-10-07,10.31
2020-10-06,10.14
2020-10-05,10.52
2020-10-02,9.79
2020-10-01,9.68
2020-09-30,10.01
2020-09-29,10.01
2020-09-28,10.42
2020-09-25,10.28
2020-09-24,10.67
2020-09-23,10.26
2020-09-22,11.11
2020-09-21,11.29
2020-09-18,11.66
2020-09-17,11.92
2020-09-16,11.9
2020-09-15,10.78
2020-09-14,10.17
2020-09-11,10.27
2020-09-10,10.36
2020-09-09,11.07
2020-09-08,11.07
2020-09-04,12.31
2020-09-03,12.38
2020-09-02,12.43
2020-09-01,12.48
