date,price
2021-02-18,134.46
2021-02-17,134.45
2021-02-16,134.55
2021-02-13,133.9999
2021-02-12,133.99
2021-02-11,134.97
2021-02-10,137.7
2021-02-09,139.81
2021-02-08,140.5629
2021-02-06,141.7
2021-02-05,141.4
2021-02-04,139.7
2021-02-03,138.02
2021-02-02,138.1
2021-02-01,136.98
2021-01-30,136.5
2021-01-29,136.59
2021-01-28,137.91
2021-01-27,137.81
2021-01-26,141.3
2021-01-25,139.98
2021-01-23,138.59
2021-01-22,138.51
2021-01-21,139.43
2021-01-20,141.33
2021-01-19,141.58
2021-01-16,141.24
2021-01-15,141.39
2021-01-14,142.0
2021-01-13,142.5686
2021-01-12,141.43
2021-01-11,142.09
2021-01-08,144.18
2021-01-07,142.37
2021-01-06,143.47
2021-01-05,144.56
2021-01-04,144.15
2020-12-31,148.4
2020-12-30,147.31
2020-12-29,147.55
2020-12-28,146.9
2020-12-24,145.06
2020-12-23,144.26
2020-12-22,144.02
2020-12-21,145.02
2020-12-18,146.93
2020-12-17,145.75
2020-12-16,144.215
2020-12-15,145.0
2020-12-14,144.23
2020-12-11,144.97
2020-12-10,144.6845
2020-12-09,146.1
2020-12-08,146.0
2020-12-07,145.28
2020-12-05,145.6
2020-12-04,145.01
2020-12-03,144.44
2020-12-02,144.74
2020-12-01,145.7
2020-11-30,144.91
2020-11-27,144.6
2020-11-25,144.1744
2020-11-24,144.39
2020-11-23,143.47
2020-11-20,143.75
2020-11-19,143.32
2020-11-18,143.35
2020-11-17,144.99
2020-11-16,145.76
2020-11-13,144.6955
2020-11-12,143.85
2020-11-11,143.93
2020-11-10,142.34
2020-11-09,139.0
2020-11-06,138.3
2020-11-05,137.86
2020-11-04,137.7
2020-11-03,137.0537
2020-11-02,135.94
2020-10-30,133.4
2020-10-29,132.01
2020-10-28,134.5
2020-10-27,138.21
2020-10-26,137.85
2020-10-23,139.4
2020-10-22,140.01
2020-10-21,139.0
2020-10-20,139.76
2020-10-19,140.47
2020-10-16,141.32
2020-10-15,141.04
2020-10-14,142.52
2020-10-13,143.88
2020-10-12,142.3
2020-10-09,139.0
2020-10-08,137.87
2020-10-07,137.1
2020-10-06,135.49
2020-10-05,137.4
2020-10-02,137.75
2020-10-01,140.52
2020-09-30,139.1
2020-09-29,137.5
2020-09-28,139.55
2020-09-25,133.91
2020-09-24,131.94
2020-09-23,131.7
2020-09-22,132.3
2020-09-21,132.0
2020-09-18,131.64
2020-09-17,133.45
2020-09-16,134.98
2020-09-15,135.8
2020-09-14,136.7
2020-09-11,135.6
2020-09-10,135.22
2020-09-09,137.4
2020-09-08,134.6
2020-09-04,138.68
2020-09-03,139.99
2020-09-02,143.29
2020-09-01,139.89
2020-08-31,139.8
2020-08-28,139.86
2020-08-27,138.85
2020-08-26,138.0
2020-08-25,137.3
2020-08-24,137.64
2020-08-21,136.46
2020-08-20,136.82
2020-08-19,136.36
2020-08-18,138.4
2020-08-17,137.6
2020-08-14,137.56
2020-08-13,138.1
2020-08-12,137.3001
2020-08-11,135.12
2020-08-10,135.99
2020-08-07,136.9
2020-08-06,136.08
2020-08-05,136.4
2020-08-04,137.68
2020-08-03,136.51
2020-07-31,137.87
2020-07-30,137.7
2020-07-29,137.93
2020-07-28,137.4
2020-07-27,137.85
2020-07-24,136.06
2020-07-23,138.0
2020-07-22,136.94
2020-07-21,134.78
2020-07-20,133.11
2020-07-17,134.66
2020-07-16,133.87
2020-07-15,133.5
2020-07-14,135.63
2020-07-13,135.5
2020-07-10,134.46
2020-07-09,132.71
2020-07-08,133.95
2020-07-07,133.99
2020-07-06,133.39
2020-07-02,133.26
2020-07-01,132.68
2020-06-30,132.26
2020-06-29,131.29
2020-06-26,129.05
2020-06-25,131.41
2020-06-24,129.7
2020-06-23,131.06
2020-06-22,131.27
2020-06-19,131.0
2020-06-18,132.63
2020-06-17,131.76
2020-06-16,131.9
2020-06-15,131.49
2020-06-12,129.25
2020-06-11,129.5
2020-06-10,134.0
2020-06-09,133.19
2020-06-08,132.0
2020-06-05,132.4
2020-06-04,130.55
2020-06-03,132.94
2020-06-02,132.7
2020-06-01,133.03
2020-05-29,132.01
2020-05-28,132.61
2020-05-27,130.81
2020-05-26,129.9
2020-05-22,130.41
2020-05-21,130.4
2020-05-20,131.69
2020-05-19,132.15
2020-05-18,135.52
2020-05-15,135.55
2020-05-14,133.08
2020-05-13,133.49
2020-05-12,132.16
2020-05-11,134.65
2020-05-08,134.25
2020-05-07,131.7701
2020-05-06,130.53
2020-05-05,132.0
2020-05-04,130.36
2020-05-01,130.05
2020-04-30,131.46
2020-04-29,134.19
2020-04-28,136.5
2020-04-27,134.97
2020-04-24,134.58
2020-04-23,130.0
2020-04-22,131.0
2020-04-21,132.0
2020-04-20,134.55
2020-04-17,137.2001
2020-04-16,138.0
2020-04-15,135.48
2020-04-14,138.11
2020-04-13,131.4
2020-04-09,134.2
2020-04-08,132.25
2020-04-07,130.39
2020-04-06,131.0
2020-04-03,124.7
2020-04-02,124.15
2020-04-01,119.35
2020-03-31,119.0
2020-03-30,125.11
2020-03-27,120.25
2020-03-26,120.3
2020-03-25,112.21
2020-03-24,113.85
2020-03-23,107.0
2020-03-20,104.2
2020-03-19,116.41
2020-03-18,123.55
2020-03-17,127.71
2020-03-16,117.0
2020-03-13,127.0
2020-03-12,114.17
2020-03-11,129.39
2020-03-10,133.0
2020-03-09,131.66
2020-03-06,137.53
2020-03-05,138.4
2020-03-04,141.8
2020-03-03,135.58
2020-03-02,137.49
2020-02-28,132.03
2020-02-27,136.0
2020-02-26,141.95
2020-02-25,141.68
2020-02-24,142.95
2020-02-21,145.9
2020-02-20,144.8
2020-02-19,145.24
2020-02-18,145.5
2020-02-14,147.15
2020-02-13,146.22
2020-02-12,147.09
2020-02-11,146.04
2020-02-10,145.9
2020-02-08,145.57
2020-02-07,145.5
2020-02-06,144.33
2020-02-05,144.3
2020-02-04,143.22
2020-02-03,142.51
2020-02-01,142.29
2020-01-31,141.9
2020-01-30,143.4
2020-01-29,141.54
2020-01-28,142.44
2020-01-27,142.14
2020-01-24,142.75
2020-01-23,143.65
2020-01-22,143.38
2020-01-21,141.8
2020-01-18,141.36
2020-01-17,141.4
2020-01-16,139.61
2020-01-15,139.2
2020-01-14,136.9
2020-01-13,136.6
2020-01-11,134.58
2020-01-10,134.62
2020-01-09,134.79
2020-01-08,134.43
2020-01-07,133.01
2020-01-06,136.02
2020-01-03,135.36
2020-01-02,135.7199
2019-12-31,136.99
