date,price
2021-02-18,34.85
2021-02-17,34.86
2021-02-16,34.69
2021-02-13,34.72
2021-02-12,34.69
2021-02-11,34.45
2021-02-10,34.73
2021-02-09,34.96
2021-02-08,34.77
2021-02-06,34.87
2021-02-05,34.87
2021-02-04,34.87
2021-02-03,34.89
2021-02-02,35.11
2021-02-01,35.85
2021-01-30,35.97
2021-01-29,35.97
2021-01-28,36.12
2021-01-27,36.25
2021-01-26,37.35
2021-01-25,37.24
2021-01-23,36.57
2021-01-22,36.6
2021-01-21,36.42
2021-01-20,36.5
2021-01-19,36.73
2021-01-16,36.62
2021-01-15,36.6
2021-01-14,36.82
2021-01-13,36.75
2021-01-12,37.13
2021-01-11,37.71
2021-01-09,37.09
2021-01-08,37.1
2021-01-07,37.03
2021-01-06,36.91
2021-01-05,37.14
2021-01-04,36.7199
2021-01-01,36.66
2020-12-31,36.7399
2020-12-30,36.77
2020-12-29,37.02
2020-12-28,36.74
2020-12-24,37.23
2020-12-23,37.49
2020-12-22,36.8799
2020-12-21,37.24
2020-12-19,37.6
2020-12-18,37.65
2020-12-17,37.82
2020-12-16,37.67
2020-12-15,38.69
2020-12-14,39.35
2020-12-12,41.2
2020-12-11,41.31
2020-12-10,42.82
2020-12-09,42.17
2020-12-08,42.9
2020-12-07,41.39
2020-12-05,40.33
2020-12-04,40.27
2020-12-03,39.9
2020-12-02,41.35
2020-12-01,39.65
2020-11-30,38.8
2020-11-27,37.27
2020-11-25,36.45
2020-11-24,36.55
2020-11-23,36.58
2020-11-21,36.64
2020-11-20,36.62
2020-11-19,36.38
2020-11-18,36.6
2020-11-17,36.24
2020-11-16,37.7
2020-11-14,38.94
2020-11-13,38.85
2020-11-12,37.53
2020-11-11,38.37
2020-11-10,38.8
2020-11-09,39.98
2020-11-07,36.59
2020-11-06,36.57
2020-11-05,36.5
2020-11-04,37.39
2020-11-03,36.28
2020-11-02,36.25
2020-10-30,35.55
2020-10-29,35.2
2020-10-28,35.57
2020-10-27,37.39
2020-10-26,37.84
2020-10-23,38.15
2020-10-22,37.42
2020-10-21,37.08
2020-10-20,37.52
2020-10-19,37.99
2020-10-16,38.24
2020-10-15,36.6
2020-10-14,36.88
2020-10-13,36.9
2020-10-12,36.94
2020-10-09,36.76
2020-10-08,36.95
2020-10-07,36.46
2020-10-06,36.17
2020-10-05,36.8
2020-10-02,36.36
2020-10-01,36.38
2020-09-30,36.74
2020-09-29,36.23
2020-09-28,36.68
2020-09-25,36.05
2020-09-24,35.88
2020-09-23,35.96
2020-09-22,36.24
2020-09-21,36.05
2020-09-18,36.7
2020-09-17,36.89
2020-09-16,37.05
2020-09-15,37.05
2020-09-14,37.1
2020-09-11,36.45
2020-09-10,35.79
2020-09-09,36.39
2020-09-08,36.05
2020-09-04,36.3701
2020-09-03,36.38
2020-09-02,37.31
2020-09-01,36.86
2020-08-31,37.78
2020-08-28,37.91
2020-08-27,37.73
2020-08-26,37.86
2020-08-25,38.31
2020-08-24,38.35
2020-08-21,38.85
2020-08-20,38.9
2020-08-19,38.24
2020-08-18,38.47
2020-08-17,38.28
2020-08-14,38.1
2020-08-13,38.2
2020-08-12,38.25
2020-08-11,37.88
2020-08-10,38.39
2020-08-07,38.43
2020-08-06,38.34
2020-08-05,39.02
2020-08-04,38.15
2020-08-03,38.28
2020-07-31,38.36
2020-07-30,38.66
2020-07-29,39.29
2020-07-28,39.05
2020-07-27,38.2499
2020-07-24,37.25
2020-07-23,38.57
2020-07-22,38.85
2020-07-21,36.6
2020-07-20,36.68
2020-07-17,36.4
2020-07-16,35.81
2020-07-15,35.7
2020-07-14,35.68
2020-07-13,35.58
2020-07-10,33.85
2020-07-09,33.5
2020-07-08,33.76
2020-07-07,34.05
2020-07-06,34.5
2020-07-02,34.51
2020-07-01,33.95
2020-06-30,32.71
2020-06-29,32.76
2020-06-26,32.03
2020-06-25,32.3
2020-06-24,32.31
2020-06-23,32.76
2020-06-22,33.17
2020-06-19,33.37
2020-06-18,33.3
2020-06-17,33.51
2020-06-16,33.43
2020-06-15,33.56
2020-06-12,33.75
2020-06-11,33.64
2020-06-10,35.81
2020-06-09,36.23
2020-06-08,36.49
2020-06-05,36.0199
2020-06-04,35.9
2020-06-03,36.11
2020-06-02,36.1
2020-06-01,35.58
2020-05-29,35.85
2020-05-28,38.19
2020-05-27,37.4
2020-05-26,37.54
2020-05-22,37.6
2020-05-21,37.27
2020-05-20,37.65
2020-05-19,37.88
2020-05-18,38.1
2020-05-15,37.65
2020-05-14,38.07
2020-05-13,37.15
2020-05-12,37.05
2020-05-11,38.1
2020-05-08,37.2801
2020-05-07,37.12
2020-05-06,38.58
2020-05-05,39.1
2020-05-04,37.61
2020-05-01,37.7
2020-04-30,38.0001
2020-04-29,38.5
2020-04-28,38.15
2020-04-27,38.87
2020-04-24,37.4
2020-04-23,36.74
2020-04-22,36.13
2020-04-21,35.85
2020-04-20,36.35
2020-04-17,36.91
2020-04-16,36.6
2020-04-15,35.73
2020-04-14,36.49
2020-04-13,35.26
2020-04-09,36.0001
2020-04-08,34.69
2020-04-07,33.62
2020-04-06,34.5
2020-04-03,33.42
2020-04-02,32.7
2020-04-01,31.86
2020-03-31,32.26
2020-03-30,32.5501
2020-03-27,30.8
2020-03-26,31.9
2020-03-25,29.65
2020-03-24,29.51
2020-03-23,28.98
2020-03-20,28.91
2020-03-19,30.95
2020-03-18,32.36
2020-03-17,31.4
2020-03-16,30.58
2020-03-13,32.3
2020-03-12,29.75
2020-03-11,32.2999
2020-03-10,33.86
2020-03-09,34.09
2020-03-06,34.92
2020-03-05,35.63
2020-03-04,36.38
2020-03-03,34.35
2020-03-02,34.95
2020-02-29,33.55
2020-02-28,33.63
2020-02-27,33.9
2020-02-26,34.75
2020-02-25,33.95
2020-02-24,34.86
2020-02-21,35.72
2020-02-20,35.82
2020-02-19,36.3
2020-02-18,36.21
2020-02-15,36.53
2020-02-14,36.55
2020-02-13,37.02
2020-02-12,37.74
2020-02-11,38.12
2020-02-10,37.8
2020-02-08,38.06
2020-02-07,38.03
2020-02-06,38.26
2020-02-05,38.28
2020-02-04,37.71
2020-02-03,37.51
2020-02-01,37.21
2020-01-31,37.39
2020-01-30,37.08
2020-01-29,37.71
2020-01-28,38.2599
2020-01-27,40.29
2020-01-25,39.81
2020-01-24,39.81
2020-01-23,40.79
2020-01-22,40.06
2020-01-21,40.39
2020-01-18,40.52
2020-01-17,40.54
2020-01-16,40.61
2020-01-15,40.69
2020-01-14,40.04
2020-01-13,39.49
2020-01-10,39.54
2020-01-09,38.94
2020-01-08,39.1
2020-01-07,38.51
2020-01-06,39.0
2020-01-04,39.0
2020-01-03,39.0
2020-01-02,39.04
2020-01-01,39.16
2019-12-31,39.16
2019-12-30,38.89
2019-12-28,39.35
2019-12-27,39.32
2019-12-26,39.36
2019-12-24,39.29
2019-12-23,39.34
2019-12-21,39.2
2019-12-20,39.2
2019-12-19,38.97
2019-12-18,38.99
2019-12-17,38.94
2019-12-16,39.59
2019-12-14,38.33
2019-12-13,38.33
2019-12-12,38.62
2019-12-11,38.24
2019-12-10,38.48
2019-12-09,38.24
2019-12-06,38.28
2019-12-05,38.1195
2019-12-04,38.06
2019-12-03,38.12
2019-12-02,38.22
2019-11-29,38.52
2019-11-28,38.39
2019-11-27,38.49
2019-11-26,38.29
2019-11-25,38.63
2019-11-23,38.35
2019-11-22,38.25
2019-11-21,37.72
2019-11-20,37.1
2019-11-19,37.62
2019-11-18,37.16
2019-11-16,37.39
2019-11-15,37.17
2019-11-14,36.51
2019-11-13,36.61
2019-11-12,37.0
2019-11-11,36.93
2019-11-09,37.04
2019-11-08,37.04
2019-11-07,37.0
2019-11-06,37.61
2019-11-05,37.56
2019-11-04,38.04
2019-11-01,38.49
2019-10-31,38.38
2019-10-30,38.53
2019-10-29,38.23
2019-10-28,37.56
2019-10-25,36.84
2019-10-24,36.38
2019-10-23,36.58
2019-10-22,36.31
2019-10-21,36.55
2019-10-18,36.5
2019-10-17,36.53
2019-10-16,36.2
2019-10-15,36.54
2019-10-14,36.33
2019-10-11,36.11
2019-10-10,35.79
2019-10-09,35.5
2019-10-08,35.31
2019-10-07,35.76
