date,price
2021-02-18,481.5
2021-02-17,482.45
2021-02-16,481.67
2021-02-13,485.96
2021-02-12,485.5
2021-02-11,490.54
2021-02-10,492.0
2021-02-09,492.0
2021-02-08,499.35
2021-02-06,500.0
2021-02-05,498.97
2021-02-04,506.75
2021-02-03,493.0
2021-02-02,506.41
2021-02-01,505.5
2021-01-30,498.0101
2021-01-29,500.0
2021-01-28,507.0
2021-01-27,515.56
2021-01-26,544.1
2021-01-25,548.2
2021-01-23,537.78
2021-01-22,537.78
2021-01-21,535.0
2021-01-20,542.9999
2021-01-19,534.2902
2021-01-15,518.0
2021-01-14,518.0
2021-01-13,515.0
2021-01-12,519.0
2021-01-11,502.01
2021-01-09,500.5
2021-01-08,499.5
2021-01-07,481.2
2021-01-06,471.1
2021-01-05,480.02
2021-01-04,482.86
2021-01-01,483.0
2020-12-31,483.0
2020-12-30,478.41
2020-12-29,486.0
2020-12-28,482.96
2020-12-24,488.93
2020-12-23,492.0
2020-12-22,491.79
2020-12-21,496.74
2020-12-18,499.95
2020-12-17,493.01
2020-12-16,485.6
2020-12-15,491.0
2020-12-14,495.0
2020-12-11,479.82
2020-12-10,478.5
2020-12-09,485.99
2020-12-08,497.0
2020-12-07,496.0
2020-12-04,494.0
2020-12-03,501.5
2020-12-02,505.13
2020-12-01,514.07
2020-11-30,514.0
2020-11-27,514.05
2020-11-25,508.5001
2020-11-24,506.1
2020-11-23,523.74
2020-11-20,518.74
2020-11-19,514.0
2020-11-18,520.25
2020-11-17,539.0
2020-11-16,559.29
2020-11-13,570.0
2020-11-12,556.79
2020-11-11,567.73
2020-11-10,558.0
2020-11-09,569.55
2020-11-06,577.01
2020-11-05,590.0
2020-11-04,590.0
2020-11-03,557.19
2020-11-02,548.29
2020-10-30,543.56
2020-10-29,555.69
2020-10-28,580.0
2020-10-27,579.89
2020-10-26,585.0
2020-10-23,579.81
2020-10-22,578.0
2020-10-21,570.0
2020-10-20,576.63
2020-10-19,585.8
2020-10-16,599.36
2020-10-15,588.7
2020-10-14,604.96
2020-10-13,608.5
2020-10-12,601.55
2020-10-09,601.0
2020-10-08,595.56
2020-10-07,612.63
2020-10-06,581.0
2020-10-05,600.0
2020-10-02,584.0
2020-10-01,567.5
2020-09-30,562.22
2020-09-29,591.0
2020-09-28,571.92
2020-09-25,574.06
2020-09-24,557.46
2020-09-23,565.19
2020-09-22,571.51
2020-09-21,555.7
2020-09-18,555.2383
2020-09-17,569.15
2020-09-16,569.15
2020-09-15,580.0001
2020-09-14,564.2
2020-09-11,544.75
2020-09-10,550.0
2020-09-09,571.15
2020-09-08,563.05
2020-09-04,580.36
2020-09-03,574.5
2020-09-02,610.15
2020-09-01,593.06
2020-08-31,618.33
2020-08-28,600.0
2020-08-27,614.97
2020-08-26,612.0
2020-08-25,610.5
2020-08-24,594.77
2020-08-21,605.4
2020-08-20,616.89
2020-08-19,629.63
2020-08-18,618.59
2020-08-17,620.73
2020-08-14,612.57
2020-08-13,610.89
2020-08-12,612.35
2020-08-11,596.4
2020-08-10,609.0
2020-08-07,620.21
2020-08-06,618.8
2020-08-05,632.2
2020-08-04,658.0
2020-08-03,649.4999
2020-07-31,631.0
2020-07-30,635.7
2020-07-29,632.34
2020-07-28,631.0
2020-07-27,635.0
2020-07-24,615.0
2020-07-23,630.0
2020-07-22,637.53
2020-07-21,639.75
2020-07-20,660.4
2020-07-17,644.06
2020-07-16,632.21
2020-07-15,632.74
2020-07-14,643.0
2020-07-13,617.1
2020-07-10,623.0
2020-07-09,640.63
2020-07-08,644.76
2020-07-07,641.75
2020-07-06,628.56
2020-07-02,611.0
2020-07-01,608.1
2020-06-30,623.65
2020-06-29,610.87
2020-06-26,611.36
2020-06-25,619.96
2020-06-24,607.89
2020-06-23,628.76
2020-06-22,628.8
2020-06-19,639.1
2020-06-18,597.35
2020-06-17,603.1
2020-06-16,592.9
2020-06-15,590.57
2020-06-12,588.68
2020-06-11,597.01
2020-06-10,606.0
2020-06-09,608.59
2020-06-08,604.04
2020-06-05,580.08
2020-06-04,600.0
2020-06-03,597.8
2020-06-02,619.68
2020-06-01,599.47
2020-05-29,611.0
2020-05-28,579.0
2020-05-27,543.0
2020-05-26,543.5
2020-05-22,568.0
2020-05-21,560.98
2020-05-20,576.89
2020-05-19,560.99
2020-05-18,560.28
2020-05-15,576.72
2020-05-14,570.86
2020-05-13,577.0
2020-05-12,555.1
2020-05-11,574.0
2020-05-08,561.91
2020-05-07,560.05
2020-05-06,555.0
2020-05-05,574.37
2020-05-04,542.1
2020-05-01,525.5
2020-04-30,525.88
2020-04-29,511.35
2020-04-28,528.61
2020-04-27,547.52
2020-04-24,566.21
2020-04-23,566.0
2020-04-22,557.5
2020-04-21,544.46
2020-04-20,570.0
2020-04-17,568.0
2020-04-16,549.0
2020-04-15,512.51
2020-04-14,524.84
2020-04-13,517.02
2020-04-09,512.96
2020-04-08,512.33
2020-04-07,501.51
2020-04-06,502.05
2020-04-03,494.6
2020-04-02,498.0
2020-04-01,496.65
2020-03-31,486.9
2020-03-30,473.0
2020-03-27,448.0
2020-03-26,460.0
2020-03-25,428.92
2020-03-24,449.53
2020-03-23,464.01
2020-03-20,445.0
2020-03-19,489.5
2020-03-18,495.0
2020-03-17,497.0
2020-03-16,470.0
2020-03-13,464.55
