date,price
2021-02-18,27.0
2021-02-17,26.97
2021-02-16,26.8
2021-02-13,26.78
2021-02-12,26.88
2021-02-11,26.35
2021-02-10,26.69
2021-02-09,26.1
2021-02-08,26.2
2021-02-06,25.06
2021-02-05,25.01
2021-02-04,24.87
2021-02-03,24.18
2021-02-02,22.61
2021-02-01,22.16
2021-01-30,22.1
2021-01-29,22.1201
2021-01-28,22.74
2021-01-27,21.89
2021-01-26,22.85
2021-01-25,23.86
2021-01-23,24.54
2021-01-22,24.55
2021-01-21,24.34
2021-01-20,25.35
2021-01-19,25.65
2021-01-16,25.05
2021-01-15,24.91
2021-01-14,26.04
2021-01-13,25.5
2021-01-12,26.26
2021-01-11,25.0
2021-01-09,24.85
2021-01-08,24.85
2021-01-07,24.91
2021-01-06,24.38
2021-01-05,23.25
2021-01-04,21.76
2021-01-01,21.8
2020-12-31,21.8
2020-12-30,21.95
2020-12-29,21.45
2020-12-28,21.57
2020-12-24,21.65
2020-12-23,22.0
2020-12-22,21.36
2020-12-21,21.85
2020-12-19,22.45
2020-12-18,22.49
2020-12-17,22.95
2020-12-16,22.89
2020-12-15,23.05
2020-12-14,22.17
2020-12-12,22.93
2020-12-11,22.95
2020-12-10,23.65
2020-12-09,23.3
2020-12-08,23.16
2020-12-07,22.7
2020-12-05,23.47
2020-12-04,23.42
2020-12-03,22.08
2020-12-02,21.66
2020-12-01,21.06
2020-11-30,20.82
2020-11-27,21.93
2020-11-25,22.1
2020-11-24,22.26
2020-11-23,21.74
2020-11-21,20.2
2020-11-20,20.16
2020-11-19,20.0
2020-11-18,19.95
2020-11-17,20.02
2020-11-16,20.01
2020-11-14,18.0
2020-11-13,17.86
2020-11-12,17.25
2020-11-11,17.71
2020-11-10,18.48
2020-11-09,18.13
2020-11-07,15.21
2020-11-06,15.21
2020-11-05,15.47
2020-11-04,15.96
2020-11-03,15.8
2020-11-02,15.51
2020-10-30,14.9
2020-10-29,14.25
2020-10-28,14.25
2020-10-27,14.9
2020-10-26,15.13
2020-10-23,15.36
2020-10-22,15.38
2020-10-21,15.0101
2020-10-20,15.6
2020-10-19,15.02
2020-10-16,15.0
2020-10-15,16.85
2020-10-14,16.04
2020-10-13,15.8
2020-10-12,16.1
2020-10-09,16.35
2020-10-08,16.5
2020-10-07,15.89
2020-10-06,15.6
2020-10-05,16.03
2020-10-02,15.44
2020-10-01,15.02
2020-09-30,15.6
2020-09-29,15.78
2020-09-28,16.5
2020-09-25,15.98
2020-09-24,16.8
2020-09-23,16.63
2020-09-22,17.36
2020-09-21,17.39
2020-09-18,18.7501
2020-09-17,19.1
2020-09-16,19.39
2020-09-15,18.2
2020-09-14,18.0499
2020-09-11,17.82
2020-09-10,17.72
2020-09-09,18.61
2020-09-08,18.29
2020-09-04,19.3
2020-09-03,18.95
2020-09-02,18.8
2020-09-01,18.69
2020-08-31,19.08
2020-08-28,19.42
2020-08-27,18.66
2020-08-26,18.8
2020-08-25,19.3
2020-08-24,19.6
2020-08-21,18.5
2020-08-20,18.8
2020-08-19,19.74
2020-08-18,19.77
2020-08-17,20.0
2020-08-14,20.12
2020-08-13,19.83
2020-08-12,20.14
2020-08-11,20.4
2020-08-10,20.2199
2020-08-07,19.57
2020-08-06,19.32
2020-08-05,19.5
2020-08-04,19.2
2020-08-03,18.92
2020-07-31,18.14
2020-07-30,18.6
2020-07-29,19.3
2020-07-28,19.16
2020-07-27,19.74
2020-07-24,19.48
2020-07-23,19.24
2020-07-22,19.2
2020-07-21,19.6
2020-07-20,18.5
2020-07-17,18.6
2020-07-16,18.82
2020-07-15,18.9
2020-07-14,18.6
2020-07-13,17.39
2020-07-10,17.79
2020-07-09,17.15
2020-07-08,18.1
2020-07-07,18.2
2020-07-06,18.76
2020-07-02,18.12
2020-07-01,17.72
2020-06-30,18.38
2020-06-29,18.16
2020-06-26,17.36
2020-06-25,18.4
2020-06-24,17.85
2020-06-23,19.57
2020-06-22,19.92
2020-06-19,19.65
2020-06-18,20.4
2020-06-17,19.85
2020-06-16,19.35
2020-06-15,19.67
2020-06-12,19.05
2020-06-11,18.9
2020-06-10,20.3
2020-06-09,22.32
2020-06-08,23.8
2020-06-05,22.03
2020-06-04,20.4
2020-06-03,19.62
2020-06-02,18.95
2020-06-01,18.36
