date,price
2021-02-17,59.27
2021-02-16,59.3
2021-02-12,60.0
2021-02-11,61.29
2021-02-10,61.1
2021-02-09,60.64
2021-02-08,60.7
2021-02-05,61.0
2021-02-04,60.35
2021-02-03,59.49
2021-02-02,59.7
2021-02-01,59.11
2021-01-29,58.92
2021-01-28,59.0
2021-01-27,58.5
2021-01-26,59.75
2021-01-25,61.02
2021-01-22,60.14
2021-01-21,59.89
2021-01-20,60.32
2021-01-19,61.0
2021-01-15,59.66
2021-01-14,59.25
2021-01-13,59.42
2021-01-12,58.86
2021-01-11,60.75
2021-01-09,61.43
2021-01-08,61.48
2021-01-07,61.14
2021-01-06,61.21
2021-01-05,59.75
2021-01-04,59.4
2021-01-01,61.44
2020-12-31,61.44
2020-12-30,60.61
2020-12-29,60.07
2020-12-28,59.99
2020-12-24,59.8
2020-12-23,59.38
2020-12-22,59.74
2020-12-21,60.0
2020-12-18,60.14
2020-12-17,61.07
2020-12-16,60.43
2020-12-15,60.86
2020-12-14,59.71
2020-12-11,60.55
2020-12-10,60.5
2020-12-09,60.77
2020-12-08,61.2
2020-12-07,61.73
2020-12-04,61.52
2020-12-03,61.4
2020-12-02,61.52
2020-12-01,60.5
2020-11-30,59.99
2020-11-27,60.65
2020-11-25,60.94
2020-11-24,61.45
2020-11-23,60.3
2020-11-20,60.75
2020-11-19,61.07
2020-11-18,61.75
2020-11-17,62.35
2020-11-16,64.12
2020-11-14,63.91
2020-11-13,63.93
2020-11-12,63.87
2020-11-11,63.92
2020-11-10,64.5
2020-11-09,62.25
2020-11-07,60.1
2020-11-06,60.01
2020-11-05,60.17
2020-11-04,59.76
2020-11-03,60.0
2020-11-02,59.01
2020-10-30,57.45
2020-10-29,57.95
2020-10-28,57.9902
2020-10-27,59.85
2020-10-26,60.6
2020-10-23,60.85
2020-10-22,60.5
2020-10-21,58.87
2020-10-20,58.6
2020-10-19,58.02
2020-10-16,57.86
2020-10-15,58.02
2020-10-14,58.0
2020-10-13,58.34
2020-10-12,58.86
2020-10-09,58.7
2020-10-08,58.36
2020-10-07,57.8
2020-10-06,58.27
2020-10-05,56.9199
2020-10-02,55.91
