date,price
2021-02-18,193.8
2021-02-17,193.9
2021-02-16,190.61
2021-02-12,191.79
2021-02-11,190.34
2021-02-10,192.0
2021-02-09,193.8901
2021-02-08,194.44
2021-02-05,188.9
2021-02-04,188.15
2021-02-03,185.88
2021-02-02,186.4
2021-02-01,184.0
2021-01-30,181.2
2021-01-29,180.55
2021-01-28,183.0
2021-01-27,177.8
2021-01-26,187.74
2021-01-25,190.45
2021-01-22,191.7501
2021-01-21,191.68
2021-01-20,188.3
2021-01-19,188.28
2021-01-15,194.5
2021-01-14,198.0
2021-01-13,197.0
2021-01-12,199.05
2021-01-11,195.5
2021-01-09,193.65
2021-01-08,194.6
2021-01-07,191.1
2021-01-06,188.9
2021-01-05,180.37
2021-01-04,177.6
2021-01-01,176.52
2020-12-31,176.8
2020-12-30,173.87
2020-12-29,175.25
2020-12-28,176.76
2020-12-24,175.19
2020-12-23,175.72
2020-12-22,172.35
2020-12-21,171.87
2020-12-19,170.7499
2020-12-18,170.6075
2020-12-17,171.24
2020-12-16,171.89
2020-12-15,171.4
2020-12-14,171.5
2020-12-12,172.01
2020-12-11,171.41
2020-12-10,172.4
2020-12-09,174.07
2020-12-08,172.9
2020-12-07,172.82
2020-12-04,174.73
2020-12-03,174.95
2020-12-02,176.85
2020-12-01,178.51
2020-11-30,179.74
2020-11-27,180.0
2020-11-25,179.7
2020-11-24,177.92
2020-11-23,178.3
2020-11-21,172.85
2020-11-20,172.75
2020-11-19,171.37
2020-11-18,167.7
2020-11-17,163.55
2020-11-16,165.85
2020-11-14,163.3
2020-11-13,163.35
2020-11-12,159.95
2020-11-11,160.05
2020-11-10,159.0
2020-11-09,155.5
2020-11-07,162.0
2020-11-06,161.5
2020-11-05,158.9
2020-11-04,157.0
2020-11-03,159.13
2020-11-02,154.39
2020-10-30,152.22
2020-10-29,153.25
2020-10-28,155.23
2020-10-27,156.7
2020-10-26,157.97
2020-10-23,160.19
2020-10-22,160.4
2020-10-21,163.29
2020-10-20,165.1
2020-10-19,165.0
2020-10-16,164.55
2020-10-15,165.46
2020-10-14,163.77
2020-10-13,165.66
2020-10-12,165.2
2020-10-09,163.77
2020-10-08,162.4
2020-10-07,161.5
2020-10-06,159.79
2020-10-05,161.25
2020-10-02,157.35
2020-10-01,158.6
2020-09-30,157.5
2020-09-29,157.5
2020-09-28,156.6
2020-09-25,154.25
2020-09-24,152.0
2020-09-23,150.2
2020-09-22,154.08
2020-09-21,150.5
2020-09-18,148.62
2020-09-17,147.75
2020-09-16,148.0
2020-09-15,149.07
2020-09-14,148.17
2020-09-11,147.5
2020-09-10,146.0401
2020-09-09,147.49
2020-09-08,143.4
2020-09-04,147.7
2020-09-03,144.0
2020-09-02,149.8
2020-09-01,150.55
2020-08-31,151.19
2020-08-28,150.85
2020-08-27,150.79
2020-08-26,152.4
2020-08-25,153.2499
2020-08-24,153.07
2020-08-21,153.97
2020-08-20,152.49
2020-08-19,155.48
2020-08-18,135.58
2020-08-17,140.22
2020-08-14,137.0
2020-08-13,135.09
2020-08-12,134.6
2020-08-11,131.72
2020-08-10,132.88
2020-08-07,131.85
2020-08-06,129.01
2020-08-05,129.54
2020-08-04,131.0
2020-08-03,127.64
2020-07-31,125.88
2020-07-30,124.58
2020-07-29,123.4
2020-07-28,124.14
2020-07-27,122.89
2020-07-24,123.71
2020-07-23,122.35
2020-07-22,123.0
2020-07-21,120.2
2020-07-20,119.98
2020-07-17,121.67
2020-07-16,121.8
2020-07-15,121.5
2020-07-14,120.32
2020-07-13,118.77
2020-07-10,118.9
2020-07-09,118.0
2020-07-08,117.8
2020-07-07,118.49
2020-07-06,119.25
2020-07-02,119.12
2020-07-01,118.96
2020-06-30,120.0
2020-06-29,118.57
2020-06-26,117.02
2020-06-25,119.68
2020-06-24,119.65
2020-06-23,121.25
2020-06-22,122.5
2020-06-19,120.3999
2020-06-18,117.5
2020-06-17,118.25
2020-06-16,119.25
2020-06-15,118.5
2020-06-12,116.86
2020-06-11,118.8
2020-06-10,119.3
2020-06-09,120.88
2020-06-08,122.0
2020-06-05,121.85
2020-06-04,120.05
2020-06-03,121.74
2020-06-02,118.85
2020-06-01,119.15
2020-05-29,122.15
2020-05-28,118.0
2020-05-27,117.1
2020-05-26,115.13
2020-05-22,117.3
2020-05-21,119.0
2020-05-20,119.65
2020-05-19,123.33
2020-05-18,126.3
2020-05-15,121.28
2020-05-14,120.0
2020-05-13,119.2
2020-05-12,118.64
2020-05-11,120.55
2020-05-08,116.58
2020-05-07,113.69
2020-05-06,113.16
2020-05-05,111.76
2020-05-04,111.7
2020-05-01,108.32
2020-04-30,108.9
2020-04-29,112.8
2020-04-28,112.35
2020-04-27,110.29
2020-04-24,107.83
2020-04-23,103.65
2020-04-22,106.5801
2020-04-21,107.5
2020-04-20,109.4999
2020-04-17,113.5
2020-04-16,111.4
2020-04-15,106.15
2020-04-14,108.2
2020-04-13,104.68
2020-04-09,104.4
2020-04-08,104.32
2020-04-07,98.15
2020-04-06,97.5
2020-04-03,92.01
2020-04-02,94.36
2020-04-01,95.5
2020-03-31,92.25
2020-03-30,96.0
2020-03-27,94.71
2020-03-26,96.0
2020-03-25,91.53
2020-03-24,101.1
2020-03-23,98.89
2020-03-20,96.56
2020-03-19,99.0
2020-03-18,104.5
2020-03-17,101.0
2020-03-16,95.0
2020-03-13,99.9701
2020-03-12,92.0
2020-03-11,106.8399
2020-03-10,106.01
2020-03-09,107.0
2020-03-07,105.75
2020-03-06,105.75
2020-03-05,106.0
2020-03-04,107.01
2020-03-03,105.05
2020-03-02,108.45
2020-02-28,103.99
2020-02-27,105.5
2020-02-26,110.66
2020-02-25,111.82
2020-02-24,113.75
2020-02-21,116.7999
2020-02-20,118.1
