date,price
2021-02-17,498.46
2021-02-16,500.08
2021-02-12,507.83
2021-02-11,494.05
2021-02-10,484.88
2021-02-09,489.3
2021-02-08,495.76
2021-02-05,493.0
2021-02-04,489.2
2021-02-03,500.0
2021-02-02,518.53
2021-02-01,517.0
2021-01-30,513.99
2021-01-29,510.0
2021-01-28,498.0
2021-01-27,482.48
2021-01-26,507.75
2021-01-25,518.83
2021-01-23,515.51
2021-01-22,515.26
2021-01-21,512.4369
2021-01-20,515.7626
2021-01-19,509.0
2021-01-15,503.0645
2021-01-14,496.9845
2021-01-13,501.5
2021-01-12,498.8448
2021-01-11,516.7
2021-01-08,512.3
2021-01-07,500.1
2021-01-06,485.21
2021-01-05,477.72
2021-01-04,471.82
2020-12-31,465.78
2020-12-30,462.0
2020-12-29,462.8137
2020-12-28,460.73
2020-12-24,458.09
2020-12-23,458.34
2020-12-22,465.2
2020-12-21,462.88
2020-12-18,465.0
2020-12-17,464.8935
2020-12-16,460.785
2020-12-15,473.0
2020-12-14,467.1767
2020-12-11,471.3429
2020-12-10,471.2599
2020-12-09,461.0
2020-12-08,473.98
2020-12-07,471.5
2020-12-04,473.14
2020-12-03,477.2477
2020-12-02,476.11
2020-12-01,473.0
2020-11-30,465.038123
2020-11-27,453.4
2020-11-25,448.4052
2020-11-24,439.58
2020-11-23,446.0746
2020-11-20,451.04
2020-11-19,453.1
2020-11-18,454.0
2020-11-17,479.3
2020-11-16,480.15
2020-11-13,488.5411
2020-11-12,486.5113
2020-11-11,486.0
2020-11-10,465.01
2020-11-09,485.0385
2020-11-06,527.6072
2020-11-05,525.9999
2020-11-04,510.97
2020-11-03,496.9
2020-11-02,480.5019
2020-10-30,474.0
2020-10-29,471.9272
2020-10-28,476.0
2020-10-27,489.2511
2020-10-26,482.43
2020-10-23,480.17
2020-10-22,481.99
2020-10-21,471.79
2020-10-20,467.99
2020-10-19,461.3361
2020-10-16,468.5431
2020-10-15,464.6065
2020-10-14,467.01
2020-10-13,468.4396
2020-10-12,466.6733
2020-10-09,465.49
2020-10-08,458.15
2020-10-07,452.3148
2020-10-06,444.0
2020-10-05,450.67
2020-10-02,435.06
2020-10-01,438.2438
2020-09-30,441.52
2020-09-29,434.2966
2020-09-28,428.3472
2020-09-25,422.29
2020-09-24,418.14
2020-09-23,420.76
2020-09-22,430.197
2020-09-21,425.5125
2020-09-18,429.05
2020-09-17,432.93
2020-09-16,433.8
2020-09-15,435.1
2020-09-14,434.1
2020-09-11,431.13
2020-09-10,419.73
2020-09-09,418.32
2020-09-08,405.3
2020-09-04,409.98
2020-09-03,419.67
2020-09-02,441.06
2020-09-01,433.7
2020-08-31,428.98
2020-08-28,424.48
2020-08-27,420.53
2020-08-26,425.65
2020-08-25,422.29
2020-08-24,419.76
2020-08-21,428.57
2020-08-20,421.0
2020-08-19,420.5
2020-08-18,417.3
2020-08-17,417.84
2020-08-14,413.76
2020-08-13,416.6
2020-08-12,416.17
2020-08-11,407.24
2020-08-10,410.16
2020-08-07,414.33
2020-08-06,415.73
2020-08-05,419.9
2020-08-04,415.72
2020-08-03,419.09
2020-07-31,413.95
2020-07-30,410.56
2020-07-29,409.26
2020-07-28,407.36
2020-07-27,414.0
2020-07-24,406.38
2020-07-23,410.48
2020-07-22,410.0
2020-07-21,404.0
2020-07-20,402.97
2020-07-17,399.0
2020-07-16,392.42
2020-07-15,392.7
2020-07-14,387.0
2020-07-13,378.93
2020-07-10,382.57
2020-07-09,387.67
2020-07-08,386.63
2020-07-07,380.25
2020-07-06,382.27
2020-07-02,365.89
2020-07-01,359.77
2020-06-30,363.0
2020-06-29,350.8
2020-06-26,350.95
2020-06-25,351.76
2020-06-24,347.96
2020-06-23,356.82
2020-06-22,352.16
2020-06-19,350.0
2020-06-18,347.44
2020-06-17,349.85
2020-06-16,347.22
2020-06-15,340.82
2020-06-12,339.76
2020-06-11,339.5883
2020-06-10,352.8
2020-06-09,347.65
2020-06-08,349.88
2020-06-05,354.2
2020-06-04,348.15
2020-06-03,347.19
2020-06-02,350.09
2020-06-01,349.33
2020-05-29,349.19
2020-05-28,342.74
2020-05-27,337.35
2020-05-26,332.57
2020-05-22,340.26
2020-05-21,335.75
2020-05-20,341.5
2020-05-19,342.5
2020-05-18,346.97
2020-05-15,342.92
2020-05-14,337.27
2020-05-13,331.89
2020-05-12,332.0
2020-05-11,340.39
2020-05-08,331.03
2020-05-07,339.08
2020-05-06,335.15
2020-05-05,336.32
2020-05-04,326.72
2020-05-01,330.35
2020-04-30,334.68
2020-04-29,334.0
2020-04-28,334.0
2020-04-27,342.71
2020-04-24,328.6
2020-04-23,321.0
2020-04-22,334.1
2020-04-21,323.35
2020-04-20,327.16
2020-04-17,334.0
2020-04-16,331.8
2020-04-15,325.83
2020-04-14,326.37
2020-04-13,315.32
2020-04-09,323.51
2020-04-08,307.15
2020-04-07,296.58
2020-04-06,303.18
2020-04-03,282.21
2020-04-02,287.55
2020-04-01,275.2
2020-03-31,283.8
2020-03-30,284.96
2020-03-27,274.34
2020-03-26,284.94
2020-03-25,278.2085
2020-03-24,282.03
2020-03-23,257.49
2020-03-20,278.37
2020-03-19,278.0
2020-03-18,302.2
2020-03-17,287.0
2020-03-16,300.0
2020-03-13,295.0
2020-03-12,284.32
2020-03-11,289.38
2020-03-10,307.7
2020-03-09,295.35
2020-03-06,311.25
2020-03-05,312.89
2020-03-04,326.64
2020-03-03,310.36
2020-03-02,304.96
2020-02-28,293.01
2020-02-27,297.08
2020-02-26,309.16
2020-02-25,309.63
2020-02-24,323.15
2020-02-21,334.94
2020-02-20,336.06
2020-02-19,339.74
2020-02-18,337.37
2020-02-14,339.19
2020-02-13,335.59
2020-02-12,334.57
2020-02-11,337.78
2020-02-10,333.94
2020-02-07,326.21
2020-02-06,332.0
2020-02-05,332.49
2020-02-04,325.96
2020-02-03,318.34
2020-01-31,313.19
2020-01-30,319.86
2020-01-29,333.89
2020-01-28,333.26
2020-01-27,330.96
2020-01-24,333.68
2020-01-23,335.38
2020-01-22,340.05
2020-01-21,337.26
2020-01-17,339.19
2020-01-16,336.74
2020-01-15,335.2
2020-01-14,332.8
2020-01-13,332.02
2020-01-11,328.2
2020-01-10,328.73
2020-01-09,330.18
2020-01-08,327.5
2020-01-07,324.68
2020-01-06,325.14
2020-01-03,322.82
2020-01-02,326.37
2019-12-31,324.87
2019-12-30,324.5
2019-12-27,326.55
2019-12-26,325.71
2019-12-24,326.51
2019-12-23,328.04
2019-12-20,326.72
2019-12-19,323.25
2019-12-18,319.6
2019-12-17,319.79
2019-12-16,321.46
2019-12-13,320.5
2019-12-12,319.36
2019-12-11,318.08
2019-12-10,317.09
2019-12-09,316.43
2019-12-07,320.0
2019-12-06,320.12
2019-12-05,316.0
2019-12-04,315.64
2019-12-03,312.89
2019-12-02,313.04
2019-11-29,313.95
2019-11-27,316.0
2019-11-26,313.45
2019-11-25,310.6
2019-11-22,307.77
2019-11-21,305.31
2019-11-20,307.33
2019-11-19,306.42
2019-11-18,303.26
2019-11-15,306.81
2019-11-14,300.84
2019-11-13,300.02
2019-11-12,295.97
2019-11-11,293.53
2019-11-08,295.52
2019-11-07,293.54
2019-11-06,294.57
2019-11-05,292.63
2019-11-04,300.77
2019-11-01,303.6
2019-10-31,301.98
2019-10-30,301.86
2019-10-29,297.95
2019-10-28,299.9
2019-10-25,296.68
2019-10-24,293.44
2019-10-23,296.93
2019-10-22,280.99
2019-10-21,283.54
2019-10-18,282.3
2019-10-17,281.59
2019-10-16,280.56
2019-10-15,286.02
2019-10-14,284.25
2019-10-11,283.64
2019-10-10,280.0
2019-10-09,276.51
2019-10-08,271.93
2019-10-07,289.16
2019-10-04,294.0
2019-10-03,282.91
2019-10-02,279.53
2019-10-01,287.4
2019-09-30,291.27
2019-09-27,287.4
2019-09-26,286.85
2019-09-25,282.33
2019-09-24,285.16
2019-09-23,290.45
2019-09-20,296.07
2019-09-19,295.25
2019-09-18,294.96
2019-09-17,292.71
2019-09-16,295.33
2019-09-13,297.65
2019-09-12,294.97
2019-09-11,294.94
2019-09-10,289.5
2019-09-09,292.2
2019-09-06,295.05
2019-09-05,294.02
2019-09-04,285.9
2019-09-03,283.53
2019-08-30,287.06
2019-08-29,286.15
2019-08-28,276.06
2019-08-27,272.5312
2019-08-26,270.92
2019-08-23,269.36
2019-08-22,278.17
2019-08-21,277.0
