date,price
2021-02-18,121.5
2021-02-17,121.4
2021-02-16,123.53
2021-02-13,123.6
2021-02-12,124.0
2021-02-11,124.22
2021-02-10,124.38
2021-02-09,124.47
2021-02-08,126.0
2021-02-06,126.0
2021-02-05,125.6501
2021-02-04,127.25
2021-02-03,129.9
2021-02-02,131.89
2021-02-01,128.5
2021-01-30,125.95
2021-01-29,125.82
2021-01-28,127.5
2021-01-27,123.41
2021-01-26,131.43
2021-01-25,131.0
2021-01-23,130.32
2021-01-22,130.33
2021-01-21,130.03
2021-01-20,131.66
2021-01-19,129.87
2021-01-16,127.6
2021-01-15,127.49
2021-01-14,125.0
2021-01-13,129.5
2021-01-12,129.05
2021-01-11,134.03
2021-01-09,135.0
2021-01-08,135.17
2021-01-07,133.19
2021-01-06,134.0
2021-01-05,130.9
2021-01-04,132.43
2020-12-31,134.8
2020-12-30,133.28
2020-12-29,133.1401
2020-12-28,133.49
2020-12-24,132.92
2020-12-23,132.23
2020-12-22,132.25
2020-12-21,129.91
2020-12-18,132.75
2020-12-17,130.02
2020-12-16,129.81
2020-12-15,130.09
2020-12-14,129.36
2020-12-11,131.58
2020-12-10,131.5
2020-12-09,130.7
2020-12-08,133.25
2020-12-07,132.96
2020-12-05,131.7
2020-12-04,131.2
2020-12-03,131.3
2020-12-02,133.0
2020-12-01,133.73
2020-11-30,133.48
2020-11-27,132.0
2020-11-25,128.65
2020-11-24,128.38
2020-11-23,128.11
2020-11-20,129.55
2020-11-19,129.19
2020-11-18,127.85
2020-11-17,129.07
2020-11-16,131.75
2020-11-14,128.3
2020-11-13,128.23
2020-11-12,127.0
2020-11-11,125.15
2020-11-10,121.72
2020-11-09,122.85
2020-11-07,123.77
2020-11-06,123.55
2020-11-05,124.74
2020-11-04,116.87
2020-11-03,111.98
2020-11-02,110.55
2020-10-30,110.59
2020-10-29,108.5
2020-10-28,110.38
2020-10-27,112.18
2020-10-26,111.78
2020-10-23,112.3
2020-10-22,111.65
2020-10-21,112.0
2020-10-20,113.0
2020-10-19,113.3
2020-10-16,115.0
2020-10-15,115.2165
2020-10-14,116.67
2020-10-13,122.25
2020-10-12,120.57
2020-10-09,117.23
2020-10-08,115.72
2020-10-07,114.41
2020-10-06,111.75
2020-10-05,114.8
2020-10-02,113.2
2020-10-01,115.75
2020-09-30,114.0
2020-09-29,114.0
2020-09-28,114.56
2020-09-25,111.0
2020-09-24,110.55
2020-09-23,109.45
2020-09-22,112.39
2020-09-21,110.99
2020-09-18,110.8
2020-09-17,111.97
2020-09-16,114.5
2020-09-15,115.93
2020-09-14,112.27
2020-09-11,111.3
2020-09-10,112.1
2020-09-09,113.0
2020-09-08,110.56
2020-09-04,114.55
2020-09-03,115.0
2020-09-02,118.88
2020-09-01,117.35
2020-08-31,116.85
2020-08-28,116.3
2020-08-27,115.25
2020-08-26,116.5
2020-08-25,115.4101
2020-08-24,115.27
2020-08-21,115.0
2020-08-20,115.4
2020-08-19,115.0
2020-08-18,116.27
2020-08-17,117.0
2020-08-14,115.37
2020-08-13,115.5
2020-08-12,115.0
2020-08-11,113.75
2020-08-10,116.07
2020-08-07,115.0
2020-08-06,114.0
2020-08-05,108.0001
2020-08-04,108.6
2020-08-03,106.95
2020-07-31,107.4
2020-07-30,106.0
2020-07-29,105.8
2020-07-28,104.51
2020-07-27,105.62
2020-07-24,104.6
2020-07-23,105.1
2020-07-22,105.1
2020-07-21,105.59
2020-07-20,106.05
2020-07-17,106.2
2020-07-16,104.5
2020-07-15,104.86
2020-07-14,106.0
2020-07-13,104.8
2020-07-10,107.0
2020-07-09,106.4
2020-07-08,106.66
2020-07-07,105.7802
2020-07-06,106.7802
2020-07-02,106.03
2020-07-01,106.1
2020-06-30,105.3
2020-06-29,106.14
2020-06-26,105.4
2020-06-25,109.33
2020-06-24,108.75
2020-06-23,106.64
2020-06-22,104.89
2020-06-19,106.7
2020-06-18,106.75
2020-06-17,103.75
2020-06-16,103.07
2020-06-15,104.01
2020-06-12,102.5
2020-06-11,100.01
2020-06-10,105.29
2020-06-09,103.1
2020-06-08,103.91
2020-06-05,101.0
2020-06-04,100.5
2020-06-03,101.08
2020-06-02,100.41
2020-06-01,99.7
2020-05-29,100.2
2020-05-28,100.0
2020-05-27,97.5
2020-05-26,95.45
2020-05-22,95.91
2020-05-21,94.96
2020-05-20,98.4
2020-05-19,98.7
2020-05-18,99.5101
2020-05-15,97.37
2020-05-14,94.91
2020-05-13,93.54
2020-05-12,94.1
2020-05-11,96.65
2020-05-08,98.7369
2020-05-07,95.75
2020-05-06,87.2
2020-05-05,89.6
2020-05-04,88.5
2020-05-01,86.2
2020-04-30,87.0
2020-04-29,89.3
