date,price
2021-02-18,793.65
2021-02-17,793.98
2021-02-16,794.4
2021-02-13,817.55
2021-02-12,818.3
2021-02-11,811.11
2021-02-10,809.46
2021-02-09,846.2
2021-02-08,860.3
2021-02-06,853.49
2021-02-05,852.41
2021-02-04,846.51
2021-02-03,852.43
2021-02-02,871.25
2021-02-01,839.6
2021-01-30,787.9
2021-01-29,785.47
2021-01-28,831.0
2021-01-27,822.56
2021-01-26,887.7499
2021-01-25,882.0
2021-01-23,847.5
2021-01-22,846.3
2021-01-21,842.75
2021-01-20,851.5
2021-01-19,842.5
2021-01-16,823.77
2021-01-15,823.66
2021-01-14,846.74
2021-01-13,846.0
2021-01-12,850.85
2021-01-11,818.5
2021-01-09,867.5
2021-01-08,868.9
2021-01-07,830.36
2021-01-06,762.01
2021-01-05,753.34
2021-01-04,729.6
2021-01-01,704.5
2020-12-31,704.71
2020-12-30,694.82
2020-12-29,665.0
2020-12-28,662.3
2020-12-24,660.0
2020-12-23,642.25
2020-12-22,638.36
2020-12-21,650.99
2020-12-19,677.0
2020-12-18,674.5
2020-12-17,648.53
2020-12-16,620.88
2020-12-15,628.15
2020-12-14,636.85
2020-12-12,607.64
2020-12-11,607.75
2020-12-10,624.0
2020-12-09,596.51
2020-12-08,654.5
2020-12-07,648.36
2020-12-05,598.7
2020-12-04,598.7
2020-12-03,594.33
2020-12-02,585.76
2020-12-01,579.5
2020-11-30,593.05
2020-11-27,584.77
2020-11-26,575.0
2020-11-25,575.53
2020-11-24,561.8
2020-11-23,531.45
2020-11-21,490.6
2020-11-20,490.04
2020-11-19,494.18
2020-11-18,486.5
2020-11-17,439.26
2020-11-16,463.6
2020-11-14,408.12
2020-11-13,407.7
2020-11-12,412.0
2020-11-11,417.26
2020-11-10,408.7
2020-11-09,423.3
2020-11-07,429.9
2020-11-06,429.4
2020-11-05,435.53
2020-11-04,422.91
2020-11-03,426.13
2020-11-02,399.5
2020-10-30,387.0
2020-10-29,406.6
2020-10-28,407.51
2020-10-27,421.65
2020-10-26,416.5
2020-10-23,420.5
2020-10-22,426.49
2020-10-21,436.31
2020-10-20,424.6
2020-10-19,433.45
2020-10-16,438.2
2020-10-15,446.75
2020-10-14,460.35
2020-10-13,447.9199
2020-10-12,442.19
2020-10-09,434.47
2020-10-08,429.75
2020-10-07,427.35
2020-10-06,413.22
2020-10-05,422.18
2020-10-02,411.2
2020-10-01,442.8
2020-09-30,431.7
2020-09-29,418.21
2020-09-28,419.8
2020-09-25,405.8
2020-09-24,393.75
2020-09-23,367.83
2020-09-22,395.08
2020-09-21,423.04
2020-09-18,449.5
2020-09-17,423.7
2020-09-16,444.74
2020-09-15,446.0
2020-09-14,423.45
2020-09-11,373.75
2020-09-10,375.6
2020-09-09,374.98
2020-09-08,324.15
2020-09-04,391.5
2020-09-03,380.4
2020-09-02,437.26
2020-09-01,480.9899
2020-08-31,514.75
2020-08-28,443.398
2020-08-27,449.4
2020-08-26,428.4
2020-08-25,409.6
2020-08-24,400.004
2020-08-21,408.5
2020-08-20,401.9980000000001
2020-08-19,374.0
2020-08-18,379.0
2020-08-17,367.2
2020-08-14,329.26199999999994
2020-08-13,327.0
2020-08-12,313.0
2020-08-11,292.646
2020-08-10,282.6
2020-08-07,290.2
2020-08-06,298.48
2020-08-05,296.4
2020-08-04,298.4
2020-08-03,297.0
2020-07-31,285.1
2020-07-30,301.2
2020-07-29,300.23
2020-07-28,294.252
2020-07-27,308.6
2020-07-24,280.4
2020-07-23,296.898
2020-07-22,331.4
2020-07-21,316.0
2020-07-20,332.6
2020-07-17,301.356
2020-07-16,297.608
2020-07-15,302.2
2020-07-14,313.206
2020-07-13,305.8
2020-07-10,308.4
2020-07-09,278.7
2020-07-08,272.206
2020-07-07,276.2
2020-07-06,286.452
2020-07-02,242.64
2020-07-01,227.598
2020-06-30,215.06
2020-06-29,201.5
2020-06-26,191.18
2020-06-25,198.4
2020-06-24,190.2
2020-06-23,199.4
2020-06-22,199.8
2020-06-19,198.38
2020-06-18,202.398
2020-06-17,197.3
2020-06-16,195.8
2020-06-15,198.812
2020-06-12,183.71
2020-06-11,195.0
2020-06-10,201.9
2020-06-09,187.398
2020-06-08,188.9
2020-06-05,176.97
2020-06-04,173.2
2020-06-03,176.62400000000005
2020-06-02,176.4
2020-06-01,177.4
2020-05-29,168.55
2020-05-28,161.4
2020-05-27,162.88
2020-05-26,163.99599999999995
2020-05-22,163.52
2020-05-21,165.1
2020-05-20,162.90200000000004
2020-05-19,162.22
2020-05-18,162.3
2020-05-15,159.72
2020-05-14,160.6
2020-05-13,159.958
2020-05-12,159.08
2020-05-11,162.24200000000005
2020-05-08,163.8
2020-05-07,156.7
2020-05-06,155.9
2020-05-05,154.9
2020-05-04,153.8
2020-05-01,141.6
2020-04-30,153.0
2020-04-29,174.2
2020-04-28,155.358
2020-04-27,156.412
2020-04-24,145.0
2020-04-23,139.384
2020-04-22,144.76
2020-04-21,138.002
2020-04-20,149.6
2020-04-17,150.306
2020-04-16,155.0
2020-04-15,142.7
2020-04-14,149.3
2020-04-13,134.696
2020-04-09,118.9
2020-04-08,110.188
2020-04-07,109.974
2020-04-06,102.6
2020-04-03,95.0
2020-04-02,107.0
2020-04-01,97.118
2020-03-31,103.1
2020-03-30,100.6
2020-03-27,101.8
2020-03-26,105.4
2020-03-25,108.002
2020-03-24,101.996
2020-03-23,89.07600000000002
2020-03-20,84.756
2020-03-19,78.8
2020-03-18,74.6
2020-03-17,81.512
2020-03-16,90.6
2020-03-13,106.8
2020-03-12,103.8
2020-03-11,126.62
2020-03-10,125.06
2020-03-09,127.16
2020-03-07,138.15
2020-03-06,139.6
2020-03-05,144.0
2020-03-04,149.17600000000004
2020-03-03,144.80200000000005
2020-03-02,151.8
2020-02-29,134.996
2020-02-28,134.8
2020-02-27,133.148
2020-02-26,154.5
2020-02-25,159.60399999999996
2020-02-24,167.8
2020-02-22,179.764
2020-02-21,180.154
2020-02-20,178.2
2020-02-19,181.98
2020-02-18,175.68
2020-02-15,160.5
2020-02-14,160.07
2020-02-13,160.02
2020-02-12,150.63
2020-02-11,154.154
2020-02-10,154.18
2020-02-08,149.122
2020-02-07,149.15
2020-02-06,148.85
2020-02-05,146.5
2020-02-04,178.79
2020-02-03,153.252
2020-02-01,129.15
2020-01-31,129.85
2020-01-30,128.84799999999998
2020-01-29,129.6
2020-01-28,113.97
2020-01-27,111.9
2020-01-25,111.8
2020-01-24,112.2
2020-01-23,114.178
2020-01-22,113.74
2020-01-21,110.66
2020-01-18,100.82
2020-01-17,101.5
2020-01-16,102.65
2020-01-15,104.7
2020-01-14,107.1
2020-01-13,106.27
2020-01-11,95.598
2020-01-10,95.6
2020-01-09,95.96
2020-01-08,99.2
2020-01-07,92.5
2020-01-06,90.262
2020-01-04,88.382
2020-01-03,88.46600000000002
2020-01-02,86.2
2020-01-01,83.7
2019-12-31,83.786
2019-12-30,82.52
2019-12-28,86.15
2019-12-27,86.1
2019-12-26,86.18799999999997
2019-12-24,85.06
2019-12-23,83.87
2019-12-21,81.2
2019-12-20,81.212
2019-12-19,80.936
2019-12-18,78.568
2019-12-17,75.778
2019-12-16,75.6
2019-12-14,71.756
2019-12-13,71.74
2019-12-12,71.94
2019-12-11,70.76
2019-12-10,69.82
2019-12-09,67.958
2019-12-07,67.178
2019-12-06,67.19800000000001
2019-12-05,66.64
2019-12-04,66.64
2019-12-03,67.296
2019-12-02,66.8
2019-11-29,65.988
2019-11-28,66.0
2019-11-27,66.002
2019-11-26,65.898
2019-11-25,67.236
2019-11-23,66.62
2019-11-22,66.626
2019-11-21,71.51
2019-11-20,70.4
2019-11-19,71.75
2019-11-18,69.96
2019-11-16,70.36399999999999
2019-11-15,70.37
2019-11-14,69.816
2019-11-13,69.258
2019-11-12,69.994
2019-11-11,69.03
2019-11-09,67.35
2019-11-08,67.392
2019-11-07,67.24
2019-11-06,65.268
2019-11-05,63.46
2019-11-04,63.594
2019-11-01,62.61
2019-10-31,62.904
2019-10-30,63.08
2019-10-29,62.916
2019-10-28,65.56
2019-10-25,65.484
2019-10-24,59.8
2019-10-23,61.2
2019-10-22,51.0
2019-10-21,50.892
2019-10-18,51.32
2019-10-17,52.38
2019-10-16,51.96
2019-10-15,51.5
2019-10-14,51.452
2019-10-11,49.7
2019-10-10,49.18
2019-10-09,48.5
2019-10-08,48.04
2019-10-07,47.536
2019-10-04,46.298
2019-10-03,46.442
2019-10-02,46.66
2019-10-01,48.95
2019-09-30,48.174
2019-09-27,48.438
2019-09-26,48.6
2019-09-25,45.636
2019-09-24,44.956
2019-09-23,48.43600000000001
2019-09-20,47.95
2019-09-19,49.35
2019-09-18,48.64
2019-09-17,48.99
2019-09-16,48.64
2019-09-13,49.002
2019-09-12,49.298
2019-09-11,49.68
2019-09-10,47.108
2019-09-09,46.322
2019-09-06,45.456
2019-09-05,45.85
2019-09-04,44.2
2019-09-03,45.13
2019-08-30,45.272
2019-08-29,44.3
2019-08-28,43.03
2019-08-27,43.098
2019-08-26,42.88
2019-08-23,42.0
2019-08-22,44.34
2019-08-21,44.154
2019-08-20,44.452
2019-08-19,45.3
2019-08-16,43.84
2019-08-15,43.0
2019-08-14,43.828
2019-08-13,47.08
2019-08-12,45.75
2019-08-09,46.93
2019-08-08,47.4
2019-08-07,46.52
2019-08-06,45.95
2019-08-05,44.7
2019-08-02,47.13800000000001
2019-08-01,46.64
2019-07-31,48.218
2019-07-30,48.306
2019-07-29,47.024
2019-07-26,45.422
2019-07-25,45.508
2019-07-24,47.14
2019-07-23,51.938
2019-07-22,51.2
2019-07-19,51.574
2019-07-18,50.9
2019-07-17,50.88
2019-07-16,50.35
2019-07-15,50.56
2019-07-12,49.238
2019-07-11,47.62
2019-07-10,47.76
2019-07-09,46.05
2019-07-08,46.05
2019-07-05,46.55
2019-07-03,46.87
2019-07-02,48.1
2019-07-01,45.6
2019-06-28,44.79
2019-06-27,44.56
2019-06-26,43.676
2019-06-25,44.02
2019-06-24,44.86
2019-06-21,44.3
2019-06-20,43.9
2019-06-19,45.392
2019-06-18,45.04
2019-06-17,45.1
2019-06-14,42.99800000000001
2019-06-13,42.496
2019-06-12,41.96
2019-06-11,45.062
2019-06-10,43.05
2019-06-07,40.832
2019-06-06,41.28
2019-06-05,39.116
2019-06-04,38.842
2019-06-03,35.89
2019-05-31,37.188
2019-05-30,37.452
2019-05-29,38.032
2019-05-28,37.898
2019-05-24,37.94
2019-05-23,39.19
2019-05-22,38.13
2019-05-21,40.34
2019-05-20,40.866
2019-05-17,42.002
2019-05-16,45.54
2019-05-15,46.22
2019-05-14,46.45
2019-05-13,45.25
2019-05-10,47.8
2019-05-09,48.232
2019-05-08,48.662
2019-05-07,49.42
2019-05-06,50.822
2019-05-03,51.0
2019-05-02,49.1
2019-05-01,46.75
2019-04-30,47.77
2019-04-29,48.094
2019-04-26,47.598
2019-04-25,49.458
2019-04-24,51.65
2019-04-23,52.76
2019-04-22,52.51
2019-04-18,54.596
2019-04-17,54.24
2019-04-16,54.56
2019-04-15,53.3
2019-04-12,53.504
2019-04-11,53.78
2019-04-10,55.32
2019-04-09,54.462
2019-04-08,54.8
2019-04-05,54.98
2019-04-04,53.6
2019-04-03,58.284
2019-04-02,57.47
2019-04-01,57.64
2019-03-29,55.96
2019-03-28,55.88
2019-03-27,54.952
2019-03-26,53.65
2019-03-25,52.272
2019-03-22,52.87
2019-03-21,54.98
2019-03-20,54.79
2019-03-19,53.63
2019-03-18,53.7
2019-03-15,55.074
2019-03-14,57.74
2019-03-13,57.87
2019-03-12,56.57
2019-03-11,58.05
2019-03-09,56.88
2019-03-08,56.86
2019-03-07,55.62
2019-03-06,55.364
2019-03-05,55.264
2019-03-04,57.206
2019-03-02,58.808
2019-03-01,58.98
2019-02-28,61.8
2019-02-27,63.06
2019-02-26,59.506
2019-02-25,56.96
2019-02-23,59.0
2019-02-22,58.94600000000001
2019-02-21,58.48
2019-02-20,60.47
2019-02-19,61.37600000000001
2019-02-16,61.588
2019-02-15,61.6
2019-02-14,60.82
2019-02-13,61.432
2019-02-12,62.162
2019-02-11,62.42
2019-02-09,61.03
2019-02-08,61.16
2019-02-07,61.42
2019-02-06,63.29
2019-02-05,64.27
2019-02-04,62.5
2019-02-02,62.4
2019-02-01,62.36
2019-01-31,60.93
2019-01-30,58.956
2019-01-29,59.6
2019-01-28,58.93600000000001
2019-01-26,59.224
2019-01-25,59.3
2019-01-24,58.106
2019-01-23,57.48
2019-01-22,59.812
2019-01-19,60.94
2019-01-18,60.958
2019-01-17,69.484
2019-01-16,69.102
2019-01-15,69.07600000000001
2019-01-14,66.74
2019-01-12,69.35
2019-01-11,69.332
2019-01-10,68.75
2019-01-09,67.7
2019-01-08,67.042
2019-01-07,66.9
2019-01-05,63.6
2019-01-04,63.458
2019-01-03,59.976000000000006
2019-01-02,61.148
2019-01-01,66.6
2018-12-31,66.598
2018-12-29,66.6
2018-12-28,66.51
2018-12-27,62.7
2018-12-26,64.96
2018-12-24,58.622
2018-12-22,63.4
2018-12-21,63.6
2018-12-20,63.55
2018-12-19,66.23
2018-12-18,67.132
2018-12-17,70.08
2018-12-15,73.3
2018-12-14,73.24
2018-12-13,75.1
2018-12-12,73.46
2018-12-11,73.244
2018-12-10,73.126
2018-12-08,72.2
2018-12-07,71.9
2018-12-06,72.72
2018-12-05,72.50399999999998
2018-12-04,72.1
2018-12-03,71.7
2018-12-01,70.14
2018-11-30,70.04
2018-11-29,68.266
2018-11-28,69.45
2018-11-27,69.158
2018-11-26,68.6
2018-11-23,64.8
2018-11-22,67.68
2018-11-21,67.65
2018-11-20,69.12
2018-11-19,70.8
2018-11-17,70.88
2018-11-16,70.82
2018-11-15,69.32
2018-11-14,68.7
2018-11-13,67.97800000000001
2018-11-12,66.08
2018-11-10,70.1
2018-11-09,70.0
2018-11-08,70.16
2018-11-07,69.578
2018-11-06,68.36399999999999
2018-11-05,68.202
2018-11-02,69.102
2018-11-01,68.4
2018-10-31,67.458
2018-10-30,66.1
2018-10-29,66.304
2018-10-26,65.398
2018-10-25,62.244
2018-10-24,63.36
2018-10-23,59.54
2018-10-22,52.06
2018-10-19,51.912
2018-10-18,53.164
2018-10-17,53.804
2018-10-16,55.8
2018-10-15,51.9
2018-10-12,51.7
2018-10-11,51.0
2018-10-10,50.44
2018-10-09,52.952
2018-10-08,51.09
2018-10-05,52.59
2018-10-04,55.05
2018-10-03,58.962
2018-10-02,60.82
2018-10-01,61.0
2018-09-28,53.2
2018-09-27,54.18
2018-09-26,62.1
2018-09-25,60.0
2018-09-24,59.736
2018-09-21,59.484
2018-09-20,59.756
2018-09-19,59.65
2018-09-18,56.42
2018-09-17,58.58
2018-09-14,58.976000000000006
2018-09-13,57.95
2018-09-12,58.05
2018-09-11,55.86
2018-09-10,56.938
2018-09-07,52.90600000000001
2018-09-06,56.3
2018-09-05,56.45
2018-09-04,57.452
2018-08-31,60.27
2018-08-30,60.46
2018-08-29,60.724
2018-08-28,62.5
2018-08-27,63.682
2018-08-24,64.438
2018-08-23,64.07600000000001
2018-08-22,64.46
2018-08-21,63.6
2018-08-20,61.48
2018-08-17,60.61
2018-08-16,67.02
2018-08-15,67.12
2018-08-14,69.4
2018-08-13,70.918
2018-08-10,70.44
2018-08-09,71.622
2018-08-08,73.9
2018-08-07,75.4
2018-08-06,68.0
2018-08-03,69.41
2018-08-02,69.964
2018-08-01,65.798
2018-07-31,59.562
2018-07-30,58.0
2018-07-27,59.4
2018-07-26,61.5
2018-07-25,60.4
2018-07-24,59.396
2018-07-23,60.8
2018-07-20,62.712
2018-07-19,64.1
2018-07-18,64.836
2018-07-17,64.47
2018-07-16,61.44
2018-07-13,63.68
2018-07-12,63.228
2018-07-11,63.7
2018-07-10,63.38
2018-07-09,63.658
2018-07-06,61.8
2018-07-05,61.502
2018-07-03,61.962
2018-07-02,67.368
2018-06-29,68.8
2018-06-28,70.05
2018-06-27,69.078
2018-06-26,68.46
2018-06-25,66.686
2018-06-22,66.65
2018-06-21,69.202
2018-06-20,72.55
2018-06-19,70.242
2018-06-18,73.482
2018-06-15,71.7
2018-06-14,71.4
2018-06-13,69.596
2018-06-12,68.524
2018-06-11,66.646
2018-06-08,63.532
2018-06-07,63.36
2018-06-06,63.8
2018-06-05,58.8
2018-06-04,59.15
2018-06-01,58.4
2018-05-31,56.9
2018-05-30,58.24
2018-05-29,56.5
2018-05-25,55.8
2018-05-24,55.69600000000001
2018-05-23,55.68
2018-05-22,55.026
2018-05-21,56.8
2018-05-18,55.36
2018-05-17,57.11
2018-05-16,57.28
2018-05-15,56.6
2018-05-14,58.2
2018-05-11,60.12
2018-05-10,60.71
2018-05-09,61.19600000000001
2018-05-08,60.36
2018-05-07,60.79600000000001
2018-05-04,58.65
2018-05-03,56.6
2018-05-02,57.492
2018-05-01,60.2
2018-04-30,58.768
2018-04-27,58.5
2018-04-26,57.256
2018-04-25,56.558
2018-04-24,56.6
2018-04-23,56.8
2018-04-20,57.95
2018-04-19,59.79
2018-04-18,58.924
2018-04-17,58.752
2018-04-16,58.1
2018-04-13,59.94
2018-04-12,59.0
2018-04-11,60.34
2018-04-10,60.66
2018-04-09,58.28
2018-04-06,59.64
2018-04-05,59.6
2018-04-04,57.64
2018-04-03,53.64
2018-04-02,50.42
2018-03-29,51.9
2018-03-28,50.9
2018-03-27,54.9
2018-03-26,60.98
2018-03-23,60.45
2018-03-22,61.6
2018-03-21,63.4
2018-03-20,62.202
2018-03-19,62.732
2018-03-16,64.31
2018-03-15,64.99600000000001
2018-03-14,65.5
2018-03-13,68.05
2018-03-12,68.99
2018-03-10,65.416
2018-03-09,65.39
2018-03-08,65.222
2018-03-07,66.3
2018-03-06,65.002
2018-03-05,66.77199999999999
2018-03-03,67.02
2018-03-02,67.032
2018-03-01,66.25
2018-02-28,68.92
2018-02-27,70.298
2018-02-26,71.60600000000002
2018-02-24,70.388
2018-02-23,70.388
2018-02-22,69.4
2018-02-21,66.55
2018-02-20,66.8
2018-02-17,67.1
2018-02-16,67.1
2018-02-15,66.94
2018-02-14,64.598
2018-02-13,65.0
2018-02-12,63.18
2018-02-10,62.25
2018-02-09,62.05
2018-02-08,63.052
2018-02-07,69.0
2018-02-06,67.17
2018-02-05,66.538
2018-02-03,68.52
2018-02-02,68.4
2018-02-01,70.15
2018-01-31,70.862
2018-01-30,69.05
2018-01-29,69.712
2018-01-27,68.57
2018-01-26,68.57
2018-01-25,68.2
2018-01-24,69.3
2018-01-23,70.63
2018-01-22,70.36399999999999
2018-01-20,70.2
2018-01-19,70.09
2018-01-18,68.87
2018-01-17,69.3
2018-01-16,67.866
2018-01-13,67.06
2018-01-12,67.06
2018-01-11,67.59
2018-01-10,66.884
2018-01-09,66.5
2018-01-08,67.3
2018-01-06,63.35
2018-01-05,63.3
2018-01-04,63.0
2018-01-03,62.18600000000001
2018-01-02,64.102
2017-12-30,62.11
2017-12-29,62.18
2017-12-28,63.054
2017-12-27,62.228
2017-12-26,63.492
2017-12-23,64.972
2017-12-22,64.976
2017-12-21,66.332
2017-12-20,65.89399999999999
2017-12-19,66.28399999999999
2017-12-18,67.8
2017-12-16,68.602
2017-12-15,68.7
2017-12-14,67.566
2017-12-13,67.846
2017-12-12,68.148
2017-12-11,65.91199999999999
2017-12-09,63.028
2017-12-08,63.042
2017-12-07,62.294
2017-12-06,62.532
2017-12-05,60.65
2017-12-04,60.932
2017-12-02,61.29
2017-12-01,61.15600000000001
2017-11-30,61.668
2017-11-29,61.448
2017-11-28,63.26600000000001
2017-11-27,63.36
2017-11-24,63.004
2017-11-23,62.43600000000001
2017-11-22,62.45
2017-11-21,63.55
2017-11-20,61.74800000000001
2017-11-18,63.05
2017-11-17,63.078
2017-11-16,62.46
2017-11-15,62.2
2017-11-14,61.78
2017-11-13,63.17
2017-11-11,60.56
2017-11-10,60.44
2017-11-09,60.48
2017-11-08,60.94
2017-11-07,61.11
2017-11-06,60.444
2017-11-03,61.24
2017-11-02,59.88800000000001
2017-11-01,60.98
2017-10-31,66.6
2017-10-30,63.82
2017-10-27,64.1
2017-10-26,65.658
2017-10-25,65.25
2017-10-24,67.5
2017-10-23,67.602
2017-10-20,68.98
2017-10-19,70.248
2017-10-18,71.93
2017-10-17,71.07
2017-10-16,70.15
2017-10-13,71.24
2017-10-12,70.99
2017-10-11,70.9
2017-10-10,71.15
2017-10-09,69.14
2017-10-06,70.76
2017-10-05,71.09
2017-10-04,71.176
2017-10-03,70.266
2017-10-02,67.2
2017-09-29,68.16
2017-09-28,68.14
2017-09-27,68.22
2017-09-26,69.08
2017-09-25,69.006
2017-09-22,70.14
2017-09-21,73.296
2017-09-20,74.832
2017-09-19,74.86399999999998
2017-09-18,76.96
2017-09-15,76.066
2017-09-14,74.696
2017-09-13,73.2
2017-09-12,72.5
2017-09-11,72.702
2017-09-08,68.686
2017-09-07,70.13600000000001
2017-09-06,68.932
2017-09-05,69.98
2017-09-01,71.002
2017-08-31,71.04
2017-08-30,70.696
2017-08-29,69.596
2017-08-28,68.66199999999999
2017-08-25,69.544
2017-08-24,70.64
2017-08-23,70.38
2017-08-22,68.312
2017-08-21,67.36399999999999
2017-08-18,69.212
2017-08-17,70.3
2017-08-16,72.62
2017-08-15,72.392
2017-08-14,72.84
2017-08-11,71.6
2017-08-10,70.7
2017-08-09,72.832
2017-08-08,72.764
2017-08-07,71.0
2017-08-04,71.456
2017-08-03,69.54
2017-08-02,70.002
2017-08-01,64.1
2017-07-31,64.68
2017-07-28,67.09
2017-07-27,66.99600000000001
2017-07-26,68.8
2017-07-25,67.888
2017-07-24,68.52
2017-07-21,65.75
2017-07-20,66.058
2017-07-19,65.03
2017-07-18,65.74
2017-07-17,64.08
2017-07-14,65.542
2017-07-13,64.7
2017-07-12,66.104
2017-07-11,65.56
2017-07-10,63.3
2017-07-07,63.036
2017-07-06,62.198
2017-07-05,65.0
2017-07-03,70.26
2017-06-30,72.428
2017-06-29,72.014
2017-06-28,74.34
2017-06-27,72.55199999999998
2017-06-26,75.566
2017-06-23,76.65
2017-06-22,76.65
2017-06-21,75.16
2017-06-20,74.49
2017-06-19,74.94
2017-06-16,74.1
2017-06-15,74.962
2017-06-14,75.8
2017-06-13,75.54
2017-06-12,71.82
2017-06-09,71.596
2017-06-08,74.018
2017-06-07,72.16
2017-06-06,70.6
2017-06-05,69.594
2017-06-02,67.93
2017-06-01,68.0
2017-05-31,68.44
2017-05-30,67.0
2017-05-26,65.1
2017-05-25,63.36600000000001
2017-05-24,62.05
