date,price
2021-02-18,67.25
2021-02-17,67.22
2021-02-16,65.39
2021-02-12,65.4
2021-02-11,65.35
2021-02-10,69.54
2021-02-09,69.6
2021-02-08,67.91
2021-02-05,66.2
2021-02-04,66.2
2021-02-03,65.9
2021-02-02,64.44
2021-02-01,64.19
2021-01-30,64.01
2021-01-29,64.0
2021-01-28,64.94
2021-01-27,64.58
2021-01-26,66.57
2021-01-25,66.55
2021-01-23,66.6
2021-01-22,66.52
2021-01-21,65.95
2021-01-20,65.82
2021-01-19,64.12
2021-01-15,64.74
2021-01-14,64.76
2021-01-13,64.8
2021-01-12,64.0
2021-01-11,64.77
2021-01-09,64.08
2021-01-08,64.1
2021-01-07,65.4
2021-01-06,65.37
2021-01-05,63.45
2021-01-04,63.3
2020-12-31,64.39
2020-12-30,63.59
2020-12-29,63.31
2020-12-28,64.38
2020-12-24,64.79
2020-12-23,64.55
2020-12-22,62.48
2020-12-21,63.75
2020-12-19,65.4999
2020-12-18,65.01
2020-12-17,64.9
2020-12-16,65.42
2020-12-15,68.33
2020-12-14,69.82
2020-12-11,69.4
2020-12-10,69.61
2020-12-09,69.16
2020-12-08,68.19
2020-12-07,68.6
2020-12-05,69.75
2020-12-04,70.1
2020-12-03,69.13
2020-12-02,66.9
2020-12-01,66.85
2020-11-30,65.29
2020-11-27,65.0
2020-11-25,64.99
2020-11-24,64.8
2020-11-23,63.25
2020-11-21,60.7
2020-11-20,60.71
2020-11-19,61.82
2020-11-18,63.79
2020-11-17,63.86
2020-11-16,64.95
2020-11-14,63.25
2020-11-13,63.27
2020-11-12,60.89
2020-11-11,61.11
2020-11-10,60.59
2020-11-09,60.34
2020-11-07,57.33
2020-11-06,57.34
2020-11-05,57.72
2020-11-04,56.54
2020-11-03,56.65
2020-11-02,57.7
2020-10-30,57.2401
2020-10-29,57.0
2020-10-28,57.29
2020-10-27,57.5
2020-10-26,57.6
2020-10-23,60.0399
2020-10-22,59.73
2020-10-21,58.88
2020-10-20,57.86
2020-10-19,58.32
2020-10-16,59.8
2020-10-15,60.66
2020-10-14,59.28
2020-10-13,58.94
2020-10-12,59.0
2020-10-09,58.03
2020-10-08,59.34
2020-10-07,58.78
2020-10-06,58.61
2020-10-05,58.99
2020-10-02,59.0
2020-10-01,59.22
2020-09-30,59.45
2020-09-29,58.96
2020-09-28,59.7
2020-09-25,58.98
2020-09-24,56.9
2020-09-23,57.1
2020-09-22,59.39
2020-09-21,59.95
2020-09-18,62.03
2020-09-17,63.9
2020-09-16,66.1707
2020-09-15,65.25
2020-09-14,65.31
2020-09-11,63.68
2020-09-10,64.09
2020-09-09,61.46
2020-09-08,61.57
2020-09-04,62.41
2020-09-03,61.42
2020-09-02,63.38
2020-09-01,62.64
2020-08-31,62.73
2020-08-28,63.88
2020-08-27,63.96
2020-08-26,63.45
2020-08-25,63.22
2020-08-24,63.65
2020-08-21,62.9
2020-08-20,62.85
2020-08-19,63.01
2020-08-18,63.58
2020-08-17,64.04
2020-08-14,63.94
2020-08-13,64.6
2020-08-12,65.71
2020-08-11,65.38
2020-08-10,64.46
2020-08-07,63.28
2020-08-06,62.29
2020-08-05,62.9
2020-08-04,64.55
2020-08-03,62.23
2020-07-31,61.8
2020-07-30,61.58
2020-07-29,62.0
2020-07-28,60.73
2020-07-27,60.98
2020-07-24,60.82
2020-07-23,61.1
2020-07-22,60.25
2020-07-21,61.0
2020-07-20,60.2
2020-07-17,60.45
2020-07-16,59.74
2020-07-15,60.52
2020-07-14,59.12
2020-07-13,57.85
2020-07-10,58.54
2020-07-09,56.0
2020-07-08,58.2
2020-07-07,58.81
2020-07-06,59.44
