date,price
2021-02-18,71.65
2021-02-17,71.75
2021-02-16,74.0
2021-02-13,71.7
2021-02-12,71.6
2021-02-11,68.7
2021-02-10,67.7
2021-02-09,61.19
2021-02-08,58.9
2021-02-06,57.04
2021-02-05,56.96
2021-02-04,56.49
2021-02-03,54.6
2021-02-02,54.04
2021-02-01,52.7
2021-01-30,50.36
2021-01-29,50.53
2021-01-28,51.35
2021-01-27,47.5
2021-01-26,51.09
2021-01-25,47.75
2021-01-23,48.0
2021-01-22,48.02
2021-01-21,46.99
2021-01-20,47.22
2021-01-19,46.05
2021-01-16,45.11
2021-01-15,45.25
2021-01-14,45.8899
2021-01-13,47.37
2021-01-12,47.0
2021-01-11,48.14
2021-01-09,49.54
2021-01-08,50.28
2021-01-07,51.8
2021-01-06,53.09
2021-01-05,53.62
2021-01-04,54.24
2021-01-01,54.15
2020-12-31,54.15
2020-12-30,54.25
2020-12-29,54.37
2020-12-28,54.43
2020-12-24,53.97
2020-12-23,54.25
2020-12-22,54.83
2020-12-21,55.0
2020-12-19,55.78
2020-12-18,55.84
2020-12-17,54.64
2020-12-16,54.06
2020-12-15,53.23
2020-12-14,51.92
2020-12-12,51.5
2020-12-11,51.5
2020-12-10,51.13
2020-12-09,47.21
2020-12-08,47.44
2020-12-07,47.88
2020-12-05,47.64
2020-12-04,47.7
2020-12-03,47.89
2020-12-02,47.18
2020-12-01,46.65
2020-11-30,46.55
2020-11-27,46.5
2020-11-25,46.43
2020-11-24,45.3
2020-11-23,45.0
2020-11-21,44.65
2020-11-20,44.68
2020-11-19,43.31
2020-11-18,43.31
2020-11-17,42.88
2020-11-16,42.77
2020-11-14,43.53
2020-11-13,43.49
2020-11-12,42.9
2020-11-11,43.63
2020-11-10,42.39
2020-11-09,43.18
2020-11-07,43.02
2020-11-06,43.1
2020-11-05,43.51
2020-11-04,42.71
2020-11-03,41.96
2020-11-02,40.05
2020-10-30,41.44
2020-10-29,43.24
2020-10-28,51.2
2020-10-27,51.18
2020-10-26,49.0
2020-10-23,50.73
2020-10-22,50.4
2020-10-21,50.12
2020-10-20,48.85
2020-10-19,46.0
2020-10-16,45.6
2020-10-15,46.06
2020-10-14,45.96
2020-10-13,46.98
2020-10-12,48.36
2020-10-09,45.95
2020-10-08,46.1
2020-10-07,45.89
2020-10-06,45.5
2020-10-05,47.29
2020-10-02,45.9
2020-10-01,46.7
2020-09-30,44.65
2020-09-29,44.97
2020-09-28,44.4
2020-09-25,43.55
2020-09-24,43.6
2020-09-23,45.15
2020-09-22,43.2
2020-09-21,40.05
2020-09-18,40.11
2020-09-17,39.36
2020-09-16,39.6
2020-09-15,39.11
2020-09-14,38.85
2020-09-11,38.88
2020-09-10,39.03
2020-09-09,39.66
2020-09-08,38.02
2020-09-04,39.7
2020-09-03,40.7
2020-09-02,43.5
2020-09-01,41.23
2020-08-31,40.5699
2020-08-28,41.07
2020-08-27,40.45
2020-08-26,41.02
2020-08-25,40.49
2020-08-24,40.6
2020-08-21,39.34
2020-08-20,38.96
2020-08-19,38.76
2020-08-18,38.3
2020-08-17,38.03
2020-08-14,37.94
2020-08-13,37.87
2020-08-12,37.4
2020-08-11,37.4
2020-08-10,37.41
2020-08-07,37.1
2020-08-06,37.56
2020-08-05,36.8
2020-08-04,36.3
2020-08-03,35.75
2020-07-31,36.41
2020-07-30,37.16
2020-07-29,37.2
2020-07-28,36.67
2020-07-27,36.89
2020-07-24,37.55
2020-07-23,38.33
2020-07-22,37.18
2020-07-21,36.9
2020-07-20,37.06
2020-07-17,35.96
2020-07-16,35.1
2020-07-15,34.52
2020-07-14,34.7
2020-07-13,34.2
2020-07-10,35.39
2020-07-09,35.74
2020-07-08,35.9001
2020-07-07,33.07
2020-07-06,32.35
2020-07-02,30.95
2020-07-01,30.75
2020-06-30,30.24
2020-06-29,29.75
2020-06-26,28.77
2020-06-25,31.5
2020-06-24,31.73
2020-06-23,32.8
2020-06-22,33.55
2020-06-19,33.28
2020-06-18,34.33
2020-06-17,34.13
2020-06-16,34.82
2020-06-15,34.4
2020-06-12,33.55
2020-06-11,33.35
2020-06-10,34.79
2020-06-09,36.0501
2020-06-08,36.94
2020-06-05,34.9
2020-06-04,33.71
2020-06-03,34.94
2020-06-02,32.26
2020-06-01,31.78
2020-05-29,31.07
2020-05-28,31.82
2020-05-27,32.15
2020-05-26,33.55
2020-05-22,32.65
2020-05-21,32.5
2020-05-20,32.3
2020-05-19,29.91
2020-05-18,29.71
2020-05-15,28.95
2020-05-14,28.63
2020-05-13,28.34
2020-05-12,28.77
2020-05-11,29.55
2020-05-08,29.85
2020-05-07,28.87
2020-05-06,27.6
2020-05-05,28.08
2020-05-04,28.21
2020-05-01,27.92
2020-04-30,28.01
2020-04-29,32.99
2020-04-28,29.62
2020-04-27,30.19
2020-04-24,28.72
2020-04-23,27.6
2020-04-22,28.32
2020-04-21,26.45
2020-04-20,27.1299
2020-04-17,26.6501
2020-04-16,27.5
2020-04-15,27.46
2020-04-14,27.88
2020-04-13,27.4
2020-04-09,27.89
2020-04-08,28.0
2020-04-07,25.97
2020-04-06,24.93
2020-04-03,23.07
2020-04-02,23.0
2020-04-01,23.43
2020-03-31,24.12
2020-03-30,25.58
2020-03-27,25.06
2020-03-26,26.76
2020-03-25,25.85
2020-03-24,25.5999
2020-03-23,24.9
2020-03-20,23.79
2020-03-19,24.07
2020-03-18,22.92
2020-03-17,23.99
2020-03-16,24.83
2020-03-13,29.15
2020-03-12,26.22
2020-03-11,31.16
2020-03-10,33.92
2020-03-09,33.5001
2020-03-07,33.25
2020-03-06,33.3
2020-03-05,35.06
2020-03-04,35.8
2020-03-03,34.7
2020-03-02,35.75
2020-02-29,35.75
2020-02-28,33.38
2020-02-27,32.85
2020-02-26,34.45
2020-02-25,35.4
2020-02-24,35.97
2020-02-22,38.33
2020-02-21,38.37
2020-02-20,38.7
