date,price
2021-02-18,29.55
2021-02-17,29.55
2021-02-16,28.96
2021-02-13,28.75
2021-02-12,28.75
2021-02-11,28.63
2021-02-10,28.55
2021-02-09,28.66
2021-02-08,28.75
2021-02-06,28.95
2021-02-05,28.95
2021-02-04,28.9
2021-02-03,28.5699
2021-02-02,28.6
2021-02-01,28.75
2021-01-30,28.69
2021-01-29,28.7
2021-01-28,28.83
2021-01-27,29.02
2021-01-26,29.64
2021-01-25,29.11
2021-01-23,28.99
2021-01-22,28.97
2021-01-21,28.84
2021-01-20,28.96
2021-01-19,29.0
2021-01-16,29.13
2021-01-15,29.11
2021-01-14,29.2
2021-01-13,28.58
2021-01-12,28.68
2021-01-11,28.86
2021-01-09,28.98
2021-01-08,28.96
2021-01-07,29.96
2021-01-06,29.86
2021-01-05,29.3
2021-01-04,29.4
2021-01-01,28.79
2020-12-31,28.74
2020-12-30,28.5
2020-12-29,28.59
2020-12-28,28.57
2020-12-24,28.75
2020-12-23,28.85
2020-12-22,28.43
2020-12-21,29.0
2020-12-19,29.38
2020-12-18,29.45
2020-12-17,29.6
2020-12-16,30.52
2020-12-15,30.56
2020-12-14,30.56
2020-12-12,31.02
2020-12-11,31.0
2020-12-10,30.76
2020-12-09,31.54
2020-12-08,30.79
2020-12-07,29.63
2020-12-05,29.53
2020-12-04,29.54
2020-12-03,29.28
2020-12-02,29.09
2020-12-01,28.86
2020-11-30,28.76
2020-11-27,29.03
2020-11-25,29.03
2020-11-24,29.26
2020-11-23,28.63
2020-11-21,28.32
2020-11-20,28.28
2020-11-19,28.11
2020-11-18,28.72
2020-11-17,29.0
2020-11-16,28.97
2020-11-14,28.87
2020-11-13,28.88
2020-11-12,28.43
2020-11-11,28.55
2020-11-10,28.83
2020-11-09,28.33
2020-11-07,27.5
2020-11-06,27.46
2020-11-05,27.45
2020-11-04,27.01
2020-11-03,27.62
2020-11-02,27.44
2020-10-30,27.05
2020-10-29,26.67
2020-10-28,26.56
2020-10-27,26.89
2020-10-26,27.36
2020-10-23,27.79
2020-10-22,28.16
2020-10-21,26.65
2020-10-20,26.8
2020-10-19,27.0
2020-10-16,27.4
2020-10-15,27.55
2020-10-14,27.49
2020-10-13,27.78
2020-10-12,28.11
2020-10-09,28.3
2020-10-08,28.69
2020-10-07,28.9
2020-10-06,28.79
2020-10-05,28.69
2020-10-02,28.63
2020-10-01,28.47
2020-09-30,28.51
2020-09-29,28.34
2020-09-28,28.48
2020-09-25,28.05
2020-09-24,28.09
2020-09-23,27.9
2020-09-22,28.57
2020-09-21,28.67
2020-09-18,28.97
2020-09-17,29.12
2020-09-16,29.33
2020-09-15,29.11
2020-09-14,29.16
2020-09-11,28.98
2020-09-10,28.98
2020-09-09,29.43
2020-09-08,29.5
2020-09-04,29.52
2020-09-03,29.42
2020-09-02,29.7599
2020-09-01,29.47
2020-08-31,29.86
2020-08-28,30.42
2020-08-27,29.9
2020-08-26,29.97
2020-08-25,29.9
2020-08-24,30.02
2020-08-21,29.78
2020-08-20,29.74
2020-08-19,29.71
2020-08-18,29.82
2020-08-17,29.89
2020-08-14,30.01
2020-08-13,29.93
2020-08-12,30.15
2020-08-11,30.22
2020-08-10,30.14
2020-08-07,29.9
2020-08-06,29.83
2020-08-05,29.83
2020-08-04,30.01
2020-08-03,29.61
2020-07-31,29.57
2020-07-30,29.64
2020-07-29,29.56
2020-07-28,29.69
2020-07-27,29.3999
2020-07-24,29.57
2020-07-23,29.9
2020-07-22,30.13
2020-07-21,30.24
2020-07-20,29.97
2020-07-17,30.23
2020-07-16,30.35
2020-07-15,29.97
2020-07-14,30.03
2020-07-13,29.77
2020-07-10,30.13
2020-07-09,29.62
2020-07-08,30.53
2020-07-07,30.45
2020-07-06,30.5
2020-07-02,30.1601
2020-07-01,29.93
2020-06-30,30.17
2020-06-29,30.05
2020-06-26,29.15
2020-06-25,29.78
2020-06-24,29.46
2020-06-23,30.3
2020-06-22,30.2
2020-06-19,30.17
2020-06-18,30.46
2020-06-17,30.22
2020-06-16,30.78
2020-06-15,30.66
2020-06-12,30.5499
2020-06-11,30.55
2020-06-10,31.98
2020-06-09,32.7
2020-06-08,33.19
2020-06-05,32.74
2020-06-04,31.8
2020-06-03,31.57
2020-06-02,31.08
2020-06-01,30.75
2020-05-29,30.95
2020-05-28,31.12
2020-05-27,31.86
2020-05-26,30.9
2020-05-22,29.87
2020-05-21,29.83
2020-05-20,29.55
2020-05-19,29.06
2020-05-18,29.43
2020-05-15,28.28
2020-05-14,28.65
2020-05-13,28.29
2020-05-12,28.82
2020-05-11,29.38
2020-05-08,29.79
2020-05-07,28.97
2020-05-06,28.93
2020-05-05,29.79
2020-05-04,29.62
2020-05-01,29.96
2020-04-30,30.32
2020-04-29,31.63
2020-04-28,30.78
2020-04-27,30.56
2020-04-24,29.75
2020-04-23,29.5
2020-04-22,29.45
2020-04-21,30.15
2020-04-20,31.0699
2020-04-17,31.16
2020-04-16,30.8
2020-04-15,30.08
2020-04-14,31.08
2020-04-13,30.25
2020-04-09,30.7
2020-04-08,29.9
2020-04-07,30.2399
2020-04-06,29.44
2020-04-03,27.44
2020-04-02,28.83
2020-04-01,28.13
2020-03-31,28.85
2020-03-30,30.29
2020-03-27,29.76
2020-03-26,30.65
2020-03-25,28.6
2020-03-24,28.0199
2020-03-23,27.22
2020-03-20,28.25
2020-03-19,30.95
2020-03-18,32.73
2020-03-17,32.73
2020-03-16,32.55
2020-03-13,34.03
2020-03-12,30.95
2020-03-11,34.5
