date,price
2021-02-18,46.08
2021-02-17,46.08
2021-02-16,45.75
2021-02-13,44.0
2021-02-12,44.01
2021-02-11,43.39
2021-02-10,43.39
2021-02-09,43.54
2021-02-08,44.46
2021-02-06,42.24
2021-02-05,42.2
2021-02-04,42.25
2021-02-03,41.82
2021-02-02,40.8
2021-02-01,39.99
2021-01-30,40.12
2021-01-29,40.17
2021-01-28,42.5
2021-01-27,40.55
2021-01-26,41.14
2021-01-25,40.52
2021-01-23,42.21
2021-01-22,42.15
2021-01-21,42.68
2021-01-20,44.09
2021-01-19,44.8
2021-01-16,43.95
2021-01-15,44.09
2021-01-14,46.71
2021-01-13,44.76
2021-01-12,44.09
2021-01-11,42.71
2021-01-09,43.35
2021-01-08,43.42
2021-01-07,43.66
2021-01-06,43.69
2021-01-05,43.33
2021-01-04,41.62
2021-01-01,43.6599
2020-12-31,43.68
2020-12-30,44.67
2020-12-29,43.71
2020-12-28,44.05
2020-12-24,43.3
2020-12-23,44.14
2020-12-22,42.95
2020-12-21,44.07
2020-12-19,45.25
2020-12-18,45.0899
2020-12-17,45.87
2020-12-16,46.17
2020-12-15,47.4
2020-12-14,46.81
2020-12-12,48.47
2020-12-11,48.6
2020-12-10,50.35
2020-12-09,48.04
2020-12-08,49.22
2020-12-07,49.18
2020-12-05,49.16
2020-12-04,49.2
2020-12-03,50.25
2020-12-02,47.2
2020-12-01,45.4
2020-11-30,45.34
2020-11-27,45.52
2020-11-26,45.74
2020-11-25,45.75
2020-11-24,45.81
2020-11-23,41.62
2020-11-21,40.0
2020-11-20,39.95
2020-11-19,40.2
2020-11-18,41.4
2020-11-17,40.67
2020-11-16,40.65
2020-11-14,39.48
2020-11-13,39.5
2020-11-12,36.81
2020-11-11,38.36
2020-11-10,40.25
2020-11-09,41.65
2020-11-07,34.75
2020-11-06,34.73
2020-11-05,35.23
2020-11-04,33.37
2020-11-03,34.17
2020-11-02,33.8
2020-10-30,33.76
2020-10-29,33.11
2020-10-28,32.9
2020-10-27,34.0
2020-10-26,35.29
2020-10-23,37.99
2020-10-22,37.17
2020-10-21,35.3
2020-10-20,36.28
2020-10-19,35.9
2020-10-16,34.15
2020-10-15,34.42
2020-10-14,35.9
2020-10-13,35.15
2020-10-12,36.31
2020-10-09,37.15
2020-10-08,37.44
2020-10-07,36.8
2020-10-06,34.71
2020-10-05,36.1
2020-10-02,35.62
2020-10-01,34.98
2020-09-30,35.05
2020-09-29,34.74
2020-09-28,36.05
2020-09-25,34.6
2020-09-24,33.27
2020-09-23,33.12
2020-09-22,33.98
2020-09-21,34.27
2020-09-18,37.15
2020-09-17,38.5
2020-09-16,38.65
2020-09-15,36.98
2020-09-14,36.72
2020-09-11,36.09
2020-09-10,36.62
2020-09-09,36.22
2020-09-08,36.76
2020-09-04,38.2
2020-09-03,36.51
2020-09-02,36.95
2020-09-01,36.12
2020-08-31,36.12
2020-08-28,37.33
2020-08-27,36.69
2020-08-26,34.3
2020-08-25,35.1
2020-08-24,36.48
2020-08-21,33.17
2020-08-20,34.1
2020-08-19,34.53
2020-08-18,33.99
2020-08-17,34.37
2020-08-14,36.3
2020-08-13,36.0999
2020-08-12,36.38
2020-08-11,37.28
2020-08-10,37.25
2020-08-07,34.35
2020-08-06,34.1
2020-08-05,34.98
2020-08-04,32.7
2020-08-03,31.87
2020-07-31,31.33
2020-07-30,32.04
2020-07-29,32.7
2020-07-28,33.43
2020-07-27,32.73
2020-07-24,32.96
2020-07-23,33.46
2020-07-22,31.8
2020-07-21,33.4599
2020-07-20,32.28
